expansion_document_id,check_name,check_status,observed_value,expected_value,detail,checked_at
EXPDOC-001,source_identity,PASS,https://www.lazard.com/media/mbcj4xsi/lazard-interim-2026-secondary-market-report.pdf,url,,2026-09-14T01:56:26Z
EXPDOC-001,byte_integrity,PASS,db7a709a2686a65d34254ea8d8d19c97ef60916d5cf2e6d88ae2b7cb9c7a0e75,sha256,,2026-09-14T01:56:26Z
EXPDOC-001,magic,PASS,TRUE,TRUE,pdf,2026-09-14T01:56:26Z
EXPDOC-001,duplicate_sha,PASS,,unique,,2026-09-14T01:56:26Z
EXPDOC-001,duplicate_filename,PASS,lazard-interim-2026-secondary-market-report.pdf,unique,,2026-09-14T01:56:26Z
EXPDOC-001,duplicate_url,PASS,unique,unique,,2026-09-14T01:56:26Z
EXPDOC-001,doc_type_enum,HOLD,Secondary_Pricing,document-types.csv or approved new family,,2026-09-14T01:56:26Z
EXPDOC-001,subtype,PASS,Market_Report,taxonomy map,,2026-09-14T01:56:26Z
EXPDOC-001,native_pdf,PASS,pdf,pdf,canonical merge accepts pdf only,2026-09-14T01:56:26Z
EXPDOC-001,merge_size_gate,PASS,1482187,>20480,canonical _merge_rows.py rejects 20 KB or smaller,2026-09-14T01:56:26Z
EXPDOC-001,pdf_probe,PASS,22,page_count,,2026-09-14T01:56:26Z
EXPDOC-001,rights,PASS,PUBLIC,known,public URL with recorded license_note,2026-09-14T01:56:26Z
EXPDOC-001,canonical_ready,HOLD,,pdf + existing doc_type + unique hash,this run does not merge into source_ledger.csv,2026-09-14T01:56:26Z
EXPDOC-002,source_identity,PASS,https://www.lazard.com/media/gjzjxh1x/lazard-2025-secondary-market-report_vff.pdf,url,,2026-09-14T01:56:26Z
EXPDOC-002,byte_integrity,PASS,bce0a9989ffbe69192a0d8421c10f0ca89b637e05a3321af1cdb48f02df42ad6,sha256,,2026-09-14T01:56:26Z
EXPDOC-002,magic,PASS,TRUE,TRUE,pdf,2026-09-14T01:56:26Z
EXPDOC-002,duplicate_sha,PASS,,unique,,2026-09-14T01:56:26Z
EXPDOC-002,duplicate_filename,PASS,lazard-2025-secondary-market-report.pdf,unique,,2026-09-14T01:56:26Z
EXPDOC-002,duplicate_url,PASS,unique,unique,,2026-09-14T01:56:26Z
EXPDOC-002,doc_type_enum,HOLD,Secondary_Pricing,document-types.csv or approved new family,,2026-09-14T01:56:26Z
EXPDOC-002,subtype,PASS,Market_Report,taxonomy map,,2026-09-14T01:56:26Z
EXPDOC-002,native_pdf,PASS,pdf,pdf,canonical merge accepts pdf only,2026-09-14T01:56:26Z
EXPDOC-002,merge_size_gate,PASS,1404968,>20480,canonical _merge_rows.py rejects 20 KB or smaller,2026-09-14T01:56:26Z
EXPDOC-002,pdf_probe,PASS,23,page_count,,2026-09-14T01:56:26Z
EXPDOC-002,rights,PASS,PUBLIC,known,public URL with recorded license_note,2026-09-14T01:56:26Z
EXPDOC-002,canonical_ready,HOLD,,pdf + existing doc_type + unique hash,this run does not merge into source_ledger.csv,2026-09-14T01:56:26Z
EXPDOC-003,source_identity,PASS,https://www.lazard.com/media/drch42gk/lazard-2024-secondary-market-report.pdf,url,,2026-09-14T01:56:26Z
EXPDOC-003,byte_integrity,PASS,9efabdc0825450ec09aae2d502e2f3cff3d58ea344fa380f3975a968940a828a,sha256,,2026-09-14T01:56:26Z
EXPDOC-003,magic,PASS,TRUE,TRUE,pdf,2026-09-14T01:56:26Z
EXPDOC-003,duplicate_sha,PASS,,unique,,2026-09-14T01:56:26Z
EXPDOC-003,duplicate_filename,PASS,lazard-2024-secondary-market-report.pdf,unique,,2026-09-14T01:56:26Z
EXPDOC-003,duplicate_url,PASS,unique,unique,,2026-09-14T01:56:26Z
EXPDOC-003,doc_type_enum,HOLD,Secondary_Pricing,document-types.csv or approved new family,,2026-09-14T01:56:26Z
EXPDOC-003,subtype,PASS,Market_Report,taxonomy map,,2026-09-14T01:56:26Z
EXPDOC-003,native_pdf,PASS,pdf,pdf,canonical merge accepts pdf only,2026-09-14T01:56:26Z
EXPDOC-003,merge_size_gate,PASS,1310882,>20480,canonical _merge_rows.py rejects 20 KB or smaller,2026-09-14T01:56:26Z
EXPDOC-003,pdf_probe,PASS,25,page_count,,2026-09-14T01:56:26Z
EXPDOC-003,rights,PASS,PUBLIC,known,public URL with recorded license_note,2026-09-14T01:56:26Z
EXPDOC-003,canonical_ready,HOLD,,pdf + existing doc_type + unique hash,this run does not merge into source_ledger.csv,2026-09-14T01:56:26Z
EXPDOC-004,source_identity,PASS,https://www.lazard.com/media/oehdl3as/lazard-interim-2024-secondary-market-report.pdf,url,,2026-09-14T01:56:26Z
EXPDOC-004,byte_integrity,PASS,ef4d3e2f406ec3bfaf4b3130bb6fcaa504e46c7ed824e4a99ecd273d286400fe,sha256,,2026-09-14T01:56:26Z
EXPDOC-004,magic,PASS,TRUE,TRUE,pdf,2026-09-14T01:56:26Z
EXPDOC-004,duplicate_sha,PASS,,unique,,2026-09-14T01:56:26Z
EXPDOC-004,duplicate_filename,PASS,lazard-interim-2024-secondary-market-report.pdf,unique,,2026-09-14T01:56:26Z
EXPDOC-004,duplicate_url,PASS,unique,unique,,2026-09-14T01:56:26Z
