file_id,expansion_document_id,source_system,source_record_id,regulatory_form,sec_cik,sec_accession,filing_date,period_of_report,exhibit_type,exhibit_sequence,native_source_url,native_file_ext,native_sha256,canonical_pdf_sha256,derived_from_native_sha256,renderer_id,document_family,document_subtype,deal_context,lookthrough_level,package_id,parent_file_id,version_status,execution_status,access_basis,confidentiality_class,redistribution_rights,pii_class,license_contract_id,duplicate_of_file_id,supersedes_file_id,admission_status,admission_reason
,EXPDOC-001,ADVISOR_PUBLIC,EXP-001,,,,,,,,https://www.lazard.com/media/mbcj4xsi/lazard-interim-2026-secondary-market-report.pdf,pdf,db7a709a2686a65d34254ea8d8d19c97ef60916d5cf2e6d88ae2b7cb9c7a0e75,db7a709a2686a65d34254ea8d8d19c97ef60916d5cf2e6d88ae2b7cb9c7a0e75,,,Secondary_Pricing,Market_Report,UNKNOWN,FUND_INTEREST,PKG-LAZARD-SECONDARY-MARKET,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,new doc_type Secondary_Pricing is not in document-types.csv; canonical corpus pins remain 442; no merge this run
,EXPDOC-002,ADVISOR_PUBLIC,EXP-002,,,,,,,,https://www.lazard.com/media/gjzjxh1x/lazard-2025-secondary-market-report_vff.pdf,pdf,bce0a9989ffbe69192a0d8421c10f0ca89b637e05a3321af1cdb48f02df42ad6,bce0a9989ffbe69192a0d8421c10f0ca89b637e05a3321af1cdb48f02df42ad6,,,Secondary_Pricing,Market_Report,UNKNOWN,FUND_INTEREST,PKG-LAZARD-SECONDARY-MARKET,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,new doc_type Secondary_Pricing is not in document-types.csv; canonical corpus pins remain 442; no merge this run
,EXPDOC-003,ADVISOR_PUBLIC,EXP-003,,,,,,,,https://www.lazard.com/media/drch42gk/lazard-2024-secondary-market-report.pdf,pdf,9efabdc0825450ec09aae2d502e2f3cff3d58ea344fa380f3975a968940a828a,9efabdc0825450ec09aae2d502e2f3cff3d58ea344fa380f3975a968940a828a,,,Secondary_Pricing,Market_Report,UNKNOWN,FUND_INTEREST,PKG-LAZARD-SECONDARY-MARKET,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,new doc_type Secondary_Pricing is not in document-types.csv; canonical corpus pins remain 442; no merge this run
,EXPDOC-004,ADVISOR_PUBLIC,EXP-004,,,,,,,,https://www.lazard.com/media/oehdl3as/lazard-interim-2024-secondary-market-report.pdf,pdf,ef4d3e2f406ec3bfaf4b3130bb6fcaa504e46c7ed824e4a99ecd273d286400fe,ef4d3e2f406ec3bfaf4b3130bb6fcaa504e46c7ed824e4a99ecd273d286400fe,,,Secondary_Pricing,Market_Report,UNKNOWN,FUND_INTEREST,PKG-LAZARD-SECONDARY-MARKET,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,new doc_type Secondary_Pricing is not in document-types.csv; canonical corpus pins remain 442; no merge this run
,EXPDOC-005,ADVISOR_PUBLIC,EXP-005,,,,,,,,https://www.evercore.com/wp-content/uploads/2026/02/Evercore-PCA-2025-Secondary-Market-Report.pdf,pdf,3ff5d6b5b415bfafee938f4872fb01523c8a42bd6ae1e3aeb42be4691355b8ab,3ff5d6b5b415bfafee938f4872fb01523c8a42bd6ae1e3aeb42be4691355b8ab,,,Secondary_Pricing,Market_Report,UNKNOWN,FUND_INTEREST,PKG-EVERCORE-SECONDARY-MARKET,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,new doc_type Secondary_Pricing is not in document-types.csv; canonical corpus pins remain 442; no merge this run
,EXPDOC-006,ADVISOR_PUBLIC,EXP-006,,,,,,,,https://www.jefferies.com/insights/leadership-spotlight/2025-global-secondary-market-review-another-record-breaking-year/,html,d0a9f3dfcfe25b8c834b743f75769bae42f44dba46a5e261f6a13ddf6b4de831,,,,Secondary_Pricing,Market_Report,UNKNOWN,FUND_INTEREST,PKG-JEFFERIES-SECONDARY-MARKET,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,new doc_type Secondary_Pricing is not in document-types.csv; native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
,EXPDOC-007,ILPA,EXP-007,,,,,,,,https://ilpa.org/wp-content/uploads/2023/05/Continuation-Funds-Considerations-for-Limited-Partners-and-General-Partners.pdf,pdf,30323290c269464e5fa0530cd39017f16d3a0f0e13677d4ec94b1baad9392ca8,30323290c269464e5fa0530cd39017f16d3a0f0e13677d4ec94b1baad9392ca8,,,Continuation_Fund,Continuation_Disclosure,CONTINUATION,FUND_INTEREST,PKG-ILPA-CONTINUATION,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,new doc_type Continuation_Fund is not in document-types.csv; canonical corpus pins remain 442; no merge this run
,EXPDOC-008,ILPA,EXP-008,,,,,,,,https://ilpa.org/wp-content/uploads/2026/04/ILPA-Continuation-Fund-Disclosure-Template_Coller-Response_Multi-Asset.pdf,pdf,2c42e4abfa9a38c4933f0fbcc58d8826c4acd09a24b44eb6356343a6a2e8fadd,2c42e4abfa9a38c4933f0fbcc58d8826c4acd09a24b44eb6356343a6a2e8fadd,,,Continuation_Fund,Continuation_Disclosure,CONTINUATION,FUND_INTEREST,PKG-ILPA-CONTINUATION,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,new doc_type Continuation_Fund is not in document-types.csv; template or mock; dispatch would be REFERENCE if admitted; canonical corpus pins remain 442; no merge this run
,EXPDOC-009,ILPA,EXP-009,,,,,,,,https://ilpa.org/wp-content/uploads/2026/04/ILPA-Continuation-Fund-Disclosure-Template_Coller-Response_Single-Asset.pdf,pdf,6a5e476483771b26a1204504cffcdb05071689b1346938e26ac1d6c859c5c0ec,6a5e476483771b26a1204504cffcdb05071689b1346938e26ac1d6c859c5c0ec,,,Continuation_Fund,Continuation_Disclosure,CONTINUATION,FUND_INTEREST,PKG-ILPA-CONTINUATION,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,new doc_type Continuation_Fund is not in document-types.csv; template or mock; dispatch would be REFERENCE if admitted; canonical corpus pins remain 442; no merge this run
,EXPDOC-010,ILPA,EXP-010,,,,,,,,https://ilpa.org/wp-content/uploads/2025/09/Capital-Call-Template-Definitions.pdf,pdf,9da23fec7688ec73589000b9d1fc9dda325d4d28d89691ba10b90efb69c2fb3d,9da23fec7688ec73589000b9d1fc9dda325d4d28d89691ba10b90efb69c2fb3d,,,Cash_Flow_Notice,Capital_Call_Detail,NONE,NONE,PKG-ILPA-CCD,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,template or mock; dispatch would be REFERENCE if admitted; canonical corpus pins remain 442; no merge this run
