event_id,deal_id,position_id,event_date,available_at,event_type,amount,currency,actual_or_forecast,settlement_eligible,commitment_reduction,recallable_increase,capital_account_contribution,fee_expense_amount,origin_type,assumption_id,source_record_ids
EVT_4849BC26D7732C168B85,DEAL_INTEGRATED_DEMO,POS_DA6311364A78F70A7FBD,2026-07-08,2026-07-09,capital_call,85.262345,USD,ACTUAL,TRUE,85.262345,0.000000,85.262345,4.263117,NEW_SYNTHETIC,INTERIM_DEMO_V1,FPRINT_39134BF37290A608363E
EVT_BA564BCBE66C0445D921,DEAL_INTEGRATED_DEMO,POS_DA6311364A78F70A7FBD,2026-08-07,2026-08-08,distribution,87.038643,USD,ACTUAL,TRUE,0.000000,0.000000,0.000000,0.000000,NEW_SYNTHETIC,INTERIM_DEMO_V1,FPRINT_39134BF37290A608363E
EVT_D726B6CCB9CC415F3DD8,DEAL_INTEGRATED_DEMO,POS_DA6311364A78F70A7FBD,2026-09-10,2026-08-31,capital_call,33.394418,USD,FORECAST,TRUE,33.394418,0.000000,33.394418,1.669721,FORECAST,INTERIM_DEMO_V1,FPRINT_39134BF37290A608363E
EVT_F8740FA77C05E2FBB080,DEAL_INTEGRATED_DEMO,POS_DA6311364A78F70A7FBD,2026-09-21,2026-08-31,distribution,34.815457,USD,FORECAST,TRUE,0.000000,0.000000,0.000000,0.000000,FORECAST,INTERIM_DEMO_V1,FPRINT_39134BF37290A608363E
EVT_FA259D4B6D36250ECC02,DEAL_INTEGRATED_DEMO,POS_6B0F7E65F1989530B1AD,2026-07-08,2026-07-09,capital_call,57.993636,USD,ACTUAL,TRUE,57.993636,0.000000,57.993636,2.899682,NEW_SYNTHETIC,INTERIM_DEMO_V1,FPRINT_5608FF7B5BE02CE6EAC2
EVT_F8FF93C23D47668CA4E5,DEAL_INTEGRATED_DEMO,POS_6B0F7E65F1989530B1AD,2026-08-07,2026-08-08,distribution,3358.551114,USD,ACTUAL,TRUE,0.000000,839.637778,0.000000,0.000000,NEW_SYNTHETIC,INTERIM_DEMO_V1,FPRINT_5608FF7B5BE02CE6EAC2
EVT_F70B98D4790564B25320,DEAL_INTEGRATED_DEMO,POS_6B0F7E65F1989530B1AD,2026-09-10,2026-08-31,capital_call,22.714174,USD,FORECAST,TRUE,22.714174,0.000000,22.714174,1.135709,FORECAST,INTERIM_DEMO_V1,FPRINT_5608FF7B5BE02CE6EAC2
EVT_3974B74C772D8609CEC1,DEAL_INTEGRATED_DEMO,POS_6B0F7E65F1989530B1AD,2026-09-21,2026-08-31,distribution,1343.420446,USD,FORECAST,TRUE,0.000000,0.000000,0.000000,0.000000,FORECAST,INTERIM_DEMO_V1,FPRINT_5608FF7B5BE02CE6EAC2
EVT_F42F2D78A50D5715C9A7,DEAL_INTEGRATED_DEMO,POS_725036467434A9CFE2C8,2026-07-08,2026-07-09,capital_call,2729.775789,USD,ACTUAL,TRUE,2729.775789,0.000000,2729.775789,136.488789,NEW_SYNTHETIC,INTERIM_DEMO_V1,FPRINT_96C454A0D631EDFC788A
EVT_8AC0B77A4E26021D3882,DEAL_INTEGRATED_DEMO,POS_725036467434A9CFE2C8,2026-08-07,2026-08-08,distribution,7178.400548,USD,ACTUAL,TRUE,0.000000,0.000000,0.000000,0.000000,NEW_SYNTHETIC,INTERIM_DEMO_V1,FPRINT_96C454A0D631EDFC788A
EVT_589B33B894BDFF0D4BF0,DEAL_INTEGRATED_DEMO,POS_725036467434A9CFE2C8,2026-09-10,2026-08-31,capital_call,1069.162184,USD,FORECAST,TRUE,1069.162184,0.000000,1069.162184,53.458109,FORECAST,INTERIM_DEMO_V1,FPRINT_96C454A0D631EDFC788A
EVT_8410E82A1FFF017624E1,DEAL_INTEGRATED_DEMO,POS_725036467434A9CFE2C8,2026-09-21,2026-08-31,distribution,2871.360219,USD,FORECAST,TRUE,0.000000,0.000000,0.000000,0.000000,FORECAST,INTERIM_DEMO_V1,FPRINT_96C454A0D631EDFC788A
EVT_F14616031561E2F4768B,DEAL_INTEGRATED_DEMO,POS_03BACFCF783B5AAEF3FA,2026-07-08,2026-07-09,capital_call,5912.954188,USD,ACTUAL,TRUE,5912.954188,0.000000,5912.954188,295.647709,NEW_SYNTHETIC,INTERIM_DEMO_V1,FPRINT_D35D8007E962EEF10181
EVT_C487D94F2207B272E4C8,DEAL_INTEGRATED_DEMO,POS_03BACFCF783B5AAEF3FA,2026-08-07,2026-08-08,distribution,827.290437,USD,ACTUAL,TRUE,0.000000,0.000000,0.000000,0.000000,NEW_SYNTHETIC,INTERIM_DEMO_V1,FPRINT_D35D8007E962EEF10181
EVT_84769D3D4DA33759CE0B,DEAL_INTEGRATED_DEMO,POS_03BACFCF783B5AAEF3FA,2026-09-10,2026-08-31,capital_call,2315.907057,USD,FORECAST,TRUE,2315.907057,0.000000,2315.907057,115.795353,FORECAST,INTERIM_DEMO_V1,FPRINT_D35D8007E962EEF10181
EVT_3AC42121ED2419936A0C,DEAL_INTEGRATED_DEMO,POS_03BACFCF783B5AAEF3FA,2026-09-21,2026-08-31,distribution,330.916175,USD,FORECAST,TRUE,0.000000,0.000000,0.000000,0.000000,FORECAST,INTERIM_DEMO_V1,FPRINT_D35D8007E962EEF10181
EVT_0DEE5BBE66C444CCFD20,DEAL_INTEGRATED_DEMO,POS_BC8C03B81492D1FB1E28,2026-07-08,2026-07-09,capital_call,18.789023,USD,ACTUAL,TRUE,18.789023,0.000000,18.789023,0.939451,NEW_SYNTHETIC,INTERIM_DEMO_V1,FPRINT_06BA40EA5807C58319A7
EVT_2F9AA5051483B25C9346,DEAL_INTEGRATED_DEMO,POS_BC8C03B81492D1FB1E28,2026-08-07,2026-08-08,distribution,24.290171,USD,ACTUAL,TRUE,0.000000,0.000000,0.000000,0.000000,NEW_SYNTHETIC,INTERIM_DEMO_V1,FPRINT_06BA40EA5807C58319A7
EVT_2B00C627E2EB016D5143,DEAL_INTEGRATED_DEMO,POS_BC8C03B81492D1FB1E28,2026-09-10,2026-08-31,capital_call,7.359034,USD,FORECAST,TRUE,7.359034,0.000000,7.359034,0.367952,FORECAST,INTERIM_DEMO_V1,FPRINT_06BA40EA5807C58319A7
EVT_D0BD5497832DC7D65594,DEAL_INTEGRATED_DEMO,POS_BC8C03B81492D1FB1E28,2026-09-21,2026-08-31,distribution,9.716068,USD,FORECAST,TRUE,0.000000,0.000000,0.000000,0.000000,FORECAST,INTERIM_DEMO_V1,FPRINT_06BA40EA5807C58319A7
EVT_5142B9EE86935CE5E3DA,DEAL_INTEGRATED_DEMO,POS_759DB0D2AC8193AC62DD,2026-07-08,2026-07-09,capital_call,336.246674,USD,ACTUAL,TRUE,336.246674,0.000000,336.246674,16.812334,NEW_SYNTHETIC,INTERIM_DEMO_V1,FPRINT_C38D8769C44DA8D22870
EVT_720F2E3151B2F2187E68,DEAL_INTEGRATED_DEMO,POS_759DB0D2AC8193AC62DD,2026-08-07,2026-08-08,distribution,328.013850,USD,ACTUAL,TRUE,0.000000,0.000000,0.000000,0.000000,NEW_SYNTHETIC,INTERIM_DEMO_V1,FPRINT_C38D8769C44DA8D22870
EVT_96D0BCA3F1F3136F6CD4,DEAL_INTEGRATED_DEMO,POS_759DB0D2AC8193AC62DD,2026-09-10,2026-08-31,capital_call,131.696614,USD,FORECAST,TRUE,131.696614,0.000000,131.696614,6.584831,FORECAST,INTERIM_DEMO_V1,FPRINT_C38D8769C44DA8D22870
EVT_D7E684AD5A968C721631,DEAL_INTEGRATED_DEMO,POS_759DB0D2AC8193AC62DD,2026-09-21,2026-08-31,distribution,131.205540,USD,FORECAST,TRUE,0.000000,0.000000,0.000000,0.000000,FORECAST,INTERIM_DEMO_V1,FPRINT_C38D8769C44DA8D22870
