manager_id,strategy,sub_strategy,fund_id,display_order,vintage_year,first_close_date,predecessor_fund_id,order_status
MANAGER_SYNTH_00001,buyout,middle_market,FUND_SYNTH_000001,1,2018,2018-08-15,,ORDERED
MANAGER_SYNTH_00001,infrastructure,core_plus,FUND_SYNTH_000002,1,2024,2024-05-15,,ORDERED
MANAGER_SYNTH_00001,venture,early_stage,FUND_SYNTH_000004,1,2016,2016-11-15,,ORDERED
MANAGER_SYNTH_00001,venture,early_stage,FUND_SYNTH_000003,2,2017,2017-11-15,FUND_SYNTH_000004,ORDERED
MANAGER_SYNTH_00002,buyout,middle_market,FUND_SYNTH_000006,1,2016,2016-08-15,,ORDERED
MANAGER_SYNTH_00002,growth,growth_equity,FUND_SYNTH_000007,1,2012,2012-08-15,,ORDERED
MANAGER_SYNTH_00002,real_estate,value_add,FUND_SYNTH_000005,1,2019,2019-11-15,,ORDERED
MANAGER_SYNTH_00002,venture,early_stage,FUND_SYNTH_000008,1,2022,2022-02-15,,ORDERED
MANAGER_SYNTH_00003,buyout,middle_market,FUND_SYNTH_000012,1,2022,2022-02-15,,ORDERED
MANAGER_SYNTH_00003,fund_of_funds,diversified,FUND_SYNTH_000010,1,2015,2015-02-15,,ORDERED
MANAGER_SYNTH_00003,private_credit,direct_lending,FUND_SYNTH_000011,1,2022,2022-11-15,,ORDERED
MANAGER_SYNTH_00003,venture,early_stage,FUND_SYNTH_000009,1,2014,2014-08-15,,ORDERED
MANAGER_SYNTH_00004,buyout,middle_market,FUND_SYNTH_000013,1,2012,2012-11-15,,ORDERED
MANAGER_SYNTH_00004,buyout,middle_market,FUND_SYNTH_000015,2,2014,2014-08-15,FUND_SYNTH_000013,ORDERED
MANAGER_SYNTH_00004,fund_of_funds,diversified,FUND_SYNTH_000014,1,2018,2018-11-15,,ORDERED
MANAGER_SYNTH_00004,growth,growth_equity,FUND_SYNTH_000016,1,2025,2025-02-15,,ORDERED
MANAGER_SYNTH_00005,buyout,middle_market,FUND_SYNTH_000018,1,2013,2013-02-15,,ORDERED
MANAGER_SYNTH_00005,buyout,middle_market,FUND_SYNTH_000019,2,2022,2022-05-15,FUND_SYNTH_000018,ORDERED
MANAGER_SYNTH_00005,private_credit,direct_lending,FUND_SYNTH_000020,1,2021,2021-08-15,,ORDERED
MANAGER_SYNTH_00005,private_credit,direct_lending,FUND_SYNTH_000017,2,2023,2023-02-15,FUND_SYNTH_000020,ORDERED
MANAGER_SYNTH_00006,growth,growth_equity,FUND_SYNTH_000022,1,2013,2013-02-15,,ORDERED
MANAGER_SYNTH_00006,growth,growth_equity,FUND_SYNTH_000024,2,2016,2016-05-15,FUND_SYNTH_000022,ORDERED
MANAGER_SYNTH_00006,infrastructure,core_plus,FUND_SYNTH_000021,1,2018,2018-11-15,,ORDERED
MANAGER_SYNTH_00006,private_credit,direct_lending,FUND_SYNTH_000023,1,2019,2019-02-15,,ORDERED
MANAGER_SYNTH_00007,buyout,middle_market,FUND_SYNTH_000027,1,2014,2014-05-15,,ORDERED
MANAGER_SYNTH_00007,growth,growth_equity,FUND_SYNTH_000025,1,2012,2012-05-15,,ORDERED
MANAGER_SYNTH_00007,growth,growth_equity,FUND_SYNTH_000028,2,2018,2018-05-15,FUND_SYNTH_000025,ORDERED
MANAGER_SYNTH_00007,secondaries,lp_led,FUND_SYNTH_000026,1,2013,2013-11-15,,ORDERED
MANAGER_SYNTH_00008,buyout,middle_market,FUND_SYNTH_000029,1,2014,2014-02-15,,ORDERED
MANAGER_SYNTH_00008,real_estate,value_add,FUND_SYNTH_000032,1,2022,2022-02-15,,ORDERED
MANAGER_SYNTH_00008,venture,early_stage,FUND_SYNTH_000031,1,2022,2022-05-15,,AMBIGUOUS_SAME_VINTAGE
MANAGER_SYNTH_00008,venture,early_stage,FUND_SYNTH_000030,2,2022,2022-08-15,,AMBIGUOUS_SAME_VINTAGE
MANAGER_SYNTH_00009,buyout,middle_market,FUND_SYNTH_000034,1,2014,2014-11-15,,ORDERED
MANAGER_SYNTH_00009,buyout,middle_market,FUND_SYNTH_000035,2,2021,2021-08-15,FUND_SYNTH_000034,ORDERED
MANAGER_SYNTH_00009,real_estate,value_add,FUND_SYNTH_000036,1,2024,2024-11-15,,ORDERED
MANAGER_SYNTH_00009,venture,early_stage,FUND_SYNTH_000033,1,2024,2024-11-15,,ORDERED
MANAGER_SYNTH_00010,buyout,middle_market,FUND_SYNTH_000040,1,2013,2013-02-15,,ORDERED
MANAGER_SYNTH_00010,venture,early_stage,FUND_SYNTH_000038,1,2016,2016-02-15,,ORDERED
MANAGER_SYNTH_00010,venture,early_stage,FUND_SYNTH_000037,2,2019,2019-02-15,FUND_SYNTH_000038,ORDERED
MANAGER_SYNTH_00010,venture,early_stage,FUND_SYNTH_000039,3,2025,2025-02-15,FUND_SYNTH_000037,ORDERED
MANAGER_SYNTH_00011,fund_of_funds,diversified,FUND_SYNTH_000041,1,2015,2015-11-15,,ORDERED
MANAGER_SYNTH_00011,growth,growth_equity,FUND_SYNTH_000044,1,2017,2017-08-15,,ORDERED
MANAGER_SYNTH_00011,private_credit,direct_lending,FUND_SYNTH_000043,1,2013,2013-05-15,,ORDERED
MANAGER_SYNTH_00011,private_credit,direct_lending,FUND_SYNTH_000042,2,2020,2020-05-15,FUND_SYNTH_000043,ORDERED
MANAGER_SYNTH_00012,buyout,middle_market,FUND_SYNTH_000047,1,2012,2012-05-15,,ORDERED
MANAGER_SYNTH_00012,buyout,middle_market,FUND_SYNTH_000046,2,2017,2017-08-15,FUND_SYNTH_000047,ORDERED
MANAGER_SYNTH_00012,buyout,middle_market,FUND_SYNTH_000048,3,2019,2019-05-15,FUND_SYNTH_000046,ORDERED
MANAGER_SYNTH_00012,infrastructure,core_plus,FUND_SYNTH_000045,1,2012,2012-02-15,,ORDERED
MANAGER_SYNTH_00013,buyout,middle_market,FUND_SYNTH_000049,1,2018,2018-11-15,,ORDERED
MANAGER_SYNTH_00013,buyout,middle_market,FUND_SYNTH_000051,2,2024,2024-05-15,FUND_SYNTH_000049,ORDERED
MANAGER_SYNTH_00013,growth,growth_equity,FUND_SYNTH_000050,1,2014,2014-11-15,,ORDERED
MANAGER_SYNTH_00013,real_estate,value_add,FUND_SYNTH_000052,1,2018,2018-02-15,,ORDERED
MANAGER_SYNTH_00014,infrastructure,core_plus,FUND_SYNTH_000056,1,2024,2024-02-15,,AMBIGUOUS_SAME_VINTAGE
MANAGER_SYNTH_00014,infrastructure,core_plus,FUND_SYNTH_000055,2,2024,2024-05-15,,AMBIGUOUS_SAME_VINTAGE
MANAGER_SYNTH_00014,real_estate,value_add,FUND_SYNTH_000053,1,2014,2014-11-15,,ORDERED
MANAGER_SYNTH_00014,venture,early_stage,FUND_SYNTH_000054,1,2020,2020-08-15,,ORDERED
MANAGER_SYNTH_00015,growth,growth_equity,FUND_SYNTH_000057,1,2024,2024-05-15,,ORDERED
MANAGER_SYNTH_00015,infrastructure,core_plus,FUND_SYNTH_000059,1,2020,2020-08-15,,ORDERED
MANAGER_SYNTH_00015,venture,early_stage,FUND_SYNTH_000058,1,2014,2014-08-15,,ORDERED
MANAGER_SYNTH_00015,venture,early_stage,FUND_SYNTH_000060,2,2020,2020-02-15,FUND_SYNTH_000058,ORDERED
MANAGER_SYNTH_00016,private_credit,direct_lending,FUND_SYNTH_000062,1,2022,2022-11-15,,ORDERED
