scenario_id,scenario_type,manager_id,manager_name,strategy,baseline_score,baseline_rank,scenario_score,scenario_rank,official_eligible,removed_fund_id,evidence_id,counterfactual_score
nav_00,nav_haircut,MANAGER_SYNTH_00001,Synthetic Alternatives Manager 0001,venture,74.0740740741,1,74.07407407408223,1,true,,SCENARIO:manager:MANAGER_SYNTH_00001:venture:nav_00,
nav_00,nav_haircut,MANAGER_SYNTH_00005,Synthetic Alternatives Manager 0005,private_credit,40.0,4,39.99999999998572,4,true,,SCENARIO:manager:MANAGER_SYNTH_00005:private_credit:nav_00,
nav_00,nav_haircut,MANAGER_SYNTH_00017,Synthetic Alternatives Manager 0017,buyout,54.7368421052,8,54.73684210526315,8,true,,SCENARIO:manager:MANAGER_SYNTH_00017:buyout:nav_00,
nav_00,nav_haircut,MANAGER_SYNTH_00026,Synthetic Alternatives Manager 0026,venture,14.0,4,13.999999999999998,4,true,,SCENARIO:manager:MANAGER_SYNTH_00026:venture:nav_00,
nav_00,nav_haircut,MANAGER_SYNTH_00029,Synthetic Alternatives Manager 0029,venture,67.2,2,67.2,2,true,,SCENARIO:manager:MANAGER_SYNTH_00029:venture:nav_00,
nav_00,nav_haircut,MANAGER_SYNTH_00031,Synthetic Alternatives Manager 0031,infrastructure,54.2857142857,2,54.285714285714285,2,true,,SCENARIO:manager:MANAGER_SYNTH_00031:infrastructure:nav_00,
nav_00,nav_haircut,MANAGER_SYNTH_00033,Synthetic Alternatives Manager 0033,buyout,75.1238591916,4,75.12385919166411,4,true,,SCENARIO:manager:MANAGER_SYNTH_00033:buyout:nav_00,
nav_00,nav_haircut,MANAGER_SYNTH_00036,Synthetic Alternatives Manager 0036,private_credit,31.0714285714,6,31.071428571420572,6,true,,SCENARIO:manager:MANAGER_SYNTH_00036:private_credit:nav_00,
nav_00,nav_haircut,MANAGER_SYNTH_00055,Synthetic Alternatives Manager 0055,buyout,37.3684210526,14,37.368421052631895,14,true,,SCENARIO:manager:MANAGER_SYNTH_00055:buyout:nav_00,
nav_00,nav_haircut,MANAGER_SYNTH_00061,Synthetic Alternatives Manager 0061,buyout,47.2446762277,12,47.24467622772625,12,true,,SCENARIO:manager:MANAGER_SYNTH_00061:buyout:nav_00,
nav_00,nav_haircut,MANAGER_SYNTH_00061,Synthetic Alternatives Manager 0061,private_credit,54.2931034483,2,54.2931034482731,2,true,,SCENARIO:manager:MANAGER_SYNTH_00061:private_credit:nav_00,
nav_00,nav_haircut,MANAGER_SYNTH_00078,Synthetic Alternatives Manager 0078,real_estate,67.1111111111,1,67.11111111112223,1,true,,SCENARIO:manager:MANAGER_SYNTH_00078:real_estate:nav_00,
nav_00,nav_haircut,MANAGER_SYNTH_00086,Synthetic Alternatives Manager 0086,private_credit,53.301724138,3,53.301724137933796,3,true,,SCENARIO:manager:MANAGER_SYNTH_00086:private_credit:nav_00,
nav_00,nav_haircut,MANAGER_SYNTH_00089,Synthetic Alternatives Manager 0089,private_credit,61.5384615384,1,61.538461538456914,1,true,,SCENARIO:manager:MANAGER_SYNTH_00089:private_credit:nav_00,
nav_00,nav_haircut,MANAGER_SYNTH_00091,Synthetic Alternatives Manager 0091,buyout,83.1034482758,2,83.10344827587656,2,true,,SCENARIO:manager:MANAGER_SYNTH_00091:buyout:nav_00,
nav_00,nav_haircut,MANAGER_SYNTH_00097,Synthetic Alternatives Manager 0097,buyout,50.5867014342,10,50.586701434161895,10,true,,SCENARIO:manager:MANAGER_SYNTH_00097:buyout:nav_00,
nav_00,nav_haircut,MANAGER_SYNTH_00117,Synthetic Alternatives Manager 0117,buyout,75.4853620956,3,75.48536209553387,3,true,,SCENARIO:manager:MANAGER_SYNTH_00117:buyout:nav_00,
nav_00,nav_haircut,MANAGER_SYNTH_00123,Synthetic Alternatives Manager 0123,buyout,53.70273794,9,53.702737940016384,9,true,,SCENARIO:manager:MANAGER_SYNTH_00123:buyout:nav_00,
nav_00,nav_haircut,MANAGER_SYNTH_00124,Synthetic Alternatives Manager 0124,buyout,66.8965517242,5,66.89655172412759,5,true,,SCENARIO:manager:MANAGER_SYNTH_00124:buyout:nav_00,
nav_00,nav_haircut,MANAGER_SYNTH_00128,Synthetic Alternatives Manager 0128,real_estate,61.9259259259,3,61.92592592592444,3,true,,SCENARIO:manager:MANAGER_SYNTH_00128:real_estate:nav_00,
nav_00,nav_haircut,MANAGER_SYNTH_00129,Synthetic Alternatives Manager 0129,buyout,49.3487957181,11,49.348795718105684,11,true,,SCENARIO:manager:MANAGER_SYNTH_00129:buyout:nav_00,
nav_00,nav_haircut,MANAGER_SYNTH_00137,Synthetic Alternatives Manager 0137,buyout,13.275862069,15,13.275862068974483,15,true,,SCENARIO:manager:MANAGER_SYNTH_00137:buyout:nav_00,
nav_00,nav_haircut,MANAGER_SYNTH_00140,Synthetic Alternatives Manager 0140,real_estate,19.2857142857,4,19.285714285717145,4,true,,SCENARIO:manager:MANAGER_SYNTH_00140:real_estate:nav_00,
