lineage_id,record_type,record_id,field_name,value_raw,normalized_value,provenance_type,origin_type,source_holding_id,source_observation_id,source_document_id,source_sha256,source_page,source_table,source_row_label,source_column_label,source_occurrence,evidence_quote,definition_keys,pair_id,pair_status,adjudication_status,source_agents,source_review_decision_id,formula_id,parent_lineage_ids,matrix_rule_id,confidence_level,confidence_basis,effective_date,available_at,synthetic_parameter_set_id,notes
HFL_00019C438B3A735386A5,POSITION,POS_GENERATED_311B432959F80C0AD4BA,fair_value,20796098.507316,20796098.507316,SYNTHETIC,COMPLETION,HOLDINT_427C76F3C4E3AFB66CBE,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_427C76F3C4E3AFB66CBE
HFL_0001CA6F001CE4B50A80,POSITION,POS_GENERATED_62FBDCF3E5E1CDC0222C,fund_ownership_fraction,0.1500000000,0.1500000000,SYNTHETIC,COMPLETION,HOLDINT_3131655A0EED3F37A12F,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_3131655A0EED3F37A12F
HFL_0007C642D72FE6E1C53E,POSITION,POS_GENERATED_A369C3171239928A098C,fund_ownership_fraction,0.1500000000,0.1500000000,SYNTHETIC,COMPLETION,HOLDINT_416D2E4A6C42F3C610C2,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_416D2E4A6C42F3C610C2
HFL_0008E82E0B6C3CCEBE2C,TARGET,TARGET_CO_0021,target_kind,investment,COUNTERPARTY,DERIVED,MATRIX_NORMALIZATION,37506e97af4b8bec16e8,33d0bdde2d9e29b74231,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,7,Open Equity Forward Contracts,Nomura Global Financial Products Inc.,Unrealized Appreciation (Depreciation),2,"8/18/2027 Nomura Global Financial Products Inc. $ 827,714 $ 49.38 $ (654,668)",,PAIR_90B213041C432BAE4A0B8AAA,VALUE_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,NORMALIZED_HOLDING_CLASS_V2,HIGH,Named derivative counterparty.,,,,
HFL_0009D6254A3AB764A565,INSTRUMENT,INSTR_SOURCE_6AED2D41FA084AA5CBCB,instrument_kind,Private Equity,FUND_INTEREST,DERIVED,MATRIX_NORMALIZATION,401743ad95958afb84e6,7a259a7910ab848aab8d,SRC356,bce1cc0f3cc4e5824307fdad05b63b448110f6218011c115af879665eca07ba5,5,Economically Targeted Investments,PBC AUSTIN 2021 EQUITY I LP,Market Value,1,"PBC AUSTIN 2021 EQUITY I LP 11,329,393",SCOPE:PROPORTIONATE SHARE,PAIR_472D011BD79A1C121397A55F,CLASSIFICATION_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,NORMALIZED_HOLDING_CLASS_V2,HIGH,Reviewed source identity resolves the held name to a fund.,,,,
HFL_000C5FCB9876BCC70E3E,POSITION,POS_GENERATED_C6BB4A0629F592C32DCD,fair_value,11837906.253717,11837906.253717,SYNTHETIC,COMPLETION,HOLDINT_2BFF3C4B666BB93CA241,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_2BFF3C4B666BB93CA241
HFL_000E2C5D596F794C7E07,INSTRUMENT,INSTR_SOURCE_771A5964B733C9899FEC,instrument_kind,Private Equity Investments,FUND_INTEREST,DERIVED,MATRIX_NORMALIZATION,24d24c9ae19f530a4317,0d22383966a52b1a2226,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,3,Consolidated Schedule of Investments,"Clearlake Opportunities Partners (P-Offshore), L.P.",Cost,1,"Clearlake Opportunities Partners (P-Offshore), L.P.(f) North America 12/31/2019 654,760 663,189",,PAIR_B8E2006CF90AEAE14FA5E422,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,NORMALIZED_HOLDING_CLASS_V2,HIGH,Reviewed source identity resolves the held name to a fund.,,,,
HFL_001748C659EFD4714E4D,POSITION,POS_SOURCE_431A86B02868013FF90D,position_class,fund,FUND_INTEREST,DERIVED,MATRIX_NORMALIZATION,2b2b1a132243b410a029,2624fcb001e1fca6cd8a,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,4,Consolidated Schedule of Investments,"GSO Private Investors Offshore II, L.P.",Cost,1,"GSO Private Investors Offshore II, L.P.(f) North America 06/30/2017 197,243 35,956",,PAIR_2C2DC7B7B73DA5272DC0A3FF,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,NORMALIZED_HOLDING_CLASS_V2,HIGH,Reviewed source identity resolves the held name to a fund.,,,,
HFL_001796DEE864DFA8510B,POSITION,POS_SOURCE_9C3D525A6AAEB4118665,position_class,fund,FUND_INTEREST,DERIVED,MATRIX_NORMALIZATION,0b80abc273fc74c5ee6e,21783c206e698eaa5e95,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,3,Consolidated Schedule of Investments,CVC Capital Partners VII (A) L.P.,Fair Value,1,"CVC Capital Partners VII (A) L.P.(f)(g) Europe 08/18/2022 2,231,840 2,980,242",,PAIR_11DDFB1BA68ED858D297373E,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,NORMALIZED_HOLDING_CLASS_V2,HIGH,Reviewed source identity resolves the held name to a fund.,,,,
HFL_0018019A9D300881F871,POSITION,POS_GENERATED_ADA02EFC12C9126A53EA,fund_ownership_fraction,0.1500000000,0.1500000000,SYNTHETIC,COMPLETION,HOLDINT_901F31E456D1E21F989B,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_901F31E456D1E21F989B
