alias_id,target_id,printed_name,name_key,first_seen_date,last_seen_date,first_seen_document_id,last_seen_document_id,position_count,match_basis,alias_status,lineage_id,provenance_type,synthetic_parameter_set_id,record_status
TALIAS_0061655A609CF38F505B,TARGET_FUND_0519,GESD Investors II Liquidating Trust,gesd investors ii liquidating trust,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_011AFA812C80CDE23C69,TARGET_FUND_0814,PEP VIII Antares Co-Investment L.P.,pep viii antares co investment l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_0128FEC04D6A2666816F,TARGET_FUND_0312,Astorg VII SLP,astorg vii slp,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_01729B8CFC1639BC32FE,TARGET_FUND_0812,PENNYBACKER IV LP,pennybacker iv lp,2025-06-30,2025-06-30,SRC356,SRC356,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_01BB071BA6EBDF56F4D6,TARGET_FUND_0434,"Clayton, Dubilier & Rice Fund IX, L.P.",clayton dubilier rice fund ix l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_020A7DA5106AF3B8546C,TARGET_CO_0001,Alphabet,alphabet,2021-12-31,2021-12-31,SRC192,SRC192,2,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_0211A9BF40B184D835A3,TARGET_FUND_0322,"Bain Capital Asia Fund II, L.P.",bain capital asia fund ii l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_022AE9D5942F8277662F,TARGET_NATIVE_842781563EDA48808E89,"Providence Strategic Growth IV, L.P.",providence strategic growth iv l p,2025-12-31,2026-03-31,SRC624,SRC623,2,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_023E2233649624917B91,TARGET_FUND_0860,Roark Capital Partners V (TE) LP,roark capital partners v te lp,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_034883E7CD7F5A659987,TARGET_FUND_0293,"AP VIII Private Investors Offshore (USD), L.P.",ap viii private investors offshore usd l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_03816860BEAF7FB88552,TARGET_FUND_0334,"BC Asia III Private Investors, L.P.",bc asia iii private investors l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_03891BA4F03ECFE365A7,TARGET_FUND_0389,"BSV Opportunities B, FCRE",bsv opportunities b fcre,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_056BA2BE820435BABE9A,TARGET_FUND_0423,"Cerberus Institutional Partners, L.P. - Series Four",cerberus institutional partners l p series four,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_05DCEC9CDDB989C65DEA,TARGET_DEBT_01C416CF1FC327A19A90,United States Treasury Bond 3.125% 11/15/2041,united states treasury bond 3 125 11 15 2041,2021-12-31,2021-12-31,SRC192,SRC192,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_064EA1AE8D76F6C372F6,TARGET_FUND_0583,Hamilton Lane-Carpenters Partnership Fund IV L.P.,hamilton lane carpenters partnership fund iv l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_067F18BC65C3B7799584,TARGET_FUND_0784,"Oak Investment Partners XII, Limited Partnership",oak investment partners xii limited partnership,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_06C5F7D1423530127E01,TARGET_FUND_0854,Roark Capital Partners CF RI LP,roark capital partners cf ri lp,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_071D332DB10968047553,TARGET_FUND_0976,Triton Fund IV L.P.,triton fund iv l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_076B5D60CF6B7BD21430,TARGET_FUND_1025,"ZMC II, L.P.",zmc ii l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_07B20451974B47ABC557,TARGET_PRI_728FC5C6EE05CA2E8AE8,OWEESTA REVOLVING FUND - TO PROVIDE CAPITAL FOR GRASSROOTS NATIVE COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS (CDFIS) TO STABILIZE SMALL BUSINESS AND CREATE HOUSING OPPORTUNITIES FOR NATIVE FAMILIES AND SMALL BUSINESSES.,oweesta revolving fund to provide capital for grassroots native community development financial institutions cdfis to stabilize small business and create housing opportunities for native families and small businesses,,,SRC373,SRC373,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_084AA7F3A84B620CF18F,TARGET_FUND_0744,"MDCP Insurance SPV, L.P.",mdcp insurance spv l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_0866361A2606111A7332,TARGET_FUND_0500,Five Arrows Florence Continuation Fund SCSp,five arrows florence continuation fund scsp,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_086AA8AC66F5F40B8C41,TARGET_FUND_0424,"Charlesbank Equity Fund VIII, Limited Partnership",charlesbank equity fund viii limited partnership,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_0A9BEACD9681BD412293,TARGET_FUND_0436,"Clearlake Capital Partners III, L.P.",clearlake capital partners iii l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_0B2F4996FCED01B99496,TARGET_DEBT_52CD6303DCAE9C9B602C,United States Treasury Bond 3.125% 5/15/2048,united states treasury bond 3 125 5 15 2048,2021-12-31,2021-12-31,SRC192,SRC192,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_0B5B25410F4F3746C13C,TARGET_FUND_0273,Advent Global Technology II Limited Partnership,advent global technology ii limited partnership,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_0C549068966FCA7A5774,TARGET_FUND_0830,Providence Equity Partners VIII L.P.,providence equity partners viii l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_0D06A8C60EADDA36ADB4,TARGET_FUND_0554,"Gridiron Energy Feeder I, L.P.",gridiron energy feeder i l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_0D4925ED9493BD7ADCBC,TARGET_FUND_0881,"Samson Shield 2, L.P.",samson shield 2 l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_0D867E680B4FB9B0EC84,TARGET_FUND_0663,"Insight Venture Partners VII, L.P.",insight venture partners vii l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_0DF445ADBE651A408168,TARGET_NATIVE_510ED979978CCA006B6C,Sagard NewGen Pharma FPCI,sagard newgen pharma fpci,2025-12-31,2026-03-31,SRC624,SRC623,2,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
