"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC373","1","1","G Check all that apply: Initial return Initial","4","401","Foundation ending","1."
"SRC373","1","2","3 Interest on savings and temporary cash investments","2","329","Treated as","342,927"
"SRC373","1","2","3 Interest on savings and temporary cash investments","4","401","Foundation ending","342,927"
"SRC373","1","3","4 Dividends and interest from securities . . .","2","329","Treated as","46,634,283"
"SRC373","1","3","4 Dividends and interest from securities . . .","4","401","Foundation ending","174,601,112"
"SRC373","1","4","5a Gross rents . . . . . . . . . . . .","2","329","Treated as","976,488"
"SRC373","1","4","5a Gross rents . . . . . . . . . . . .","4","401","Foundation ending","976,488"
"SRC373","1","5","euneveR 6a Net gain or (loss) from sale of assets not on line","1","272","4947(a)(1) Trust","10"
"SRC373","1","5","euneveR 6a Net gain or (loss) from sale of assets not on line","2","329","Treated as","358,820,659"
"SRC373","1","6","7 Capital gain net income (from Part IV, line 2) .","4","401","Foundation ending","219,170,777"
"SRC373","1","7","8 Net short-term capital gain . . . . . . .","5","504","","0"
"SRC373","1","8","10a Gross sales less returns and allowances","1","272","4947(a)(1) Trust","0"
"SRC373","1","9","b Less: Cost of goods sold . . .","1","272","4947(a)(1) Trust","0"
"SRC373","1","10","c Gross profit or (loss) (attach schedule) . . .","3","355","Private , 2023, and","0"
"SRC373","1","11","11 Other income (attach schedule) . . . . .","2","329","Treated as","827,989"
"SRC373","1","11","11 Other income (attach schedule) . . . . .","4","401","Foundation ending","62,928,124"
"SRC373","1","11","11 Other income (attach schedule) . . . . .","5","504","","0"
"SRC373","1","12","12 Total. Add lines 1 through 11 . . . . . .","2","329","Treated as","407,602,346"
"SRC373","1","12","12 Total. Add lines 1 through 11 . . . . . .","4","401","Foundation ending","458,019,428"
"SRC373","1","12","12 Total. Add lines 1 through 11 . . . . . .","5","504","","0"
"SRC373","1","13","13 Compensation of officers, directors, trustees, etc.","2","329","Treated as","5,405,085"
"SRC373","1","13","13 Compensation of officers, directors, trustees, etc.","4","401","Foundation ending","3,025,098"
"SRC373","1","13","13 Compensation of officers, directors, trustees, etc.","6","538","2023 , 20","2,225,445"
"SRC373","1","14","14 Other employee salaries and wages . . . .","2","329","Treated as","28,607,238"
"SRC373","1","14","14 Other employee salaries and wages . . . .","4","401","Foundation ending","6,318,916"
"SRC373","1","14","14 Other employee salaries and wages . . . .","6","538","2023 , 20","21,407,973"
"SRC373","1","15","15 Pension plans, employee benefits . . . .","2","329","Treated as","9,959,507"
"SRC373","1","15","15 Pension plans, employee benefits . . . .","4","401","Foundation ending","1,823,054"
"SRC373","1","15","15 Pension plans, employee benefits . . . .","6","538","2023 , 20","7,638,342"
"SRC373","1","16","16a Legal fees (attach schedule) . . . . . .","2","329","Treated as","945,901"
"SRC373","1","16","16a Legal fees (attach schedule) . . . . . .","4","401","Foundation ending","224,386"
"SRC373","1","16","16a Legal fees (attach schedule) . . . . . .","5","504","","0"
"SRC373","1","16","16a Legal fees (attach schedule) . . . . . .","6","538","2023 , 20","898,869"
"SRC373","1","17","b Accounting fees (attach schedule) . . . .","2","329","Treated as","666,725"
"SRC373","1","17","b Accounting fees (attach schedule) . . . .","4","401","Foundation ending","332,761"
"SRC373","1","17","b Accounting fees (attach schedule) . . . .","5","504","","0"
"SRC373","1","17","b Accounting fees (attach schedule) . . . .","6","538","2023 , 20","316,416"
"SRC373","1","18","c Other professional fees (attach schedule) . .","2","329","Treated as","13,017,723"
"SRC373","1","18","c Other professional fees (attach schedule) . .","4","401","Foundation ending","1,690,679"
"SRC373","1","18","c Other professional fees (attach schedule) . .","5","504","","0"
"SRC373","1","18","c Other professional fees (attach schedule) . .","6","538","2023 , 20","11,989,678"
