position_lineage_id,lineage_id,position_id,owner_id,target_id,as_of_date,acquisition_channel,first_acquisition_date,printed_name,lot_label,lot_count,prior_as_of_date,prior_lot_count,pairing_type,match_basis,link_status,lineage_cost,lineage_fair_value,cost_change,cost_change_flow_basis,cost_change_warning,grain_change,provenance_type,synthetic_parameter_set_id,record_status
PLINROW_00C52B3BCDE55D4611D4,PLIN_C954FA34294C733B1780,POS_SOURCE_93C011738AFBB1C96343,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0757,2025-12-31,SECONDARY,,"New Capital Partners Private Equity Fund II, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,948558,,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_00D3B5F049DB5CEAE517,PLIN_D373CB2145CCE6F9E640,POS_SOURCE_2A92D589492F98014CC4,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0425,2025-12-31,SECONDARY,,Charterhouse Capital Partners IX,,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,,23282,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_01E1E58D0A1DADDF4AD3,PLIN_96EA8503B702F94BA37F,POS_SOURCE_FA9799BEA6E9884C2CA4,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0621,2025-12-31,SECONDARY,,"Hellman & Friedman Capital Partners VII, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,763530,528317,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_01F2B97BEEA92077987B,PLIN_E622E967B1652571FF77,POS_SOURCE_E50CC607AAB4A7E9B715,OWNER_ALPINVEST_SEED_FUND_II,TARGET_NATIVE_775324F6DBF9EBF8E25B,2025-12-31,SECONDARY,2025-12-31,"KKR Sigma Co-lnvest II, L.P.",,1,,,FIRST_SEEN,PRINTED_NAME,DETERMINISTIC,8178265,13070560,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_02F5BE9029FEEBA96895,PLIN_D0AC7542DE4816AE4DEB,POS_SOURCE_8806ABDF7473D619D650,OWNER_ALPINVEST_SEED_FUND_II,TARGET_NATIVE_9039E5BEE6A4EEAA9E29,2026-03-31,SECONDARY,2025-12-31,"Hg Saturn 4 B, L.P.",,1,2025-12-31,1,ONE_TO_ONE,PRINTED_NAME,DETERMINISTIC,34426,15523,15151,NOT_DISCLOSED,false,false,DERIVED,,ACTIVE
PLINROW_034DF5B54C714836954C,PLIN_DCF330F133AA59164592,POS_SOURCE_FAB509A0628AC27316C2,OWNER_FUND_1060,TARGET_FUND_0759,2025-06-30,UNKNOWN,,NEW HORIZONS EL PASO LP,,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,,,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_0358667F3F5BE7877110,PLIN_655BD6D948ED2AA7ABF7,POS_SOURCE_B7B3D94F9779249DC78B,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0410,2025-12-31,SECONDARY,,"Carlyle US Equity Opportunity Fund II, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,1294729,1314568,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_0398384B1CAEA0DC5FFA,PLIN_F6F94BDDFDBA6BFD32BD,POS_SOURCE_F367D60F1CB772B5126C,OWNER_ALPINVEST_SEED_FUND_II,TARGET_NATIVE_08F9F5BBE2EF19AD7D60,2026-03-31,SECONDARY,2025-10-13,"Stone Point CV, L.P.",,1,2025-12-31,1,ONE_TO_ONE,PRINTED_NAME,DETERMINISTIC,24182881,23912919,0,NOT_APPLICABLE,false,false,DERIVED,,ACTIVE
PLINROW_03D7623E918DA7CFB3C8,PLIN_453DD8EA4DC5A0386F13,POS_SOURCE_E0BD68CCA8D4AE3A9B8E,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0761,2025-12-31,SECONDARY,,"New Mountain Partners III, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,1040174,96741,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_045A0830610A342A6B58,PLIN_C9C1FBE15F78D8D2C985,POS_SOURCE_DEBBE89CBD63C30EF799,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0807,2025-12-31,SECONDARY,,"Paladin III (HR), L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,15536,86856,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
