"route","file_id","source_sha256","physical_pages","pages_with_data","extractor_a_rows","extractor_b_rows","pair_rows","physical_pairs","raw_value_agreements","raw_value_agreement_rate","value_conflicts","classification_conflicts","context_conflicts","exact_all_field_pairs","a_only","b_only","merge_decisions","accept_a_decisions","accept_b_decisions","add_decisions","reject_decisions","final_rows"
"01-financials","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","14","10","229","267","285","211","132","0.625592","79","69","63","0","18","56","259","0","0","6","26","265"
"01-financials","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","14","9","50","64","64","50","34","0.680000","16","2","32","0","0","14","60","0","0","11","4","71"
"01-financials","SRC147","dd2549012abb94269a2b925c785a3cf80e9be22f8179111d0fccef39a899ea07","1","1","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","4","0","4"
"01-financials","SRC152","3c5ea49df11ea7acd103759a4d84ab994abbe40fe6b9770ac1f2a723929dc717","5","5","133","150","167","116","93","0.801724","23","4","89","0","17","34","149","0","0","0","18","149"
"01-financials","SRC376","0cb015ca0b614caa657358e97514857fd81f64b60ad57c146f75293e82923169","20","12","111","88","140","59","45","0.762712","14","6","25","14","52","29","26","67","28","0","5","135"
"01-financials","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","13","11","239","305","313","231","219","0.948052","12","18","201","0","8","74","269","0","0","10","44","279"
"02-performance","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","3","3","480","480","480","480","480","1.000000","0","7","473","0","0","0","480","0","0","0","0","480"
"02-performance","SRC058","504abfe06fcde5e187ef74247e28f97eecec00313f5079c91e05fbdaea023159","3","3","876","876","890","862","861","0.998840","1","1","860","0","14","14","876","0","0","0","14","876"
"02-performance","SRC060","716b2b3028d4222c5bd8dbe183698cc7ea61e5f7a4d37e799da36d64c0e2dac3","2","2","472","466","472","466","466","1.000000","0","466","0","0","6","0","140","0","332","0","0","472"
"02-performance","SRC063","f27235b5cbd2148f78e6d7d010017b38e2807611735e9229375986a38db2db38","2","2","227","227","227","227","152","0.669604","75","148","4","0","0","0","221","0","6","0","0","227"
"02-performance","SRC363","37f3b1a46d11cdb22e38d276fda163e197904df1b0793d02a7af3ad40c050277","2","2","13","17","18","12","12","1.000000","0","6","6","0","1","5","15","0","2","0","1","17"
"02-performance","SRC594","9b50469c18f58048eba427fe0b3e67dc76ecfd656d6f849979a37c5a1f72af73","5","3","53","55","57","51","44","0.862745","7","1","43","0","2","4","51","2","2","0","2","55"
"03-institutional-report","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","5","5","285","300","306","279","248","0.888889","31","63","185","0","6","21","245","0","61","15","0","321"
