"metric_name","categories","record_families","row_count","document_count","example_observation_id"
"Market Value","actual_allocation | aum | fair_value | market_value | nav","allocation_observation | fund_economics_observation | performance_observation | position_observation","166","5","e9f7bee701c83557cc33"
"Total","capital_call | distribution | fair_value | fund_expense","cash_flow_observation | financial_statement_observation | fund_economics_observation | position_observation","94","4","3994cde455a9d68a3eba"
"Amount","contribution | cost | unrealized_gain_loss","financial_statement_observation | fund_economics_observation | position_observation","45","2","d3e8657f54ee9e67c97a"
"Return of Capital","distribution | investment_cost | return_of_capital","financial_statement_observation | fund_economics_observation","10","2","28512f2e3b0d6e0a03c6"
"%","actual_allocation | coverage","allocation_observation | stewardship_observation","32","2","133a9bce2f2e666c9e79"
"Annualized Distribution Rate","income | yield","fund_economics_observation | performance_observation","5","1","7aedae0bac737948b006"
"Ending Market Value","fair_value | nav","fund_economics_observation | performance_observation","78","2","289f7948b733f6c704c2"
"Fair Market Value","investment_fair_value | nav","financial_statement_observation | fund_economics_observation","258","3","d1a97a920ef335de070f"
"Fair value","fair_value | investment_fair_value","financial_statement_observation | position_observation","477","4","55c71a354ce9583abfc3"
"Historical Asset Allocation","actual_allocation | target_allocation","allocation_observation","9","1","e0eddc7216c5b8f2a160"
"Interest expense","interest | interest_expense","cash_flow_observation | financial_statement_observation","7","2","95e01eac1095c45f77dc"
"Investments","commitment | investment_fair_value","financial_statement_observation | fund_economics_observation","3","2","011bf9408c50b4d60bed"
"Investments—U.S. and state government obligations (attach schedule)","investment_cost | investment_fair_value","financial_statement_observation","3","1","ed5fd08dbbc322f917f0"
"Investments—corporate bonds (attach schedule)","investment_cost | investment_fair_value","financial_statement_observation","3","1","81151f04a8910a0a7af8"
"Investments—corporate stock (attach schedule)","investment_cost | investment_fair_value","financial_statement_observation","3","1","d4e8de2aea8a7a2f546f"
"Investments—land, buildings, and equipment","investment_cost | investment_fair_value","financial_statement_observation","3","1","ccff1326ae783151610f"
"Investments—other (attach schedule)","investment_cost | investment_fair_value","financial_statement_observation","3","1","b11834573c84c01a1642"
"Management fees","fee | management_fee","financial_statement_observation | fund_economics_observation","205","4","d9531da7cdc6f8a3bb27"
"NAV","investment_fair_value | nav","financial_statement_observation | fund_economics_observation","25","2","7c9eea13d1000ea7cca7"
"Net Asset Value","actual_allocation | nav","allocation_observation | fund_economics_observation | nav_observation","19","3","6a4a32e0bd0b5b288a0d"
"Other","coverage | fund_expense","financial_statement_observation | stewardship_observation","3","2","ae900a56d51f0704ac4d"
"Other assets (describe (SEE STATEMENT) )","investment_cost | investment_fair_value","financial_statement_observation","3","1","18c9e762c6bc2e37f734"
"Performance","alpha | return","performance_observation","23","1","1db2c4ab86274263102c"
"Preferred Return","distribution | preferred_return","fund_economics_observation","52","1","601d11581f673327d851"
"Purchases","contribution | notional","fund_economics_observation | position_observation","15","2","aea527f1709566aec62a"
"RE Performance by Investment Structure – 2Q17","irr | return","performance_observation","80","1","a9764a771e9639a39b54"
"RE Performance by Strategic Asset Allocation – 2Q17","irr | return","performance_observation","56","1","f628ebb50bb09323e2a8"
"Reimbursement of Capital","distribution | return_of_capital","cash_flow_observation | fund_economics_observation","5","1","63a61332d1ccbc018497"
"Total Investments","aum | market_value","allocation_observation | performance_observation","2","2","0c9b40d78853cf1d184d"
"Unfunded Commitments","actual_allocation | unfunded_commitment","allocation_observation | financial_statement_observation","11","2","dad5bd8d763429a041ed"
"companies engaged","coverage | engagement_count","stewardship_observation","5","2","36e0b38d527fb2b42382"
"cost","cost | investment_cost","financial_statement_observation | position_observation","389","2","cf69cb0bdf953a3356ed"
"management fee","fee | management_fee","ddq_quantitative_observation | fund_economics_observation","2","2","0cca2c4a56651a92b9e8"
