observation_id,document_id,route,canonical_doc_type,product_tier,page_id,source_page,source_structure_type,source_section,source_table,source_row_label,source_column_label,source_occurrence,record_family,metric_id,metric_category,metric_name,subject_type,subject_alias_id,subject_entity_id,subject_name,subject_standardized_name,subject_manager_name,manager_alias_id,manager_entity_id,investor_alias_id,investor_entity_id,portfolio_name,asset_class,strategy,geography,vintage_year,horizon,date_precision,as_of_date_raw,as_of_date,period_start_raw,period_start,period_end_raw,period_end,value_kind,value_raw,value_numeric,value_text,value_sign,currency,unit,unit_scale,unit_scale_multiplier,currency_scale_raw,term_category,basis_raw,condition_raw,evidence_quote,evidence_class,adjudication_status,source_agents,extractor_model,contract_version,notes,definition_keys,method,fee_basis,value_scope,canonical_measure_id,mapping_rule_id,sector,canonical_asset_class,canonical_strategy,canonical_sub_strategy,canonical_sector,is_monetary,lineage_pair_id,lineage_pair_status,lineage_a_row_number,lineage_b_row_number,lineage_difference_fields,lineage_resolution_decision,lineage_resolution_reason,lineage_source_sha256,effective_vintage_year,vintage_year_origin,vintage_year_source_observation_id,vintage_year_source_document_id,vintage_year_source_page,vintage_year_source_quote,effective_strategy,strategy_origin,strategy_source_observation_id,strategy_source_document_id,strategy_source_page,strategy_source_quote,effective_asset_class,asset_class_origin,asset_class_source_observation_id,asset_class_source_document_id,asset_class_source_page,asset_class_source_quote,effective_geography,geography_origin,geography_source_observation_id,geography_source_document_id,geography_source_page,geography_source_quote,promotion_status,fund_period_ids,quality_status,failed_quality_rules,analysis_result_ids
1d5fb618817ecfdc6df5,SRC034,01-financials,Financials,CORE,be772b1c0dcf636b24c5,3,DOCUMENT,"Combined Statement of Assets, Liabilities, and Partners' Capital",,DOCUMENT,,1,document_context,document_context,,,document,5c89295c912b799011d1,,"VERSA CAPITAL FUND II, L.P. AND VERSA CAPITAL FUND II-A, L.P.",,,,,,,,,,,,,day,"March 31, 2018",2018-03-31,,,,,none,,,,,,,absolute,1,,,,,"VERSA CAPITAL FUND II, L.P. AND VERSA CAPITAL FUND II-A, L.P. (Delaware Limited Partnerships)",actual,RESOLVED,A+B+ADJUDICATOR,claude-sonnet-5+GPT-5+claude-opus-5,2026-08-22.2,,,,,,,,,,,,,false,PAIR_877F970CEDBC2E6004507E95,CLASSIFICATION_CONFLICT,1,1,source_table|subject_name|investor_name|as_of_date|evidence_quote,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.",c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8,,MISSING,,,,,,MISSING,,,,,,MISSING,,,,,,MISSING,,,,,NON_FUND_GRAIN,,NOT_CHECKED,,
c051cd3576db18ad4b32,SRC034,01-financials,Financials,CORE,be772b1c0dcf636b24c5,3,TABLE,"Combined Statement of Assets, Liabilities, and Partners' Capital","Combined Statement of Assets, Liabilities, and Partners' Capital",Cash,Total,1,financial_statement_observation,financial_statement_observation.cash,cash,Cash,asset_class,c7c23a14591c1ccff9ce,,Cash,,,,,,,,,,,,,day,"March 31, 2018",2018-03-31,,,,,number,"13,307,614",13307614,,positive,USD,,absolute,1,$,,,,"Cash 13,307,614",actual,RESOLVED,A+B+ADJUDICATOR,claude-sonnet-5+GPT-5+claude-opus-5,2026-08-22.2,,,,,,,,,,,,,true,PAIR_E194AAF183988158AF0A203C,CLASSIFICATION_CONFLICT,2,2,source_section|source_column_label|subject_type|currency_scale|metric_name,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.",c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8,,MISSING,,,,,,MISSING,,,,,,MISSING,,,,,,MISSING,,,,,NON_FUND_GRAIN,,NOT_CHECKED,,
e7ba55bef0f2f5ba97d2,SRC034,01-financials,Financials,CORE,be772b1c0dcf636b24c5,3,TABLE,"Combined Statement of Assets, Liabilities, and Partners' Capital","Combined Statement of Assets, Liabilities, and Partners' Capital",General Partner,Total,1,financial_statement_observation,financial_statement_observation.partners_capital,partners_capital,General Partner,investor,5880d63ce50854dad457,LP_0010,General Partner,General Partner,,,,,,,,,,,,day,"March 31, 2018",2018-03-31,,,,,number,"26,095,710",26095710,,positive,USD,,absolute,1,$,,,,"General Partner 26,095,710",actual,RESOLVED,A+B+ADJUDICATOR,claude-sonnet-5+GPT-5+claude-opus-5,2026-08-22.2,,,,,,,,,,,,,true,PAIR_CBF06C34CFF9573D7B7198AA,CLASSIFICATION_CONFLICT,3,3,source_section|source_column_label|subject_type|currency_scale|metric_name,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.",c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8,,MISSING,,,,,,MISSING,,,,,,MISSING,,,,,,MISSING,,,,,NON_FUND_GRAIN,,NOT_CHECKED,,
cf69cb0bdf953a3356ed,SRC034,01-financials,Financials,CORE,be772b1c0dcf636b24c5,3,NARRATIVE,"Combined Statement of Assets, Liabilities, and Partners' Capital","Combined Statement of Assets, Liabilities, and Partners' Capital","Investments, at fair value (cost $415,489,109)",,1,financial_statement_observation,financial_statement_observation.investment_cost,investment_cost,cost,asset_class,eedbe5a35fa97059aaf0,,"Investments, at fair value (cost $415,489,109)",,,,,,,,,,,,,day,"March 31, 2018",2018-03-31,,,,,currency,"$415,489,109",415489109,,positive,USD,,absolute,1,$,,,,"Investments, at fair value (cost $415,489,109)",actual,RESOLVED,A+ADJUDICATOR,claude-sonnet-5+claude-opus-5,2026-08-22.2,,,,,,,,,,,,,true,PAIR_F72B7EBC998AEA95DAC3B927,A_ONLY,6,,,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; one-sided row confirmed printed on page 3 from the page image.",c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8,,MISSING,,,,,,MISSING,,,,,,MISSING,,,,,,MISSING,,,,,NON_FUND_GRAIN,,NOT_CHECKED,,
a405b270004e359a6d16,SRC034,01-financials,Financials,CORE,be772b1c0dcf636b24c5,3,TABLE,"Combined Statement of Assets, Liabilities, and Partners' Capital","Combined Statement of Assets, Liabilities, and Partners' Capital","Investments, at fair value (cost $415,489,109)",Total,1,financial_statement_observation,financial_statement_observation.investment_fair_value,investment_fair_value,"Investments, at fair value (cost $415,489,109)",asset_class,eedbe5a35fa97059aaf0,,"Investments, at fair value (cost $415,489,109)",,,,,,,,,,,,,day,"March 31, 2018",2018-03-31,,,,,currency,"$425,000,000",425000000,,positive,USD,,absolute,1,$,,,,"Investments, at fair value (cost $415,489,109) $ 425,000,000",actual,RESOLVED,B+ADJUDICATOR,GPT-5+claude-opus-5,2026-08-22.2,,,,,statement_line,,,,,,,,true,PAIR_D38771E420BF8785E3EBAED1,B_ONLY,,4,,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; one-sided row confirmed printed on page 3 from the page image.; Source review: p3: Combined Statement of Assets, Liabilities, and Partners' Capital (The amount is a statement-line balance under the printed column.) | p3: Combined Statement of Assets, Liabilities, and Partners' Capital (Printed heading or definition supporting the source-reviewed qualifier.) | p3: Combined Statement of Assets, Liabilities, and Partners' Capital (Supersedes SR1641: the printed entity or table label is context, not a measurement basis; source labels retain its scope.)",c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8,,MISSING,,,,,,MISSING,,,,,,MISSING,,,,,,MISSING,,,,,NON_FUND_GRAIN,,NOT_CHECKED,,
1719e3ee788f98f1e6f7,SRC034,01-financials,Financials,CORE,be772b1c0dcf636b24c5,3,TABLE,"Combined Statement of Assets, Liabilities, and Partners' Capital","Combined Statement of Assets, Liabilities, and Partners' Capital",Limited Partners,Total,1,financial_statement_observation,financial_statement_observation.partners_capital,partners_capital,Limited Partners,investor,237b08b00c0edaa3bed7,LP_0015,Limited Partners,Limited Partners,,,,,,,,,,,,day,"March 31, 2018",2018-03-31,,,,,number,"412,301,446",412301446,,positive,USD,,absolute,1,$,,,,"Limited Partners 412,301,446",actual,RESOLVED,A+B+ADJUDICATOR,claude-sonnet-5+GPT-5+claude-opus-5,2026-08-22.2,,,,,,,,,,,,,true,PAIR_6074E9B9414499D4CDF33B3E,CLASSIFICATION_CONFLICT,4,5,source_section|source_column_label|subject_type|currency_scale|metric_name,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.",c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8,,MISSING,,,,,,MISSING,,,,,,MISSING,,,,,,MISSING,,,,,NON_FUND_GRAIN,,NOT_CHECKED,,
2a3636f3eb3bde58ce23,SRC034,01-financials,Financials,CORE,be772b1c0dcf636b24c5,3,TABLE,"Combined Statement of Assets, Liabilities, and Partners' Capital","Combined Statement of Assets, Liabilities, and Partners' Capital",Total assets,Total,1,financial_statement_observation,financial_statement_observation.total_assets,total_assets,Total assets,other_printed_scope,7040bb9a6e4667309b16,,Total assets,,,,,,,,,,,,,day,"March 31, 2018",2018-03-31,,,,,currency,"$438,924,905",438924905,,positive,USD,,absolute,1,$,,,,"Total assets $ 438,924,905",actual,RESOLVED,A+B+ADJUDICATOR,claude-sonnet-5+GPT-5+claude-opus-5,2026-08-22.2,,,,,,,,,,,,,true,PAIR_BFB1663DA224D66607BF2F90,CONTEXT_CONFLICT,5,6,source_section|source_column_label|currency_scale|metric_name,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.; Source review: p3: Total assets $ 438,924,905 (The printed label identifies a statement item, not an institution; retain the accounting scope without an entity ID.)",c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8,,MISSING,,,,,,MISSING,,,,,,MISSING,,,,,,MISSING,,,,,NON_FUND_GRAIN,,NOT_CHECKED,,
b394a2674a4e69145f02,SRC034,01-financials,Financials,CORE,be772b1c0dcf636b24c5,3,TABLE,"Combined Statement of Assets, Liabilities, and Partners' Capital","Combined Statement of Assets, Liabilities, and Partners' Capital",Total liabilities,Total,1,financial_statement_observation,financial_statement_observation.total_liabilities,total_liabilities,Total liabilities,other_printed_scope,389dba35d9d3365635a4,,Total liabilities,,,,,,,,,,,,,day,"March 31, 2018",2018-03-31,,,,,number,"527,749",527749,,positive,USD,,absolute,1,$,,,,"Total liabilities 527,749",actual,RESOLVED,A+B+ADJUDICATOR,claude-sonnet-5+GPT-5+claude-opus-5,2026-08-22.2,,,,,,,,,,,,,true,PAIR_7B1ED6BC2E4C6AA2371B94FE,CONTEXT_CONFLICT,8,7,source_section|source_column_label|currency_scale|metric_name,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.; Source review: p3: Total liabilities 527,749 (The printed label identifies a statement item, not an institution; retain the accounting scope without an entity ID.)",c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8,,MISSING,,,,,,MISSING,,,,,,MISSING,,,,,,MISSING,,,,,NON_FUND_GRAIN,,NOT_CHECKED,,
dcae1bbc2a5b5e66671c,SRC034,01-financials,Financials,CORE,be772b1c0dcf636b24c5,3,TABLE,"Combined Statement of Assets, Liabilities, and Partners' Capital","Combined Statement of Assets, Liabilities, and Partners' Capital",Total partners' capital,Total,1,financial_statement_observation,financial_statement_observation.partners_capital,partners_capital,Total partners' capital,other_printed_scope,22a4c39c237235330493,,Total partners' capital,,,,,,,,,,,,,day,"March 31, 2018",2018-03-31,,,,,number,"438,397,156",438397156,,positive,USD,,absolute,1,$,,,,"Total partners' capital 438,397,156",actual,RESOLVED,A+B+ADJUDICATOR,claude-sonnet-5+GPT-5+claude-opus-5,2026-08-22.2,,,,,,,,,,,,,true,PAIR_1D7B45FB5B3C8273F3A25971,CONTEXT_CONFLICT,9,8,source_section|source_column_label|currency_scale|metric_name,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.; Source review: p3: Total partners' capital 438,397,156 (The printed label identifies a statement item, not an institution; retain the accounting scope without an entity ID.)",c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8,,MISSING,,,,,,MISSING,,,,,,MISSING,,,,,,MISSING,,,,,NON_FUND_GRAIN,,NOT_CHECKED,,
c0382c3e21afbdf80451,SRC034,01-financials,Financials,CORE,fd18d421ead487521a9a,4,TABLE,Combined Schedule of Investments,Combined Schedule of Investments,REDACTED,% of Partners' Capital,1,position_observation,position_observation.portfolio_weight,portfolio_weight,% of Partners' Capital,investment,,,REDACTED,,,,,,,,,,"Philadelphia, PA",2009,,day,"March 31, 2018",2018-03-31,,,,,percent,34.22%,34.22,,positive,,%,absolute,1,,,,,34.22%,actual,RESOLVED,A+ADJUDICATOR,claude-sonnet-5+claude-opus-5,2026-08-22.2,"IMAGE_ONLY: verified against page-004.png; investment name is redacted (blacked out) in the source PDF, so subject_name is recorded as REDACTED and distinguished by Industry, Headquarters, and vintage_year instead.",,,,,,,Defense,,,,Defense,false,PAIR_620EFD18A2568E79CE7A73DF,A_ONLY,10,,,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; the Schedule of Investments is a position_observation table, the only family carrying portfolio_weight for the printed `% of Partners' Capital` column that B dropped; one-sided row confirmed printed on page 4 from the page image. Grouping corrected 2026-09-01: the page heads this column `Industry`, so the printed value moves to `sector` (contract 2026-09-01.2) and `asset_class` is blank because the schedule prints no asset class.",c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8,2009,PRINTED_ON_ROW,c0382c3e21afbdf80451,SRC034,4,34.22%,,MISSING,,,,,,MISSING,,,,,"Philadelphia, PA",PRINTED_ON_ROW,c0382c3e21afbdf80451,SRC034,4,34.22%,NON_FUND_GRAIN,,NOT_CHECKED,,
