"pair_id","pair_status","requires_review","source_page","record_family","source_table","source_row_label","source_column_label","source_occurrence","metric_category","term_category","a_row_number","b_row_number","difference_fields"
"PAIR_64F9093E0E6656877FF8EC6C","B_ONLY","YES","1","document_context","Notes to Financial Statements (continued)","DOCUMENT","","1","","","","1",""
"PAIR_F82485692D38CCB479C1E2CF","B_ONLY","YES","1","financing_observation","i. Fair Value Levels","interest rate","","1","interest_rate","","","6",""
"PAIR_BA4A1ECEBBB9D5D127013FF3","B_ONLY","YES","1","financing_observation","i. Fair Value Levels","line of credit advances","","1","outstanding_balance","","","7",""
"PAIR_3BFA8ED59A2F9D952022FE13","CONTEXT_CONFLICT","YES","1","financial_statement_observation","Premium Assistance investment assets","Other domestic short-term investments","2016","1","investment_fair_value","","5","3","source_section|source_table|source_column_label|source_occurrence|asset_class"
"PAIR_D2E012148AB1AAB2E1A8B011","CONTEXT_CONFLICT","YES","1","financial_statement_observation","HOP investment assets","Other domestic short-term investments","2016","2","investment_fair_value","","1","5","source_section|source_table|source_column_label|source_occurrence|asset_class"
"PAIR_346415615440BDFEE3AD0D29","CONTEXT_CONFLICT","YES","1","financial_statement_observation","Premium Assistance investment assets","Other domestic short-term investments","2017","1","investment_fair_value","","6","2","source_section|source_table|source_column_label|asset_class|evidence_quote"
"PAIR_E9287606FB88D39C50F8F9C0","CONTEXT_CONFLICT","YES","1","financial_statement_observation","HOP investment assets","Other domestic short-term investments","2017","2","investment_fair_value","","2","4","source_section|source_table|source_column_label|source_occurrence|asset_class"
"PAIR_2104FF10C7E436DB86D849E3","CLASSIFICATION_CONFLICT","YES","1","financial_statement_observation","Premium Assistance investment assets","PSERS Short-Term Investment Fund","2016","1","investment_fair_value","","7","10","record_family|source_section|source_table|source_column_label|source_occurrence|asset_class|metric_category"
"PAIR_AFFEA230A1A6C4AFE8EB2F76","CLASSIFICATION_CONFLICT","YES","1","financial_statement_observation","HOP investment assets","PSERS Short-Term Investment Fund","2016","2","investment_fair_value","","3","12","record_family|source_section|source_table|source_column_label|source_occurrence|asset_class|metric_category"
"PAIR_EE72623685DA689D6EC32F0B","CLASSIFICATION_CONFLICT","YES","1","financial_statement_observation","Premium Assistance investment assets","PSERS Short-Term Investment Fund","2017","1","investment_fair_value","","8","9","record_family|source_section|source_table|source_column_label|asset_class|metric_category|evidence_quote"
"PAIR_24874DD31E4995F8BE4B0530","CLASSIFICATION_CONFLICT","YES","1","financial_statement_observation","HOP investment assets","PSERS Short-Term Investment Fund","2017","2","investment_fair_value","","4","11","record_family|source_section|source_table|source_column_label|source_occurrence|asset_class|metric_category|evidence_quote"
"PAIR_74BE26595F1B54ABBB312686","B_ONLY","YES","1","financing_observation","i. Fair Value Levels","repurchase agreement","","1","outstanding_balance","","","8",""
"PAIR_846E888186C97B4B3D25BFCC","A_ONLY","YES","2","financial_statement_observation","Investments and Derivative Instruments Measured at Fair Value","Collective trust funds","2017","1","investment_fair_value","","10","",""
"PAIR_6D6249F03BAEAE61CE3516C3","B_ONLY","YES","2","financial_statement_observation","Investments measured at the net asset value (NAV)","Collective trust funds","UNLABELED_COLUMN_1","1","investment_fair_value","","","53",""
"PAIR_B76E50EC80CB639F8C9DEE9D","CONTEXT_CONFLICT","YES","2","financial_statement_observation","Investments and Derivative Instruments Measured at Fair Value","Directly-owned real estate","2017","1","investment_fair_value","","11","13","source_section|horizon|currency_scale|metric_name"
"PAIR_DFD9E4597BB34CCA93496EBB","CONTEXT_CONFLICT","YES","2","financial_statement_observation","Investments and Derivative Instruments Measured at Fair Value","Directly-owned real estate","Level 1","1","investment_fair_value","","12","14","source_section|currency_scale"
"PAIR_47C546A123D0AC41382A438E","CONTEXT_CONFLICT","YES","2","financial_statement_observation","Investments and Derivative Instruments Measured at Fair Value","Directly-owned real estate","Level 3","1","investment_fair_value","","13","15","source_section|currency_scale"
"PAIR_B41E8F0446A647EE2F0A2CFE","A_ONLY","YES","2","document_context","","DOCUMENT","","1","","","9","",""
"PAIR_8120FC0E3255FCA9FB144C4B","CONTEXT_CONFLICT","YES","2","financial_statement_observation","Investments and Derivative Instruments Measured at Fair Value","Domestic asset-backed and mortgage-backed securities","2017","1","investment_fair_value","","14","16","source_section|asset_class|horizon|currency_scale|metric_name"
"PAIR_0371015AAEFAEA1C8E7D48B1","CONTEXT_CONFLICT","YES","2","financial_statement_observation","Investments and Derivative Instruments Measured at Fair Value","Domestic asset-backed and mortgage-backed securities","Level 2","1","investment_fair_value","","15","17","source_section|asset_class|currency_scale"
"PAIR_D95484C495955FAB5620A3C8","CONTEXT_CONFLICT","YES","2","financial_statement_observation","Investments and Derivative Instruments Measured at Fair Value","Domestic asset-backed and mortgage-backed securities","Level 3","1","investment_fair_value","","16","18","source_section|asset_class|currency_scale"
