"pair_id","decision","reason","contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status","definition_keys","method","fee_basis","value_scope","sector"
"PAIR_BE282650DF18D565FDC9BEC8","ACCEPT_A","Page 1 prints the heading Consolidated Financial Statements above the date line, so the populated source_section is right and the blank is not.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_5A92FDCDA1503DD727ADB5AC","MERGE","Neither lane is complete. The printed row label runs Beneficial interest in the net assets of Foundation Trust (the Trust) (notes 3 and 4) in full, which lane A trims; investment_fair_value is a qualified category and the value sits on a printed line of the Consolidated Statements of Financial Position, so value_scope is statement_line cited to notes 3 and 4, which lane B leaves unstated.","2026-09-01.2","SRC376","0cb015ca0b614caa657358e97514857fd81f64b60ad57c146f75293e82923169","Financials","01-financials","CORE","","financial_statement_observation","4","TABLE","Consolidated Statements of Financial Position","Consolidated Statements of Financial Position","Beneficial interest in the net assets of Foundation Trust (the Trust) (notes 3 and 4)","2023","1","reporting_entity","GATES FOUNDATION","","","","","","","","","","December 31, 2023","","(In thousands)","investment_fair_value","Beneficial interest in the net assets of Foundation Trust (the Trust) (notes 3 and 4)","75,225,846","","","","Beneficial interest in the net assets of Foundation Trust (the Trust) (notes 3 and 4)","","(the Trust) (notes 3 and 4) 77,237,720 75,225,846","actual","","","","3 | 4","","","statement_line",""
"PAIR_4F8495C77B27A4AF6B677DDD","MERGE","Same cell in the 2024 column: the full printed label from lane B with the stated value_scope from lane A. The page prints no currency symbol on this line, so the value stays bare.","2026-09-01.2","SRC376","0cb015ca0b614caa657358e97514857fd81f64b60ad57c146f75293e82923169","Financials","01-financials","CORE","","financial_statement_observation","4","TABLE","Consolidated Statements of Financial Position","Consolidated Statements of Financial Position","Beneficial interest in the net assets of Foundation Trust (the Trust) (notes 3 and 4)","2024","1","reporting_entity","GATES FOUNDATION","","","","","","","","","","December 31, 2024","","(In thousands)","investment_fair_value","Beneficial interest in the net assets of Foundation Trust (the Trust) (notes 3 and 4)","77,237,720","","","","Beneficial interest in the net assets of Foundation Trust (the Trust) (notes 3 and 4)","","(the Trust) (notes 3 and 4) 77,237,720 75,225,846","actual","","","","3 | 4","","","statement_line",""
"PAIR_0A83E7B055C5124793939FA3","ACCEPT_B","Page 4 prints Cash $ 206,159 194,354. The printed form keeps the currency symbol with the whitespace closed, so $206,159 is right and the stripped 206,159 is a normalisation.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_DEA133EE93CEE9A0D1228D54","MERGE","Neither lane is complete. The printed row label is Program-related investment assets, net (note 6) in full, and investment_fair_value is qualified, so value_scope is statement_line cited to note 6 rather than unstated.","2026-09-01.2","SRC376","0cb015ca0b614caa657358e97514857fd81f64b60ad57c146f75293e82923169","Financials","01-financials","CORE","","financial_statement_observation","4","TABLE","Consolidated Statements of Financial Position","Consolidated Statements of Financial Position","Program-related investment assets, net (note 6)","2023","1","reporting_entity","GATES FOUNDATION","","","","","","","","","","December 31, 2023","","(In thousands)","investment_fair_value","Program-related investment assets, net (note 6)","934,431","","","","Program-related investment assets, net (note 6)","","Program-related investment assets, net (note 6) 650,002 934,431","actual","","","","6","","","statement_line",""
"PAIR_8BD5535EB26734D1855FF03E","MERGE","Same cell in the 2024 column: full printed label from lane B, stated value_scope and note-6 citation from lane A.","2026-09-01.2","SRC376","0cb015ca0b614caa657358e97514857fd81f64b60ad57c146f75293e82923169","Financials","01-financials","CORE","","financial_statement_observation","4","TABLE","Consolidated Statements of Financial Position","Consolidated Statements of Financial Position","Program-related investment assets, net (note 6)","2024","1","reporting_entity","GATES FOUNDATION","","","","","","","","","","December 31, 2024","","(In thousands)","investment_fair_value","Program-related investment assets, net (note 6)","650,002","","","","Program-related investment assets, net (note 6)","","Program-related investment assets, net (note 6) 650,002 934,431","actual","","","","6","","","statement_line",""
"PAIR_84B725262A7AFC88D13C435A","CONFIRM","Page 4 prints Total assets $ 78,908,947 77,171,007; the 2023 cell reads 77,171,007 and the sampled pair is source-correct.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_C50CD3E8BA807E6054DB5847","ACCEPT_B","Page 4 prints Total assets $ 78,908,947 in the 2024 column; the printed form keeps the currency symbol.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_E16275B5B8FCEEBA3CB80A13","ACCEPT_B","Page 4 prints Total liabilities and net assets $ 78,908,947 in the 2024 column; the printed form keeps the currency symbol.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_185D5DA539A27869D3253815","ACCEPT_B","Page 5 prints Change in net assets of the Trust (notes 3 and 4) 2,011,874 7,894,636; the 2023 cell is printed and allowed, and lane A missed it.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
