"pair_id","pair_status","requires_review","source_page","record_family","source_table","source_row_label","source_column_label","source_occurrence","metric_category","term_category","a_row_number","b_row_number","difference_fields"
"PAIR_410A3DA06FA3E9143DE2385D","CLASSIFICATION_CONFLICT","YES","1","definition_context","INVESTMENT PERFORMANCE","*","","1","","","1","2","subject_type|subject_name|as_of_date|condition_raw|evidence_quote"
"PAIR_9CC7821CB211E2ABEA169921","CONTEXT_CONFLICT","YES","1","definition_context","INVESTMENT PERFORMANCE","Annualized","Annualized","1","","","2","3","as_of_date|condition_raw"
"PAIR_36B9079BB4C5530AA5557265","B_ONLY","YES","1","cash_flow_observation","QUARTERLY SHARE VALUE AND DISTRIBUTIONS","Distributions per Share","FY 2024","1","distribution","","","1",""
"PAIR_36677726BCFEB2B5A186CC2D","CLASSIFICATION_CONFLICT","YES","1","document_context","INVESTMENT PERFORMANCE","DOCUMENT","","1","","","4","5","source_table|subject_name|evidence_quote"
"PAIR_5208190B3F0C86D9CD7E90B6","CLASSIFICATION_CONFLICT","YES","1","performance_observation","INVESTMENT PERFORMANCE","Median College and University Endowment","1 YEAR","1","return","","5","6","subject_type|metric_name"
"PAIR_9A30E2A2345973AB08A7B9DD","CLASSIFICATION_CONFLICT","YES","1","performance_observation","INVESTMENT PERFORMANCE","Median College and University Endowment","10 YEARS","1","return","","6","7","subject_type|metric_name"
"PAIR_FD7F9EBB53FBD977A364DA87","CLASSIFICATION_CONFLICT","YES","1","performance_observation","INVESTMENT PERFORMANCE","Median College and University Endowment","20 YEARS","1","return","","7","8","subject_type|metric_name"
"PAIR_B5961733C59A995F555A9050","CLASSIFICATION_CONFLICT","YES","1","performance_observation","INVESTMENT PERFORMANCE","Median College and University Endowment","5 YEARS","1","return","","8","9","subject_type|metric_name"
"PAIR_F3571CBC47740ADBF5150F29","CONTEXT_CONFLICT","YES","1","definition_context","INVESTMENT PERFORMANCE","Net of Fees and Expenses","Net of Fees and Expenses","1","","","3","4","as_of_date|condition_raw"
"PAIR_E91AFA9EF08795A8D519897F","B_ONLY","YES","1","performance_observation","QUARTERLY SHARE VALUE AND DISTRIBUTIONS","Share Value","FY 2024","1","fair_value","","","14",""
"PAIR_AE676E2144CF24888176F037","CONTEXT_CONFLICT","YES","1","performance_observation","INVESTMENT PERFORMANCE","University Long Term Portfolio","1 YEAR","1","return","","9","10","metric_name"
"PAIR_A321D569454EDF780429B4C8","CONTEXT_CONFLICT","YES","1","performance_observation","INVESTMENT PERFORMANCE","University Long Term Portfolio","10 YEARS","1","return","","10","11","metric_name"
"PAIR_8EF85EB9CBE342A8785FD9AA","CONTEXT_CONFLICT","YES","1","performance_observation","INVESTMENT PERFORMANCE","University Long Term Portfolio","20 YEARS","1","return","","11","12","metric_name"
"PAIR_EC214F842F052CEFF21B1788","CONTEXT_CONFLICT","YES","1","performance_observation","INVESTMENT PERFORMANCE","University Long Term Portfolio","5 YEARS","1","return","","12","13","metric_name"
"PAIR_4A4B0A79F5B6AE710CD2A851","B_ONLY","YES","2","definition_context","ADDITIONAL INFORMATION","Distributions","","1","","","","15",""
"PAIR_25D54F2CF800AB1CF32B52FE","B_ONLY","YES","2","performance_observation","ADDITIONAL INFORMATION","Size","","1","aum","","","17",""
"PAIR_A5C9A691A4379E788B5BB11C","B_ONLY","YES","2","definition_context","ADDITIONAL INFORMATION","The University Endowment Fund (“UEF”)","","1","","","","16",""
"PAIR_154C057CECB9DF100FF75E36","A_ONLY","YES","2","performance_observation","ADDITIONAL INFORMATION","University Endowment Fund","Size","1","aum","","13","",""
