"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status","definition_keys","method","fee_basis","value_scope","sector"
"2026-08-22.2","SRC375","f61eeefaffa1b3e41935961142f563d3887f3c3e621e726449d5826821bce017","Institutional_Report","03-institutional-report","CORE","A","allocation_observation","1","FIGURE","","GRAPH 1 Investor Composition","University of Virginia Endowment","","1","investor","University of Virginia Endowment","","","","","","","","","","June 30, 2025","","","actual_allocation","Investor Composition","51%","%","","","","","51%","actual","","","","","","","",""
"2026-08-22.2","SRC375","f61eeefaffa1b3e41935961142f563d3887f3c3e621e726449d5826821bce017","Institutional_Report","03-institutional-report","CORE","A","allocation_observation","1","FIGURE","","GRAPH 1 Investor Composition","University Other Long-Term Assets","","1","investor","University Other Long-Term Assets","","","","","","","","","","June 30, 2025","","","actual_allocation","Investor Composition","13%","%","","","","","13%","actual","","","","","","","",""
"2026-08-22.2","SRC375","f61eeefaffa1b3e41935961142f563d3887f3c3e621e726449d5826821bce017","Institutional_Report","03-institutional-report","CORE","A","allocation_observation","1","FIGURE","","GRAPH 1 Investor Composition","University Strategic Investment Fund","","1","investor","University Strategic Investment Fund","","","","","","","","","","June 30, 2025","","","actual_allocation","Investor Composition","14%","%","","","","","14%","actual","","","","","","","",""
"2026-08-22.2","SRC375","f61eeefaffa1b3e41935961142f563d3887f3c3e621e726449d5826821bce017","Institutional_Report","03-institutional-report","CORE","A","allocation_observation","1","FIGURE","","GRAPH 1 Investor Composition","University-Associated Organizations","","1","investor","University-Associated Organizations","","","","","","","","","","June 30, 2025","","","actual_allocation","Investor Composition","23%","%","","","","","23%","actual","","","","","","","",""
"2026-08-22.2","SRC375","f61eeefaffa1b3e41935961142f563d3887f3c3e621e726449d5826821bce017","Institutional_Report","03-institutional-report","CORE","A","allocation_observation","1","FIGURE","","GRAPH 1 Investor Composition","University-Associated Organizations","Short Term Pool","1","investor","University-Associated Organizations","","","","","","","","","","June 30, 2025","","","actual_allocation","Investor Composition","100%","%","","","","","$14 $14.2 100%","actual","","","","1","","","",""
"2026-08-22.2","SRC375","f61eeefaffa1b3e41935961142f563d3887f3c3e621e726449d5826821bce017","Institutional_Report","03-institutional-report","CORE","A","allocation_observation","1","NARRATIVE","Serving the University","Serving the University","University of Virginia Endowment","Market Value","1","investor","University of Virginia Endowment","","","","","","","","","","June 30, 2025","","billion","market_value","Market Value","$7.9","","","","$7.9 billion represents the Rector and Visitors’ endowment","","UVIMCO’s LTP, $7.9 billion represents the Rector and Visitors’ endowment, $2.1 13%","actual","","","","","","","fund_position",""
"2026-08-22.2","SRC375","f61eeefaffa1b3e41935961142f563d3887f3c3e621e726449d5826821bce017","Institutional_Report","03-institutional-report","CORE","A","allocation_observation","1","NARRATIVE","Serving the University","Serving the University","University Other Long-Term Assets","Market Value","1","investor","University Other Long-Term Assets","","","","","","","","","","June 30, 2025","","billion","market_value","Market Value","$2.0","","","","$2.0 billion represents other University long-term assets","","billion represents the University’s Strategic Investment Fund, $2.0 billion represents","actual","","","","","","","fund_position",""
"2026-08-22.2","SRC375","f61eeefaffa1b3e41935961142f563d3887f3c3e621e726449d5826821bce017","Institutional_Report","03-institutional-report","CORE","A","allocation_observation","1","NARRATIVE","Serving the University","Serving the University","University Strategic Investment Fund","Market Value","1","investor","University Strategic Investment Fund","","","","","","","","","","June 30, 2025","","billion","market_value","Market Value","$2.1","","","","$2.1 billion represents the University’s Strategic Investment Fund","","UVIMCO’s LTP, $7.9 billion represents the Rector and Visitors’ endowment, $2.1 13%","actual","","","","","","","fund_position",""
"2026-08-22.2","SRC375","f61eeefaffa1b3e41935961142f563d3887f3c3e621e726449d5826821bce017","Institutional_Report","03-institutional-report","CORE","A","allocation_observation","1","NARRATIVE","Serving the University","Serving the University","University-Associated Organizations","Market Value","1","investor","University-Associated Organizations","","","","","","","","","","June 30, 2025","","billion","market_value","Market Value","$3.5","","","","$3.5 billion represents assets held by University-associated organizations","","other University long-term assets, and $3.5 billion represents assets held by","actual","","","","","","","fund_position",""
"2026-09-01.2","SRC375","f61eeefaffa1b3e41935961142f563d3887f3c3e621e726449d5826821bce017","Institutional_Report","03-institutional-report","CORE","A","definition_context","1","FOOTNOTE","","GRAPH 1 Investor Composition","(1)","","1","portfolio","Short Term Pool","","","","","","","","","","June 30, 2025","","","","","","","","The Long Term Pool’s cash portfolio invests in the Short Term Pool. The Short Term Pool market value reflected above excludes Long Term Pool assets.","","Short Term Pool market value","(1) The Long Term Pool’s cash portfolio invests in the Short","actual","","","","1","","","",""
