"pair_id","pair_status","requires_review","source_page","record_family","source_table","source_row_label","source_column_label","source_occurrence","metric_category","term_category","a_row_number","b_row_number","difference_fields"
"PAIR_BD8DA068644D91A45CCEA90B","CLASSIFICATION_CONFLICT","YES","1","document_context","Real Estate","DOCUMENT","","1","","","1","1","source_section|source_table|subject_name|asset_class|investor_name|portfolio_name|period_end|evidence_quote"
"PAIR_12710974CA5228266BA6DF78","CONTEXT_CONFLICT","YES","10","definition_context","Real Estate by Strategic Asset Allocation – 2Q17","a","","1","","","205","193","source_section|condition_raw"
"PAIR_9A7ADFBCBA38D2EE58E7478C","CLASSIFICATION_CONFLICT","YES","10","allocation_observation","Real Estate by Strategic Asset Allocation – 2Q17","Core","%","1","actual_allocation","","197","185","source_section|subject_type|asset_class|strategy|period_end|horizon|evidence_quote"
"PAIR_C4C9FB5ADBDA9B2F33F38D3A","A_ONLY","YES","10","fund_economics_observation","Real Estate by Strategic Asset Allocation – 2Q17","Core","Market Value","1","nav","","206","",""
"PAIR_78147677855293D48923AE5E","CLASSIFICATION_CONFLICT","YES","10","allocation_observation","Real Estate by Strategic Asset Allocation – 2Q17","Core","Target","1","target_allocation","","198","186","source_section|subject_type|asset_class|strategy|period_end|horizon|evidence_quote"
"PAIR_4A095312D87A635D2DD1341B","CLASSIFICATION_CONFLICT","YES","10","allocation_observation","Real Estate by Strategic Asset Allocation – 2Q17","Opportunistic","%","1","actual_allocation","","199","187","source_section|subject_type|asset_class|strategy|period_end|horizon"
"PAIR_C3C275BF3DD8760FF0408D61","A_ONLY","YES","10","fund_economics_observation","Real Estate by Strategic Asset Allocation – 2Q17","Opportunistic","Market Value","1","nav","","207","",""
"PAIR_C3E8BD42B772FC8EE10E5ADB","CLASSIFICATION_CONFLICT","YES","10","allocation_observation","Real Estate by Strategic Asset Allocation – 2Q17","Opportunistic","Target","1","target_allocation","","200","188","source_section|subject_type|asset_class|strategy|period_end|horizon"
"PAIR_B104D49D4C8DF25D9BE31FF8","CONTEXT_CONFLICT","YES","10","allocation_observation","Real Estate by Strategic Asset Allocation – 2Q17","Total Portfolio","%","1","actual_allocation","","201","189","source_section|asset_class|period_end|horizon"
"PAIR_DC94C4111B7B299B72C2CACB","A_ONLY","YES","10","fund_economics_observation","Real Estate by Strategic Asset Allocation – 2Q17","Total Portfolio","Market Value","1","nav","","208","",""
"PAIR_6C83D95326B941E7230E3415","CONTEXT_CONFLICT","YES","10","allocation_observation","Real Estate by Strategic Asset Allocation – 2Q17","Total Portfolio","Target","1","target_allocation","","202","190","source_section|asset_class|period_end|horizon"
"PAIR_9EBE106DC11ECDC3EC713FF2","CLASSIFICATION_CONFLICT","YES","10","allocation_observation","Real Estate by Strategic Asset Allocation – 2Q17","Value","%","1","actual_allocation","","203","191","source_section|subject_type|asset_class|period_end|horizon"
"PAIR_D2841B161CF2C0344AEACDE8","A_ONLY","YES","10","fund_economics_observation","Real Estate by Strategic Asset Allocation – 2Q17","Value","Market Value","1","nav","","209","",""
"PAIR_2793EBE9A6ECBC41F73E8603","CLASSIFICATION_CONFLICT","YES","10","allocation_observation","Real Estate by Strategic Asset Allocation – 2Q17","Value","Target","1","target_allocation","","204","192","source_section|subject_type|asset_class|period_end|horizon"
"PAIR_97ABD347C3A05A4954B5335D","CONTEXT_CONFLICT","YES","11","definition_context","Preliminary Real Estate Performance – 3Q17","a","","1","","","216","194","source_section"
"PAIR_7F18F5711D7BC5A204966575","A_ONLY","YES","11","allocation_observation","Preliminary Real Estate Performance – 3Q17","Direct RE","Market Value","1","actual_allocation","","210","",""
"PAIR_D4A39EE0508EFE6E4925BDFA","CLASSIFICATION_CONFLICT","YES","11","performance_observation","Preliminary Real Estate Performance – 3Q17","Direct RE","Quarter","1","return","","217","195","source_section|source_column_label|subject_type|asset_class|period_end"
"PAIR_26E2D83FD37241318454CF8E","A_ONLY","YES","11","allocation_observation","Preliminary Real Estate Performance – 3Q17","Funds (Closed-end)","Market Value","1","actual_allocation","","211","",""
