"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status","definition_keys","method","fee_basis","value_scope","sector"
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","B","document_context","1","DOCUMENT","","DOCUMENT","DOCUMENT","","1","document","Real Estate Second Quarter 2017","","","","","Commonwealth of Pennsylvania Public School Employees' Retirement System","","","","Second Quarter 2017","","","","","","","","","","","","Real Estate Second Quarter 2017","actual","","","","","","","",""
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","B","fund_economics_observation","3","TABLE","","Commitments Approved and Executed Since April 1, 2017","AG Europe Realty Fund II, L.P.","Commitment ($M)","1","fund","AG Europe Realty Fund II, L.P.","","Value Added","","","","","","April 1, 2017","","","","($M)","commitment","Commitment ($M)","$100.0","","","","","","AG Europe Realty Fund II, L.P. Value Added $100.0 6/16/17 6/19/17","actual","","","","","","","",""
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","B","fund_economics_observation","3","TABLE","","Commitments Approved and Executed Since April 1, 2017","Almanac Realty Securities VIII, LP","Commitment ($M)","1","fund","Almanac Realty Securities VIII, LP","","Value Added","","","","","","April 1, 2017","","","","($M)","commitment","Commitment ($M)","$150.0","","","","","","Almanac Realty Securities VIII, LP Value Added $150.0 12/8/17 pending","actual","","","","","","","",""
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","B","fund_economics_observation","3","TABLE","","Commitments Approved and Executed Since April 1, 2017","Ares US Real Estate Fund IX, L.P.","Commitment ($M)","1","fund","Ares US Real Estate Fund IX, L.P.","","Value Added","","","","","","April 1, 2017","","","","($M)","commitment","Commitment ($M)","$100.0","","","","","","Ares US Real Estate Fund IX, L.P. Value Added $100.0 3/10/17 5/3/17","actual","","","","","","","",""
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","B","fund_economics_observation","3","TABLE","","Commitments Approved and Executed Since April 1, 2017","Carlyle Realty Partners VIII, L.P.","Commitment ($M)","1","fund","Carlyle Realty Partners VIII, L.P.","","Opportunistic","","","","","","April 1, 2017","","","","($M)","commitment","Commitment ($M)","$200.0","","","","","","Carlyle Realty Partners VIII, L.P. Opportunistic $200.0 3/10/17 5/3/17","actual","","","","","","","",""
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","B","definition_context","5","FOOTNOTE","","Portfolio Snapshot for Real Estate","a","","1","","","","","","","","","","","","","","","","","","","","The change in capital committed during the period is attributable to fluctuations in exchange rates for non-us denominated funds and new commitments made during the period.","","","The change in capital committed during the period is attributable to fluctuations in exchange rates for non-us denominated funds and new commitments made during the period.","actual","","","","a","","","",""
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","B","definition_context","5","FOOTNOTE","","Portfolio Snapshot for Real Estate","b","","1","","","","","","","","","","","","","","","","","","","","Includes Gross PTRES Exposure","","Market Value","Includes Gross PTRES Exposure","actual","","","","b","","","",""
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","B","fund_economics_observation","5","TABLE","","Portfolio Snapshot for Real Estate","Capital Committed","1Q17","1","portfolio","Real Estate","","","","","","","","","","1Q17","","($M)","commitment","Capital Committed","$21,088.1","","","","","","Capital Committed (1) $21,088.1 $21,546.2 $458.1","actual","","","","1","","","",""
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","B","fund_economics_observation","5","TABLE","","Portfolio Snapshot for Real Estate","Capital Committed","2Q17","1","portfolio","Real Estate","","","","","","","","","","2Q17","","($M)","commitment","Capital Committed","$21,546.2","","","","","","Capital Committed (1) $21,088.1 $21,546.2 $458.1","actual","","","","1","","","",""
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","B","fund_economics_observation","5","TABLE","","Portfolio Snapshot for Real Estate","Capital Committed","Change","1","portfolio","Real Estate","","","","","","","","","","","","($M)","commitment","Capital Committed","$458.1","","","","","","Capital Committed (1) $21,088.1 $21,546.2 $458.1","actual","","","","1","","","",""
