"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status","definition_keys","method","fee_basis","value_scope","sector"
"2026-08-22.2","SRC607","89188919c2905e70708febd40bfdf0e406a89a69abccd46310a15a437ac6ec7a","Subscription","05-fund-legal-docs","SECONDARY","ADJUDICATED","document_context","1","DOCUMENT","","DOCUMENT","DOCUMENT","","1","document","Lubert-Adler Real Estate Fund VII, L.P.","","","","Lubert-Adler Group VII, L.P.","Commonwealth of Pennsylvania State Employees' Retirement System","","","","","","","","","","","","","","","","SUBSCRIPTION MATERIALS OF LUBERT-ADLER REAL ESTATE FUND VII, L.P.","actual","manager_name printed on pages 3, 4, 29, 41 and 43; investor_name printed on pages 5, 8, 12, 21, 41 and 43.","B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC607","89188919c2905e70708febd40bfdf0e406a89a69abccd46310a15a437ac6ec7a","Subscription","05-fund-legal-docs","SECONDARY","ADJUDICATED","subscription_reference","1","NARRATIVE","SUBSCRIPTION MATERIALS OF LUBERT-ADLER REAL ESTATE FUND VII, L.P.","","LUBERT-ADLER REAL ESTATE FUND VII, L.P.","","1","fund","Lubert-Adler Real Estate Fund VII, L.P.","","","","","","","","","","","","","","","","","subscription_fund","LUBERT-ADLER REAL ESTATE FUND VII, L.P.","","","SUBSCRIPTION MATERIALS OF LUBERT-ADLER REAL ESTATE FUND VII, L.P.","actual","","B","VERIFIED_ONE_SIDED","","","","",""
"2026-08-22.2","SRC607","89188919c2905e70708febd40bfdf0e406a89a69abccd46310a15a437ac6ec7a","Subscription","05-fund-legal-docs","SECONDARY","ADJUDICATED","subscription_reference","3","NARRATIVE","F. Delivery of Documents","","Lubert-Adler Group VII, L.P.","","1","manager","Lubert-Adler Group VII, L.P.","","","","","","","","","","","","","","","","","general_partner","Lubert-Adler Group VII, L.P.","","","delivered to the general partner of the Fund at the following address: Lubert-Adler Group VII, L.P.","actual","","B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC607","89188919c2905e70708febd40bfdf0e406a89a69abccd46310a15a437ac6ec7a","Subscription","05-fund-legal-docs","SECONDARY","ADJUDICATED","subscription_reference","5","FORM","1. Background Information and General Questions","","1.2. Amount of Subscription Requested:","","1","investor","Commonwealth of Pennsylvania State Employees' Retirement System","","","","","","","","","","","","","","","","","requested_commitment","$25 million","","","1.2. Amount of Subscription Requested:","actual","IMAGE_ONLY: the completed answer '$25 million' is on page-005.png; the TXT prints only the blank rule.","ADJUDICATOR","ADDED","","","","",""
"2026-08-22.2","SRC607","89188919c2905e70708febd40bfdf0e406a89a69abccd46310a15a437ac6ec7a","Subscription","05-fund-legal-docs","SECONDARY","ADJUDICATED","subscription_reference","6","FORM","1. Background Information and General Questions","","(k) Governmental plan as defined in ERISA section 3(32) and/or Code section 414(d)","","1","investor","Commonwealth of Pennsylvania State Employees' Retirement System","","","","","","","","","","","","","","","","","subscriber_entity_type","(k) Governmental plan as defined in ERISA section 3(32) and/or Code section 414(d)","","","(k) Governmental plan as defined in ERISA section 3(32) and/or Code section 414(d)","actual","IMAGE_ONLY: the X marking this category is on page-006.png; the TXT prints only the blank rule.","ADJUDICATOR","ADDED","","","","",""
"2026-08-22.2","SRC607","89188919c2905e70708febd40bfdf0e406a89a69abccd46310a15a437ac6ec7a","Subscription","05-fund-legal-docs","SECONDARY","ADJUDICATED","subscription_reference","12","FORM","3. Additional Questions for Purchasers that are not Individuals","","Other entity or additional information if requested:","","1","investor","Commonwealth of Pennsylvania State Employees' Retirement System","","","","","","","","","","","","","","","","","subscriber_entity_type","state government pension plan","","","Other entity or additional information if requested:","actual","IMAGE_ONLY: the completed answer 'state government pension plan' is on page-012.png; the TXT prints only the blank rule.","ADJUDICATOR","ADDED","","","","",""
"2026-09-01.2","SRC607","89188919c2905e70708febd40bfdf0e406a89a69abccd46310a15a437ac6ec7a","Subscription","05-fund-legal-docs","SECONDARY","ADJUDICATED","definition_context","18","NARRATIVE","4. Definitions Relating to Qualified Purchaser Information.","4. Definitions Relating to Qualified Purchaser Information.","Investments","","1","","","","","","","","","","","","","","","","","","","","(a) Securities, including stocks, bonds and notes, other than securities of an issuer that controls, is controlled by or is under common control with the prospective qualified purchaser (for instance, an interest in a family-owned or closely-held business). Notwithstanding the foregoing, Investments include securities held in (i) any registered or unregistered investment company or commodity pool, (ii) any company that files reports under the Securities Exchange Act of 1934, as amended, or has a class of securities that are listed on a ""designated offshore securities market"" and (iii) any private company with shareholders' equity of not less than $50 million. (b) Real estate held for investment purposes. Real estate is not held for investment purposes if it is used by the prospective qualified purchaser or a related person for personal purposes or as a place of business, or in connection with the conduct of the trade or business of the prospective qualified purchaser or a related person; provided, that real estate owned by a prospective qualified purchaser who is engaged primarily in the business of investing, trading or developing real estate in connection with such business may be deemed to be held for investment purposes. Residential real estate shall not be deemed to be used for personal purposes if deductions with respect to such real estate are not disallowed by Section 280A of the Code. (c) Commodity interests, namely commodity futures contracts, options on commodity futures and options on physical commodities traded on a contract market or board of trade or exchange, held for investment purposes. A commodity interest or physical commodity owned, or a financial contract entered into, by a prospective qualified purchaser who is engaged primarily in the business of investing, reinvesting, or trading in commodity interests, physical commodities or financial contracts in connection with such business may be deemed to be held for investment purposes. (d) Physical commodities (for instance, gold and silver), with respect to which futures contracts are traded on a contract market or board of trade or exchange, held for investment purposes (see (c) above). (e) Financial contracts (for instance, swaps and similar individually negotiated financial transactions), other than securities, held for investment purposes (see (c) above). (f) In respect of a prospective qualified purchaser which is an excepted investment company or a commodity pool, any amounts payable to such prospective qualified purchaser pursuant to a firm agreement or similar binding commitment pursuant to which a person has agreed to acquire an interest in, or make capital contributions to, the prospective qualified purchaser upon demand. (g) Cash and cash equivalents (for instance, foreign currencies, bank deposits, certificates of deposit, bankers acceptances, the net cash surrender value of an insurance policy) held for investment purposes. Neither cash used by an","","","(a) Securities, including stocks, bonds and notes, other than securities of an issuer that controls, is controlled by or is under common control with the prospective qualified purchaser (for instance, an interest in a family-owned or closely-held business). Notwithstanding the foregoing, Investments include securities held in (i) any registered or unregistered investment company or commodity pool, (ii) any company that files reports under the","actual","Source review: definition omitted under the former reference-page instruction; the source wording is retained.","ADJUDICATOR","ADDED","4.1","","","",""
"2026-09-01.2","SRC607","89188919c2905e70708febd40bfdf0e406a89a69abccd46310a15a437ac6ec7a","Subscription","05-fund-legal-docs","SECONDARY","ADJUDICATED","definition_context","19","NARRATIVE","4. Definitions Relating to Qualified Purchaser Information.","4. Definitions Relating to Qualified Purchaser Information.","Investments","","1","","","","","","","","","","","","","","","","","","","","individual to meet everyday expenses nor working capital used by a business is considered cash held for investment purposes.","","","individual to meet everyday expenses nor working capital used by a business is considered cash held for investment purposes.","actual","Source review: definition omitted under the former reference-page instruction; the source wording is retained.","ADJUDICATOR","ADDED","4.1","","","",""
"2026-09-01.2","SRC607","89188919c2905e70708febd40bfdf0e406a89a69abccd46310a15a437ac6ec7a","Subscription","05-fund-legal-docs","SECONDARY","ADJUDICATED","definition_context","19","NARRATIVE","4. Definitions Relating to Qualified Purchaser Information.","4. Definitions Relating to Qualified Purchaser Information.","Investments of Parents and Subsidiaries","","1","","","","","","","","","","","","","","","","","","","","A company may include Investments owned by majority-owned subsidiaries of the company, Investments owned by a company (""Parent Company"") of which the company is a majority-owned subsidiary, and Investments owned by other majority-owned subsidiaries of the Parent Company.","","","A company may include Investments owned by majority-owned subsidiaries of the company, Investments owned by a company (""Parent Company"") of which the company is a majority-owned subsidiary, and Investments owned by other majority-owned subsidiaries of the Parent Company.","actual","Source review: definition omitted under the former reference-page instruction; the source wording is retained.","ADJUDICATOR","ADDED","4.6","","","",""
"2026-09-01.2","SRC607","89188919c2905e70708febd40bfdf0e406a89a69abccd46310a15a437ac6ec7a","Subscription","05-fund-legal-docs","SECONDARY","ADJUDICATED","definition_context","19","NARRATIVE","4. Definitions Relating to Qualified Purchaser Information.","4. Definitions Relating to Qualified Purchaser Information.","Joint Investments","","1","","","","","","","","","","","","","","","","","","","","A natural person may include in the amount of such person's Investments any Investments held jointly with such person's spouse, or Investments in which such person shares with such person's spouse a community property or similar shared ownership interest. Spouses who are making a joint investment may include in the amount of each spouse's Investments any Investments owned by the other spouse (whether or not such Investments are held jointly).","","","A natural person may include in the amount of such person's Investments any Investments held jointly with such person's spouse, or Investments in which such person shares with such person's spouse a community property or similar shared ownership interest. Spouses who are making a joint investment may include in the amount of each spouse's Investments any Investments owned by the other spouse (whether or not such Investments are held jointly).","actual","Source review: definition omitted under the former reference-page instruction; the source wording is retained.","ADJUDICATOR","ADDED","4.5","","","",""
