"pair_id","pair_status","requires_review","source_page","record_family","source_table","source_row_label","source_column_label","source_occurrence","metric_category","term_category","a_row_number","b_row_number","difference_fields"
"PAIR_F92BA228BF7DAAF8E0B19D37","CONTEXT_CONFLICT","YES","1","position_observation","Consolidated Schedule of Investments","A10 USD (Feeder) L.P.","Cost","1","cost","","2","2","asset_class|strategy|currency_scale"
"PAIR_7307B8751D4619F480F3A332","CONTEXT_CONFLICT","YES","1","position_observation","Consolidated Schedule of Investments","A10 USD (Feeder) L.P.","Fair Value","1","fair_value","","3","3","asset_class|strategy|currency_scale"
"PAIR_653995430941E9740C2DD4E7","CONTEXT_CONFLICT","YES","1","position_observation","Consolidated Schedule of Investments","A9 EUR (Feeder) L.P.","Cost","1","cost","","4","4","asset_class|strategy|currency_scale"
"PAIR_B975D1F12D5CD7D1E2F91560","CONTEXT_CONFLICT","YES","1","position_observation","Consolidated Schedule of Investments","A9 EUR (Feeder) L.P.","Fair Value","1","fair_value","","5","5","asset_class|strategy|currency_scale"
"PAIR_0FBBD14FFF9319DD091FDC69","CONTEXT_CONFLICT","YES","1","position_observation","Consolidated Schedule of Investments","A9 USD (Feeder) L.P.","Cost","1","cost","","6","6","asset_class|strategy|currency_scale"
"PAIR_0BD8D11F738EAF7F0F2012F9","CONTEXT_CONFLICT","YES","1","position_observation","Consolidated Schedule of Investments","A9 USD (Feeder) L.P.","Fair Value","1","fair_value","","7","7","asset_class|strategy|currency_scale"
"PAIR_03712F0FCFC4DA3556BE123F","CONTEXT_CONFLICT","YES","1","position_observation","Consolidated Schedule of Investments","ABRY Partners IX, L.P.","Cost","1","cost","","8","8","asset_class|strategy|currency_scale"
"PAIR_53D2A03722202451F814AD00","CONTEXT_CONFLICT","YES","1","position_observation","Consolidated Schedule of Investments","ABRY Partners IX, L.P.","Fair Value","1","fair_value","","9","9","asset_class|strategy|currency_scale"
"PAIR_9CAD99AC13AAFD737DB0FED1","CONTEXT_CONFLICT","YES","1","position_observation","Consolidated Schedule of Investments","ABRY Senior Equity V, L.P.","Cost","1","cost","","10","10","asset_class|strategy|currency_scale"
"PAIR_2A1858B88CAC705CE0865945","CONTEXT_CONFLICT","YES","1","position_observation","Consolidated Schedule of Investments","ABRY Senior Equity V, L.P.","Fair Value","1","fair_value","","11","11","asset_class|strategy|currency_scale"
"PAIR_52136C8744CBF5E30D1CE4A9","CONTEXT_CONFLICT","YES","1","position_observation","Consolidated Schedule of Investments","ABS Capital Partners IX, L.P.","Cost","1","cost","","12","12","asset_class|strategy|currency_scale"
"PAIR_505002B20D66C0E8C66F5556","CONTEXT_CONFLICT","YES","1","position_observation","Consolidated Schedule of Investments","ABS Capital Partners IX, L.P.","Fair Value","1","fair_value","","13","13","asset_class|strategy|currency_scale"
"PAIR_5591A5D9662CA117C8553DE0","CONTEXT_CONFLICT","YES","1","position_observation","Consolidated Schedule of Investments","Accel-KKR Capital Partners VII LP","Cost","1","cost","","14","14","asset_class|strategy|currency_scale"
"PAIR_6336756AC5C6F447D641927C","CONTEXT_CONFLICT","YES","1","position_observation","Consolidated Schedule of Investments","Accel-KKR Capital Partners VII LP","Fair Value","1","fair_value","","15","15","asset_class|strategy|currency_scale"
"PAIR_BDBE78EBF461B7BB9D1B240C","CONTEXT_CONFLICT","YES","1","position_observation","Consolidated Schedule of Investments","Accel-KKR Growth Capital Partners IV LP","Cost","1","cost","","16","16","asset_class|strategy|currency_scale"
