"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status","definition_keys","method","fee_basis","value_scope","sector"
"2026-09-01.2","SRC373","8975f55541fe0b27e768395c4b453b9debbcca6e6e4eb30ce03f9a8adf817747","Foundations_Annual","07-institutional-mission","SECONDARY","B","document_context","1","DOCUMENT","990-PF Return of Private Foundation","990-PF Return of Private Foundation","DOCUMENT","","1","document","The David and Lucile Packard Foundation","","","","","The David and Lucile Packard Foundation","","","","","","","","","","","","","","","","THE DAVID AND LUCILE PACKARD FOUNDATION 94-2278431","actual","","","","","","","",""
"2026-09-01.2","SRC373","8975f55541fe0b27e768395c4b453b9debbcca6e6e4eb30ce03f9a8adf817747","Foundations_Annual","07-institutional-mission","SECONDARY","B","financial_statement_observation","1","TABLE","Part I Analysis of Revenue and Expenses","Part I Analysis of Revenue and Expenses","16a Legal fees","(a) Revenue and expenses per books","1","other_printed_scope","Legal fees","","","","","","","","","","","","","fund_expense","Legal fees","945,901","","","","","","16a Legal fees (attach schedule) . . . . . . . 945,901 224,386 0 898,869","actual","","","","","","","",""
"2026-09-01.2","SRC373","8975f55541fe0b27e768395c4b453b9debbcca6e6e4eb30ce03f9a8adf817747","Foundations_Annual","07-institutional-mission","SECONDARY","B","financial_statement_observation","1","TABLE","Part I Analysis of Revenue and Expenses","Part I Analysis of Revenue and Expenses","16a Legal fees","(b) Net investment income","1","other_printed_scope","Legal fees","","","","","","","","","","","","","fund_expense","Legal fees","224,386","","","","","","16a Legal fees (attach schedule) . . . . . . . 945,901 224,386 0 898,869","actual","","","","","","","",""
"2026-09-01.2","SRC373","8975f55541fe0b27e768395c4b453b9debbcca6e6e4eb30ce03f9a8adf817747","Foundations_Annual","07-institutional-mission","SECONDARY","B","financial_statement_observation","1","TABLE","Part I Analysis of Revenue and Expenses","Part I Analysis of Revenue and Expenses","16a Legal fees","(c) Adjusted net income","1","other_printed_scope","Legal fees","","","","","","","","","","","","","fund_expense","Legal fees","0","","","","","","16a Legal fees (attach schedule) . . . . . . . 945,901 224,386 0 898,869","actual","","","","","","","",""
"2026-09-01.2","SRC373","8975f55541fe0b27e768395c4b453b9debbcca6e6e4eb30ce03f9a8adf817747","Foundations_Annual","07-institutional-mission","SECONDARY","B","financial_statement_observation","1","TABLE","Part I Analysis of Revenue and Expenses","Part I Analysis of Revenue and Expenses","16a Legal fees","(d) Disbursements for charitable purposes","1","other_printed_scope","Legal fees","","","","","","","","","","","","","fund_expense","Legal fees","898,869","","","","","","16a Legal fees (attach schedule) . . . . . . . 945,901 224,386 0 898,869","actual","","","","","","","",""
"2026-09-01.2","SRC373","8975f55541fe0b27e768395c4b453b9debbcca6e6e4eb30ce03f9a8adf817747","Foundations_Annual","07-institutional-mission","SECONDARY","B","financial_statement_observation","1","TABLE","Part I Analysis of Revenue and Expenses","Part I Analysis of Revenue and Expenses","16b Accounting fees","(a) Revenue and expenses per books","1","other_printed_scope","Accounting fees","","","","","","","","","","","","","fund_expense","Accounting fees","666,725","","","","","","b Accounting fees (attach schedule) . . . . . 666,725 332,761 0 316,416","actual","","","","","","","",""
"2026-09-01.2","SRC373","8975f55541fe0b27e768395c4b453b9debbcca6e6e4eb30ce03f9a8adf817747","Foundations_Annual","07-institutional-mission","SECONDARY","B","financial_statement_observation","1","TABLE","Part I Analysis of Revenue and Expenses","Part I Analysis of Revenue and Expenses","16b Accounting fees","(b) Net investment income","1","other_printed_scope","Accounting fees","","","","","","","","","","","","","fund_expense","Accounting fees","332,761","","","","","","b Accounting fees (attach schedule) . . . . . 666,725 332,761 0 316,416","actual","","","","","","","",""
"2026-09-01.2","SRC373","8975f55541fe0b27e768395c4b453b9debbcca6e6e4eb30ce03f9a8adf817747","Foundations_Annual","07-institutional-mission","SECONDARY","B","financial_statement_observation","1","TABLE","Part I Analysis of Revenue and Expenses","Part I Analysis of Revenue and Expenses","16b Accounting fees","(c) Adjusted net income","1","other_printed_scope","Accounting fees","","","","","","","","","","","","","fund_expense","Accounting fees","0","","","","","","b Accounting fees (attach schedule) . . . . . 666,725 332,761 0 316,416","actual","","","","","","","",""
"2026-09-01.2","SRC373","8975f55541fe0b27e768395c4b453b9debbcca6e6e4eb30ce03f9a8adf817747","Foundations_Annual","07-institutional-mission","SECONDARY","B","financial_statement_observation","1","TABLE","Part I Analysis of Revenue and Expenses","Part I Analysis of Revenue and Expenses","16b Accounting fees","(d) Disbursements for charitable purposes","1","other_printed_scope","Accounting fees","","","","","","","","","","","","","fund_expense","Accounting fees","316,416","","","","","","b Accounting fees (attach schedule) . . . . . 666,725 332,761 0 316,416","actual","","","","","","","",""
"2026-09-01.2","SRC373","8975f55541fe0b27e768395c4b453b9debbcca6e6e4eb30ce03f9a8adf817747","Foundations_Annual","07-institutional-mission","SECONDARY","B","financial_statement_observation","1","TABLE","Part I Analysis of Revenue and Expenses","Part I Analysis of Revenue and Expenses","16c Other professional fees","(a) Revenue and expenses per books","1","other_printed_scope","Other professional fees","","","","","","","","","","","","","fund_expense","Other professional fees","13,017,723","","","","","","c Other professional fees (attach schedule) . . . 13,017,723 1,690,679 0 11,989,678","actual","","","","","","","",""
