"document_fund_map_id","file_id","census_item_id","fund_id","fund_name_raw","fund_name_normalized","fund_manager_raw","manager_source_page","manager_pdf_page_number","manager_source_anchor","manager_source_quote","manager_source_bbox","relationship_role","perspective","share_class_name","lp_name","source_page","pdf_page_number","source_anchor","source_quote","source_bbox","provenance_type","agent_a_record_id","agent_b_record_id","adjudication_status","confidence","notes"
"DFM_00001","SRC029","","FUND_0001","Incline Equity Partners III (PSERS), L.P.","INCLINE EQUITY PARTNERS III PSERS L P","","","","","","","subject_fund","lp_position","","Pennsylvania Public School Employees' Retirement System","1","1","","Incline Equity Partners III (PSERS), L.P.","","EXTRACTED","","","ADJUDICATED","",""
"DFM_00002","SRC029","","FUND_0002","Milestone Partners II, L.P.","MILESTONE PARTNERS II L P","","","","","","","subject_fund","lp_position","","Pennsylvania Public School Employees' Retirement System","3","3","","Milestone Partners II, L.P.","","EXTRACTED","","","ADJUDICATED","",""
"DFM_00003","SRC029","","FUND_0003","New Mountain Partners IV, L.P.","NEW MOUNTAIN PARTNERS IV L P","","","","","","","subject_fund","lp_position","","Pennsylvania Public School Employees' Retirement System","5","5","","New Mountain Partners IV, L.P.","","EXTRACTED","","","ADJUDICATED","",""
"DFM_00004","SRC035","","FUND_0004","Adventure Fund I, L.P.","ADVENTURE FUND I L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","Adventure Fund I, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00005","SRC035","","FUND_0005","Builders VC Fund II","BUILDERS VC FUND II","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","3","3","","Builders VC Fund II","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00006","SRC035","","FUND_0006","Cascade Angels Fund 2016, L.P.","CASCADE ANGELS FUND 2016 L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Cascade Angels Fund 2016, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00007","SRC035","","FUND_0007","Cascade Angels Fund V, LLC","CASCADE ANGELS FUND V LLC","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","3","3","","Cascade Angels Fund V, LLC","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00008","SRC035","","FUND_0008","Cascade Seed Fund I, LLC","CASCADE SEED FUND I LLC","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","3","3","","Cascade Seed Fund I, LLC","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00009","SRC035","","FUND_0009","Cascade Seed Fund II","CASCADE SEED FUND II","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","3","3","","Cascade Seed Fund II","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00010","SRC035","","FUND_0010","DFJ Frontier Fund II, L.P.","DFJ FRONTIER FUND II L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","DFJ Frontier Fund II, L.P. 2007 Venture Capital $5,000,000 $5,000,000 $0 $1,786,462 $5,066,868 1.37 3.59","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00011","SRC035","","FUND_0011","Ecotrust Forests II, LLC","ECOTRUST FORESTS II LLC","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Ecotrust Forests II, LLC","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00012","SRC035","","FUND_0012","Elevate Capital Fund II","ELEVATE CAPITAL FUND II","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","3","3","","Elevate Capital Fund II 2020 Venture Capital $2,000,000 $800,000 $1,200,000 $0 $809,911 NM NM","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00013","SRC035","","FUND_0013","Endeavour Capital Fund III, L.P.","ENDEAVOUR CAPITAL FUND III L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","Endeavour Capital Fund III, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00014","SRC035","","FUND_0014","Enlightened Hospitality Investments, L.P.","ENLIGHTENED HOSPITALITY INVESTMENTS L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Enlightened Hospitality Investments, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00015","SRC035","","FUND_0015","Epic Venture Fund IV, L.P.","EPIC VENTURE FUND IV L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","Epic Venture Fund IV, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00016","SRC035","","FUND_0016","Epic Venture Fund V, L.P.","EPIC VENTURE FUND V L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Epic Venture Fund V, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00017","SRC035","","FUND_0017","Epic Ventures VI, L.P.","EPIC VENTURES VI L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","3","3","","Epic Ventures VI, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00018","SRC035","","FUND_0018","Fluke Venture Partners II, L.P.","FLUKE VENTURE PARTNERS II L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","Fluke Venture Partners II, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
