analysis_result_id,entity_id,as_of_date,metric_id,value_numeric,unit,formula_id,input_record_ids,benchmark_id,provenance_type,quality_population,notes,input_fee_basis,input_method
ANL_FUND_0001_20260605_DPI,FUND_0001,2026-06-05,dpi,0.1810131287,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FPRINT_9F6EE72E0AE003F5DA5E,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0001_20260605_RVPI,FUND_0001,2026-06-05,rvpi,0.9726579142,multiple,RVPI_NAV_OVER_PAID_IN_V1,FPRINT_9F6EE72E0AE003F5DA5E,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0001_20260605_TVPI,FUND_0001,2026-06-05,tvpi,1.1536710429,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FPRINT_9F6EE72E0AE003F5DA5E,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0001_20260605_XIRR,FUND_0001,2026-06-05,xirr,0.0441753286,decimal_rate,XIRR_ACTUAL_365_TERMINAL_NAV_V1,FPRINT_9F6EE72E0AE003F5DA5E;CFINT_F076E339224D3AC88243;CFINT_2E272BF3E94BE67A64CB;CFINT_53CE2993D6CCF79318BC;CFINT_ED0F04E22031C9374D4F;CFINT_3BB1418A9A681DE970C1;CFINT_478916AF97EC5C1DCB10;CFINT_EA7641566A552C4BB147,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Dated cash flows use the sign convention and terminal NAV is added on the as-of date.,unstated,unstated
ANL_FUND_0002_20260605_DPI,FUND_0002,2026-06-05,dpi,0.9881302576,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FPRINT_DEE97DD8B438932F1E05,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0002_20260605_RVPI,FUND_0002,2026-06-05,rvpi,0.2745798283,multiple,RVPI_NAV_OVER_PAID_IN_V1,FPRINT_DEE97DD8B438932F1E05,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0002_20260605_TVPI,FUND_0002,2026-06-05,tvpi,1.2627100859,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FPRINT_DEE97DD8B438932F1E05,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0002_20260605_XIRR,FUND_0002,2026-06-05,xirr,0.0188614745,decimal_rate,XIRR_ACTUAL_365_TERMINAL_NAV_V1,FPRINT_DEE97DD8B438932F1E05;CFINT_973B495A23EBDFBD0A04;CFINT_065089452BE5E35EE203;CFINT_AC9C856DDAD51D6F928D;CFINT_6BB66EB0F79B6E531913;CFINT_00AB5E84DDA0BF0D7F91;CFINT_EB8FB6BFCB566C4399AD;CFINT_D6D88C834F5C272FE8B6,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Dated cash flows use the sign convention and terminal NAV is added on the as-of date.,unstated,unstated
ANL_FUND_0003_20260605_DPI,FUND_0003,2026-06-05,dpi,0.8380763902,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FPRINT_12ED7303F66F0C5A05EE,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0003_20260605_RVPI,FUND_0003,2026-06-05,rvpi,0.4046157399,multiple,RVPI_NAV_OVER_PAID_IN_V1,FPRINT_12ED7303F66F0C5A05EE,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0003_20260605_TVPI,FUND_0003,2026-06-05,tvpi,1.2426921301,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FPRINT_12ED7303F66F0C5A05EE,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0003_20260605_XIRR,FUND_0003,2026-06-05,xirr,0.019828897,decimal_rate,XIRR_ACTUAL_365_TERMINAL_NAV_V1,FPRINT_12ED7303F66F0C5A05EE;CFINT_9079B85F99FAF69D05D8;CFINT_D6525BA205F3A1F1027B;CFINT_F3A872BE4CD520D89DB5;CFINT_D24490B1F4BAE385E5E0;CFINT_5A65290BC6F24661B064;CFINT_2F3B1414F9335A8EADF8;CFINT_4F40CE0F5874846E9527,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Dated cash flows use the sign convention and terminal NAV is added on the as-of date.,unstated,unstated
ANL_FUND_0004_20260605_DPI,FUND_0004,2026-06-05,dpi,1.949525179,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FPRINT_CF2B4688F5681A644B25,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
