manager_id,manager_name,legal_name,domicile,headquarters,website,base_currency,provenance_type,source_document_id,source_page,source_anchor,synthetic_parameter_set_id,record_status,created_at
MGR_0001,"Buckeye Venture Partners, LLC",,,,,,EXTRACTED,SRC036,3,,,ACTIVE,2026-08-10T23:57:56Z
MGR_0002,MassVentures,,,,,,EXTRACTED,SRC038,13,,,ACTIVE,2026-08-10T23:57:56Z
MGR_0003,Starwood Capital Group,,,,,,EXTRACTED,SRC053,1,,,ACTIVE,2026-08-10T23:57:56Z
MGR_0004,"Starwood REIT Advisors, L.L.C.",,,,,,EXTRACTED,SRC054,1,,,ACTIVE,2026-08-10T23:57:56Z
MGR_0005,"Versa Capital Management, LLC",,,,,,EXTRACTED,SRC034,9,,,ACTIVE,2026-08-11T10:42:52Z
MGR_0006,Utah Capital Investment Corporation,,,,,,EXTRACTED,SRC037,17,,,ACTIVE,2026-08-11T10:42:52Z
MGR_0007,"Connecticut Innovations, Incorporated",,,,,,EXTRACTED,SRC039,18,,,ACTIVE,2026-08-11T10:42:52Z
MGR_0008,Maryland Technology Development Corporation,,,,,,EXTRACTED,SRC040,10,,,ACTIVE,2026-08-11T10:42:52Z
MGR_0009,"Heritage Partners, Inc.",,,,,,EXTRACTED,SRC101,3,,,ACTIVE,2026-08-11T23:35:41Z
MGR_0010,Jefferson Partners Fund IV Management Corp.,,,,,,EXTRACTED,SRC102,6,,,ACTIVE,2026-08-11T23:35:41Z
MGR_0011,Incline Equity Partners,,,,,,DERIVED,,,,,ACTIVE,2026-08-12T00:41:43Z
MGR_0012,Milestone Partners,,,,,,DERIVED,,,,,ACTIVE,2026-08-12T00:41:43Z
MGR_0013,New Mountain Partners,,,,,,DERIVED,,,,,ACTIVE,2026-08-12T00:41:43Z
MGR_0014,Cascade Angels,,,,,,DERIVED,,,,,ACTIVE,2026-08-12T00:41:43Z
MGR_0015,Cascade Seed,,,,,,DERIVED,,,,,ACTIVE,2026-08-12T00:41:43Z
MGR_0016,DFJ Frontier,,,,,,DERIVED,,,,,ACTIVE,2026-08-12T00:41:43Z
MGR_0017,Ecotrust Forests,,,,,,DERIVED,,,,,ACTIVE,2026-08-12T00:41:43Z
MGR_0018,Elevate Capita,,,,,,DERIVED,,,,,ACTIVE,2026-08-12T00:41:43Z
MGR_0019,Endeavour Capita,,,,,,DERIVED,,,,,ACTIVE,2026-08-12T00:41:43Z
MGR_0020,Enlightened Hospitality Investments,,,,,,DERIVED,,,,,ACTIVE,2026-08-12T00:41:43Z
MGR_0021,Epic Venture,,,,,,DERIVED,,,,,ACTIVE,2026-08-12T00:41:43Z
