analysis_result_id,entity_id,as_of_date,metric_id,value_numeric,unit,formula_id,input_record_ids,benchmark_id,provenance_type,quality_population,notes,benchmark_selection,input_fee_basis,input_method
ANL_FUND_0001_20260605_KS_PME,FUND_0001,2026-06-05,ks_pme,0.6563430827,multiple,KS_PME_ASOF_BENCHMARK_V1,FPRINT_9F6EE72E0AE003F5DA5E;CFINT_F076E339224D3AC88243;CFINT_2E272BF3E94BE67A64CB;CFINT_53CE2993D6CCF79318BC;CFINT_ED0F04E22031C9374D4F;CFINT_3BB1418A9A681DE970C1;CFINT_478916AF97EC5C1DCB10;CFINT_EA7641566A552C4BB147;RET_SPY_20220405;RET_SPY_20221028;RET_SPY_20230526;RET_SPY_20231220;RET_SPY_20240830;RET_SPY_20250516;RET_SPY_20251226;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Each cash flow uses the latest benchmark observation on or before its date; terminal NAV uses the as-of benchmark level.,no_canonical_strategy,unstated,unstated
ANL_FUND_0001_20260605_DIRECT_ALPHA,FUND_0001,2026-06-05,direct_alpha,-0.120826658,decimal_rate,DIRECT_ALPHA_ASOF_BENCHMARK_XIRR_V1,FPRINT_9F6EE72E0AE003F5DA5E;CFINT_F076E339224D3AC88243;CFINT_2E272BF3E94BE67A64CB;CFINT_53CE2993D6CCF79318BC;CFINT_ED0F04E22031C9374D4F;CFINT_3BB1418A9A681DE970C1;CFINT_478916AF97EC5C1DCB10;CFINT_EA7641566A552C4BB147;RET_SPY_20220405;RET_SPY_20221028;RET_SPY_20230526;RET_SPY_20231220;RET_SPY_20240830;RET_SPY_20250516;RET_SPY_20251226;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Benchmark-scaled dated cash flows include terminal NAV on the as-of date.,no_canonical_strategy,unstated,unstated
ANL_FUND_0002_20260605_KS_PME,FUND_0002,2026-06-05,ks_pme,0.3047375349,multiple,KS_PME_ASOF_BENCHMARK_V1,FPRINT_DEE97DD8B438932F1E05;CFINT_973B495A23EBDFBD0A04;CFINT_065089452BE5E35EE203;CFINT_AC9C856DDAD51D6F928D;CFINT_6BB66EB0F79B6E531913;CFINT_00AB5E84DDA0BF0D7F91;CFINT_EB8FB6BFCB566C4399AD;CFINT_D6D88C834F5C272FE8B6;RET_SPY_20070122;RET_SPY_20090916;RET_SPY_20120511;RET_SPY_20150102;RET_SPY_20180409;RET_SPY_20210713;RET_SPY_20240521;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Each cash flow uses the latest benchmark observation on or before its date; terminal NAV uses the as-of benchmark level.,no_canonical_strategy,unstated,unstated
ANL_FUND_0002_20260605_DIRECT_ALPHA,FUND_0002,2026-06-05,direct_alpha,-0.0956478445,decimal_rate,DIRECT_ALPHA_ASOF_BENCHMARK_XIRR_V1,FPRINT_DEE97DD8B438932F1E05;CFINT_973B495A23EBDFBD0A04;CFINT_065089452BE5E35EE203;CFINT_AC9C856DDAD51D6F928D;CFINT_6BB66EB0F79B6E531913;CFINT_00AB5E84DDA0BF0D7F91;CFINT_EB8FB6BFCB566C4399AD;CFINT_D6D88C834F5C272FE8B6;RET_SPY_20070122;RET_SPY_20090916;RET_SPY_20120511;RET_SPY_20150102;RET_SPY_20180409;RET_SPY_20210713;RET_SPY_20240521;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Benchmark-scaled dated cash flows include terminal NAV on the as-of date.,no_canonical_strategy,unstated,unstated
ANL_FUND_0003_20260605_KS_PME,FUND_0003,2026-06-05,ks_pme,0.3050595253,multiple,KS_PME_ASOF_BENCHMARK_V1,FPRINT_12ED7303F66F0C5A05EE;CFINT_9079B85F99FAF69D05D8;CFINT_D6525BA205F3A1F1027B;CFINT_F3A872BE4CD520D89DB5;CFINT_D24490B1F4BAE385E5E0;CFINT_5A65290BC6F24661B064;CFINT_2F3B1414F9335A8EADF8;CFINT_4F40CE0F5874846E9527;RET_VTI_20091127;RET_VTI_20120302;RET_VTI_20140606;RET_VTI_20160909;RET_VTI_20190621;RET_VTI_20220401;RET_VTI_20240906;RET_VTI_20260605,BMK_ETF_VTI,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Each cash flow uses the latest benchmark observation on or before its date; terminal NAV uses the as-of benchmark level.,mapped,unstated,unstated
ANL_FUND_0003_20260605_DIRECT_ALPHA,FUND_0003,2026-06-05,direct_alpha,-0.1024917556,decimal_rate,DIRECT_ALPHA_ASOF_BENCHMARK_XIRR_V1,FPRINT_12ED7303F66F0C5A05EE;CFINT_9079B85F99FAF69D05D8;CFINT_D6525BA205F3A1F1027B;CFINT_F3A872BE4CD520D89DB5;CFINT_D24490B1F4BAE385E5E0;CFINT_5A65290BC6F24661B064;CFINT_2F3B1414F9335A8EADF8;CFINT_4F40CE0F5874846E9527;RET_VTI_20091127;RET_VTI_20120302;RET_VTI_20140606;RET_VTI_20160909;RET_VTI_20190621;RET_VTI_20220401;RET_VTI_20240906;RET_VTI_20260605,BMK_ETF_VTI,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Benchmark-scaled dated cash flows include terminal NAV on the as-of date.,mapped,unstated,unstated
ANL_FUND_0004_20260605_KS_PME,FUND_0004,2026-06-05,ks_pme,0.3115743117,multiple,KS_PME_ASOF_BENCHMARK_V1,FPRINT_CF2B4688F5681A644B25;CFINT_D407D2A83F59AC2E3A18;CFINT_7DD6614006A60AAEB302;CFINT_72AA7016286651C6A676;CFINT_E678B748CB02D2BEA64D;CFINT_274F27FA389601AF1A35;CFINT_8F306F09E2A9DF6DDA4E;CFINT_59CD0575FD4FF1B8CDF2;RET_QQQ_20080104;RET_QQQ_20100712;RET_QQQ_20130118;RET_QQQ_20150727;RET_QQQ_20180831;RET_QQQ_20211008;RET_QQQ_20240626;RET_QQQ_20260605,BMK_ETF_QQQ,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Each cash flow uses the latest benchmark observation on or before its date; terminal NAV uses the as-of benchmark level.,mapped,unstated,unstated
ANL_FUND_0004_20260605_DIRECT_ALPHA,FUND_0004,2026-06-05,direct_alpha,-0.1032367892,decimal_rate,DIRECT_ALPHA_ASOF_BENCHMARK_XIRR_V1,FPRINT_CF2B4688F5681A644B25;CFINT_D407D2A83F59AC2E3A18;CFINT_7DD6614006A60AAEB302;CFINT_72AA7016286651C6A676;CFINT_E678B748CB02D2BEA64D;CFINT_274F27FA389601AF1A35;CFINT_8F306F09E2A9DF6DDA4E;CFINT_59CD0575FD4FF1B8CDF2;RET_QQQ_20080104;RET_QQQ_20100712;RET_QQQ_20130118;RET_QQQ_20150727;RET_QQQ_20180831;RET_QQQ_20211008;RET_QQQ_20240626;RET_QQQ_20260605,BMK_ETF_QQQ,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Benchmark-scaled dated cash flows include terminal NAV on the as-of date.,mapped,unstated,unstated
ANL_FUND_0005_20260605_KS_PME,FUND_0005,2026-06-05,ks_pme,0.4778923704,multiple,KS_PME_ASOF_BENCHMARK_V1,FPRINT_90F094E455A743758BD9;CFINT_9F537CF4D0CB357CD839;CFINT_B131AB8F9E91A74B2C56;CFINT_39553F59E9F17E80B244;CFINT_5F632981F0015A120D5F;CFINT_2459C2FA0EC73EA2E148;CFINT_0E70CA4B3F8436B7F8A4;CFINT_F6EED28D1B686A7A653C;RET_SPY_20200508;RET_SPY_20210309;RET_SPY_20220107;RET_SPY_20221104;RET_SPY_20231114;RET_SPY_20241122;RET_SPY_20251014;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Each cash flow uses the latest benchmark observation on or before its date; terminal NAV uses the as-of benchmark level.,no_canonical_strategy,unstated,unstated
ANL_FUND_0005_20260605_DIRECT_ALPHA,FUND_0005,2026-06-05,direct_alpha,-0.1351272589,decimal_rate,DIRECT_ALPHA_ASOF_BENCHMARK_XIRR_V1,FPRINT_90F094E455A743758BD9;CFINT_9F537CF4D0CB357CD839;CFINT_B131AB8F9E91A74B2C56;CFINT_39553F59E9F17E80B244;CFINT_5F632981F0015A120D5F;CFINT_2459C2FA0EC73EA2E148;CFINT_0E70CA4B3F8436B7F8A4;CFINT_F6EED28D1B686A7A653C;RET_SPY_20200508;RET_SPY_20210309;RET_SPY_20220107;RET_SPY_20221104;RET_SPY_20231114;RET_SPY_20241122;RET_SPY_20251014;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Benchmark-scaled dated cash flows include terminal NAV on the as-of date.,no_canonical_strategy,unstated,unstated
