"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC323","1","1","ASSESSMENT OF VALUE REPORT","2","334","","2024)"
"SRC323","1","2","Border to Coast UK Listed Equity 02/07/2018","1","259","year ended","3.46"
"SRC323","1","2","Border to Coast UK Listed Equity 02/07/2018","2","334","31 March 2024.","3"
"SRC323","1","3","Border to Coast Overseas Developed Markets Equity 09/07/2018","1","259","year ended","7.48"
"SRC323","1","3","Border to Coast Overseas Developed Markets Equity 09/07/2018","2","334","31 March 2024.","3"
"SRC323","1","4","Border to Coast Emerging Markets Equity 02/10/2018","1","259","year ended","1.25"
"SRC323","1","4","Border to Coast Emerging Markets Equity 02/10/2018","2","334","31 March 2024.","3"
"SRC323","1","5","Border to Coast UK Listed Equity Alpha 19/11/2018","1","259","year ended","1.09"
"SRC323","1","5","Border to Coast UK Listed Equity Alpha 19/11/2018","2","334","31 March 2024.","3"
"SRC323","1","6","Border to Coast Global Equity Alpha 30/09/2019","1","259","year ended","6.79"
"SRC323","1","6","Border to Coast Global Equity Alpha 30/09/2019","2","334","31 March 2024.","3"
"SRC323","1","7","Border to Coast Sterling Investment Grade Credit 06/02/2020","1","259","year ended","3.83"
"SRC323","1","7","Border to Coast Sterling Investment Grade Credit 06/02/2020","2","334","31 March 2024.","5"
"SRC323","1","8","Border to Coast Sterling Index-Linked Bond 08/10/2020","1","259","year ended","1.80"
"SRC323","1","8","Border to Coast Sterling Index-Linked Bond 08/10/2020","2","334","31 March 2024.","5"
"SRC323","1","9","Border to Coast Listed Alternatives 31/01/2022","1","259","year ended","1.03"
"SRC323","1","9","Border to Coast Listed Alternatives 31/01/2022","2","334","31 March 2024.","5"
"SRC323","1","10","Border to Coast Multi Asset-Credit 14/10/2021","1","259","year ended","3.88"
"SRC323","1","10","Border to Coast Multi Asset-Credit 14/10/2021","2","334","31 March 2024.","5"
