"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC164","1","1","1 AlpInvest Co-Investment Fund VII, L.P.","1","365","","2017"
"SRC164","1","1","1 AlpInvest Co-Investment Fund VII, L.P.","2","422","","150,000,000"
"SRC164","1","1","1 AlpInvest Co-Investment Fund VII, L.P.","3","512","","141,247,136"
"SRC164","1","1","1 AlpInvest Co-Investment Fund VII, L.P.","4","597","","74,283,843"
"SRC164","1","1","1 AlpInvest Co-Investment Fund VII, L.P.","6","691","partnership","267,998,689"
"SRC164","1","1","1 AlpInvest Co-Investment Fund VII, L.P.","7","797","","871,753"
"SRC164","1","1","1 AlpInvest Co-Investment Fund VII, L.P.","8","883","Paid7","424,192"
"SRC164","1","1","1 AlpInvest Co-Investment Fund VII, L.P.","10","970","","0"
"SRC164","1","1","1 AlpInvest Co-Investment Fund VII, L.P.","11","1036","Paid to GP9","0"
"SRC164","1","1","1 AlpInvest Co-Investment Fund VII, L.P.","12","1116","","1.7"
"SRC164","1","1","1 AlpInvest Co-Investment Fund VII, L.P.","13","1179","6/30/2411","14.4%"
"SRC164","1","1","1 AlpInvest Co-Investment Fund VII, L.P.","15","1313","","29,492,773"
"SRC164","1","2","2 Apax IX USD, L.P.","1","365","","2017"
"SRC164","1","2","2 Apax IX USD, L.P.","2","422","","300,000,000"
"SRC164","1","2","2 Apax IX USD, L.P.","3","512","","325,152,555"
"SRC164","1","2","2 Apax IX USD, L.P.","4","597","","381,685,188"
"SRC164","1","2","2 Apax IX USD, L.P.","6","691","partnership","614,355,304"
"SRC164","1","2","2 Apax IX USD, L.P.","7","797","","2,119,336"
"SRC164","1","2","2 Apax IX USD, L.P.","8","883","Paid7","870,915"
"SRC164","1","2","2 Apax IX USD, L.P.","10","970","","0"
"SRC164","1","2","2 Apax IX USD, L.P.","11","1036","Paid to GP9","0"
"SRC164","1","2","2 Apax IX USD, L.P.","12","1116","","1.9"
"SRC164","1","2","2 Apax IX USD, L.P.","13","1179","6/30/2411","18.9%"
"SRC164","1","2","2 Apax IX USD, L.P.","15","1313","","216,839,731"
"SRC164","1","3","3 Ares Corporate Opportunities Fund V, L.P.","1","365","","2017"
"SRC164","1","3","3 Ares Corporate Opportunities Fund V, L.P.","2","422","","300,000,000"
"SRC164","1","3","3 Ares Corporate Opportunities Fund V, L.P.","3","512","","331,086,634"
"SRC164","1","3","3 Ares Corporate Opportunities Fund V, L.P.","4","597","","152,440,379"
"SRC164","1","3","3 Ares Corporate Opportunities Fund V, L.P.","6","691","partnership","445,263,292"
"SRC164","1","3","3 Ares Corporate Opportunities Fund V, L.P.","7","797","","1,165,968"
"SRC164","1","3","3 Ares Corporate Opportunities Fund V, L.P.","8","883","Paid7","328,952"
"SRC164","1","3","3 Ares Corporate Opportunities Fund V, L.P.","10","970","","0"
"SRC164","1","3","3 Ares Corporate Opportunities Fund V, L.P.","11","1036","Paid to GP9","25,137"
"SRC164","1","3","3 Ares Corporate Opportunities Fund V, L.P.","12","1116","","1.3"
"SRC164","1","3","3 Ares Corporate Opportunities Fund V, L.P.","13","1179","6/30/2411","7.6%"
"SRC164","1","3","3 Ares Corporate Opportunities Fund V, L.P.","15","1313","","21,475,728"
"SRC164","1","4","4 BC European Capital X, L.P.","1","365","","2017"
"SRC164","1","4","4 BC European Capital X, L.P.","2","422","","267,937,620"
"SRC164","1","4","4 BC European Capital X, L.P.","3","512","","270,877,620"
"SRC164","1","4","4 BC European Capital X, L.P.","4","597","","113,174,624"
"SRC164","1","4","4 BC European Capital X, L.P.","6","691","partnership","434,685,479"
"SRC164","1","4","4 BC European Capital X, L.P.","7","797","","1,999,745"
"SRC164","1","4","4 BC European Capital X, L.P.","8","883","Paid7","592,282"
"SRC164","1","4","4 BC European Capital X, L.P.","10","970","","0"
"SRC164","1","4","4 BC European Capital X, L.P.","11","1036","Paid to GP9","0"
"SRC164","1","4","4 BC European Capital X, L.P.","12","1116","","1.6"
"SRC164","1","4","4 BC European Capital X, L.P.","13","1179","6/30/2411","10.2%"
"SRC164","1","4","4 BC European Capital X, L.P.","15","1313","","36,671,905"
"SRC164","1","5","5 Blackstone Core Equity Partners - CA, L.P.","1","365","","2017"
"SRC164","1","5","5 Blackstone Core Equity Partners - CA, L.P.","2","422","","500,000,000"
"SRC164","1","5","5 Blackstone Core Equity Partners - CA, L.P.","3","512","","482,171,990"
"SRC164","1","5","5 Blackstone Core Equity Partners - CA, L.P.","4","597","","275,486,672"
"SRC164","1","5","5 Blackstone Core Equity Partners - CA, L.P.","6","691","partnership","1,005,323,664"
"SRC164","1","5","5 Blackstone Core Equity Partners - CA, L.P.","7","797","","4,072,756"
"SRC164","1","5","5 Blackstone Core Equity Partners - CA, L.P.","8","883","Paid7","557,555"
"SRC164","1","5","5 Blackstone Core Equity Partners - CA, L.P.","9","951","","5,587,624"
"SRC164","1","5","5 Blackstone Core Equity Partners - CA, L.P.","11","1036","Paid to GP9","347,715"
"SRC164","1","5","5 Blackstone Core Equity Partners - CA, L.P.","12","1116","","2.1"
"SRC164","1","5","5 Blackstone Core Equity Partners - CA, L.P.","13","1179","6/30/2411","17.3%"
"SRC164","1","5","5 Blackstone Core Equity Partners - CA, L.P.","15","1313","","140,059,317"
"SRC164","1","6","6 Blackstone Tactical Opportunities Fund, L.P.","1","365","","2017"
"SRC164","1","6","6 Blackstone Tactical Opportunities Fund, L.P.","2","422","","250,000,000"
"SRC164","1","6","6 Blackstone Tactical Opportunities Fund, L.P.","3","512","","236,466,385"
"SRC164","1","6","6 Blackstone Tactical Opportunities Fund, L.P.","4","597","","306,981,502"
"SRC164","1","6","6 Blackstone Tactical Opportunities Fund, L.P.","6","691","partnership","329,974,418"
"SRC164","1","6","6 Blackstone Tactical Opportunities Fund, L.P.","7","797","","332,565"
"SRC164","1","6","6 Blackstone Tactical Opportunities Fund, L.P.","8","883","Paid7","512,800"
"SRC164","1","6","6 Blackstone Tactical Opportunities Fund, L.P.","10","970","","0"
"SRC164","1","6","6 Blackstone Tactical Opportunities Fund, L.P.","11","1036","Paid to GP9","0"
"SRC164","1","6","6 Blackstone Tactical Opportunities Fund, L.P.","12","1116","","1.4"
"SRC164","1","6","6 Blackstone Tactical Opportunities Fund, L.P.","13","1179","6/30/2411","9.8%"
"SRC164","1","6","6 Blackstone Tactical Opportunities Fund, L.P.","15","1313","","124,117,593"
"SRC164","1","7","7 BlueRun Ventures VI, L.P.","1","365","","2017"
"SRC164","1","7","7 BlueRun Ventures VI, L.P.","2","422","","19,156,626"
"SRC164","1","7","7 BlueRun Ventures VI, L.P.","3","512","","13,409,638"
"SRC164","1","7","7 BlueRun Ventures VI, L.P.","4","597","","727,368"
"SRC164","1","7","7 BlueRun Ventures VI, L.P.","6","691","partnership","26,611,600"
"SRC164","1","7","7 BlueRun Ventures VI, L.P.","7","797","","383,132"
"SRC164","1","7","7 BlueRun Ventures VI, L.P.","8","883","Paid7","15,665"
"SRC164","1","7","7 BlueRun Ventures VI, L.P.","10","970","","0"
"SRC164","1","7","7 BlueRun Ventures VI, L.P.","11","1036","Paid to GP9","0"
"SRC164","1","7","7 BlueRun Ventures VI, L.P.","12","1116","","2.0"
"SRC164","1","7","7 BlueRun Ventures VI, L.P.","13","1179","6/30/2411","15.9%"
"SRC164","1","7","7 BlueRun Ventures VI, L.P.","15","1313","","9,576,222"
"SRC164","1","8","8 CalSTRS New & Next Generation Manager Fund IV, L.P.","1","365","","2017"
"SRC164","1","8","8 CalSTRS New & Next Generation Manager Fund IV, L.P.","2","422","","337,500,000"
"SRC164","1","8","8 CalSTRS New & Next Generation Manager Fund IV, L.P.","3","512","","287,623,762"
"SRC164","1","8","8 CalSTRS New & Next Generation Manager Fund IV, L.P.","4","597","","23,267,328"
"SRC164","1","8","8 CalSTRS New & Next Generation Manager Fund IV, L.P.","6","691","partnership","536,639,238"
"SRC164","1","8","8 CalSTRS New & Next Generation Manager Fund IV, L.P.","7","797","","1,687,431"
"SRC164","1","8","8 CalSTRS New & Next Generation Manager Fund IV, L.P.","8","883","Paid7","59,406"
"SRC164","1","8","8 CalSTRS New & Next Generation Manager Fund IV, L.P.","10","970","","0"
"SRC164","1","8","8 CalSTRS New & Next Generation Manager Fund IV, L.P.","11","1036","Paid to GP9","0"
"SRC164","1","8","8 CalSTRS New & Next Generation Manager Fund IV, L.P.","12","1116","","1.9"
"SRC164","1","8","8 CalSTRS New & Next Generation Manager Fund IV, L.P.","13","1179","6/30/2411","18.6%"
"SRC164","1","8","8 CalSTRS New & Next Generation Manager Fund IV, L.P.","15","1313","","69,674,239"
"SRC164","1","9","9 Capital Partners IV, L.P.","1","365","","2017"
"SRC164","1","9","9 Capital Partners IV, L.P.","2","422","","25,000,000"
"SRC164","1","9","9 Capital Partners IV, L.P.","3","512","","24,050,000"
"SRC164","1","9","9 Capital Partners IV, L.P.","5","619","","0"
"SRC164","1","9","9 Capital Partners IV, L.P.","6","691","partnership","34,891,091"
"SRC164","1","9","9 Capital Partners IV, L.P.","7","797","","374,988"
"SRC164","1","9","9 Capital Partners IV, L.P.","8","883","Paid7","30,157"
"SRC164","1","9","9 Capital Partners IV, L.P.","10","970","","0"
"SRC164","1","9","9 Capital Partners IV, L.P.","11","1036","Paid to GP9","0"
"SRC164","1","9","9 Capital Partners IV, L.P.","12","1116","","1.5"
"SRC164","1","9","9 Capital Partners IV, L.P.","13","1179","6/30/2411","8.4%"
"SRC164","1","9","9 Capital Partners IV, L.P.","15","1313","","2,204,655"
"SRC164","1","10","10 EnCap Energy Capital Fund XI, L.P.","1","365","","2017"
"SRC164","1","10","10 EnCap Energy Capital Fund XI, L.P.","2","422","","300,000,000"
"SRC164","1","10","10 EnCap Energy Capital Fund XI, L.P.","3","512","","290,063,879"
"SRC164","1","10","10 EnCap Energy Capital Fund XI, L.P.","4","597","","172,967,832"
"SRC164","1","10","10 EnCap Energy Capital Fund XI, L.P.","6","691","partnership","535,773,477"
"SRC164","1","10","10 EnCap Energy Capital Fund XI, L.P.","7","797","","3,154,950"
"SRC164","1","10","10 EnCap Energy Capital Fund XI, L.P.","8","883","Paid7","91,899"
"SRC164","1","10","10 EnCap Energy Capital Fund XI, L.P.","10","970","","0"
"SRC164","1","10","10 EnCap Energy Capital Fund XI, L.P.","11","1036","Paid to GP9","0"
"SRC164","1","10","10 EnCap Energy Capital Fund XI, L.P.","12","1116","","1.8"
"SRC164","1","10","10 EnCap Energy Capital Fund XI, L.P.","13","1179","6/30/2411","22.2%"
"SRC164","1","10","10 EnCap Energy Capital Fund XI, L.P.","15","1313","","50,344,059"
"SRC164","1","11","11 FountainVest China Capital Partners Fund III, L.P.","1","365","","2017"
