"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC564","5","1","– This report","5","373","","2011"
"SRC564","5","2","Terms Study.","6","501","","260"
"SRC564","5","3","listed real","6","501","","55%"
"SRC564","5","4","the INREV","5","373","","52%"
"SRC564","5","5","– Total expense","5","373","investments.","38%"
"SRC564","5","6","information","2","270","","25%"
"SRC564","5","6","information","6","501","","12.5%"
"SRC564","5","7","added funds","6","501","","50%"
"SRC564","5","8","0.99% for","3","294","have multi-sector","1.12%"
"SRC564","5","9","– An annual","5","373","investments.","87.3%"
"SRC564","5","10","same for core","1","233","other half","(0.61%)"
"SRC564","5","10","same for core","4","338","","(0.62%)"
"SRC564","5","11","launched in","1","233","other half","2005"
"SRC564","5","12","funds with","3","294","have multi-sector","2007."
"SRC564","5","13","– P erformance","3","294","have multi-sector","81%"
"SRC564","5","14","added funds.","2","270","","50"
"SRC564","5","15","funds the periodic","3","294","have multi-sector","9.2%"
"SRC564","6","1","Since","1","194","different categories: property-specific","2007,"
"SRC564","6","2","fees","2","251","initial costs.","2"
"SRC564","6","2","fees","4","390","fees, performance","4."
"SRC564","6","3","discussed","2","251","initial costs.","3."
"SRC564","6","4","found","2","251","initial costs.","2"
"SRC564","6","4","found","4","390","fees, performance","3."
"SRC564","6","5","0.5 –","1","194","different categories: property-specific","1.0%"
"SRC564","6","5","0.5 –","4","390","fees, performance","(0.75%)"
"SRC564","6","6","The","4","390","fees, performance","476"
"SRC564","6","7","the INREV","3","334","management","2011)"
"SRC564","6","7","the INREV","4","390","fees, performance","260"
"SRC564","6","8","PAGE","1","194","different categories: property-specific","04"
"SRC564","7","1","mance","4","449","","2."
"SRC564","7","2","In the","1","194","MANAGEMENT","2011"
"SRC564","7","2","In the","2","306","TERMS STUDY","45"
"SRC564","7","2","In the","3","332","2011","175"
"SRC564","7","3","reported","5","494","","22"
"SRC564","7","4","total","3","332","2011","(67,"
"SRC564","7","5","very","5","494","","4."
"SRC564","7","6","TER,","1","194","MANAGEMENT","17"
"SRC564","7","7","The","4","449","","92%"
"SRC564","7","8","TER.","2","306","TERMS STUDY","50%"
"SRC564","7","9","range","4","449","","0.3"
"SRC564","7","10","tables","2","306","TERMS STUDY","03"
"SRC564","7","10","tables","3","332","2011","10)"
"SRC564","7","10","tables","4","449","","4."
"SRC564","7","11","PAGE","1","194","MANAGEMENT","05"
"SRC564","9","1","data","4","421","","2011."
"SRC564","9","2","Fund","4","421","","87%"
"SRC564","9","3","PAGE","2","199","","07"
"SRC564","10","1","used","3","238","FEES","13%"
"SRC564","10","2","Table","2","194","MANAGEMENT","13"
"SRC564","10","2","Table","4","255","AND TERMS","11"
"SRC564","10","2","Table","5","315","STUDY 2011","4"
"SRC564","10","3","management","6","352","","(0.61%)"
"SRC564","10","4","but","7","380","","(0.93%)"
"SRC564","10","5","seen","9","437","","2005,"
"SRC564","10","6","in","1","181","","2007"
"SRC564","10","6","in","9","437","","2009"
"SRC564","10","6","in","10","489","","2010"
"SRC564","10","7","the","10","489","","2005"
"SRC564","10","8","PAGE","2","194","MANAGEMENT","08"
"SRC564","12","1","MANAGEMENT FEES AND TERMS STUDY","1","338","","2011"
"SRC564","12","2","the sample is in funds with target GAV of","2","389","","1599"
"SRC564","12","2","the sample is in funds with target GAV of","3","462","","0.49%"
"SRC564","12","3","The GAV-based average fee range for both","3","462","","0.60%"
"SRC564","12","4","and the Management Fees and Terms Study","2","389","","2011."
"SRC564","12","5","Performance fees are charged by 210 funds","1","338","performance fees","(81%)"
