"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC290","2","1","Chair’s statement","1","267","","2"
"SRC290","2","2","At a glance","1","267","","4"
"SRC290","2","3","Chief Executive’s statement","1","267","","6"
"SRC290","2","4","Our thematic approach to investment","1","267","","12"
"SRC290","2","5","Our business model","1","267","","14"
"SRC290","2","6","Strategic objectives and key performance indicators","1","267","","16"
"SRC290","2","7","Private Equity","1","267","","19"
"SRC290","2","7","Private Equity","2","493","","114"
"SRC290","2","8","Infrastructure","1","267","","35"
"SRC290","2","8","Infrastructure","2","493","","116"
"SRC290","2","9","Scandlines","1","267","","38"
"SRC290","2","10","A responsible approach","1","267","","40"
"SRC290","2","11","1. Invest responsibly","1","267","","42"
"SRC290","2","12","2. Recruit and develop a diverse pool of talent","1","267","","52"
"SRC290","2","13","3. Act as a good corporate citizen","1","267","","56"
"SRC290","2","14","Our TCFD disclosures","1","267","","58"
"SRC290","2","15","Financial review","1","267","","70"
"SRC290","2","16","Reconciliation of Investment basis and IFRS","1","267","","75"
"SRC290","2","17","Alternative Performance Measures","1","267","","79"
"SRC290","2","18","Risk management","1","267","","80"
"SRC290","2","19","Principal risks and mitigations","1","267","","85"
"SRC290","2","20","Directors’ duties under Section 172","1","267","","94"
"SRC290","3","1","Chair’s statement","1","-385","","2"
"SRC290","3","2","At a glance","1","-385","","4"
"SRC290","3","3","Chief Executive’s statement","1","-385","","6"
"SRC290","3","4","Our thematic approach to investment","1","-385","","12"
"SRC290","3","5","Our business model","1","-385","","14"
"SRC290","3","6","Strategic objectives and key performance indicators","1","-385","","16"
"SRC290","3","7","Private Equity","1","-385","","19"
"SRC290","3","7","Private Equity","2","-159","","114"
"SRC290","3","8","Infrastructure","1","-385","","35"
"SRC290","3","8","Infrastructure","2","-159","","116"
"SRC290","3","9","Scandlines","1","-385","","38"
"SRC290","3","10","A responsible approach","1","-385","","40"
"SRC290","3","11","1. Invest responsibly","1","-385","","42"
"SRC290","3","12","2. Recruit and develop a diverse pool of talent","1","-385","","52"
"SRC290","3","13","3. Act as a good corporate citizen","1","-385","","56"
"SRC290","3","14","Our TCFD disclosures","1","-385","","58"
"SRC290","3","15","Financial review","1","-385","","70"
"SRC290","3","16","Reconciliation of Investment basis and IFRS","1","-385","","75"
"SRC290","3","17","Alternative Performance Measures","1","-385","","79"
"SRC290","3","18","Risk management","1","-385","","80"
"SRC290","3","19","Principal risks and mitigations","1","-385","","85"
"SRC290","3","20","Directors’ duties under Section 172","1","-385","","94"
"SRC290","8","1","year with a","4","234","a total funds of","2,542"
"SRC290","8","2","Since our restructuring","2","168","shareholders’","2012,"
"SRC290","8","3","has increased by","3","195","generated","279"
"SRC290","8","4","31 March 2012 to","1","123","FY2025, we","2,542"
"SRC290","8","4","31 March 2012 to","3","195","generated","31"
"SRC290","8","4","31 March 2012 to","4","234","a total funds of","2025."
"SRC290","8","5","NAV per share","1","123","FY2025, we","31"
"SRC290","8","5","NAV per share","2","168","shareholders’","2012"
"SRC290","8","5","NAV per share","3","195","generated","31"
"SRC290","8","5","NAV per share","4","234","a total funds of","2025"
"SRC290","8","6","3i Group plc | Annual","3","195","generated","2025"
"SRC290","9","1","year with a","4","-418","","2,542"
"SRC290","9","2","Since our restructuring","2","-484","","2012,"
"SRC290","9","3","has increased by","3","-456","","279"
"SRC290","9","4","31 March 2012 to","1","-529","","2,542"
"SRC290","9","4","31 March 2012 to","3","-456","","31"
"SRC290","9","4","31 March 2012 to","4","-418","","2025."
"SRC290","9","5","NAV per share","1","-529","","31"
"SRC290","9","5","NAV per share","2","-484","","2012"
"SRC290","9","5","NAV per share","3","-456","","31"
"SRC290","9","5","NAV per share","4","-418","","2025"
"SRC290","9","6","3i Group plc | Annual","3","-456","","2025"
"SRC290","9","6","3i Group plc | Annual","5","182","","2025"
"SRC290","10","1","In the 12 months","1","110","","29"
"SRC290","10","1","In the 12 months","3","210","","2024,"
"SRC290","10","2","of €13,781 million","2","158","","€11,324"
"SRC290","10","2","of €13,781 million","3","210","","22%"
"SRC290","10","2","of €13,781 million","5","271","","2023,"
"SRC290","10","3","for-like (“LFL”)","2","158","","10.3%"
"SRC290","10","4","volumes accounted","2","158","","102%"
"SRC290","10","4","volumes accounted","6","340","","10,000"
"SRC290","10","4","volumes accounted","7","386","","2024,"
"SRC290","10","5","the business","6","340","","51%"
"SRC290","10","5","the business","13","588","","1"
"SRC290","10","6","visits from existing","5","271","","€2,076"
"SRC290","10","6","visits from existing","6","340","","2)"
"SRC290","10","6","visits from existing","7","386","","2021"
"SRC290","10","6","visits from existing","9","424","","90%"
"SRC290","10","7","(2023: €1,615","2","158","","2024, 29%"
"SRC290","10","7","(2023: €1,615","3","210","","2023."
"SRC290","10","8","EBITDA margin","3","210","","14.3%"
"SRC290","10","9","Action added","1","110","","352"
"SRC290","10","9","Action added","2","158","","2024,"
"SRC290","10","10","taking its total","2","158","","2,918"
"SRC290","10","10","taking its total","3","210","","29"
"SRC290","10","10","taking its total","5","271","","2024."
"SRC290","10","10","taking its total","6","340","","2024,"
"SRC290","10","11","of Action’s more","6","340","","€2.1"
"SRC290","10","12","which added","1","110","","65"
"SRC290","10","12","which added","2","158","","40"
"SRC290","10","12","which added","10","448","","€700"
"SRC290","10","13","newest country,","3","210","","10"
"SRC290","10","14","Action’s estimate","6","340","","2020"
"SRC290","10","15","Switzerland,","4","242","","2025."
"SRC290","10","15","Switzerland,","11","474","","£768"
"SRC290","10","16","In the first three","2","158","","2025"
"SRC290","10","16","In the first three","3","210","","2025"
"SRC290","10","16","In the first three","4","242","","30"
"SRC290","10","17","Action added","2","158","","49"
"SRC290","10","17","Action added","7","386","","2024"
"SRC290","10","17","Action added","10","448","","2025,"
"SRC290","10","18","2,967 stores","1","110","","12"
"SRC290","10","19","Illescas, Spain","5","271","","15"
"SRC290","10","20","across Europe,","5","271","","2025."
"SRC290","10","20","across Europe,","8","402","","81%"
"SRC290","10","20","across Europe,","9","424","","2024."
"SRC290","10","21","Action also invested","12","505","","2024"
"SRC290","10","21","Action also invested","13","588","","2025,"
"SRC290","10","22","system, which","5","271","","2024."
"SRC290","10","22","system, which","7","386","","£433"
"SRC290","10","23","first quarter of","1","110","","2025"
"SRC290","10","23","first quarter of","5","271","","2025."
"SRC290","10","23","first quarter of","8","402","","€347"
"SRC290","10","23","first quarter of","11","474","","30"
"SRC290","10","23","first quarter of","12","505","","2025"
"SRC290","10","24","3i Group plc | Annual","3","210","","2025"
"SRC290","10","24","3i Group plc | Annual","13","588","","8"
"SRC290","11","1","In the 12 months","1","-542","","29"
"SRC290","11","1","In the 12 months","3","-442","","2024,"
"SRC290","11","1","In the 12 months","14","109","","2025,"
"SRC290","11","1","In the 12 months","15","184","","57.9%"
"SRC290","11","2","of €13,781 million","2","-494","","€11,324"
"SRC290","11","2","of €13,781 million","3","-442","","22%"
"SRC290","11","2","of €13,781 million","5","-381","","2023,"
"SRC290","11","3","for-like (“LFL”)","2","-494","","10.3%"
"SRC290","11","4","volumes accounted","2","-494","","102%"
"SRC290","11","4","volumes accounted","6","-312","","10,000"
"SRC290","11","4","volumes accounted","7","-266","","2024,"
"SRC290","11","5","the business","6","-312","","51%"
"SRC290","11","5","the business","13","-64","","1"
"SRC290","11","5","the business","17","332","","£54"
"SRC290","11","6","visits from existing","5","-381","","€2,076"
"SRC290","11","6","visits from existing","6","-312","","2)"
"SRC290","11","6","visits from existing","7","-266","","2021"
"SRC290","11","6","visits from existing","9","-228","","90%"
"SRC290","11","6","visits from existing","14","109","","31."
"SRC290","11","7","(2023: €1,615","2","-494","","2024, 29%"
"SRC290","11","7","(2023: €1,615","3","-442","","2023."
"SRC290","11","8","EBITDA margin","3","-442","","14.3%"
"SRC290","11","9","Action added","1","-542","","352"
"SRC290","11","9","Action added","2","-494","","2024,"
"SRC290","11","10","taking its total","2","-494","","2,918"
"SRC290","11","10","taking its total","3","-442","","29"
"SRC290","11","10","taking its total","5","-381","","2024."
"SRC290","11","10","taking its total","6","-312","","2024,"
"SRC290","11","11","largest contributions","15","184","","€464"
"SRC290","11","11","largest contributions","16","249","","17%"
