"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC288","6","1","3i Infrastructure plc","2","209","","2025"
"SRC288","6","2","I am pleased to report","2","209","","10.1%"
"SRC288","6","3","in the year ended","1","131","","31"
"SRC288","6","4","total return of 8%","1","131","","10%"
"SRC288","6","5","since the Company’s","2","209","","2007,"
"SRC288","7","1","We invest across a broad spectrum of The NAV","4","374","","362.3"
"SRC288","7","2","infrastructure themes, and in this report pence to","1","278","","386.2"
"SRC288","7","3","companies invest in, develop and (‘TSR’) of","1","278","","1.3%"
"SRC288","7","4","actively manage essential infrastructure. that of the","2","310","","250,"
"SRC288","7","4","actively manage essential infrastructure. that of the","4","374","","1.1%"
"SRC288","7","5","this report on pages 56 and 57. market","2","310","","6.0%"
"SRC288","7","6","Performance","5","454","","2024,"
"SRC288","7","7","Dividend","5","454","","2025."
"SRC288","7","8","2025, or 10.1% on opening NAV, ahead dividend","1","278","","6.325"
"SRC288","7","9","of our target of 8% to 10% per annum January","1","278","","2025,"
"SRC288","7","10","to be achieved over the medium term. a final dividend","4","374","","6.325"
"SRC288","7","11","Review from the Managing Partner of 12.65","3","342","","6.3%"
"SRC288","7","12","dividend","3","342","","11"
"SRC288","7","12","dividend","4","374","","2025."
"SRC288","7","13","target for","3","342","","31"
"SRC288","7","13","target for","4","374","","2026"
"SRC288","8","1","and differentiated n Energy transition","2","767","","40%"
"SRC288","8","2","n Digitalisation","2","767","","25%"
"SRC288","8","3","n Renewing","2","767","","22%"
"SRC288","8","4","n Demographic","2","767","","8%"
"SRC288","8","5","n Other critical","2","767","","5%"
"SRC288","8","6","£3.8bn * Refer to page","1","663","","18"
"SRC288","10","1","strategy continues to for the Company. portfolio","2","537","","35%"
"SRC288","10","1","strategy continues to for the Company. portfolio","3","584","","32%)"
"SRC288","10","2","refinancing","2","537","","2028."
"SRC288","10","3","August","1","468","","2024"
"SRC288","10","3","August","3","584","","£30"
"SRC288","10","4","The realisation of Valorem in January 2025, them with enhanced flexibility to fund capital September","1","468","","2024"
"SRC288","10","4","The realisation of Valorem in January 2025, them with enhanced flexibility to fund capital September","3","584","","23%"
"SRC288","10","5","January","1","468","","2025"
"SRC288","10","5","January","3","584","","£257"
"SRC288","10","6","investment can be found on pages 10 and 11. January","1","468","","2025"
"SRC288","10","6","investment can be found on pages 10 and 11. January","3","584","","£20"
"SRC288","16","1","3i Infrastructure plc Annual report and accounts","1","208","","2025"
"SRC288","16","2","Good","2","316","","5."
"SRC288","16","3","Pages 16 and 17 Page","1","208","","13"
"SRC288","24","1","Pages","1","284","Read more","25 27"
"SRC288","24","1","Pages","2","471","Read more","32"
"SRC288","24","1","Pages","3","488","","36"
"SRC288","24","2","Page","1","284","Read more","47"
"SRC288","24","2","Page","2","471","Read more","52"
"SRC288","24","2","Page","3","488","","59"
"SRC288","31","1","connectivity to customers","2","742","","150"
"SRC288","31","2","countries (cable in","2","742","","40"
"SRC288","31","3","countries) through","1","684","","41"
"SRC288","31","4","widespread deployment of AI, all of which since 3iN acquired","1","684","","2022,"
"SRC288","31","5","Commercial and enterprise data needs EBITDA margins","2","742","","19%"
"SRC288","31","6","services become increasingly decentralised has invested over","1","684","","$90"
"SRC288","34","1","We have a focused Table 1: Portfolio summary","1","341","","(31"
"SRC288","34","1","We have a focused Table 1: Portfolio summary","2","393","","2025,"
"SRC288","34","2","Portfolio assets 31 March","1","341","Directors’","2024"
"SRC288","34","2","Portfolio assets 31 March","6","574","Foreign","31"
"SRC288","34","2","Portfolio assets 31 March","7","623","Directors’","2025"
"SRC288","34","3","TCR","1","341","Directors’","608"
"SRC288","34","3","TCR","2","393","","162"
"SRC288","34","3","TCR","4","490","Accrued","5"
"SRC288","34","3","TCR","5","530","","77"
"SRC288","34","3","TCR","6","574","Foreign","(7)"
"SRC288","34","3","TCR","7","623","Directors’","639"
"SRC288","34","3","TCR","8","678","Allocated foreign","12"
"SRC288","34","3","TCR","9","724","Underlying portfolio Portfolio total","21"
"SRC288","34","3","TCR","10","773","","103"
"SRC288","34","4","ESVAGT","1","341","Directors’","531"
"SRC288","34","4","ESVAGT","2","393","","512"
"SRC288","34","4","ESVAGT","4","490","Accrued","1"
"SRC288","34","4","ESVAGT","5","530","","(3)"
"SRC288","34","4","ESVAGT","6","574","Foreign","4"
"SRC288","34","4","ESVAGT","7","623","Directors’","584"
"SRC288","34","4","ESVAGT","8","678","Allocated foreign","(1)"
"SRC288","34","4","ESVAGT","9","724","Underlying portfolio Portfolio total","52"
"SRC288","34","4","ESVAGT","10","773","","52"
"SRC288","34","5","structural growth Infinis","1","341","Directors’","421"
"SRC288","34","5","structural growth Infinis","5","530","","61"
"SRC288","34","5","structural growth Infinis","7","623","Directors’","480"
"SRC288","34","5","structural growth Infinis","9","724","Underlying portfolio Portfolio total","18"
"SRC288","34","5","structural growth Infinis","10","773","","79"
"SRC288","34","6","FLAG","1","341","Directors’","345"
"SRC288","34","6","FLAG","2","393","","242"
"SRC288","34","6","FLAG","4","490","Accrued","9"
"SRC288","34","6","FLAG","5","530","","11"
"SRC288","34","6","FLAG","6","574","Foreign","(7)"
"SRC288","34","6","FLAG","7","623","Directors’","382"
"SRC288","34","6","FLAG","8","678","Allocated foreign","4"
"SRC288","34","6","FLAG","9","724","Underlying portfolio Portfolio total","33"
"SRC288","34","6","FLAG","10","773","","41"
"SRC288","34","7","Tampnet","1","341","Directors’","343"
"SRC288","34","7","Tampnet","2","393","","62"
"SRC288","34","7","Tampnet","4","490","Accrued","1"
"SRC288","34","7","Tampnet","5","530","","32"
"SRC288","34","7","Tampnet","6","574","Foreign","(3)"
"SRC288","34","7","Tampnet","7","623","Directors’","379"
"SRC288","34","7","Tampnet","8","678","Allocated foreign","3"
"SRC288","34","7","Tampnet","9","724","Underlying portfolio Portfolio total","13"
"SRC288","34","7","Tampnet","10","773","","45"
"SRC288","34","8","confident that it is Joulz","1","341","Directors’","306"
"SRC288","34","8","confident that it is Joulz","2","393","","92,3"
"SRC288","34","8","confident that it is Joulz","5","530","","27"
"SRC288","34","8","confident that it is Joulz","6","574","Foreign","(6)"
"SRC288","34","8","confident that it is Joulz","7","623","Directors’","334"
"SRC288","34","8","confident that it is Joulz","8","678","Allocated foreign","8"
"SRC288","34","8","confident that it is Joulz","9","724","Underlying portfolio Portfolio total","7"
"SRC288","34","8","confident that it is Joulz","10","773","","36"
"SRC288","34","9","Ionisos","1","341","Directors’","306"
"SRC288","34","9","Ionisos","2","393","","172"
"SRC288","34","9","Ionisos","4","490","Accrued","(8)"
"SRC288","34","9","Ionisos","5","530","","(6)"
"SRC288","34","9","Ionisos","6","574","Foreign","(6)"
"SRC288","34","9","Ionisos","7","623","Directors’","303"
"SRC288","34","9","Ionisos","8","678","Allocated foreign","8"
"SRC288","34","9","Ionisos","9","724","Underlying portfolio Portfolio total","10"
"SRC288","34","9","Ionisos","10","773","","6"
"SRC288","34","10","DNS:NET","1","341","Directors’","164"
"SRC288","34","10","DNS:NET","2","393","","342,3"
