"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC293","4","1","On","1","56","FY 2024","6"
"SRC293","4","1","On","2","116","dividend declared","2025,"
"SRC293","4","2","on","1","56","FY 2024","7"
"SRC293","4","2","on","2","116","dividend declared","2025"
"SRC293","5","1","6% dividend growth achieved for FY 2024; FY","1","322","globally diversified","2025"
"SRC293","5","1","6% dividend growth achieved for FY 2024; FY","2","445","of 56 high-quality,","2%"
"SRC293","5","2","Weighted average discount rate increased to","1","322","globally diversified","7.6%"
"SRC293","6","1","Availability-style","2","187","","100%"
"SRC293","6","1","Availability-style","3","359","","100%"
"SRC293","6","1","Availability-style","6","541","","35%"
"SRC293","6","2","revenue","3","359","","0%"
"SRC293","6","2","revenue","6","541","","33%"
"SRC293","6","3","Demand-base","6","541","","10%"
"SRC293","6","4","assets","6","541","","10%"
"SRC293","6","5","Transport","2","187","","54%"
"SRC293","6","5","Transport","3","359","","6%"
"SRC293","6","5","Transport","6","541","","57%"
"SRC293","6","6","Healthcare","2","187","","20%"
"SRC293","6","6","Healthcare","6","541","","10%"
"SRC293","6","7","Civic","2","187","","12%"
"SRC293","6","7","Civic","3","359","","94%"
"SRC293","6","7","Civic","6","541","","33%"
"SRC293","6","8","Education","2","187","","9%"
"SRC293","6","8","Education","3","359","","14%"
"SRC293","6","9","Affordable","2","187","","3%"
"SRC293","6","9","Affordable","3","359","","15%"
"SRC293","6","10","Clean","2","187","","2%"
"SRC293","7","1","UK 25 assets","2","168","","16"
"SRC293","7","2","AUSTRALIA","1","113","","3"
"SRC293","7","3","NORWAY","1","113","","1"
"SRC293","7","3","NORWAY","2","168","","1"
"SRC293","9","1","includes low-risk, essential Social","5","547","","£230"
"SRC293","9","2","assets, backed by creditworthy public-sector","4","431","Financial management","£150"
"SRC293","9","3","predictable performance, consistently","5","547","Our proportionate share of Portfolio Company","31"
"SRC293","9","4","period across all countries in which","5","547","","4.5%"
"SRC293","9","5","Company invests. The net negative","4","431","December 2024. We actively manage treasury","2024."
"SRC293","9","6","We remain on track to deliver our","2","185","per share was","6%"
"SRC293","9","7","dividend increase to 8.40pps for","1","154","","2024,"
"SRC293","9","8","following a similar increase in FY","1","154","","2023,"
"SRC293","9","8","following a similar increase in FY","2","185","per share was","2%"
"SRC293","9","9","target increase (to 8.57pps) for FY","1","154","","2025."
"SRC293","9","10","Dividend cash cover during the year","2","185","per share was","1.37x"
"SRC293","12","1","5–10 years,","4","558","","12% 12%"
"SRC293","12","2","10% 11%CapilaCnaop","4","558","","11% 11%"
"SRC293","12","3","2–5 years, 39%","4","558","","9% 9%"
"SRC293","12","4","7%","4","558","","5% 5%"
"SRC293","12","5","1–2 years,","4","558","","4% 4%"
"SRC293","12","6","14%","4","558","","3% 3%"
