"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC325","6","1","environment.","4","499","","$93"
"SRC325","6","2","diversification","4","499","","2026."
"SRC325","6","3","$133","2","209","","$473"
"SRC325","6","4","of","1","69","","2024."
"SRC325","6","4","of","2","209","","$6"
"SRC325","6","5","and","1","69","","$17"
"SRC325","6","6","health","2","209","","48"
"SRC325","6","7","For","1","69","","2024,"
"SRC325","6","8","in","1","69","","2024."
"SRC325","11","1","ADAPTED OFFERING Strategic product","2","451","","2024"
"SRC325","11","2","C D P Q, posted a return of 7.3% over five years and 11.0%","1","367","","5"
"SRC325","11","2","C D P Q, posted a return of 7.3% over five years and 11.0%","2","451","","2024"
"SRC325","13","1","$125.9","2","420","Highlights","4.3"
"SRC325","14","1","Québec Pension Plan Fund – base plan","1","374","","1966"
"SRC325","14","1","Québec Pension Plan Fund – base plan","2","427","","125,904"
"SRC325","14","1","Québec Pension Plan Fund – base plan","3","459","","26.6"
"SRC325","14","1","Québec Pension Plan Fund – base plan","4","506","","111,450"
"SRC325","14","1","Québec Pension Plan Fund – base plan","5","538","","25.7"
"SRC325","14","2","Québec Pension Plan Fund – additional plan","1","374","","2019"
"SRC325","14","2","Québec Pension Plan Fund – additional plan","2","427","","15,701"
"SRC325","14","2","Québec Pension Plan Fund – additional plan","3","459","","3.3"
"SRC325","14","2","Québec Pension Plan Fund – additional plan","4","506","","9,908"
"SRC325","14","2","Québec Pension Plan Fund – additional plan","5","538","","2.3"
"SRC325","14","3","Supplemental Pension Plan for Employees of the Québec Construction Industry","1","374","","1970"
"SRC325","14","3","Supplemental Pension Plan for Employees of the Québec Construction Industry","2","427","","33,624"
"SRC325","14","3","Supplemental Pension Plan for Employees of the Québec Construction Industry","3","459","","7.1"
"SRC325","14","3","Supplemental Pension Plan for Employees of the Québec Construction Industry","4","506","","30,979"
"SRC325","14","3","Supplemental Pension Plan for Employees of the Québec Construction Industry","5","538","","7.1"
"SRC325","14","4","Government and Public Employees Retirement Plan","1","374","","1973"
"SRC325","14","4","Government and Public Employees Retirement Plan","2","427","","91,419"
"SRC325","14","4","Government and Public Employees Retirement Plan","3","459","","19.3"
"SRC325","14","4","Government and Public Employees Retirement Plan","4","506","","86,592"
"SRC325","14","4","Government and Public Employees Retirement Plan","5","538","","19.9"
"SRC325","14","5","Pension Plan of Management Personnel","1","374","","1973"
"SRC325","14","5","Pension Plan of Management Personnel","2","427","","12,974"
"SRC325","14","5","Pension Plan of Management Personnel","3","459","","2.7"
"SRC325","14","5","Pension Plan of Management Personnel","4","506","","11,843"
"SRC325","14","5","Pension Plan of Management Personnel","5","538","","2.7"
"SRC325","14","6","Government of Québec","1","374","","1977"
"SRC325","14","6","Government of Québec","2","427","","287"
"SRC325","14","6","Government of Québec","3","459","","0.1"
"SRC325","14","6","Government of Québec","4","506","","281"
"SRC325","14","6","Government of Québec","5","538","","0.1"
"SRC325","14","7","Pension Plan of Elected Municipal Officers","1","374","","1989"
"SRC325","14","7","Pension Plan of Elected Municipal Officers","2","427","","377"
"SRC325","14","7","Pension Plan of Elected Municipal Officers","3","459","","0.1"
"SRC325","14","7","Pension Plan of Elected Municipal Officers","4","506","","351"
"SRC325","14","7","Pension Plan of Elected Municipal Officers","5","538","","0.1"
"SRC325","14","8","Retirement Plan for the Mayors and Councillors of Municipalities","1","374","","2015"
"SRC325","14","8","Retirement Plan for the Mayors and Councillors of Municipalities","2","427","","1"
"SRC325","14","8","Retirement Plan for the Mayors and Councillors of Municipalities","4","506","","1"
"SRC325","14","9","paramédics et des services préhospitaliers d’urgence","1","374","","1990"
"SRC325","14","9","paramédics et des services préhospitaliers d’urgence","2","427","","901"
"SRC325","14","9","paramédics et des services préhospitaliers d’urgence","3","459","","0.2"
"SRC325","14","9","paramédics et des services préhospitaliers d’urgence","4","506","","838"
"SRC325","14","9","paramédics et des services préhospitaliers d’urgence","5","538","","0.2"
"SRC325","14","10","Retirement Plans Sinking Fund","1","374","","1994"
"SRC325","14","10","Retirement Plans Sinking Fund","2","427","","123,214"
"SRC325","14","10","Retirement Plans Sinking Fund","3","459","","26.0"
"SRC325","14","10","Retirement Plans Sinking Fund","4","506","","114,980"
"SRC325","14","10","Retirement Plans Sinking Fund","5","538","","26.5"
"SRC325","14","11","Superannuation Plan for the Members of the Sûreté du Québec – employers’ fund","1","374","","2009"
"SRC325","14","11","Superannuation Plan for the Members of the Sûreté du Québec – employers’ fund","2","427","","1,561"
"SRC325","14","11","Superannuation Plan for the Members of the Sûreté du Québec – employers’ fund","3","459","","0.3"
"SRC325","14","11","Superannuation Plan for the Members of the Sûreté du Québec – employers’ fund","4","506","","1,270"
"SRC325","14","11","Superannuation Plan for the Members of the Sûreté du Québec – employers’ fund","5","538","","0.3"
"SRC325","14","12","Régime de retraite de l’Université du Québec","1","374","","2004"
"SRC325","14","12","Régime de retraite de l’Université du Québec","2","427","","254"
"SRC325","14","12","Régime de retraite de l’Université du Québec","3","459","","0.1"
"SRC325","14","12","Régime de retraite de l’Université du Québec","4","506","","539"
"SRC325","14","12","Régime de retraite de l’Université du Québec","5","538","","0.1"
"SRC325","14","13","du Québec","1","374","","2005"
"SRC325","14","13","du Québec","2","427","","696"
"SRC325","14","13","du Québec","3","459","","0.1"
"SRC325","14","13","du Québec","4","506","","667"
"SRC325","14","13","du Québec","5","538","","0.2"
"SRC325","14","14","Régime de retraite pour certains employés de la Commission scolaire de la Capitale","1","374","","2006"
"SRC325","14","14","Régime de retraite pour certains employés de la Commission scolaire de la Capitale","2","427","","22"
"SRC325","14","14","Régime de retraite pour certains employés de la Commission scolaire de la Capitale","4","506","","24"
"SRC325","14","15","des écoles catholiques de Montréal","1","374","","2007"
"SRC325","14","15","des écoles catholiques de Montréal","2","427","","130"
"SRC325","14","15","des écoles catholiques de Montréal","4","506","","137"
"SRC325","14","16","Superannuation Plan for the Members of the Sûreté du Québec – participants’ fund","1","374","","2007"
"SRC325","14","16","Superannuation Plan for the Members of the Sûreté du Québec – participants’ fund","2","427","","1,128"
"SRC325","14","16","Superannuation Plan for the Members of the Sûreté du Québec – participants’ fund","3","459","","0.3"
"SRC325","14","16","Superannuation Plan for the Members of the Sûreté du Québec – participants’ fund","4","506","","977"
"SRC325","14","16","Superannuation Plan for the Members of the Sûreté du Québec – participants’ fund","5","538","","0.2"
"SRC325","14","17","Régime de retraite des employés de la Ville de Laval","1","374","","2007"
"SRC325","14","17","Régime de retraite des employés de la Ville de Laval","2","427","","357"
"SRC325","14","17","Régime de retraite des employés de la Ville de Laval","3","459","","0.1"
"SRC325","14","17","Régime de retraite des employés de la Ville de Laval","4","506","","324"
"SRC325","14","17","Régime de retraite des employés de la Ville de Laval","5","538","","0.1"
"SRC325","14","18","Retirement Plan for Active Members of the Centre hospitalier Côte-des-Neiges","1","374","","2010"
