"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC390","8","1","JUNE 30, 2024","2","352","","2023"
"SRC390","8","2","Current assets $","1","313","Position 2024","78,156,481"
"SRC390","8","2","Current assets $","3","400","2023","95,536,912"
"SRC390","8","2","Current assets $","5","486","2022","81,685,737"
"SRC390","8","3","Noncurrent assets","1","313","Position 2024","384,663,279"
"SRC390","8","3","Noncurrent assets","3","400","2023","341,674,245"
"SRC390","8","3","Noncurrent assets","5","486","2022","334,366,031"
"SRC390","8","4","Total assets $","1","313","Position 2024","462,819,760"
"SRC390","8","4","Total assets $","3","400","2023","437,211,157"
"SRC390","8","4","Total assets $","5","486","2022","416,051,768"
"SRC390","8","5","Current liabilities $","1","313","Position 2024","9,421,917"
"SRC390","8","5","Current liabilities $","3","400","2023","10,014,943"
"SRC390","8","5","Current liabilities $","5","486","2022","10,783,426"
"SRC390","8","6","Noncurrent liabilities","1","313","Position 2024","2,845,362"
"SRC390","8","6","Noncurrent liabilities","3","400","2023","3,479,867"
"SRC390","8","6","Noncurrent liabilities","5","486","2022","4,145,401"
"SRC390","8","7","Total liabilities $","1","313","Position 2024","12,267,279"
"SRC390","8","7","Total liabilities $","3","400","2023","13,494,810"
"SRC390","8","7","Total liabilities $","5","486","2022","14,928,827"
"SRC390","8","8","Total Deferred Inflows of Resources $","1","313","Position 2024","36,897,562"
"SRC390","8","8","Total Deferred Inflows of Resources $","3","400","2023","37,679,520"
"SRC390","8","8","Total Deferred Inflows of Resources $","5","486","2022","38,578,914"
"SRC390","8","9","Net investment in capital assets $","1","313","Position 2024","22,020,463"
"SRC390","8","9","Net investment in capital assets $","3","400","2023","22,020,463"
"SRC390","8","9","Net investment in capital assets $","5","486","2022","22,021,029"
"SRC390","8","10","Restricted, non-expendable","1","313","Position 2024","210,445,059"
"SRC390","8","10","Restricted, non-expendable","3","400","2023","198,795,169"
"SRC390","8","10","Restricted, non-expendable","5","486","2022","190,081,571"
"SRC390","8","11","Restricted, expendable","1","313","Position 2024","156,643,056"
"SRC390","8","11","Restricted, expendable","3","400","2023","148,262,843"
"SRC390","8","11","Restricted, expendable","5","486","2022","141,336,244"
