"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC393","5","1","Cash and cash equivalents","4","427","2025","30,623"
"SRC393","5","1","Cash and cash equivalents","5","514","2024","20,059"
"SRC393","5","2","Capital reserve funds (note","1","185","Assets","4)"
"SRC393","5","2","Capital reserve funds (note","4","427","2025","18,557"
"SRC393","5","2","Capital reserve funds (note","5","514","2024","19,843"
"SRC393","5","3","Contributions receivable,","4","427","2025","128,614"
"SRC393","5","3","Contributions receivable,","5","514","2024","126,786"
"SRC393","5","4","Investments (notes 3, 10","1","185","Assets","11)"
"SRC393","5","4","Investments (notes 3, 10","4","427","2025","3,092,484"
"SRC393","5","4","Investments (notes 3, 10","5","514","2024","2,854,951"
"SRC393","5","5","Other assets (notes 4 and","1","185","Assets","7)"
"SRC393","5","5","Other assets (notes 4 and","4","427","2025","41,595"
"SRC393","5","5","Other assets (notes 4 and","5","514","2024","37,643"
"SRC393","5","6","Leases receivable (note 4)","4","427","2025","68,830"
"SRC393","5","6","Leases receivable (note 4)","5","514","2024","78,246"
"SRC393","5","7","Contributions receivable","3","304","","10)"
"SRC393","5","7","Contributions receivable","4","427","2025","13,046"
"SRC393","5","7","Contributions receivable","5","514","2024","12,105"
"SRC393","5","8","Beneficial interest in trust","1","185","Assets","10)"
"SRC393","5","8","Beneficial interest in trust","4","427","2025","95,578"
"SRC393","5","9","Charitable remainder trusts","4","427","2025","21,809"
"SRC393","5","9","Charitable remainder trusts","5","514","2024","20,841"
"SRC393","5","10","Capital assets, net (note","1","185","Assets","5)"
"SRC393","5","10","Capital assets, net (note","4","427","2025","144,626"
"SRC393","5","10","Capital assets, net (note","5","514","2024","144,866"
"SRC393","5","11","Total assets","4","427","2025","3,655,762"
"SRC393","5","11","Total assets","5","514","2024","3,315,340"
"SRC393","5","12","Accounts payable (note 6)","4","427","","15,627"
"SRC393","5","12","Accounts payable (note 6)","5","514","","11,432"
"SRC393","5","13","Lines of credit (note 7)","4","427","","9,090"
