"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC307","3","1","Sales growth portfolio companies","1","691","","12.2%"
"SRC307","3","1","Sales growth portfolio companies","2","762","","16.6%"
"SRC307","3","2","Ebitda growth portfolio companies","1","691","","19.1%"
"SRC307","3","2","Ebitda growth portfolio companies","2","762","","13.1%"
"SRC307","3","3","Portfolio result (mio EUR)","1","691","","186.8"
"SRC307","3","3","Portfolio result (mio EUR)","2","762","","202.8"
"SRC307","3","4","Portfolio return %","1","691","","12.0%"
"SRC307","3","4","Portfolio return %","2","762","","13.3%"
"SRC307","3","5","Net result (mio EUR)","1","691","","144.9"
"SRC307","3","5","Net result (mio EUR)","2","762","","158.2"
"SRC307","3","6","Net return %","1","691","","9.7%"
"SRC307","3","6","Net return %","2","762","","12.1%"
"SRC307","3","7","Net result/share","1","691","","5.1"
"SRC307","3","7","Net result/share","2","762","","5.8"
"SRC307","3","8","-10.3%","1","691","","-0.2%"
"SRC307","4","1","increases with","1","222","","9.4%"
"SRC307","4","2"," H1 net profit of 144.9 mio EUR (or EUR","1","222","","5.1"
"SRC307","5","1","Sustained","6","437","","12%"
"SRC307","5","2","in margins","1","113","","(19.1%"
"SRC307","5","2","in margins","6","437","","1.7"
"SRC307","5","3"," Portfolio","2","163","","186.8"
"SRC307","5","3"," Portfolio","3","205","","(12%"
"SRC307","5","4"," Net profit","1","113","","144.9"
"SRC307","5","4"," Net profit","3","205","","5.1"
"SRC307","5","4"," Net profit","7","532","","3"
"SRC307","5","5","our portfolio.","7","532","","97.9"
"SRC307","5","6","the operating","6","437","","62.3"
"SRC307","5","7","in profitability","5","349","the first half","2024,"
"SRC307","5","8","seen a double","5","349","the first half","17%"
"SRC307","5","9","Industries to","1","113","companies","30%"
"SRC307","5","10","a total portfolio","2","163","continued their","186.8"
"SRC307","5","11","(annualized","8","769","","2024,"
"SRC307","5","12","upward revaluation","4","256","","0.5"
"SRC307","5","13","unrealised result.","7","532","","127.7"
"SRC307","5","14","The average","8","769","","2.7x"
"SRC307","5","15","the IFRS increased","3","205","excellent growth","8.6x"
"SRC307","5","15","the IFRS increased","5","349","the first half","9.0x"
"SRC307","5","16","September","1","113","companies","2024"
"SRC307","5","17","of our companies,","8","769","","10%"
"SRC307","5","18","year 2024-25","2","163","continued their","144.9"
"SRC307","5","18","year 2024-25","4","256","","5.1"
"SRC307","6","1","","5","228","","9.4%"
"SRC307","6","2","","6","257","","300"
"SRC307","6","3","After","4","209","","2.60"
"SRC307","6","4","2024–2025","2","127","strong equity","5.1"
"SRC307","6","4","2024–2025","7","368","","55.6"
"SRC307","6","5","share","3","186","growth","2024."
"SRC307","6","5","share","7","368","","1,591"
"SRC307","6","6","Taking","6","257","","(36.9"
"SRC307","6","6","Taking","8","591","further aligned Reporting","29.3"
"SRC307","6","6","Taking","9","663","its responsible Standards (ESRS)","26"
"SRC307","6","7","almost","1","70","Persistent","100"
"SRC307","6","7","almost","5","228","","128"
"SRC307","6","8","maintained","7","368","","310.3"
"SRC307","6","9","has","1","70","Persistent","210"
"SRC307","6","10","Sustainability","8","591","further aligned Reporting","2024,"
"SRC307","6","11","Directive","2","127","strong equity","2026."
"SRC307","6","11","Directive","3","186","growth","2024,"
"SRC307","6","12","own","2","127","strong equity","1 2"
"SRC307","6","13","&","1","70","Persistent","2"
"SRC307","6","13","&","2","127","strong equity","42%"
"SRC307","6","13","&","5","228","","2024"
"SRC307","6","14","by","1","70","Persistent","2030"
"SRC307","6","14","by","3","186","growth","1 2"
"SRC307","6","14","by","6","257","","70%"
"SRC307","6","15","2019-20.","4","209","","2024"
"SRC307","9","1","336 10","2","726","","15"
"SRC307","9","2","The German rehabilitation group rehaneo further continued its buy-and-","1","459","","30"
"SRC307","9","3","importantly, enable patients’ return to active life.","2","726","","92"
"SRC307","15","1","Non-current assets","2","687","","1,721,921"
"SRC307","15","1","Non-current assets","3","757","","1,567,370"
"SRC307","15","2","Intangible assets","2","687","","181"
"SRC307","15","2","Intangible assets","3","757","","213"
"SRC307","15","3","Property, plant and equipment","2","687","","7,830"
"SRC307","15","3","Property, plant and equipment","3","757","","8,178"
"SRC307","15","4","Investment portfolio","1","634","","4"
"SRC307","15","4","Investment portfolio","2","687","","1,713,910"
