"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC443","10","1","IAS 1.82(a) Revenue","1","277","currency Notes","8, 9"
"SRC443","10","1","IAS 1.82(a) Revenue","2","309","units 2024","205,793"
"SRC443","10","1","IAS 1.82(a) Revenue","3","358","(CU), except 2023","191,228"
"SRC443","10","2","IAS 1.85 Other income","2","309","units 2024","299"
"SRC443","10","2","IAS 1.85 Other income","3","358","(CU), except 2023","708"
"SRC443","10","3","IAS 1.85 Changes in inventories","2","309","units 2024","(7,923)"
"SRC443","10","3","IAS 1.85 Changes in inventories","3","358","(CU), except 2023","(6,815)"
"SRC443","10","4","IAS 1.85 Costs of material","2","309","units 2024","(42,535)"
"SRC443","10","4","IAS 1.85 Costs of material","3","358","(CU), except 2023","(39,420)"
"SRC443","10","5","IAS 1.85 Employee benefits expense","1","277","currency Notes","22"
"SRC443","10","5","IAS 1.85 Employee benefits expense","2","309","units 2024","(113,809)"
"SRC443","10","5","IAS 1.85 Employee benefits expense","3","358","(CU), except 2023","(109,515)"
"SRC443","10","6","IAS 1.85 Change in fair value of investment property","1","277","currency Notes","14"
"SRC443","10","6","IAS 1.85 Change in fair value of investment property","2","309","units 2024","310"
"SRC443","10","6","IAS 1.85 Change in fair value of investment property","3","358","(CU), except 2023","175"
"SRC443","10","7","IAS 1.82(ba)","1","277","currency Notes","34.2"
"SRC443","10","7","IAS 1.82(ba)","2","309","units 2024","(212)"
"SRC443","10","7","IAS 1.82(ba)","3","358","(CU), except 2023","(228)"
"SRC443","10","8","IAS 1.85 Other expenses","2","309","units 2024","(8,598)"
"SRC443","10","8","IAS 1.85 Other expenses","3","358","(CU), except 2023","(8,943)"
"SRC443","10","9","Operating profit","2","309","units 2024","23,232"
"SRC443","10","9","Operating profit","3","358","(CU), except 2023","18,309"
"SRC443","10","10","IAS 1.82(b) Finance costs","1","277","currency Notes","27"
"SRC443","10","10","IAS 1.82(b) Finance costs","2","309","units 2024","(3,869)"
"SRC443","10","10","IAS 1.82(b) Finance costs","3","358","(CU), except 2023","(3,993)"
"SRC443","10","11","IAS 1.85 Finance income","1","277","currency Notes","27"
"SRC443","10","11","IAS 1.85 Finance income","2","309","units 2024","964"
"SRC443","10","11","IAS 1.85 Finance income","3","358","(CU), except 2023","885"
"SRC443","10","12","IAS 1.85 Other financial items","1","277","currency Notes","28"
"SRC443","10","12","IAS 1.85 Other financial items","2","309","units 2024",",943"
"SRC443","10","12","IAS 1.85 Other financial items","3","358","(CU), except 2023","1,182"
"SRC443","10","13","Profit before tax","2","309","units 2024","21,661"
"SRC443","10","13","Profit before tax","3","358","(CU), except 2023","16,524"
"SRC443","10","14","IAS 1.82(d) Tax expense","1","277","currency Notes","29"
"SRC443","10","14","IAS 1.82(d) Tax expense","2","309","units 2024","(6,794)"
"SRC443","10","14","IAS 1.82(d) Tax expense","3","358","(CU), except 2023","(4,888)"
"SRC443","10","15","Profit for the year from continuing operations","2","309","units 2024","14,867"
"SRC443","10","15","Profit for the year from continuing operations","3","358","(CU), except 2023","11,636"
"SRC443","10","16","IAS 1.82(ea) Loss for the year from discontinued operations","1","277","currency Notes","20"
"SRC443","10","16","IAS 1.82(ea) Loss for the year from discontinued operations","2","309","units 2024","(9)"
"SRC443","10","16","IAS 1.82(ea) Loss for the year from discontinued operations","3","358","(CU), except 2023","(325)"
"SRC443","10","17","IAS 1.81A(a) Profit for the year","2","309","units 2024","14,858"
"SRC443","10","17","IAS 1.81A(a) Profit for the year","3","358","(CU), except 2023","11,311"
"SRC443","10","18","IAS 1.81B(a)(i) Non-controlling interest","2","309","units 2024","121"
"SRC443","10","18","IAS 1.81B(a)(i) Non-controlling interest","3","358","(CU), except 2023","116"
"SRC443","10","19","IAS 1.81B(a)(ii) Owners of the parent","2","309","units 2024","14,737"
"SRC443","10","19","IAS 1.81B(a)(ii) Owners of the parent","3","358","(CU), except 2023","11,195"
"SRC443","10","20","Earnings per share","1","277","Notes","30"
"SRC443","10","21","IAS 33.66 – From continuing operations","2","309","2024","1.19"
"SRC443","10","21","IAS 33.66 – From continuing operations","3","358","2023","0.93"
"SRC443","10","22","IAS 33.68A – From discontinued operations","2","309","2024","(0.00)"
"SRC443","10","22","IAS 33.68A – From discontinued operations","3","358","2023","(0.03)"
"SRC443","10","23","IAS 33.66 Total","2","309","2024","1.19"
"SRC443","10","23","IAS 33.66 Total","3","358","2023","0.90"
"SRC443","10","24","IAS 33.66 – From continuing operations","2","309","2024","1.19"
"SRC443","10","24","IAS 33.66 – From continuing operations","3","358","2023","0.93"
"SRC443","10","25","IAS 33.68A – From discontinued operations","2","309","2024","(0.00)"
"SRC443","10","25","IAS 33.68A – From discontinued operations","3","358","2023","(0.03)"
"SRC443","10","26","IAS 33.66 Total","2","309","2024","1.19"
"SRC443","10","26","IAS 33.66 Total","3","358","2023","0.90"
"SRC443","10","27","6 Illustrative Corporation Group: IFRS Example Consolidated Financial Statements – 31","2","309","2024","2024"
"SRC443","11","1","adjustments (amounts previously recognised in other IAS 1.81A(a) Profit for the year","2","485","2024","14,858"
"SRC443","11","1","adjustments (amounts previously recognised in other IAS 1.81A(a) Profit for the year","3","531","amounts) 2023","11,311"
"SRC443","11","2","IAS 16.77(f) Revaluation of land","1","445","per share Notes","12"
"SRC443","11","2","IAS 16.77(f) Revaluation of land","2","485","2024","303"
"SRC443","11","3","in the notes, in which case the components of other IAS 19.120(c) Remeasurement of net defined benefit liability","1","445","per share Notes","22"
"SRC443","11","3","in the notes, in which case the components of other IAS 19.120(c) Remeasurement of net defined benefit liability","2","485","2024","3,830"
"SRC443","11","3","in the notes, in which case the components of other IAS 19.120(c) Remeasurement of net defined benefit liability","3","531","amounts) 2023","(3,541)"
"SRC443","11","4","reclassification adjustments (IAS 1.94). Income tax relating to items not reclassified","1","445","per share Notes","21.3"
"SRC443","11","4","reclassification adjustments (IAS 1.94). Income tax relating to items not reclassified","2","485","2024","(1,240)"
"SRC443","11","4","reclassification adjustments (IAS 1.94). Income tax relating to items not reclassified","3","531","amounts) 2023","1,062"
"SRC443","11","5","– current year gains (losses)","1","445","per share Notes","21.3"
"SRC443","11","5","– current year gains (losses)","2","485","2024","890"
"SRC443","11","5","– current year gains (losses)","3","531","amounts) 2023","540"
"SRC443","11","6","IFRS 7.24C(b)– reclassification to profit (or loss)","1","445","per share Notes","21.3"
"SRC443","11","6","IFRS 7.24C(b)– reclassification to profit (or loss)","2","485","2024","(640)"
"SRC443","11","6","IFRS 7.24C(b)– reclassification to profit (or loss)","3","531","amounts) 2023","(712)"
"SRC443","11","7","of income tax relating to each component of other","1","445","per share Notes","7"
"SRC443","11","7","of income tax relating to each component of other","2","485","2024","5"
"SRC443","11","8","presents components of other comprehensive income IAS 1.92 – reclassification to profit (or loss)","2","485","2024","(3)"
"SRC443","11","9","amount of income tax relating to all components","1","445","per share Notes","21.3"
"SRC443","11","9","amount of income tax relating to all components","2","485","2024","176"
"SRC443","11","9","amount of income tax relating to all components","3","531","amounts) 2023","95"
"SRC443","11","10","the tax between the items that might be reclassified","2","485","2024","2,657"
"SRC443","11","10","the tax between the items that might be reclassified","3","531","amounts) 2023","(2,897)"
"SRC443","11","11","IAS 1.81A(c) Total comprehensive income for the year","2","485","2024","17,515"
