"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC302","3","1","• The Company bought back 59.2 million of its own shares at an average","2","418","2024 RPI).","137"
"SRC302","3","2","• Aggregate Group Debt was £2,244 million as at 31 December 2024,","2","418","2024 RPI).","39.7"
"SRC302","3","3","Market capitalisation","1","357","31 December 2024","£2,878.5"
"SRC302","3","3","Market capitalisation","3","484","31 December 2023","£3,502.9"
"SRC302","3","4","Share price","1","357","31 December 2024","127.7"
"SRC302","3","4","Share price","3","484","31 December 2023","151.5"
"SRC302","3","5","Dividends with respect to the year","1","357","31 December 2024","£226.8"
"SRC302","3","5","Dividends with respect to the year","3","484","31 December 2023","£231.4"
"SRC302","3","6","Dividends with respect to the year per share","3","484","31 December 2023","10"
"SRC302","3","7","GAV*","1","357","31 December 2024","£5,652.7"
"SRC302","3","7","GAV*","3","484","31 December 2023","£6,169.0"
"SRC302","3","8","NAV*","1","357","31 December 2024","£3,409.1"
"SRC302","3","8","NAV*","3","484","31 December 2023","£3,794.0"
"SRC302","3","9","NAV per share*","1","357","31 December 2024","151.2"
"SRC302","3","9","NAV per share*","3","484","31 December 2023","164.1"
"SRC302","3","10","Total Shareholder Return*","1","357","31 December 2024","(8.6)"
"SRC302","3","10","Total Shareholder Return*","3","484","31 December 2023","5.4"
"SRC302","3","11","Discount to NAV","1","357","31 December 2024","15.6"
"SRC302","3","11","Discount to NAV","3","484","31 December 2023","7.7"
"SRC302","3","12","CO emissions avoided during the year* 2.2","3","484","31 December 2023","1.9"
"SRC302","3","13","Homes powered during the year*","1","357","31 December 2024","2.0"
"SRC302","3","13","Homes powered during the year*","3","484","31 December 2023","1.8"
"SRC302","3","14","Funds invested in community projects in the year","1","357","31 December 2024","£5.7"
"SRC302","3","14","Funds invested in community projects in the year","3","484","31 December 2023","£4.4"
"SRC302","4","1","approximately 2 per cent of the UK’s electricity demand.","1","312","ended 31","10"
"SRC302","4","2","2","2","342","December","31"
"SRC302","4","2","2","3","390","2024","2024,"
"SRC302","4","3","Performance","2","342","December","10"
"SRC302","4","3","Performance","5","491","","4.5"
"SRC302","4","4","With the final dividend for the year, our investors","3","390","2024","65.5"
"SRC302","4","5","will have received £1,215 million of dividends since","5","491","","£41"
"SRC302","4","6","listing and reinvested £935 million of excess cash","3","390","2024","40"
"SRC302","5","1","has bought back","2","154","","£100"
"SRC302","5","2","generation will","2","154","","£1"
"SRC302","5","3","programme of","1","116","","£100"
"SRC302","5","4","deployed renewable","3","416","","2024,"
"SRC302","5","5","triple offshore","4","522","","2024,"
"SRC302","5","6","we estimate an","2","154","","£175"
"SRC302","5","7","over the last","1","116","Investment","12"
"SRC302","5","8","RPI, given the","1","116","Investment","14.2"
"SRC302","6","1","and activities naturally make a positive contribution","4","389","2024","24"
"SRC302","6","1","and activities naturally make a positive contribution","5","427","","2025."
"SRC302","6","2","Financial Disclosures (“TCFD”). Detailed disclosures","5","427","","12"
"SRC302","6","3","be found in the Strategic Report on pages 30 to","1","260","the year","36."
"SRC302","6","4","periodic reporting as required under Article","1","260","the year","9"
"SRC302","6","5","In 2024, following an assessment of the final","4","389","2024","2025."
"SRC302","6","6","On 1 March 2024, Abigail Rotheroe joined the","6","453","","10.5"
"SRC302","6","7","Abigail brought with her extensive experience","3","327","31 December","12"
"SRC302","6","7","Abigail brought with her extensive experience","6","453","","31"
"SRC302","6","8","investment and asset management industry,","3","327","31 December","11"
"SRC302","6","9","complements and broadens the skillset of the","4","389","2024","24"
"SRC302","6","9","complements and broadens the skillset of the","5","427","","2025"
"SRC302","6","10","non-executive Director since his appointment","1","260","the year","2015"
"SRC302","8","1","9","1","174","Annual","40"
"SRC302","8","2","2 Bicker Fen","1","174","14 Dalquhandy","15"
"SRC302","8","2","2 Bicker Fen","2","300","27 Lindhurst","28"
"SRC302","8","2","2 Bicker Fen","3","424","","41"
"SRC302","8","3","3 Bin Mountain","1","174","14 Dalquhandy","16"
"SRC302","8","3","3 Bin Mountain","2","300","27 Lindhurst","29"
"SRC302","8","3","3 Bin Mountain","3","424","","42"
"SRC302","8","4","4 Bishopthorpe","1","174","14 Dalquhandy","17"
"SRC302","8","4","4 Bishopthorpe","2","300","27 Lindhurst","30"
"SRC302","8","4","4 Bishopthorpe","3","424","","43"
"SRC302","8","5","5 Braes of Doune","1","174","14 Dalquhandy","18"
"SRC302","8","5","5 Braes of Doune","2","300","27 Lindhurst","31"
"SRC302","8","5","5 Braes of Doune","3","424","","44"
"SRC302","8","6","6 Brockaghboy","1","174","14 Dalquhandy","19"
"SRC302","8","6","6 Brockaghboy","2","300","27 Lindhurst","32"
"SRC302","8","6","6 Brockaghboy","3","424","","45"
"SRC302","8","7","7 Burbo Bank Extension","1","174","14 Dalquhandy","20"
"SRC302","8","7","7 Burbo Bank Extension","2","300","27 Lindhurst","33"
"SRC302","8","7","7 Burbo Bank Extension","3","424","","46"
"SRC302","8","8","8 Carcant","1","174","14 Dalquhandy","21"
"SRC302","8","8","8 Carcant","2","300","27 Lindhurst","34"
"SRC302","8","8","8 Carcant","3","424","","47"
"SRC302","8","9","9 Church Hill","1","174","14 Dalquhandy","22"
"SRC302","8","9","9 Church Hill","2","300","27 Lindhurst","35"
"SRC302","8","9","9 Church Hill","3","424","","48"
"SRC302","8","10","10 Clyde","1","174","14 Dalquhandy","23"
"SRC302","8","10","10 Clyde","2","300","27 Lindhurst","36"
"SRC302","8","10","10 Clyde","3","424","","49"
"SRC302","8","11","11 Corriegarth","1","174","14 Dalquhandy","24"
"SRC302","8","11","11 Corriegarth","2","300","27 Lindhurst","37"
"SRC302","8","12","12 Cotton Farm","1","174","14 Dalquhandy","25"
"SRC302","8","12","12 Cotton Farm","2","300","27 Lindhurst","38"
"SRC302","8","13","13 Crighshane","1","174","14 Dalquhandy","26"
"SRC302","8","13","13 Crighshane","2","300","27 Lindhurst","39"
"SRC302","9","1","Onshore","1","231","","(55%)"
"SRC302","9","2","Offshore","1","231","","(45%)"
"SRC302","9","3","< 5 years","1","231","","(14%)"
"SRC302","9","4","5-10 years","1","231","","(50%)"
"SRC302","9","5","> 10 years","1","231","","(36%)"
"SRC302","9","6","Hornsea","1","231","","1 (16.4%)"
"SRC302","9","6","Hornsea","4","400","","(8.7%)"
"SRC302","9","7","London Array","1","231","","(8.1%)"
"SRC302","9","7","London Array","3","352","","(7.2%)"
"SRC302","9","8","Clyde (6.9%)","3","352","","(6.5%)"
"SRC302","9","9","Stronelairg","1","231","","(5.3%)"
"SRC302","9","9","Stronelairg","3","352","","(3.5%)"
"SRC302","9","10","Brockaghboy","1","231","","(3.1%)"
"SRC302","9","10","Brockaghboy","4","400","","(3.1%)"
"SRC302","12","1","Greencoat UK Wind PLC","5","388","","2024"
"SRC302","12","2","The Company continued","1","160","shares,","£100"
"SRC302","12","2","The Company continued","6","446","","65.8"
"SRC302","12","3","of 31 December 2024, at","3","232","debt.","138"
"SRC302","12","4","The Company recently announced","4","296","","40"
"SRC302","12","5","As at 31 December 2024,","4","296","","£2,244"
"SRC302","12","6","at Company level, £270","5","388","","£510"
"SRC302","12","7","limited recourse debt in","2","193","or repaying","1."
"SRC302","12","7","limited recourse debt in","6","446","","31"
"SRC302","12","7","limited recourse debt in","7","510","","2024"
"SRC302","12","8","Gearing as at 31 December","1","160","shares,","2024"
"SRC302","12","8","Gearing as at 31 December","3","232","debt.","39.7"
"SRC302","12","8","Gearing as at 31 December","6","446","","4.68"
"SRC302","12","9","a spread of maturities (November","2","193","or repaying","2026"
"SRC302","12","10","RCF","1","160","","26"
"SRC302","12","10","RCF","2","193","","27"
"SRC302","12","10","RCF","3","232","Loan principal","270,000"
"SRC302","12","10","RCF","4","296","Loan margin","1.5000"
"SRC302","12","10","RCF","6","446","All-in rate","6.3500"
"SRC302","12","11","NAB","1","160","","1"
"SRC302","12","11","NAB","2","193","","26"
"SRC302","12","11","NAB","3","232","Loan principal","75,000"
"SRC302","12","11","NAB","4","296","Loan margin","1.5000"
"SRC302","12","11","NAB","5","388","Swap rate/SONIA","1.5980"
"SRC302","12","11","NAB","6","446","All-in rate","3.0980"
"SRC302","12","11","NAB","7","510","of Swap","(4,050)"
"SRC302","12","12","NAB","1","160","","1"
"SRC302","12","12","NAB","2","193","","26"
"SRC302","12","12","NAB","3","232","Loan principal","25,000"
"SRC302","12","12","NAB","4","296","Loan margin","1.5000"
"SRC302","12","12","NAB","5","388","Swap rate/SONIA","0.8425"
"SRC302","12","12","NAB","6","446","All-in rate","2.3425"
"SRC302","12","12","NAB","7","510","of Swap","(1,711)"
"SRC302","12","13","CIBC","1","160","","14"
"SRC302","12","13","CIBC","2","193","","26"
"SRC302","12","13","CIBC","3","232","Loan principal","100,000"
"SRC302","12","13","CIBC","4","296","Loan margin","1.4000"
"SRC302","12","13","CIBC","5","388","Swap rate/SONIA","0.8133"
"SRC302","12","13","CIBC","6","446","All-in rate","2.2133"
"SRC302","12","13","CIBC","7","510","of Swap","(6,937)"
"SRC302","12","14","Lloyds","1","160","","9"
"SRC302","12","14","Lloyds","2","193","","27"
"SRC302","12","14","Lloyds","3","232","Loan principal","150,000"
"SRC302","12","14","Lloyds","4","296","Loan margin","1.6000"
"SRC302","12","14","Lloyds","5","388","Swap rate/SONIA","5.7360"
"SRC302","12","14","Lloyds","6","446","All-in rate","7.3360"
"SRC302","12","14","Lloyds","7","510","of Swap","5,165"
"SRC302","12","15","CBA","1","160","","4"
"SRC302","12","15","CBA","2","193","","27"
"SRC302","12","15","CBA","3","232","Loan principal","100,000"
"SRC302","12","15","CBA","4","296","Loan margin","1.6000"
"SRC302","12","15","CBA","5","388","Swap rate/SONIA","1.3680"
"SRC302","12","15","CBA","6","446","All-in rate","2.9680"
"SRC302","12","15","CBA","7","510","of Swap","(8,204)"
"SRC302","12","16","ABN AMRO","1","160","","2"
"SRC302","12","16","ABN AMRO","2","193","","28"
"SRC302","12","16","ABN AMRO","3","232","Loan principal","100,000"
"SRC302","12","16","ABN AMRO","4","296","Loan margin","1.7500"
"SRC302","12","16","ABN AMRO","5","388","Swap rate/SONIA","5.1330"
"SRC302","12","16","ABN AMRO","6","446","All-in rate","6.8830"
"SRC302","12","16","ABN AMRO","7","510","of Swap","3,214"
"SRC302","12","17","Virgin Money","1","160","","3"
"SRC302","12","17","Virgin Money","2","193","","28"
"SRC302","12","17","Virgin Money","3","232","Loan principal","50,000"
"SRC302","12","17","Virgin Money","4","296","Loan margin","1.7500"
"SRC302","12","17","Virgin Money","5","388","Swap rate/SONIA","5.0880"
"SRC302","12","17","Virgin Money","6","446","All-in rate","6.8380"
"SRC302","12","18","Barclays","1","160","","3"
"SRC302","12","18","Barclays","2","193","","28"
"SRC302","12","18","Barclays","3","232","Loan principal","25,000"
"SRC302","12","18","Barclays","4","296","Loan margin","1.7500"
"SRC302","12","18","Barclays","5","388","Swap rate/SONIA","5.0880"
"SRC302","12","18","Barclays","6","446","All-in rate","6.8380"
"SRC302","12","18","Barclays","7","510","of Swap","766"
"SRC302","12","19","ANZ","1","160","","3"
"SRC302","12","19","ANZ","2","193","","28"
"SRC302","12","19","ANZ","3","232","Loan principal","75,000"
"SRC302","12","19","ANZ","4","296","Loan margin","1.7500"
"SRC302","12","19","ANZ","5","388","Swap rate/SONIA","5.4750"
"SRC302","12","19","ANZ","6","446","All-in rate","7.2250"
"SRC302","12","19","ANZ","7","510","of Swap","3,106"
"SRC302","12","20","NAB","1","160","","26"
"SRC302","12","20","NAB","2","193","","29"
"SRC302","12","20","NAB","3","232","Loan principal","100,000"
"SRC302","12","20","NAB","4","296","Loan margin","1.5500"
"SRC302","12","20","NAB","5","388","Swap rate/SONIA","3.6660"
"SRC302","12","20","NAB","6","446","All-in rate","5.2160"
"SRC302","12","20","NAB","7","510","of Swap","(1,991)"
"SRC302","12","21","ANZ","1","160","","26"
"SRC302","12","21","ANZ","2","193","","29"
"SRC302","12","21","ANZ","3","232","Loan principal","75,000"
"SRC302","12","21","ANZ","4","296","Loan margin","1.6000"
"SRC302","12","21","ANZ","5","388","Swap rate/SONIA","3.6412"
"SRC302","12","21","ANZ","6","446","All-in rate","5.2412"
"SRC302","12","21","ANZ","7","510","of Swap","(1,601)"
"SRC302","12","22","AXA","1","160","","31"
"SRC302","12","22","AXA","2","193","","30"
"SRC302","12","22","AXA","3","232","Loan principal","125,000"
"SRC302","12","22","AXA","6","446","All-in rate","3.0300"
"SRC302","12","23","AXA","1","160","","31"
"SRC302","12","23","AXA","2","193","","30"
"SRC302","12","23","AXA","3","232","Loan principal","75,000"
"SRC302","12","23","AXA","4","296","Loan margin","1.7000"
"SRC302","12","23","AXA","5","388","Swap rate/SONIA","1.4450"
"SRC302","12","23","AXA","6","446","All-in rate","3.1450"
"SRC302","12","24","CBA","1","160","","26"
