"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC380","2","1","of financial position as of June","1","204","","30,"
"SRC380","2","1","of financial position as of June","2","221","","2023"
"SRC380","2","1","of financial position as of June","3","264","","2022,"
"SRC380","2","2","position of the Trust as of June","1","204","","30,"
"SRC380","2","2","position of the Trust as of June","2","221","","2023"
"SRC380","2","2","position of the Trust as of June","3","264","","2022,"
"SRC380","4","1","Cash $","1","429","2023","15,041"
"SRC380","4","1","Cash $","2","519","2022","8,875"
"SRC380","4","2","Unsettled investment sales","1","429","2023","16,644"
"SRC380","4","2","Unsettled investment sales","2","519","2022","7,190"
"SRC380","4","3","Interest and dividends","1","429","2023","3,736"
"SRC380","4","3","Interest and dividends","2","519","2022","2,652"
"SRC380","4","4","Other","1","429","2023","69"
"SRC380","4","4","Other","2","519","2022","2,569"
"SRC380","4","5","Investments 8,547,016","2","519","2022","8,585,323"
"SRC380","4","6","Investments whose use is limited","1","429","2023","27,134"
"SRC380","4","6","Investments whose use is limited","2","519","2022","26,390"
"SRC380","4","7","Net pension assets","2","519","2022","24,035"
"SRC380","4","8","Property and equipment, net","1","429","2023","845,742"
"SRC380","4","8","Property and equipment, net","2","519","2022","857,834"
"SRC380","4","9","Operating lease right-of-use asset","1","429","2023","17,587"
"SRC380","4","9","Operating lease right-of-use asset","2","519","2022","20,969"
"SRC380","4","10","Collections and other assets, net 3,072,948","2","519","2022","3,013,291"
"SRC380","4","11","$ 12,545,917","2","519","2022","12,549,128"
"SRC380","4","12","Accounts payable $","1","429","2023","24,836"
"SRC380","4","12","Accounts payable $","2","519","2022","30,325"
"SRC380","4","13","Accrued collection purchases","1","429","2023","1,300"
"SRC380","4","13","Accrued collection purchases","2","519","2022","450"
"SRC380","4","14","Payables on investment purchases","1","429","2023","5,152"
"SRC380","4","14","Payables on investment purchases","2","519","2022","5,126"
"SRC380","4","15","Accrued other postretirement plans liabilities","1","429","2023","23,038"
"SRC380","4","15","Accrued other postretirement plans liabilities","2","519","2022","26,488"
"SRC380","4","16","Accrued and other liabilities","1","429","2023","34,901"
"SRC380","4","16","Accrued and other liabilities","2","519","2022","35,934"
"SRC380","4","17","Operating lease liabilities","1","429","2023","17,587"
"SRC380","4","17","Operating lease liabilities","2","519","2022","20,969"
"SRC380","4","18","Interest rate swaps","1","429","2023","51,190"
"SRC380","4","18","Interest rate swaps","2","519","2022","69,077"
"SRC380","4","19","Bonds payable","1","429","2023","622,624"
"SRC380","4","19","Bonds payable","2","519","2022","632,036"
"SRC380","4","20","Without donor restrictions 11,738,770","2","519","2022","11,702,945"
"SRC380","4","21","With donor restrictions","1","429","2023","26,519"
"SRC380","4","21","With donor restrictions","2","519","2022","25,778"
"SRC380","4","22","11,765,289","2","519","2022","11,728,723"
"SRC380","4","23","$ 12,545,917","2","519","2022","12,549,128"
"SRC380","5","1","Sales and other income $","1","435","2023","30,391"
"SRC380","5","1","Sales and other income $","2","520","2022","27,200"
"SRC380","5","2","Contributions – financial assets","1","435","2023","547"
"SRC380","5","2","Contributions – financial assets","2","520","2022","749"
"SRC380","5","3","Contributions – non-financial assets","1","435","2023","6,859"
"SRC380","5","3","Contributions – non-financial assets","2","520","2022","5,607"
"SRC380","5","4","Interest and dividend income, net","1","435","2023","125,279"
"SRC380","5","4","Interest and dividend income, net","2","520","2022","135,145"
"SRC380","5","5","Net realized and unrealized gain (loss) on investments","1","435","2023","211,484"
"SRC380","5","5","Net realized and unrealized gain (loss) on investments","2","520","2022","(377,982)"
"SRC380","5","6","Net investment income (loss)","1","435","2023","336,763"
"SRC380","5","6","Net investment income (loss)","2","520","2022","(242,837)"
"SRC380","5","7","Net realized and unrealized gain on interest rate swaps","1","435","2023","17,887"
"SRC380","5","7","Net realized and unrealized gain on interest rate swaps","2","520","2022","48,384"
"SRC380","5","8","Net assets released from restriction","1","435","2023","3,084"
