"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC331","2","1","for Financial Reporting","1","280","","98"
"SRC331","2","1","for Financial Reporting","2","542","","220"
"SRC331","2","2","Investment Certificate","1","280","","99"
"SRC331","2","3","Consolidated Financial Statements","1","280","","100"
"SRC331","2","4","Consolidated Statements of Financial Position","1","280","","102"
"SRC331","2","5","Consolidated Statements of Net Income","1","280","","103"
"SRC331","2","6","Consolidated Statements of Changes in Equity","1","280","","103"
"SRC331","2","6","Consolidated Statements of Changes in Equity","2","542","","260"
"SRC331","2","7","Consolidated Statements of Cash Flows","1","280","","104"
"SRC331","2","7","Consolidated Statements of Cash Flows","2","542","","262"
"SRC331","2","8","Notes to the Consolidated Financial Statements","1","280","","105"
"SRC331","2","8","Notes to the Consolidated Financial Statements","2","542","","263"
"SRC331","2","9","Financial Statements","1","280","","140"
"SRC331","2","10","Statements of Financial Position","1","280","","142"
"SRC331","2","11","Statements of Net Income","1","280","","143"
"SRC331","2","12","Statements of Changes in Equity","1","280","","143"
"SRC331","2","13","Statements of Cash Flows","1","280","","144"
"SRC331","2","14","Notes to the Financial Statements","1","280","","145"
"SRC331","2","15","Financial Statements","1","280","","180"
"SRC331","2","16","Statements of Financial Position","1","280","","182"
"SRC331","2","17","Statements of Net Income","1","280","","183"
"SRC331","2","18","Statements of Changes in Equity","1","280","","183"
"SRC331","2","19","Statements of Cash Flows","1","280","","184"
"SRC331","2","20","Notes to the Financial Statements","1","280","","185"
"SRC331","2","21","PSP Investments — 2025 Annual Report","2","542","","97"
"SRC331","7","1","(Canadian $ millions) Notes March","1","434","","31, 2025"
"SRC331","7","1","(Canadian $ millions) Notes March","2","520","","31,"
"SRC331","7","2","Cash and cash equivalents 4.1","1","434","","2,535"
"SRC331","7","2","Cash and cash equivalents 4.1","2","520","","2,514"
"SRC331","7","3","Investments 4.1","1","434","","343,008"
"SRC331","7","3","Investments 4.1","2","520","","300,221"
"SRC331","7","4","Other assets","1","434","","153"
"SRC331","7","4","Other assets","2","520","","133"
"SRC331","7","5","Total assets","1","434","","345,696"
"SRC331","7","5","Total assets","2","520","","302,868"
"SRC331","7","6","Trade payable and other liabilities","1","434","","583"
"SRC331","7","6","Trade payable and other liabilities","2","520","","500"
"SRC331","7","7","Investment-related liabilities 4.1","1","434","","11,344"
