"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC414","3","1","InEUR 31 December 2024 31 December","2","508","","2023"
"SRC414","3","2","Net Asset Value (""NAV"") 1,039,067,601","1","479","","979,245,455"
"SRC414","3","3","NAVpershare 15.03","2","508","","14.16"
"SRC414","3","4","Shareprice 10.70","2","508","","10.38"
"SRC414","3","5","Discount to NAV 28.8%","2","508","","26.7%"
"SRC414","3","6","Total dividend per share paid 0.71","2","508","","0.73"
"SRC414","3","7","Valueofinvestments 1,075,049,044","1","479","","1,029,059,020"
"SRC414","3","8","Cashandcashequivalents 18,650,553","1","479","","9,743,643"
"SRC414","3","9","Undrawncreditfacility 140,000,000","1","479","","121,000,000"
"SRC414","3","10","Marketcapitalization 739,917,498","1","479","","717,789,124"
"SRC414","3","11","Sharesoutstanding 69,151,168","1","479","","69,151,168"
"SRC414","3","12","Shares may be worth more or less than original cost when sold. Current performance may be lower or higher than performance","2","508","","1"
"SRC414","3","13","dend objective for 2024 is 5% of NAV at 31 December 2023. 2 Last twelve months' dividends divided by share price as of 31","2","508","","2024."
"SRC414","6","1","The quarterly management","2","219","","0.375%"
"SRC414","6","2","to a focus on direct","5","339","","99%"
"SRC414","6","3","management fee","8","432","","0.7%"
"SRC414","6","3","management fee","10","524","","31"
"SRC414","6","4","and new investments,","6","359","","1"
"SRC414","6","4","and new investments,","7","413","","2025"
"SRC414","6","5","the performance","3","243","","30"
"SRC414","6","6","accounts. Sufficient","6","359","","5%"
"SRC414","6","7","Performance in","1","125","","2024"
"SRC414","6","8","For the full year","1","125","","2024"
"SRC414","6","8","For the full year","7","413","","11.4%"
"SRC414","6","8","For the full year","9","467","","10.0%"
"SRC414","6","9","This is demonstrably","4","313","","-1.6%"
"SRC414","6","9","This is demonstrably","9","467","","31"
"SRC414","6","10","ferings (""IPOs"")","4","313","","4"
"SRC414","6","10","ferings (""IPOs"")","6","359","","10"
"SRC414","6","10","ferings (""IPOs"")","8","432","","1"
"SRC414","6","10","ferings (""IPOs"")","9","467","","2024"
"SRC414","6","11","a liquidity event","10","524","","144.0"
"SRC414","6","12","million (2023 –","1","125","","46.7"
"SRC414","6","12","million (2023 –","6","359","","164.7"
"SRC414","6","13","various IPOs","1","125","","31"
"SRC414","6","14","accretion, with","5","339","","60%"
"SRC414","6","15","NAV total return","9","467","","99%"
"SRC414","6","16","focused on direct","3","243","","2025"
