"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC354","6","1","provides","7","415","","31,"
"SRC354","6","1","provides","8","438","","2025"
"SRC354","6","1","provides","10","494","","2024."
"SRC354","6","2","The PUF’s","6","343","decisions","$3,822.5"
"SRC354","6","2","The PUF’s","9","458","","$36,468.9"
"SRC354","6","3","to $40,291.4","7","415","and","31,"
"SRC354","6","3","to $40,291.4","8","438","conditions.","2025,"
"SRC354","6","4","increase","2","126","statements Highlights","$3,458.7"
"SRC354","6","4","increase","5","294","known facts,","10.5%"
"SRC354","6","4","increase","9","458","","31,"
"SRC354","6","4","increase","10","494","","2024."
"SRC354","7","1","Investments, at Fair Value","1","359","2025","40,521.4"
"SRC354","7","1","Investments, at Fair Value","2","426","2024","36,379.0"
"SRC354","7","1","Investments, at Fair Value","3","498","2023","33,320.4"
"SRC354","7","2","Other Assets","1","359","2025","1,333.5"
"SRC354","7","2","Other Assets","2","426","2024","1,370.6"
"SRC354","7","2","Other Assets","3","498","2023","895.2"
"SRC354","7","3","Total Assets","1","359","2025","41,854.9"
"SRC354","7","3","Total Assets","2","426","2024","37,749.6"
"SRC354","7","3","Total Assets","3","498","2023","34,215.6"
"SRC354","7","4","Total Liabilities","1","359","2025","1,563.5"
"SRC354","7","4","Total Liabilities","2","426","2024","1,280.7"
"SRC354","7","4","Total Liabilities","3","498","2023","1,205.4"
"SRC354","7","5","Net Position Restricted for Beneficiaries","1","359","2025","40,291.4"
"SRC354","7","5","Net Position Restricted for Beneficiaries","2","426","2024","36,468.9"
"SRC354","7","5","Net Position Restricted for Beneficiaries","3","498","2023","33,010.2"
"SRC354","8","1","The net increase in fair value","4","365","","$3,338.5"
"SRC354","8","2","compared to a net increase","4","365","","$3,229.6"
"SRC354","8","3","August 31, 2024. Investment","3","313","","$61.5"
"SRC354","8","3","August 31, 2024. Investment","4","365","","$76.7"
"SRC354","8","3","August 31, 2024. Investment","6","474","","$71.5"
"SRC354","8","4","respectively, for the years ended","2","272","","31, 2025,"
"SRC354","8","4","respectively, for the years ended","3","313","","2024,"
"SRC354","8","4","respectively, for the years ended","4","365","","2023."
"SRC354","8","5","Distributions to the AUF decreased","2","272","","$345.6"
"SRC354","8","5","Distributions to the AUF decreased","4","365","","$1,870.5"
"SRC354","8","5","Distributions to the AUF decreased","7","504","","2024"
"SRC354","8","6","$1,524.9 million in fiscal year","1","214","","2025."
"SRC354","8","6","$1,524.9 million in fiscal year","3","313","","2024"
"SRC354","8","6","$1,524.9 million in fiscal year","7","504","","$639.4"
"SRC354","8","7","million from the fiscal year","1","214","","2023"
"SRC354","8","7","million from the fiscal year","3","313","","$1,231.1"
"SRC354","8","7","million from the fiscal year","6","474","","2024"
"SRC354","8","8","included a one-time supplemental","3","313","","$462.7"
"SRC354","8","9","the previous twelve-quarters","6","474","","2"
"SRC354","8","9","the previous twelve-quarters","7","504","","3"
"SRC354","8","10","2. If the inflationary increase","2","272","","1"
"SRC354","8","10","2. If the inflationary increase","5","442","","3.5%"
"SRC354","8","11","3. If the inflationary increase","2","272","shall be increased","1"
"SRC354","8","11","3. If the inflationary increase","6","474","","6.0%"
"SRC354","8","12","For the year ended August 31,","1","214","distribution","2025"
"SRC354","8","12","For the year ended August 31,","4","365","to 3.5%.","5.3%"
"SRC354","8","13","position of the PUF as of February","2","272","shall be increased","2024."
"SRC354","8","13","position of the PUF as of February","5","442","","31, 2024"
"SRC354","8","14","including the supplemental one-time","3","313","","7.0%"
"SRC354","8","15","of the PUF as of February 28,","1","214","distribution","2023."
"SRC354","9","1","Investment Income $","1","375","net position 2025","3,722.0"
"SRC354","9","1","Investment Income $","2","441","(in millions): 2024","3,581.1"
"SRC354","9","1","Investment Income $","3","508","2023","1,575.3"
"SRC354","9","2","Less Investment Expenses","1","375","net position 2025","61.5"
"SRC354","9","2","Less Investment Expenses","2","441","(in millions): 2024","76.7"
"SRC354","9","2","Less Investment Expenses","3","508","2023","71.5"
"SRC354","9","3","PUF Lands Contributions","1","375","net position 2025","1,719.1"
"SRC354","9","3","PUF Lands Contributions","2","441","(in millions): 2024","1,850.3"
"SRC354","9","3","PUF Lands Contributions","3","508","2023","1,864.4"
"SRC354","9","4","Total Additions","1","375","net position 2025","5,379.6"
"SRC354","9","4","Total Additions","2","441","(in millions): 2024","5,354.7"
"SRC354","9","4","Total Additions","3","508","2023","3,368.2"
"SRC354","9","5","PUF Lands Expenses","1","375","net position 2025","31.8"
"SRC354","9","5","PUF Lands Expenses","2","441","(in millions): 2024","25.2"
"SRC354","9","5","PUF Lands Expenses","3","508","2023","15.3"
"SRC354","9","6","UT System Oversight Fee","1","375","net position 2025","0.4"
"SRC354","9","6","UT System Oversight Fee","2","441","(in millions): 2024","0.3"
"SRC354","9","6","UT System Oversight Fee","3","508","2023","0.4"
"SRC354","9","7","Distributions to AUF","1","375","net position 2025","1,524.9"
"SRC354","9","7","Distributions to AUF","2","441","(in millions): 2024","1,870.5"
"SRC354","9","7","Distributions to AUF","3","508","2023","1,231.1"
"SRC354","9","8","Total Deductions","1","375","net position 2025","1,557.1"
"SRC354","9","8","Total Deductions","2","441","(in millions): 2024","1,896.0"
"SRC354","9","8","Total Deductions","3","508","2023","1,246.8"
"SRC354","9","9","Change in Net Position","1","375","net position 2025","3,822.5"
"SRC354","9","9","Change in Net Position","2","441","(in millions): 2024","3,458.7"
"SRC354","9","9","Change in Net Position","3","508","2023","2,121.4"
"SRC354","9","10","Net Position Restricted for Beneficiaries, Beginning of Year","1","375","net position 2025","36,468.9"
"SRC354","9","10","Net Position Restricted for Beneficiaries, Beginning of Year","2","441","(in millions): 2024","33,010.2"
"SRC354","9","10","Net Position Restricted for Beneficiaries, Beginning of Year","3","508","2023","30,888.8"
"SRC354","9","11","Net Position Restricted for Beneficiaries, End of Year $","1","375","net position 2025","40,291.4"
"SRC354","9","11","Net Position Restricted for Beneficiaries, End of Year $","2","441","(in millions): 2024","36,468.9"
"SRC354","9","11","Net Position Restricted for Beneficiaries, End of Year $","3","508","2023","33,010.2"
"SRC354","10","1","Equity Securities $","1","427","2025","3,076,054"
"SRC354","10","1","Equity Securities $","2","522","2024","3,690,008"
"SRC354","10","2","Foreign Preferred Stock","1","427","2025","34,263"
"SRC354","10","2","Foreign Preferred Stock","2","522","2024","41,872"
"SRC354","10","3","Debt Securities","1","427","2025","1,998,358"
"SRC354","10","3","Debt Securities","2","522","2024","2,132,660"
"SRC354","10","4","Investment Funds 33,784,409","2","522","2024","29,805,526"
"SRC354","10","5","Purchased Options","1","427","2025","148"
"SRC354","10","5","Purchased Options","2","522","2024","540"
"SRC354","10","6","Cash and Cash Equivalents","1","427","2025","1,628,173"
"SRC354","10","6","Cash and Cash Equivalents","2","522","2024","708,385"
"SRC354","10","7","Total Investments 40,521,405","2","522","2024","36,378,991"
"SRC354","10","8","Collateral for Securities Loaned, at Fair Value","1","427","2025","336,786"
"SRC354","10","8","Collateral for Securities Loaned, at Fair Value","2","522","2024","467,670"
"SRC354","10","9","Deposit with Brokers for Derivative Contracts","1","427","2025","224,154"
"SRC354","10","9","Deposit with Brokers for Derivative Contracts","2","522","2024","257,247"
"SRC354","10","10","Unrealized Gains on Foreign Exchange Contracts","1","427","2025","8,975"
"SRC354","10","10","Unrealized Gains on Foreign Exchange Contracts","2","522","2024","17,638"
"SRC354","10","11","Futures Contracts, at Fair Value","1","427","2025","3,407"
"SRC354","10","11","Futures Contracts, at Fair Value","2","522","2024","6,356"
"SRC354","10","12","Swaps, at Fair Value","1","427","2025","111,613"
"SRC354","10","12","Swaps, at Fair Value","2","522","2024","100,011"
"SRC354","10","13","Investment Securities Sold","1","427","2025","617,426"
"SRC354","10","13","Investment Securities Sold","2","522","2024","493,381"
"SRC354","10","14","Accrued Income","1","427","2025","30,745"
"SRC354","10","14","Accrued Income","2","522","2024","27,929"
"SRC354","10","15","Other","1","427","2025","368"
"SRC354","10","15","Other","2","522","2024","368"
"SRC354","10","16","Total Receivables","1","427","2025","648,539"
"SRC354","10","16","Total Receivables","2","522","2024","521,678"
"SRC354","10","17","Total Assets 41,854,879","2","522","2024","37,749,591"
"SRC354","10","18","Payable Upon Return of Securities Loaned","1","427","2025","336,786"
"SRC354","10","18","Payable Upon Return of Securities Loaned","2","522","2024","467,670"
"SRC354","10","19","Payable to Brokers for Collateral Held","1","427","2025","38,777"
"SRC354","10","19","Payable to Brokers for Collateral Held","2","522","2024","14,410"
"SRC354","10","20","Unrealized Losses on Foreign Exchange Contracts","1","427","2025","14,354"
"SRC354","10","20","Unrealized Losses on Foreign Exchange Contracts","2","522","2024","18,421"
"SRC354","10","21","Futures Contracts, at Fair Value","1","427","2025","6,335"
"SRC354","10","21","Futures Contracts, at Fair Value","2","522","2024","6,837"
"SRC354","10","22","Swaps, at Fair Value","1","427","2025","103,190"
"SRC354","10","22","Swaps, at Fair Value","2","522","2024","78,907"
"SRC354","10","23","Options Written, at Fair Value","1","427","2025","112"
"SRC354","10","23","Options Written, at Fair Value","2","522","2024","1,187"
"SRC354","10","24","Investment Securities Purchased","1","427","2025","1,052,230"
"SRC354","10","24","Investment Securities Purchased","2","522","2024","671,802"
"SRC354","10","25","Other","1","427","2025","11,667"
"SRC354","10","25","Other","2","522","2024","21,489"
"SRC354","10","26","Total Payables","1","427","2025","1,063,897"
"SRC354","10","26","Total Payables","2","522","2024","693,291"
"SRC354","10","27","Total Liabilities","1","427","2025","1,563,451"
"SRC354","10","27","Total Liabilities","2","522","2024","1,280,723"
"SRC354","10","28","Net Position Restricted for Beneficiaries $ 40,291,428","2","522","2024","36,468,868"
"SRC354","11","1","Net Increase in Fair Value of Investments $","1","429","2025","3,338,513"
"SRC354","11","1","Net Increase in Fair Value of Investments $","2","520","2024","3,229,594"
"SRC354","11","2","Interest","1","429","2025","115,844"
"SRC354","11","2","Interest","2","520","2024","101,660"
"SRC354","11","3","Dividends","1","429","2025","92,876"
"SRC354","11","3","Dividends","2","520","2024","87,967"
"SRC354","11","4","Income Distributions from Private Investment Funds","1","429","2025","173,558"
"SRC354","11","4","Income Distributions from Private Investment Funds","2","520","2024","160,107"
"SRC354","11","5","Securities Lending Income","1","429","2025","1,114"
"SRC354","11","5","Securities Lending Income","2","520","2024","1,266"
"SRC354","11","6","Other","1","429","2025","160"
"SRC354","11","6","Other","2","520","2024","504"
"SRC354","11","7","Total Investment Income","1","429","2025","3,722,065"
"SRC354","11","7","Total Investment Income","2","520","2024","3,581,098"
"SRC354","11","8","UTIMCO Management Fee","1","429","2025","35,262"
"SRC354","11","8","UTIMCO Management Fee","2","520","2024","36,668"
"SRC354","11","9","Investment Management Fees","1","429","2025","21,551"
"SRC354","11","9","Investment Management Fees","2","520","2024","35,501"
"SRC354","11","10","Custodial Fees and Expenses","1","429","2025","2,906"
"SRC354","11","10","Custodial Fees and Expenses","2","520","2024","2,895"
"SRC354","11","11","Other Expenses","1","429","2025","1,721"
"SRC354","11","11","Other Expenses","2","520","2024","1,663"
"SRC354","11","12","Total Investment Expenses","1","429","2025","61,440"
"SRC354","11","12","Total Investment Expenses","2","520","2024","76,727"
"SRC354","11","13","Net Investment Income","1","429","2025","3,660,625"
"SRC354","11","13","Net Investment Income","2","520","2024","3,504,371"
"SRC354","11","14","Contributions from PUF Lands","1","429","2025","1,719,065"
"SRC354","11","14","Contributions from PUF Lands","2","520","2024","1,850,301"
"SRC354","11","15","Total Additions","1","429","2025","5,379,690"
"SRC354","11","15","Total Additions","2","520","2024","5,354,672"
"SRC354","11","16","PUF Lands Expenses","1","429","2025","31,834"
"SRC354","11","16","PUF Lands Expenses","2","520","2024","25,212"
"SRC354","11","17","UT System Oversight Fee","1","429","2025","371"
"SRC354","11","17","UT System Oversight Fee","2","520","2024","351"
"SRC354","11","18","Total Administrative Expenses","1","429","2025","32,205"
"SRC354","11","18","Total Administrative Expenses","2","520","2024","25,563"
"SRC354","11","19","Distributions to Available University Fund","1","429","2025","1,524,925"
"SRC354","11","19","Distributions to Available University Fund","2","520","2024","1,870,475"
"SRC354","11","20","Total Deductions","1","429","2025","1,557,130"
"SRC354","11","20","Total Deductions","2","520","2024","1,896,038"
"SRC354","11","21","Change in Net Position","1","429","2025","3,822,560"
"SRC354","11","21","Change in Net Position","2","520","2024","3,458,634"
"SRC354","11","22","Net Position Restricted for Beneficiaries, Beginning of Year 36,468,868","2","520","2024","33,010,234"
"SRC354","11","23","Net Position Restricted for Beneficiaries, End of Year $ 40,291,428","2","520","2024","36,468,868"
"SRC354","17","1","Domestic Common Stock $","1","318","August 31, 2025","1,459,447,623"
"SRC354","17","1","Domestic Common Stock $","2","390","Quoted Prices in Active Markets for (Level 1)","1,459,447,623"
"SRC354","17","2","Foreign Common Stock","1","318","August 31, 2025","1,616,582,708"
"SRC354","17","2","Foreign Common Stock","2","390","Quoted Prices in Active Markets for (Level 1)","1,616,576,869"
"SRC354","17","2","Foreign Common Stock","3","467","Significant Other (Level 2)","5,839"
"SRC354","17","3","Other Equities","1","318","August 31, 2025","23,051"
"SRC354","17","3","Other Equities","2","390","Quoted Prices in Active Markets for (Level 1)","23,051"
"SRC354","17","4","Total Equity Securities","1","318","August 31, 2025","3,076,053,382"
"SRC354","17","4","Total Equity Securities","2","390","Quoted Prices in Active Markets for (Level 1)","3,076,047,543"
"SRC354","17","4","Total Equity Securities","3","467","Significant Other (Level 2)","5,839"
"SRC354","17","5","Foreign Preferred Stock","1","318","August 31, 2025","34,263,316"
"SRC354","17","5","Foreign Preferred Stock","2","390","Quoted Prices in Active Markets for (Level 1)","34,263,316"
"SRC354","17","6","U.S.Government Obligations","1","318","August 31, 2025","1,463,691,201"
"SRC354","17","6","U.S.Government Obligations","2","390","Quoted Prices in Active Markets for (Level 1)","1,226,108,499"
"SRC354","17","6","U.S.Government Obligations","3","467","Significant Other (Level 2)","237,582,702"
