"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC361","5","1","Cash and cash equivalents $","1","424","2025","8,430"
"SRC361","5","1","Cash and cash equivalents $","2","500","2024","7,878"
"SRC361","5","2","Pledges, net (Note 3)","1","424","2025","256,000"
"SRC361","5","2","Pledges, net (Note 3)","2","500","2024","207,000"
"SRC361","5","3","Investment","1","424","2025","4,370"
"SRC361","5","3","Investment","2","500","2024","13,006"
"SRC361","5","4","Accounts","1","424","2025","1,073"
"SRC361","5","4","Accounts","2","500","2024","112"
"SRC361","5","5","Due from University of Illinois","1","424","2025","2,246"
"SRC361","5","5","Due from University of Illinois","2","500","2024","1,445"
"SRC361","5","6","Prepaid expenses","1","424","2025","3,756"
"SRC361","5","6","Prepaid expenses","2","500","2024","2,383"
"SRC361","5","7","Investments (Note 4) 3,259,521","2","500","2024","3,206,833"
"SRC361","5","8","Beneficial interest in trusts (Note 4)","1","424","2025","53,333"
"SRC361","5","8","Beneficial interest in trusts (Note 4)","2","500","2024","50,494"
"SRC361","5","9","Irrevocable trusts held by other trustees (Note 4)","1","424","2025","24,955"
"SRC361","5","9","Irrevocable trusts held by other trustees (Note 4)","2","500","2024","25,174"
"SRC361","5","10","Property and equipment, net (Note 5)","1","424","2025","83,205"
"SRC361","5","10","Property and equipment, net (Note 5)","2","500","2024","79,012"
"SRC361","5","11","Other assets","1","424","2025","65"
"SRC361","5","11","Other assets","2","500","2024","65"
"SRC361","5","12","Total assets $ 3,696,954","2","500","2024","3,593,402"
"SRC361","5","13","Accounts payable and accrued expenses $","1","424","2025","26,781"
"SRC361","5","13","Accounts payable and accrued expenses $","2","500","2024","21,026"
"SRC361","5","14","Accrued vacation and sick pay","1","424","2025","2,486"
"SRC361","5","14","Accrued vacation and sick pay","2","500","2024","2,362"
"SRC361","5","15","Annuities payable","1","424","2025","53,023"
"SRC361","5","15","Annuities payable","2","500","2024","50,550"
"SRC361","5","16","Remainder interest due to others","1","424","2025","1,645"
"SRC361","5","16","Remainder interest due to others","2","500","2024","1,648"
"SRC361","5","17","Note payable (Note 6)","1","424","2025","22,231"
"SRC361","5","17","Note payable (Note 6)","2","500","2024","28,205"
"SRC361","5","18","Total liabilities","1","424","2025","106,166"
"SRC361","5","18","Total liabilities","2","500","2024","103,791"
"SRC361","5","19","Without donor restrictions","1","424","2025","91,217"
"SRC361","5","19","Without donor restrictions","2","500","2024","89,493"
"SRC361","5","20","With donor restrictions 3,499,571","2","500","2024","3,400,118"
"SRC361","5","21","Total net assets 3,590,788","2","500","2024","3,489,611"
