"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC421","1","1","As filed with the Securities","4","401","","9, 2025"
"SRC421","1","2","Washington","2","326","","20549"
"SRC421","1","3","THE SECURITIES","2","326","","1933"
"SRC421","1","4","Post-Effective","3","371","","4"
"SRC421","1","5","THE INVESTMENT","3","371","","1940"
"SRC421","1","6","Washington","2","326","","20001"
"SRC421","1","7","Check box if any securities being registered on this Form will be offered","5","428","","415"
"SRC421","1","8","The following boxes should only be included and completed if the registrant","5","428","","486"
"SRC421","1","9","Registered Closed-End Fund (closed-end company that is registered under","3","371","","1940"
"SRC421","1","10","New Registrant (registered or regulated under the 1940 Act for less than","1","276","","12"
"SRC421","18","1","23c-3 under","2","316","the Fund may","1940"
"SRC421","18","2","between","1","282","Rule 23c-3","5%"
"SRC421","18","2","between","2","316","would be feasible","25%"
"SRC421","18","3","Rule 23c-3","2","316","would be feasible","1940"
"SRC421","18","4","equal to","1","282","Rule 23c-3","100%"
"SRC421","31","1","assuming a 5% annual return: .......................................................................................","1","418","1 Year","$40"
"SRC421","31","1","assuming a 5% annual return: .......................................................................................","2","450","3 Years","$125"
"SRC421","31","1","assuming a 5% annual return: .......................................................................................","3","485","5 Years","$210"
"SRC421","31","1","assuming a 5% annual return: .......................................................................................","4","523","10 Years","$431"
"SRC421","31","2","assuming a 5% annual return: .......................................................................................","1","418","1 Year","$32"
"SRC421","31","2","assuming a 5% annual return: .......................................................................................","2","450","3 Years","$100"
"SRC421","31","2","assuming a 5% annual return: .......................................................................................","3","485","5 Years","$170"
"SRC421","31","2","assuming a 5% annual return: .......................................................................................","4","523","10 Years","$358"
"SRC421","31","3","assuming a 5% annual return: .......................................................................................","1","418","1 Year","$1,005"
"SRC421","31","3","assuming a 5% annual return: .......................................................................................","2","450","3 Years","$3,114"
"SRC421","31","3","assuming a 5% annual return: .......................................................................................","3","485","5 Years","$5,259"
"SRC421","31","3","assuming a 5% annual return: .......................................................................................","4","523","10 Years","$10,785"
"SRC421","31","4","assuming a 5% annual return: .......................................................................................","1","418","1 Year","795"
"SRC421","31","4","assuming a 5% annual return: .......................................................................................","2","450","3 Years","$2,499"
"SRC421","31","4","assuming a 5% annual return: .......................................................................................","3","485","5 Years","$4,262"
"SRC421","31","4","assuming a 5% annual return: .......................................................................................","4","523","10 Years","8,940"
"SRC421","88","1","members, 4 of whom are Trustees who are not “interested persons”","2","480","","1940"
"SRC421","88","2","adequacy of the internal controls over financial reporting. The Audit","2","480","","4"
"SRC421","88","3","qualifies as an “audit committee financial expert” as defined in Item","1","306","","3"
"SRC421","88","4","the Audit Committee is not an “interested person” of the Fund or","2","480","","1940"
"SRC421","88","5","Gallagher, Michael Porter and Carl J. Rickertsen, all of whom are","2","480","","1940"
"SRC421","89","1","already subject as a Delaware statutory trust","2","299","","1940"
"SRC421","89","2","Apollo S3 RIC Management, L.P., located at","1","219","","9"
"SRC421","89","3","portfolio managers have an average tenure of","1","219","","25"
"SRC421","111","1","The Fund is a Delaware statutory trust formed on May","1","262","","5, 2023."
"SRC421","111","2","The following table shows the amounts of Shares that have","2","455","","24,"
"SRC421","111","3","Class I Shares .................................................................................","2","455","","8,360,834"
"SRC421","122","1","provide written notice to Shareholders","2","296","","60"
"SRC421","122","2","distributions received by the","3","379","","50%"
"SRC421","122","3","in its Shares with respect to","3","379","","1059"
"SRC421","122","4","For purposes of determining","1","150","","(1)"
"SRC421","122","5","Shareholders on December","1","150","","31"
"SRC421","127","1","more for a non-corporate U.S. Shareholder or","1","224","","$10"
"SRC421","127","2","Shareholder must file with the IRS a disclosure","2","302","","8886."
"SRC421","127","3","adjusted gross income for the taxable year over","1","224","","$200,000"
