"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC001","3","1","NOT BEEN RECOMMENDED BY ANY FEDERAL OR STATE SECURITIES 46 Southfield","2","397","","205"
"SRC001","3","2","COMMISSION OR REGULATORY AUTHORITY. FURTHERMORE, THE Stamford, CT","1","359","","06902"
"SRC001","3","3","DETERMINED THE ADEQUACY OF THIS DOCUMENT. ANY Telephone:","1","359","","203"
"SRC001","3","3","DETERMINED THE ADEQUACY OF THIS DOCUMENT. ANY Telephone:","2","397","","594 1863"
"SRC001","7","1","Partnership and the Investment Manager (the “Investment Simon Barnard joined Fundsmith","2","437","","2017."
"SRC001","7","2","the assets of the Partnership in pursuit of the investment the consumer sector","1","403","","2008"
"SRC001","7","3","objective and approach described in this Memorandum. As Portfolio Manager for the","3","535","","2012."
"SRC001","7","4","Will Morgan joined Fundsmith","2","437","","2017."
"SRC001","7","4","Will Morgan joined Fundsmith","3","535","","17"
"SRC001","7","5","years at Goldman Sachs.","3","535","","2000,"
"SRC001","7","6","equity sales in 2002. In","1","403","","2003"
"SRC001","7","7","became head of the team","2","437","","2008. 2011"
"SRC001","7","8","becoming a Managing Director","2","437","","2013"
"SRC001","37","1","determination will be made separately each","2","312","regardless distribution","3.8%"
"SRC001","37","2","each Partner of the Partnership who","2","312","regardless distribution","$200,000"
"SRC001","37","3","December 31, 2017 and before January","1","195","Partnership purposes whether","1, 2026."
"SRC001","45","1","Stamford, CT","1","98","Fundsmith Partners Avenue,","06902"
"SRC001","45","2","Telephone:","1","98","Fundsmith Partners Avenue,","203"
"SRC001","45","2","Telephone:","2","141","U.S. LLC Suite 205","594 1863"
"SRC001","47","1","T +1 203","1","71","Southfield Stamford,","594"
"SRC001","47","1","T +1 203","2","94","Avenue, CT 06902","1863"
"SRC001","47","2","T +44","1","71","Southfield Stamford,","20 3551"
"SRC001","47","2","T +44","2","94","Avenue, CT 06902","6337"
