"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC348","3","1","operations, activities and financial position","2","1049","","10"
"SRC348","3","2","AustralianSuper Pty Ltd ABN 94 006","1","184","","457 987,"
"SRC348","3","3","the Trustee of AustralianSuper ABN","1","184","","65 714 394"
"SRC348","3","3","the Trustee of AustralianSuper ABN","2","1049","","14"
"SRC348","3","4","unless otherwise stated, references to","2","1049","","18"
"SRC348","3","5","(‘FY25’) refer to the period 1 July 2024","1","184","","30"
"SRC348","3","6","needs. Before making a decision, consider","2","1049","","26"
"SRC348","3","7","AustralianSuper uses information in","2","1049","","36"
"SRC348","3","8","100. Member case studies in this report","2","1049","","40"
"SRC348","3","9","are based on their particular circumstances","2","1049","","42"
"SRC348","3","10","Access","2","1049","","48"
"SRC348","3","11","at the date of publication. Any errors","2","1049","","58"
"SRC348","3","12","Members who want a printed copy of","1","184","","2025"
"SRC348","3","13","can request one via australiansuper.com/contact-us","2","1049","","64"
"SRC348","3","14","calling 1300 300 273 or +61 3 9067","1","184","","2108"
"SRC348","5","1","In a year marked by uncertainty and the","2","635","","2035"
"SRC348","5","2","economy and productivity, even in difficult","4","836","","2035"
"SRC348","5","3","celebrate 40 years since the Fund’s origins","1","515","foundations","1985."
"SRC348","5","4","more about the history of the Fund on page","1","515","foundations","18."
"SRC348","5","5","average annual return of 9.27% for close to","1","515","foundations","40"
"SRC348","6","1","our ambition.","4","680","","50"
"SRC348","6","2","years since","2","458","","1985."
"SRC348","6","3","first, always.","3","641","","25"
"SRC348","6","4","“Over","1","353","","3.5"
"SRC348","6","5","– returned","1","353","Balanced option","9.52%"
"SRC348","6","5","– returned","2","458","most members","30"
"SRC348","6","6","30 June","1","353","Balanced option","2025,"
"SRC348","7","1","1.2 million","3","720","ratings 1,000 Australians","13"
"SRC348","7","2","10 years in the Balanced investment mobile app users in FY25","2","664","Awards and","2024"
"SRC348","7","3","option for super accounts","5","811","day2.","20245"
"SRC348","7","4","Balanced investment option for","1","636","over","1"
"SRC348","7","5","super accounts since the Fund","1","636","over","3"
"SRC348","7","6","started in August 1985","1","636","over","4"
"SRC348","7","6","started in August 1985","6","853","","2013"
"SRC348","12","1","low relative to the","3","822","","1,200"
"SRC348","12","2","greatest needs.","3","822","","37"
"SRC348","12","3","plan for risk at","3","822","","(85%)"
"SRC348","22","1","September","2","99","year, and","2024,"
"SRC348","22","2","the","2","99","year, and","1.5"
"SRC348","22","3","1AustralianSuper","4","273","","70 050"
"SRC348","22","3","1AustralianSuper","5","297","","109 450,"
"SRC348","22","3","1AustralianSuper","6","335","","237848."
"SRC348","22","4","42","2","99","year, and","2025"
"SRC348","28","1","As we mark 40 years, AustralianSuper now","8","950","Balanced option","$50,000"
"SRC348","28","1","As we mark 40 years, AustralianSuper now","9","1046","super","20"
"SRC348","28","1","As we mark 40 years, AustralianSuper now","10","1076","accounts","30"
"SRC348","28","1","As we mark 40 years, AustralianSuper now","12","1116","","2025"
"SRC348","28","2","same degree, relative to listed shares. These kinds","1","636","","25"
"SRC348","28","2","same degree, relative to listed shares. These kinds","7","904","","250,000"
"SRC348","28","3","for members at a competitive cost.","1","636","","20"
"SRC348","28","4","However, over the long term, AustralianSuper’s","1","636","","15"
"SRC348","28","5","lower volatility, delivering value-add for members. challenges, and it’s how","1","636","","5"
"SRC348","28","6","While it may have felt like recent market volatility","7","904","","50,000"
"SRC348","28","7","was unprecedented, this is a normal part of the","1","636","","-10"
"SRC348","28","8","investment cycle. On average, our research","1","636","","-15"
"SRC348","28","8","investment cycle. On average, our research","7","904","","0"
"SRC348","28","9","suggests we could expect to see a bear market","1","636","","7891 9891"
"SRC348","28","9","suggests we could expect to see a bear market","2","693","option","1991 3991 5991 7991"
"SRC348","28","9","suggests we could expect to see a bear market","3","763","for super","3002 5002 7002 9002"
"SRC348","28","9","suggests we could expect to see a bear market","4","812","accounts","1102 3102 5102"
"SRC348","28","9","suggests we could expect to see a bear market","5","848","","9102 1202"
"SRC348","28","10","Looking ahead, markets may remain volatile in","4","812","accounts","7102"
"SRC348","28","10","Looking ahead, markets may remain volatile in","6","872","","3202 5202"
"SRC348","28","11","– or a downturn of more than 20% – occur every","7","904","","2005"
"SRC348","28","11","– or a downturn of more than 20% – occur every","8","950","Balanced option","2009"
"SRC348","28","11","– or a downturn of more than 20% – occur every","9","1046","super","2017"
"SRC348","28","11","– or a downturn of more than 20% – occur every","11","1095","","2021"
"SRC348","28","11","– or a downturn of more than 20% – occur every","13","1138","","2025"
"SRC348","28","12","investment option through market ups and downs. to impact global markets. Investment markets","7","904","Ten-year","8.84%"
"SRC348","28","13","prefer certainty, so any further progress towards","1","636","Average","9.52%"
"SRC348","28","13","prefer certainty, so any further progress towards","2","693","annual returns","9.50%"
"SRC348","28","13","prefer certainty, so any further progress towards","7","904","Ten-year","8"
"SRC348","28","13","prefer certainty, so any further progress towards","8","950","average","7.94%"
"SRC348","28","14","trade and geopolitical stability will likely support","3","763","to 30 June","7.94%"
"SRC348","28","14","trade and geopolitical stability will likely support","4","812","2025","7.93%"
"SRC348","28","15","continued global growth.","3","763","to 30 June","7.04%"
"SRC348","28","15","continued global growth.","7","904","Ten-year","6"
"SRC348","28","15","continued global growth.","9","1046","returns to","5.96%"
"SRC348","28","15","continued global growth.","11","1095","June","5.84%"
"SRC348","28","16","54 AustralianSuper 2025 Annual Report","13","1138","","55"
"SRC348","35","1","68","2","78","","2025"
"SRC348","36","1","7 Assumptions: Holdings data as at 30 June 2025 and SDI-AOP data as of 2 June 2025. Alignment is based on percent of company revenue, loan value (for banks)","1","636","","10,11"
"SRC348","36","2","or installed capacity (for utilities) aligned to an SDG, multiplied by the value of AustralianSuper’s holding (AUD million invested). Only companies with SDI status","1","636","","12"
"SRC348","36","3","of ‘Majority’ or ‘Decisive’ with confidence levels of three or above (out of five), as determined by SDI-AOP have been included. Negative contributions are not","1","636","","13"
"SRC348","36","4","considered. SDGs 5, 8, 10, 16, and 17 are conduct-based or focused on government and institutions and are not covered by the SDI-AOP data. SDG14 is currently","1","636","","14"
"SRC348","36","4","considered. SDGs 5, 8, 10, 16, and 17 are conduct-based or focused on government and institutions and are not covered by the SDI-AOP data. SDG14 is currently","2","730","","30"
"SRC348","36","4","considered. SDGs 5, 8, 10, 16, and 17 are conduct-based or focused on government and institutions and are not covered by the SDI-AOP data. SDG14 is currently","3","756","","2025."
