"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC345","2","1","Annual Report","1","274","","2025"
"SRC345","2","2","Who we are","2","531","14","16"
"SRC345","2","2","Who we are","8","1123","","44"
"SRC345","2","3","About us","1","274","2","4"
"SRC345","2","3","About us","2","531","14","18"
"SRC345","2","3","About us","8","1123","","44"
"SRC345","2","4","Our values","1","274","2","5"
"SRC345","2","4","Our values","8","1123","","48"
"SRC345","2","5","Our Chair’s annual update","1","274","2","6"
"SRC345","2","6","Our CEO’s annual update","1","274","2","7"
"SRC345","2","7","External environment","1","274","2","8"
"SRC345","2","7","External environment","3","863","","38"
"SRC345","2","8","Our strategy","1","274","2","11"
"SRC345","2","8","Our strategy","3","863","","40"
"SRC345","2","8","Our strategy","5","1013","and additional","53 226"
"SRC345","2","8","Our strategy","6","1037","","460 365"
"SRC345","2","8","Our strategy","7","1073","disclosures","001,"
"SRC345","2","9","and purpose","1","274","2","12"
"SRC345","3","1","2 Aware Super","2","170","","2025"
"SRC345","3","2","communicate","7","471","","1 2024"
"SRC345","3","3","purpose.","3","305","","2025"
"SRC345","3","4","Our approach","8","888","","1)"
"SRC345","3","5","Re p o","1","99","","2 025"
"SRC345","3","6","R e p o","1","99","","2 0 25"
"SRC345","3","7","Re p o","1","99","","2 0 2 5"
"SRC345","3","8","R e p o","1","99","","2 0 25"
"SRC345","4","1","4","2","166","","2025"
"SRC345","8","1","12","2","169","","2025"
"SRC345","9","1","Member contributions and","2","668","Lifecyle High Growth one-year performance","9.78%"
"SRC345","9","1","Member contributions and","3","921","","6.77%"
"SRC345","9","2","Our relationships with members","3","921","","69%"
"SRC345","9","3","approach","3","921","","81%"
"SRC345","9","4","Human capital","4","940","","70%"
"SRC345","9","5","Environmental resources","2","668","Lifecyle High Growth one-year performance","28%"
"SRC345","10","1","objectives and enablers Key performance indicators as at","1","378","","30"
"SRC345","10","1","objectives and enablers Key performance indicators as at","2","412","2023/24 performance","2024)"
"SRC345","10","1","objectives and enablers Key performance indicators as at","3","475","2024/25 performance","30"
"SRC345","10","1","objectives and enablers Key performance indicators as at","8","974","2023/24 performance","30"
"SRC345","10","1","objectives and enablers Key performance indicators as at","9","1068","","30"
"SRC345","10","1","objectives and enablers Key performance indicators as at","10","1106","2024/25 performance","2025)"
"SRC345","10","2","Retirement adequacy12 83.1%","3","475","2024/25 performance","82.7%"
