"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC071","1","1","Arrowstreet Global $ 11,554.9 - - -","1","339","Total Return","19.2%"
"SRC071","1","1","Arrowstreet Global $ 11,554.9 - - -","2","371","BM Return","14.0%"
"SRC071","1","1","Arrowstreet Global $ 11,554.9 - - -","3","403","Excess Bps","520"
"SRC071","1","1","Arrowstreet Global $ 11,554.9 - - -","4","428","Total Return","20.7%"
"SRC071","1","1","Arrowstreet Global $ 11,554.9 - - -","5","456","BM Return","17.4%"
"SRC071","1","1","Arrowstreet Global $ 11,554.9 - - -","6","488","Excess Bps","333"
"SRC071","1","1","Arrowstreet Global $ 11,554.9 - - -","7","512","Total Return","19.8%"
"SRC071","1","1","Arrowstreet Global $ 11,554.9 - - -","8","543","BM Return","16.2%"
"SRC071","1","1","Arrowstreet Global $ 11,554.9 - - -","9","577","Excess Bps","363"
"SRC071","1","2","Baillie Gifford $ 1,515.6 6.5% 6.6% (5)","1","339","Total Return","6.0%"
"SRC071","1","2","Baillie Gifford $ 1,515.6 6.5% 6.6% (5)","2","371","BM Return","10.5%"
"SRC071","1","2","Baillie Gifford $ 1,515.6 6.5% 6.6% (5)","3","403","Excess Bps","(448)"
"SRC071","1","2","Baillie Gifford $ 1,515.6 6.5% 6.6% (5)","4","428","Total Return","15.2%"
"SRC071","1","2","Baillie Gifford $ 1,515.6 6.5% 6.6% (5)","5","456","BM Return","14.2%"
"SRC071","1","2","Baillie Gifford $ 1,515.6 6.5% 6.6% (5)","6","488","Excess Bps","93"
"SRC071","1","2","Baillie Gifford $ 1,515.6 6.5% 6.6% (5)","7","512","Total Return","20.6%"
"SRC071","1","2","Baillie Gifford $ 1,515.6 6.5% 6.6% (5)","8","543","BM Return","17.8%"
"SRC071","1","2","Baillie Gifford $ 1,515.6 6.5% 6.6% (5)","9","577","Excess Bps","282"
"SRC071","1","3","CalPERS Cap Weighted Beta Rep $ 299.6 - - -","1","339","Total Return","13.8%"
"SRC071","1","3","CalPERS Cap Weighted Beta Rep $ 299.6 - - -","2","371","BM Return","14.0%"
"SRC071","1","3","CalPERS Cap Weighted Beta Rep $ 299.6 - - -","3","403","Excess Bps","(15)"
"SRC071","1","3","CalPERS Cap Weighted Beta Rep $ 299.6 - - -","4","428","Total Return","16.7%"
"SRC071","1","3","CalPERS Cap Weighted Beta Rep $ 299.6 - - -","5","456","BM Return","17.4%"
"SRC071","1","3","CalPERS Cap Weighted Beta Rep $ 299.6 - - -","6","488","Excess Bps","(75)"
"SRC071","1","3","CalPERS Cap Weighted Beta Rep $ 299.6 - - -","7","512","Total Return","14.6%"
"SRC071","1","3","CalPERS Cap Weighted Beta Rep $ 299.6 - - -","8","543","BM Return","16.2%"
"SRC071","1","3","CalPERS Cap Weighted Beta Rep $ 299.6 - - -","9","577","Excess Bps","(155)"
"SRC071","1","4","CalPERS Cap Weighted Synthetic** $ 5,335.3 - - -","4","428","Total Return","17.4%"
"SRC071","1","4","CalPERS Cap Weighted Synthetic** $ 5,335.3 - - -","5","456","BM Return","17.4%"
"SRC071","1","4","CalPERS Cap Weighted Synthetic** $ 5,335.3 - - -","6","488","Excess Bps","0"
"SRC071","1","4","CalPERS Cap Weighted Synthetic** $ 5,335.3 - - -","7","512","Total Return","16.2%"
"SRC071","1","4","CalPERS Cap Weighted Synthetic** $ 5,335.3 - - -","8","543","BM Return","16.2%"
"SRC071","1","4","CalPERS Cap Weighted Synthetic** $ 5,335.3 - - -","9","577","Excess Bps","0"
"SRC071","1","5","CalPERS Emerging Market $ 6,460.0 5.3% 5.0% 26","1","339","Total Return","7.5%"
"SRC071","1","5","CalPERS Emerging Market $ 6,460.0 5.3% 5.0% 26","2","371","BM Return","7.1%"
"SRC071","1","5","CalPERS Emerging Market $ 6,460.0 5.3% 5.0% 26","3","403","Excess Bps","33"
"SRC071","1","5","CalPERS Emerging Market $ 6,460.0 5.3% 5.0% 26","4","428","Total Return","9.9%"
"SRC071","1","5","CalPERS Emerging Market $ 6,460.0 5.3% 5.0% 26","5","456","BM Return","9.6%"
"SRC071","1","5","CalPERS Emerging Market $ 6,460.0 5.3% 5.0% 26","6","488","Excess Bps","27"
"SRC071","1","5","CalPERS Emerging Market $ 6,460.0 5.3% 5.0% 26","7","512","Total Return","16.1%"
"SRC071","1","5","CalPERS Emerging Market $ 6,460.0 5.3% 5.0% 26","8","543","BM Return","15.7%"
"SRC071","1","5","CalPERS Emerging Market $ 6,460.0 5.3% 5.0% 26","9","577","Excess Bps","47"
"SRC071","1","6","CalPERS Emerging Markets Enhanced $ 3,145.4 - - -","7","512","Total Return","15.9%"
"SRC071","1","6","CalPERS Emerging Markets Enhanced $ 3,145.4 - - -","8","543","BM Return","15.2%"
"SRC071","1","6","CalPERS Emerging Markets Enhanced $ 3,145.4 - - -","9","577","Excess Bps","72"
"SRC071","1","7","CalPERS Factor Weighted $ 33,281.4 - - -","1","339","Total Return","9.6%"
"SRC071","1","7","CalPERS Factor Weighted $ 33,281.4 - - -","2","371","BM Return","9.6%"
"SRC071","1","7","CalPERS Factor Weighted $ 33,281.4 - - -","3","403","Excess Bps","4"
"SRC071","1","7","CalPERS Factor Weighted $ 33,281.4 - - -","4","428","Total Return","11.5%"
"SRC071","1","7","CalPERS Factor Weighted $ 33,281.4 - - -","5","456","BM Return","11.4%"
"SRC071","1","7","CalPERS Factor Weighted $ 33,281.4 - - -","6","488","Excess Bps","8"
"SRC071","1","7","CalPERS Factor Weighted $ 33,281.4 - - -","7","512","Total Return","15.6%"
"SRC071","1","7","CalPERS Factor Weighted $ 33,281.4 - - -","8","543","BM Return","15.6%"
"SRC071","1","7","CalPERS Factor Weighted $ 33,281.4 - - -","9","577","Excess Bps","3"
"SRC071","1","8","CalPERS Global All Cap Quality $ 1,595.3 - - -","1","339","Total Return","13.5%"
"SRC071","1","8","CalPERS Global All Cap Quality $ 1,595.3 - - -","2","371","BM Return","14.0%"
"SRC071","1","8","CalPERS Global All Cap Quality $ 1,595.3 - - -","3","403","Excess Bps","(44)"
"SRC071","1","8","CalPERS Global All Cap Quality $ 1,595.3 - - -","4","428","Total Return","15.8%"
"SRC071","1","8","CalPERS Global All Cap Quality $ 1,595.3 - - -","5","456","BM Return","17.4%"
"SRC071","1","8","CalPERS Global All Cap Quality $ 1,595.3 - - -","6","488","Excess Bps","(165)"
"SRC071","1","8","CalPERS Global All Cap Quality $ 1,595.3 - - -","7","512","Total Return","11.7%"
"SRC071","1","8","CalPERS Global All Cap Quality $ 1,595.3 - - -","8","543","BM Return","16.2%"
"SRC071","1","8","CalPERS Global All Cap Quality $ 1,595.3 - - -","9","577","Excess Bps","(448)"
"SRC071","1","9","CalPERS Glbl All Cap Momentum $ 1,795.9 - - -","1","339","Total Return","15.3%"
"SRC071","1","9","CalPERS Glbl All Cap Momentum $ 1,795.9 - - -","2","371","BM Return","14.0%"
"SRC071","1","9","CalPERS Glbl All Cap Momentum $ 1,795.9 - - -","3","403","Excess Bps","128"
"SRC071","1","9","CalPERS Glbl All Cap Momentum $ 1,795.9 - - -","4","428","Total Return","20.2%"
"SRC071","1","9","CalPERS Glbl All Cap Momentum $ 1,795.9 - - -","5","456","BM Return","17.4%"
"SRC071","1","9","CalPERS Glbl All Cap Momentum $ 1,795.9 - - -","6","488","Excess Bps","282"
"SRC071","1","9","CalPERS Glbl All Cap Momentum $ 1,795.9 - - -","7","512","Total Return","20.3%"
"SRC071","1","9","CalPERS Glbl All Cap Momentum $ 1,795.9 - - -","8","543","BM Return","16.2%"
"SRC071","1","9","CalPERS Glbl All Cap Momentum $ 1,795.9 - - -","9","577","Excess Bps","413"
"SRC071","1","10","CalPERS Global All Cap Value $ 1,595.1 - - -","1","339","Total Return","15.2%"
"SRC071","1","10","CalPERS Global All Cap Value $ 1,595.1 - - -","2","371","BM Return","14.0%"
"SRC071","1","10","CalPERS Global All Cap Value $ 1,595.1 - - -","3","403","Excess Bps","125"
"SRC071","1","10","CalPERS Global All Cap Value $ 1,595.1 - - -","4","428","Total Return","15.5%"
"SRC071","1","10","CalPERS Global All Cap Value $ 1,595.1 - - -","5","456","BM Return","17.4%"
"SRC071","1","10","CalPERS Global All Cap Value $ 1,595.1 - - -","6","488","Excess Bps","(193)"
"SRC071","1","10","CalPERS Global All Cap Value $ 1,595.1 - - -","7","512","Total Return","16.7%"
"SRC071","1","10","CalPERS Global All Cap Value $ 1,595.1 - - -","8","543","BM Return","16.2%"
"SRC071","1","10","CalPERS Global All Cap Value $ 1,595.1 - - -","9","577","Excess Bps","52"
"SRC071","1","11","CalPERS Global All Cap Vol Adj $ 1,670.7 - - -","1","339","Total Return","13.9%"
"SRC071","1","11","CalPERS Global All Cap Vol Adj $ 1,670.7 - - -","2","371","BM Return","14.0%"
"SRC071","1","11","CalPERS Global All Cap Vol Adj $ 1,670.7 - - -","3","403","Excess Bps","(11)"
"SRC071","1","11","CalPERS Global All Cap Vol Adj $ 1,670.7 - - -","4","428","Total Return","17.1%"
"SRC071","1","11","CalPERS Global All Cap Vol Adj $ 1,670.7 - - -","5","456","BM Return","17.4%"
"SRC071","1","11","CalPERS Global All Cap Vol Adj $ 1,670.7 - - -","6","488","Excess Bps","(35)"
"SRC071","1","11","CalPERS Global All Cap Vol Adj $ 1,670.7 - - -","7","512","Total Return","15.6%"
"SRC071","1","11","CalPERS Global All Cap Vol Adj $ 1,670.7 - - -","8","543","BM Return","16.2%"
"SRC071","1","11","CalPERS Global All Cap Vol Adj $ 1,670.7 - - -","9","577","Excess Bps","(59)"
"SRC071","1","12","CalPERS Global Growth $ 1,699.3 - - -","7","512","Total Return","19.1%"
"SRC071","1","12","CalPERS Global Growth $ 1,699.3 - - -","8","543","BM Return","16.2%"
"SRC071","1","12","CalPERS Global Growth $ 1,699.3 - - -","9","577","Excess Bps","292"
"SRC071","1","13","CalPERS Global Climate $ 5,888.8 - - -","7","512","Total Return","16.2%"
"SRC071","1","13","CalPERS Global Climate $ 5,888.8 - - -","8","543","BM Return","16.2%"
"SRC071","1","13","CalPERS Global Climate $ 5,888.8 - - -","9","577","Excess Bps","1"
"SRC071","1","14","CalPERS Int'l Dev $ 24,052.3 7.2% 7.1% 8","1","339","Total Return","11.7%"
"SRC071","1","14","CalPERS Int'l Dev $ 24,052.3 7.2% 7.1% 8","2","371","BM Return","11.6%"
"SRC071","1","14","CalPERS Int'l Dev $ 24,052.3 7.2% 7.1% 8","3","403","Excess Bps","6"
"SRC071","1","14","CalPERS Int'l Dev $ 24,052.3 7.2% 7.1% 8","4","428","Total Return","15.9%"
"SRC071","1","14","CalPERS Int'l Dev $ 24,052.3 7.2% 7.1% 8","5","456","BM Return","15.8%"
"SRC071","1","14","CalPERS Int'l Dev $ 24,052.3 7.2% 7.1% 8","6","488","Excess Bps","6"
"SRC071","1","14","CalPERS Int'l Dev $ 24,052.3 7.2% 7.1% 8","7","512","Total Return","18.7%"
"SRC071","1","14","CalPERS Int'l Dev $ 24,052.3 7.2% 7.1% 8","8","543","BM Return","18.6%"
