"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC188","3","1","• Net asset value","3","578","","31, 2024"
"SRC188","3","2","at $2.2bn (2.3%),","2","472","","(1.0%)"
"SRC188","3","3","(6.4%), and Developed","2","472","","(1.3%)"
"SRC188","3","4","• Approximately","1","299","","133"
"SRC188","3","5","objectives (IB","1","299","and need","10)"
"SRC188","5","1","Credit Related","4","729","","15%"
"SRC188","5","2","Opportunistic","1","477","December","90%"
"SRC188","5","3","1.0%","3","635","","20%"
"SRC188","5","4","Venture Capital","1","477","December","80%"
"SRC188","5","5","Large/Mega","1","477","December","60%"
"SRC188","5","6","23.7%","1","477","December","40%"
"SRC188","5","6","23.7%","5","823","1, Page 5","33%"
"SRC188","5","7","• Within Buyout, Large/Mega commitments went from a majority (73%)","3","635","","(43%)"
"SRC188","5","8","• Growth and Venture went from 9% of commitments in FY 2020-21 to","1","477","December","43%"
"SRC188","5","9","• After over a decade hiatus, CalPERS re-entered Venture; despite Venture’s","5","823","1, Page 5","14.7%"
"SRC188","6","1","As of December","1","133","","31,"
"SRC188","6","1","As of December","2","151","","2024"
"SRC188","6","2","Canada,","2","151","","1.8%"
"SRC188","6","3","Europe,","1","133","","22.4%"
"SRC188","11","1","30 Largest US Public PE Programs 1CalPERS","1","595","Programs NAV ($bn)","89.0"
"SRC188","11","1","30 Largest US Public PE Programs 1CalPERS","2","653","NAV 1-yr Return","11.9%"
"SRC188","11","2","2CalSTRS","1","595","Programs NAV ($bn)","53.9"
"SRC188","11","2","2CalSTRS","2","653","NAV 1-yr Return","8.9%"
"SRC188","11","3","As of date 1-year returns 3-year returns 3Washington State Investment Board","1","595","Programs NAV ($bn)","49.5"
"SRC188","11","3","As of date 1-year returns 3-year returns 3Washington State Investment Board","2","653","NAV 1-yr Return","9.6%"
"SRC188","11","4","4Texas Teachers","1","595","Programs NAV ($bn)","32.6"
"SRC188","11","4","4Texas Teachers","2","653","NAV 1-yr Return","7.2%"
"SRC188","11","5","Rank: 17th of 30 Rank: 30th of 30 5Oregon Public Employees","1","595","Programs NAV ($bn)","25.2"
"SRC188","11","5","Rank: 17th of 30 Rank: 30th of 30 5Oregon Public Employees","2","653","NAV 1-yr Return","4.1%"
"SRC188","11","6","12/31/22 6State of Michigan Retirement Systems","1","595","Programs NAV ($bn)","23.8"
"SRC188","11","6","12/31/22 6State of Michigan Retirement Systems","2","653","NAV 1-yr Return","8.0%"
"SRC188","11","7","7Virginia Retirement System","1","595","Programs NAV ($bn)","19.0"
"SRC188","11","7","7Virginia Retirement System","2","653","NAV 1-yr Return","6.3%"
"SRC188","11","8","8Florida State Board of Administration","1","595","Programs NAV ($bn)","18.6"
"SRC188","11","8","8Florida State Board of Administration","2","653","NAV 1-yr Return","8.1%"
"SRC188","11","9","9Massachusetts Pension Reserves","1","595","Programs NAV ($bn)","18.2"
"SRC188","11","9","9Massachusetts Pension Reserves","2","653","NAV 1-yr Return","7.8%"
"SRC188","11","9","9Massachusetts Pension Reserves","3","800","Performance","2022)"
"SRC188","11","10","Quartile: 1st Quartile: 1st 10Minnesota State Board","1","595","Programs NAV ($bn)","16.7"
"SRC188","11","10","Quartile: 1st Quartile: 1st 10Minnesota State Board","2","653","NAV 1-yr Return","9.5%"
"SRC188","11","11","11Ohio Public Employees","1","595","Programs NAV ($bn)","15.4"
