"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC122","4","1","During the review period, program","4","444","","39"
"SRC122","4","2","private equity funds. Of these, 15 were","3","346","","($35.3"
"SRC122","4","2","private equity funds. Of these, 15 were","4","444","","24"
"SRC122","4","3","fund investments ($29.0 million).","4","444","","$33.6"
"SRC122","4","4","were in five industry sectors, with","1","233","","$19.7"
"SRC122","4","4","were in five industry sectors, with","2","303","","(55.9%)"
"SRC122","4","5","In Fiscal Year 2024-25, Five Industry Sectors","2","303","","95.2%"
"SRC122","8","1","in 15 companies in 12 industry sectors,","2","298","the Florida","$35.3"
"SRC122","8","1","in 15 companies in 12 industry sectors,","4","487","directly","15"
"SRC122","8","2","reported $64.7 million in capital expenditures","3","362","Growth Fund","951"
"SRC122","8","3","During the Review Period, the Florida Growth","3","362","Growth Fund","$35.3"
"SRC122","8","4","$64.7 Million in Capital Expenditures and","2","298","the Florida","951"
"SRC122","8","5","Landscaping Services","1","236","Year 2024-25),","0.08"
"SRC122","8","5","Landscaping Services","3","362","Growth Fund","0"
"SRC122","8","5","Landscaping Services","4","487","directly","0"
"SRC122","8","6","and Wood Panel Merchant","1","236","Year 2024-25),","0.03"
"SRC122","8","6","and Wood Panel Merchant","3","362","Growth Fund","1.7"
"SRC122","8","6","and Wood Panel Merchant","4","487","directly","23"
"SRC122","8","7","Roofing Contractors","1","236","Year 2024-25),","0.05"
"SRC122","8","7","Roofing Contractors","3","362","Growth Fund","0.06"
"SRC122","8","7","Roofing Contractors","4","487","directly","-28"
"SRC122","8","8","Total","1","236","Year 2024-25),","$35.3"
"SRC122","8","8","Total","3","362","Growth Fund","$64.7"
"SRC122","8","8","Total","4","487","directly","951"
"SRC122","8","9","Temporary Help Services","1","236","Year 2024-25),","0.7"
"SRC122","8","9","Temporary Help Services","3","362","Growth Fund","0.09"
"SRC122","8","9","Temporary Help Services","4","487","directly","229"
"SRC122","10","1","Florida Growth","2","400","Benchmark2","2000"
"SRC122","10","2","7/1/2024 1-year","1","277","Internal Rates of Return1","-4.5%"
"SRC122","10","2","7/1/2024 1-year","2","400","Benchmark2","4.8%"
"SRC122","10","3","7/1/2022 3-year","1","277","Internal Rates of Return1","-8.23%"
"SRC122","10","3","7/1/2022 3-year","2","400","Benchmark2","9.6%"
"SRC122","10","4","7/1/2020 5-year Florida Grow0t.h8","2","400","Benchmark2","201000"
"SRC122","10","5","Since inception (2009)","1","277","Internal Rates of Return1","10.4%"
"SRC122","10","5","Since inception (2009)","2","400","Benchmark2","10.4%"
"SRC122","10","5","Since inception (2009)","4","502","Difference","0.1%"
"SRC122","10","6","7/1/2024 1-year","1","277","Internal Rates of Return1","-15.7%"
"SRC122","10","6","7/1/2024 1-year","2","400","Benchmark2","6.4%"
"SRC122","10","7","7/1/2022 3-year","1","277","Internal Rates of Return1","0.8%"
"SRC122","10","7","7/1/2022 3-year","2","400","Benchmark2","10.5%"
"SRC122","10","8","Since inception (2012)","1","277","Internal Rates of Return1","10.9%"
"SRC122","10","8","Since inception (2012)","2","400","Benchmark2","8.8%"
"SRC122","10","8","Since inception (2012)","4","502","Difference","2.1%"
"SRC122","10","9","7/1/2024 1-year","1","277","Internal Rates of Return1","-37.0%"
"SRC122","10","9","7/1/2024 1-year","2","400","Benchmark2","6.0%"
"SRC122","10","10","7/1/2022 3-year","1","277","Internal Rates of Return1","-6.0%"
"SRC122","10","10","7/1/2022 3-year","2","400","Benchmark2","9.9%"
"SRC122","10","11","7/1/2020 5-year Florida Grow0t.h3","2","400","Benchmark2","20070.8"
"SRC122","10","12","Since inception (2014)","1","277","Internal Rates of Return1","6.1%"
"SRC122","10","12","Since inception (2014)","2","400","Benchmark2","3.9%"
"SRC122","10","12","Since inception (2014)","4","502","Difference","2.2%"
"SRC122","10","13","7/1/2024 1-year","1","277","Internal Rates of Return1","-3.0%"
"SRC122","10","13","7/1/2024 1-year","2","400","Benchmark2","7.8%"
"SRC122","10","14","7/1/2022 3-year","1","277","Internal Rates of Return1","3.7%"
"SRC122","10","14","7/1/2022 3-year","2","400","Benchmark2","9.7%"
"SRC122","10","15","7/1/2020 5-year Florida Grow1t5h.","2","400","Benchmark2","201004"
"SRC122","10","16","Since inception (2015)","1","277","Internal Rates of Return1","10.2%"
"SRC122","10","16","Since inception (2015)","2","400","Benchmark2","8.7%"
"SRC122","10","16","Since inception (2015)","4","502","Difference","1.4%"
"SRC122","10","17","7/1/2024 1-year","1","277","Internal Rates of Return1","6.5%"
"SRC122","10","17","7/1/2024 1-year","2","400","Benchmark2","11.8%"
"SRC122","10","18","7/1/2022 3-year","1","277","Internal Rates of Return1","12.3%"
"SRC122","10","18","7/1/2022 3-year","2","400","Benchmark2","11.2%"
"SRC122","10","19","7/1/2020 5-yearF lorida Sunshine","3","422","","00"
"SRC122","10","20","Since inception (2019)","1","277","Internal Rates of Return1","19.9%"
"SRC122","10","20","Since inception (2019)","2","400","Benchmark2","5.8%"
"SRC122","10","20","Since inception (2019)","4","502","Difference","14.0%"
"SRC122","10","21","7/1/2024 1-year","1","277","Internal Rates of Return1","3.0%"
"SRC122","10","21","7/1/2024 1-year","2","400","Benchmark2","8.3%"
"SRC122","10","22","7/1/2022 3-year","1","277","Internal Rates of Return1","5.0%"
"SRC122","10","22","7/1/2022 3-year","2","400","Benchmark2","9.7%"
"SRC122","10","23","7/1/2020 5-yeaFrl orida Sunshine","3","422","","00"
"SRC122","10","24","Since inception (2019)","1","277","Internal Rates of Return1","14.4%"
"SRC122","10","24","Since inception (2019)","2","400","Benchmark2","7.0%"
"SRC122","10","24","Since inception (2019)","4","502","Difference","7.4%"
"SRC122","10","25","7/1/2024 1-year","1","277","Internal Rates of Return1","12.2%"
"SRC122","10","25","7/1/2024 1-year","2","400","Benchmark2","8.1%"
"SRC122","10","26","1 Since inception (2022)","1","277","N/A N/A","18.8%"
"SRC122","10","26","1 Since inception (2022)","2","400","N/A N/A","10.5%"
"SRC122","10","26","1 Since inception (2022)","4","502","","8.3%"
