"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC056","1","1","A dna","6","259","","2023"
"SRC056","1","2","nommoc","2","130","","1"
"SRC056","1","3","gnireffo ellaSaL DECLARED/PAID","3","164","","47"
"SRC056","1","3","gnireffo ellaSaL DECLARED/PAID","9","381","","3.7%"
"SRC056","1","4","ytreporP","11","550","","3.6%"
"SRC056","1","5","sah","1","110","","$0.150"
"SRC056","1","6","edam","9","381","","3.8%"
"SRC056","1","7","yub emocnI","1","110","","$0.140"
"SRC056","1","8","reffo seitiruces","7","313","Growth","4.2%"
"SRC056","1","9","na yb erahS","5","237","Distribution","9.1%"
"SRC056","1","10","noitaticilos","1","110","","$0.120"
"SRC056","1","11","rep","4","192","","10.0%"
"SRC056","1","12","eht era","1","110","","$0.110"
"SRC056","1","13","yna","3","164","","5.3%"
"SRC056","1","14","lles siht","1","110","","$0.100"
"SRC056","1","15","na fo","2","130","Consistent","12 2012"
"SRC056","1","15","na fo","3","164","","2013"
"SRC056","1","15","na fo","4","192","","2013 2014"
"SRC056","1","15","na fo","5","237","Distribution","2014 2015"
"SRC056","1","15","na fo","6","259","","2015 2016"
"SRC056","1","15","na fo","7","313","Growth","2016 2017 2017"
"SRC056","1","15","na fo","8","358","","2018"
"SRC056","1","15","na fo","9","381","","2018 2019"
"SRC056","1","15","na fo","10","514","","2022 2022"
"SRC056","1","15","na fo","11","550","","2023 2023"
"SRC056","1","16","sutcepsorp etatS seitreporP","2","130","Consistent","20"
"SRC056","1","17","dna MOC.TPILLJ","8","358","","30,"
"SRC056","1","17","dna MOC.TPILLJ","9","381","","2023."
"SRC056","4","1","SELLING COMMISSIONa None None Up","1","416","CLASS A-I SHARES (ZIPIAX)","1.50%"
"SRC056","4","1","SELLING COMMISSIONa None None Up","2","513","CLASS A SHARES (ZIPTAX)","3.00%"
"SRC056","4","2","DEALER MANAGER FEEb None 0.30%","1","416","CLASS A-I SHARES (ZIPIAX)","0.30%"
"SRC056","4","2","DEALER MANAGER FEEb None 0.30%","2","513","CLASS A SHARES (ZIPTAX)","0.85%"
"SRC056","4","3","PERFORMANCE FEE Calculated for each share class as 10% of the total return in excess of","1","416","CLASS A-I SHARES (ZIPIAX)","7%"
"SRC056","4","4","your shares. After a required one-year holding period, JLLIPT limits the amount of shares that may be repurchased under our repurchase","2","513","CLASS A SHARES (ZIPTAX)","5%"
