"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC059","2","1","LACERS Total Plan Assets","1","418","Market Value","24,048"
"SRC059","2","2","Real Estate Target","1","418","Market Value","1,683"
"SRC059","2","2","Real Estate Target","2","542","% LACERS Plan*","7.0%"
"SRC059","2","3","Core","1","418","Market Value","712"
"SRC059","2","4","Non-Core","1","418","Market Value","289"
"SRC059","2","5","Timber","1","418","Market Value","20"
"SRC059","2","6","Total RE Market Value","1","418","Market Value","1,021"
"SRC059","2","6","Total RE Market Value","2","542","% LACERS Plan*","4.2%"
"SRC059","2","7","Unfunded Commitments","1","418","Market Value","392"
"SRC059","2","7","Unfunded Commitments","2","542","% LACERS Plan*","1.6%"
"SRC059","2","8","RE Market Value & Unfunded Commitments","1","418","Market Value","1,413"
"SRC059","2","8","RE Market Value & Unfunded Commitments","2","542","% LACERS Plan*","5.9%"
"SRC059","2","9","Remaining Allocation","1","418","Market Value","270"
"SRC059","2","9","Remaining Allocation","2","542","% LACERS Plan*","1.1%"
"SRC059","3","1","Core 60% 40% - 80%","1","447","Market Value","69.8%"
"SRC059","3","1","Core 60% 40% - 80%","2","551","Commitments","52.9%"
"SRC059","3","2","Non-Core 40% 20% - 60%","1","447","Market Value","28.3%"
"SRC059","3","2","Non-Core 40% 20% - 60%","2","551","Commitments","45.7%"
"SRC059","3","3","Value Add Portfolio N/A N/A","1","447","Market Value","17.9%"
"SRC059","3","3","Value Add Portfolio N/A N/A","2","551","Commitments","25.3%"
"SRC059","3","4","Opportunistic Portfolio N/A N/A","1","447","Market Value","10.3%"
"SRC059","3","4","Opportunistic Portfolio N/A N/A","2","551","Commitments","20.4%"
"SRC059","3","5","Timber N/A N/A","1","447","Market Value","1.9%"
"SRC059","3","5","Timber N/A N/A","2","551","Commitments","1.4%"
"SRC059","3","6","- The LACERSBoardapprovedapproximately$535 millioninNon-Core investments**","1","447","millionin AndersonCore","2015."
"SRC059","5","1","- The NFI-ODCE","5","469","LACERS","95%"
"SRC059","5","2","ODCE is the","4","413","(defined below). ofOpportunistic","2005,"
"SRC059","5","3","The","1","107","basispoints(“bps”), underperformedover","80"
"SRC059","6","1","snruteR","1","50","","10.0%"
"SRC059","6","2","dethgiew-emiT","1","50","","5.0%"
"SRC059","7","1",")%(","2","288","","22.43"
"SRC059","7","2","- Performance","2","288","","2014"
"SRC059","16","1","$24,048,346,810 1,683,384,277","2","342","","7.0%"
"SRC059","16","1","$24,048,346,810 1,683,384,277","3","404","","1,020,889,003"
"SRC059","16","1","$24,048,346,810 1,683,384,277","4","466","Market Value","4.2%"
"SRC059","16","1","$24,048,346,810 1,683,384,277","5","527","","392,445,143"
"SRC059","16","1","$24,048,346,810 1,683,384,277","6","589","Unfunded Commitments","1.6%"
"SRC059","16","1","$24,048,346,810 1,683,384,277","7","651","","270,050,131"
"SRC059","16","1","$24,048,346,810 1,683,384,277","8","717","Remaining Allocation","1.1%"
"SRC059","16","2","Performance Summary","3","404","","1"
"SRC059","16","2","Performance Summary","5","527","","3"
"SRC059","16","2","Performance Summary","7","651","","5"
"SRC059","16","3","LACERS4","1","248","","8.3"
"SRC059","16","3","LACERS4","2","342","","7.7"
"SRC059","16","3","LACERS4","3","404","","25.3"
"SRC059","16","3","LACERS4","4","466","Market Value","22.4"
"SRC059","16","3","LACERS4","5","527","","10.2"
"SRC059","16","3","LACERS4","6","589","Unfunded Commitments","8.5"
"SRC059","16","3","LACERS4","7","651","","9.8"
"SRC059","16","3","LACERS4","8","717","Remaining Allocation","8.2"
"SRC059","16","4","NFI‐ODCE + 80 basis points","1","248","","8.2"
"SRC059","16","4","NFI‐ODCE + 80 basis points","2","342","","7.9"
"SRC059","16","4","NFI‐ODCE + 80 basis points","3","404","","23.0"
"SRC059","16","4","NFI‐ODCE + 80 basis points","4","466","Market Value","21.8"
"SRC059","16","4","NFI‐ODCE + 80 basis points","5","527","","10.0"
"SRC059","16","4","NFI‐ODCE + 80 basis points","6","589","Unfunded Commitments","9.0"
"SRC059","16","4","NFI‐ODCE + 80 basis points","7","651","","9.5"
"SRC059","16","4","NFI‐ODCE + 80 basis points","8","717","Remaining Allocation","8.5"
"SRC059","16","5","Core Portfolio","1","248","Vintage Year","1989"
"SRC059","16","5","Core Portfolio","2","342","Amount","423,867,553"
"SRC059","16","5","Core Portfolio","3","404","Amount","467,939,784"
"SRC059","16","5","Core Portfolio","4","466","Commitments","35,043,585"
"SRC059","16","5","Core Portfolio","5","527","Returned","155,605,682"
"SRC059","16","5","Core Portfolio","6","589","Value","712,417,325"
"SRC059","16","5","Core Portfolio","7","651","Value (%)","69.8"
"SRC059","16","5","Core Portfolio","8","717","","52.9"
"SRC059","16","6","Non‐Core Portfolio","1","248","Vintage Year","1990"
"SRC059","16","6","Non‐Core Portfolio","2","342","Amount","968,977,156"
"SRC059","16","6","Non‐Core Portfolio","3","404","Amount","633,062,992"
"SRC059","16","6","Non‐Core Portfolio","4","466","Commitments","357,401,558"
"SRC059","16","6","Non‐Core Portfolio","5","527","Returned","493,735,539"
"SRC059","16","6","Non‐Core Portfolio","6","589","Value","288,855,867"
"SRC059","16","6","Non‐Core Portfolio","7","651","Value (%)","28.3"
"SRC059","16","6","Non‐Core Portfolio","8","717","","45.7"
"SRC059","16","7","Value Added Portfolio","1","248","Vintage Year","1990"
"SRC059","16","7","Value Added Portfolio","2","342","Amount","413,969,813"
"SRC059","16","7","Value Added Portfolio","3","404","Amount","243,205,695"
"SRC059","16","7","Value Added Portfolio","4","466","Commitments","174,112,915"
"SRC059","16","7","Value Added Portfolio","5","527","Returned","167,842,269"
"SRC059","16","7","Value Added Portfolio","6","589","Value","183,224,996"
"SRC059","16","7","Value Added Portfolio","7","651","Value (%)","17.9"
"SRC059","16","7","Value Added Portfolio","8","717","","25.3"
"SRC059","16","8","Opportunistic Portfolio","1","248","Vintage Year","1996"
"SRC059","16","8","Opportunistic Portfolio","2","342","Amount","555,007,343"
"SRC059","16","8","Opportunistic Portfolio","3","404","Amount","389,857,297"
"SRC059","16","8","Opportunistic Portfolio","4","466","Commitments","183,288,643"
"SRC059","16","8","Opportunistic Portfolio","5","527","Returned","325,893,270"
"SRC059","16","8","Opportunistic Portfolio","6","589","Value","105,630,871"
"SRC059","16","8","Opportunistic Portfolio","7","651","Value (%)","10.3"
"SRC059","16","8","Opportunistic Portfolio","8","717","","20.4"
"SRC059","16","9","Timber Portfolio","1","248","Vintage Year","1999"
"SRC059","16","9","Timber Portfolio","2","342","Amount","20,000,000"
"SRC059","16","9","Timber Portfolio","3","404","Amount","18,601,851"
"SRC059","16","9","Timber Portfolio","5","527","Returned","5,572,018"
"SRC059","16","9","Timber Portfolio","6","589","Value","19,615,811"
"SRC059","16","9","Timber Portfolio","7","651","Value (%)","1.9"
"SRC059","16","9","Timber Portfolio","8","717","","1.4"
"SRC059","16","10","LACERS","1","248","Vintage Year","1989"
"SRC059","16","10","LACERS","2","342","Amount","1,412,844,709"
"SRC059","16","10","LACERS","3","404","Amount","1,119,604,627"
"SRC059","16","10","LACERS","4","466","Commitments","392,445,143"
"SRC059","16","10","LACERS","5","527","Returned","654,913,239"
"SRC059","16","10","LACERS","6","589","Value","1,020,889,003"
"SRC059","16","10","LACERS","7","651","Value (%)","100.0"
"SRC059","16","10","LACERS","8","717","","100.0"
"SRC059","17","1","Berkshire Multifamily Income Realty Fund","1","282","Vintage Year","2015"
"SRC059","17","1","Berkshire Multifamily Income Realty Fund","2","345","Amount","20,000,000"
"SRC059","17","1","Berkshire Multifamily Income Realty Fund","3","404","Amount","20,000,000"
"SRC059","17","1","Berkshire Multifamily Income Realty Fund","5","492","","0"
"SRC059","17","1","Berkshire Multifamily Income Realty Fund","6","523","Returned","10,811,387"
"SRC059","17","1","Berkshire Multifamily Income Realty Fund","8","583","Value","21,714,729"
"SRC059","17","1","Berkshire Multifamily Income Realty Fund","9","648","Value (%)","2.1"
"SRC059","17","1","Berkshire Multifamily Income Realty Fund","10","720","","1.5"
"SRC059","17","2","CIM VI (Urban REIT), LLC","1","282","Vintage Year","2012"
"SRC059","17","2","CIM VI (Urban REIT), LLC","2","345","Amount","25,000,000"
"SRC059","17","2","CIM VI (Urban REIT), LLC","3","404","Amount","25,000,000"
"SRC059","17","2","CIM VI (Urban REIT), LLC","5","492","","0"
"SRC059","17","2","CIM VI (Urban REIT), LLC","6","523","Returned","12,568,090"
"SRC059","17","2","CIM VI (Urban REIT), LLC","8","583","Value","23,161,943"
"SRC059","17","2","CIM VI (Urban REIT), LLC","9","648","Value (%)","2.3"
"SRC059","17","2","CIM VI (Urban REIT), LLC","10","720","","1.6"
"SRC059","17","3","INVESCO Core Real Estate","1","282","Vintage Year","2004"
"SRC059","17","3","INVESCO Core Real Estate","2","345","Amount","63,867,553"
"SRC059","17","3","INVESCO Core Real Estate","3","404","Amount","133,522,906"
"SRC059","17","3","INVESCO Core Real Estate","5","492","","0"
"SRC059","17","3","INVESCO Core Real Estate","6","523","Returned","75,011,749"
"SRC059","17","3","INVESCO Core Real Estate","8","583","Value","224,357,229"
"SRC059","17","3","INVESCO Core Real Estate","9","648","Value (%)","22.0"
"SRC059","17","3","INVESCO Core Real Estate","10","720","","15.9"
"SRC059","17","4","Jamestown Premier Property Fund","1","282","Vintage Year","2015"
"SRC059","17","4","Jamestown Premier Property Fund","2","345","Amount","50,000,000"
"SRC059","17","4","Jamestown Premier Property Fund","3","404","Amount","51,471,091"
"SRC059","17","4","Jamestown Premier Property Fund","5","492","","0"
"SRC059","17","4","Jamestown Premier Property Fund","6","523","Returned","26,376,886"
"SRC059","17","4","Jamestown Premier Property Fund","8","583","Value","34,683,676"
"SRC059","17","4","Jamestown Premier Property Fund","9","648","Value (%)","3.4"
"SRC059","17","4","Jamestown Premier Property Fund","10","720","","2.5"
"SRC059","17","5","JP Morgan Strategic Property Fund","1","282","Vintage Year","2005"
"SRC059","17","5","JP Morgan Strategic Property Fund","2","345","Amount","30,000,000"
"SRC059","17","5","JP Morgan Strategic Property Fund","3","404","Amount","30,421,882"
"SRC059","17","5","JP Morgan Strategic Property Fund","5","492","","0"
"SRC059","17","5","JP Morgan Strategic Property Fund","6","523","Returned","2,858,499"
"SRC059","17","5","JP Morgan Strategic Property Fund","8","583","Value","85,741,481"
"SRC059","17","5","JP Morgan Strategic Property Fund","9","648","Value (%)","8.4"
"SRC059","17","5","JP Morgan Strategic Property Fund","10","720","","6.1"
"SRC059","17","6","Kayne Anderson Core Real Estate Fund","1","282","Vintage Year","2019"
"SRC059","17","6","Kayne Anderson Core Real Estate Fund","2","345","Amount","60,000,000"
"SRC059","17","6","Kayne Anderson Core Real Estate Fund","3","404","Amount","49,956,415"
"SRC059","17","6","Kayne Anderson Core Real Estate Fund","4","464","Commitments","10,043,585"
"SRC059","17","6","Kayne Anderson Core Real Estate Fund","6","523","Returned","3,372,888"
"SRC059","17","6","Kayne Anderson Core Real Estate Fund","8","583","Value","53,224,962"
"SRC059","17","6","Kayne Anderson Core Real Estate Fund","9","648","Value (%)","5.2"
"SRC059","17","6","Kayne Anderson Core Real Estate Fund","10","720","","4.5"
"SRC059","17","7","Lion Industrial Trust ‐ 2007","1","282","Vintage Year","2016"
"SRC059","17","7","Lion Industrial Trust ‐ 2007","2","345","Amount","75,000,000"
"SRC059","17","7","Lion Industrial Trust ‐ 2007","3","404","Amount","57,567,490"
"SRC059","17","7","Lion Industrial Trust ‐ 2007","4","464","Commitments","25,000,000"
"SRC059","17","7","Lion Industrial Trust ‐ 2007","6","523","Returned","11,843,585"
