"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC036","3","1","We are pleased","3","213","OHIO","2022"
"SRC036","3","2","is to report","10","650","","30, 2022,"
"SRC036","3","3","companies","6","370","","2021"
"SRC036","3","3","companies","7","437","CAPITAL","2022,"
"SRC036","3","4","have been","10","650","","$33.6"
"SRC036","3","5","first three","2","147","THE","2022,"
"SRC036","3","5","first three","4","241","","82.5%"
"SRC036","3","6","exit value","5","303","VENTURE","2018"
"SRC036","3","6","exit value","6","370","","2019,"
"SRC036","3","6","exit value","8","514","","2020"
"SRC036","3","6","exit value","9","554","AUTHORITY:","2021."
"SRC036","3","7","of 2022, US","5","303","VENTURE","$121.5"
"SRC036","3","8","Approximately","2","147","THE","88%"
"SRC036","3","8","Approximately","8","514","","12%"
"SRC036","3","9","the requirement","4","241","","75%"
"SRC036","3","9","the requirement","9","554","AUTHORITY:","30,"
"SRC036","3","10","invested in","1","131","","107"
"SRC036","3","11","In the last","3","213","OHIO","$7.9"
"SRC036","3","12","The distribution","4","241","","8.1x"
"SRC036","3","13","As of June","1","131","","30,"
"SRC036","3","13","As of June","2","147","THE","2022,"
"SRC036","3","13","As of June","5","303","VENTURE","$340.9"
"SRC036","3","13","As of June","6","370","","2.48"
"SRC036","3","13","As of June","7","437","CAPITAL","$137.3"
"SRC036","3","14","companies.","9","554","AUTHORITY:","50%"
"SRC036","3","15","Fund into","7","437","CAPITAL","$69"
"SRC036","3","15","Fund into","8","514","","(50%"
"SRC036","3","15","Fund into","10","650","","$138"
"SRC036","3","16","each $1.00","6","370","","$10.25"
"SRC036","3","17","Underlying","8","514","","$1.41"
"SRC036","3","18","University","4","241","","$36.5"
"SRC036","5","1","the most recent employment and wage","1","246","which","2021"
"SRC036","5","2","across all Ohio industries was 7.5%","1","246","which","2021,"
"SRC036","5","2","across all Ohio industries was 7.5%","2","295","received","11.5%"
"SRC036","5","3","Gross Income ($MM)","1","246","2006-2013","$470.5"
"SRC036","5","3","Gross Income ($MM)","2","295","Ohio Income 2014","$127.2"
"SRC036","5","3","Gross Income ($MM)","3","335","Taxes 2015","$113.6"
"SRC036","5","3","Gross Income ($MM)","4","377","2016","$121.4"
"SRC036","5","3","Gross Income ($MM)","5","418","Paid (Estimated 2017","$106.4"
"SRC036","5","3","Gross Income ($MM)","6","460","in Real Values) 2018","$107.0"
"SRC036","5","3","Gross Income ($MM)","7","501","2019","$109.5"
"SRC036","5","3","Gross Income ($MM)","8","545","20","$124.6"
"SRC036","5","3","Gross Income ($MM)","9","585","2021*","$138.3"
"SRC036","5","4","AGI Percentage","1","246","2006-2013","98.5%"
"SRC036","5","4","AGI Percentage","2","295","Ohio Income 2014","98.5%"
"SRC036","5","4","AGI Percentage","3","335","Taxes 2015","98.5%"
"SRC036","5","4","AGI Percentage","4","377","2016","98.5%"
"SRC036","5","4","AGI Percentage","5","418","Paid (Estimated 2017","98.5%"
"SRC036","5","4","AGI Percentage","6","460","in Real Values) 2018","98.5%"
"SRC036","5","4","AGI Percentage","7","501","2019","98.5%"
"SRC036","5","4","AGI Percentage","8","545","20","98.5%"
"SRC036","5","4","AGI Percentage","9","585","2021*","98.5%"
"SRC036","5","5","AGI ($MM)","1","246","2006-2013","$463.8"
"SRC036","5","5","AGI ($MM)","2","295","Ohio Income 2014","$125.3"
"SRC036","5","5","AGI ($MM)","3","335","Taxes 2015","$111.9"
"SRC036","5","5","AGI ($MM)","4","377","2016","$119.7"
"SRC036","5","5","AGI ($MM)","5","418","Paid (Estimated 2017","$104.8"
"SRC036","5","5","AGI ($MM)","6","460","in Real Values) 2018","$105.4"
"SRC036","5","5","AGI ($MM)","7","501","2019","$107.9"
"SRC036","5","5","AGI ($MM)","8","545","20","$122.7"
"SRC036","5","5","AGI ($MM)","9","585","2021*","$136.2"
"SRC036","5","6","Tax Liability","1","246","2006-2013","2.6%"
"SRC036","5","6","Tax Liability","2","295","Ohio Income 2014","2.5%"
"SRC036","5","6","Tax Liability","3","335","Taxes 2015","2.5%"
"SRC036","5","6","Tax Liability","4","377","2016","2.5%"
"SRC036","5","6","Tax Liability","5","418","Paid (Estimated 2017","2.5%"
"SRC036","5","6","Tax Liability","6","460","in Real Values) 2018","2.5%"
"SRC036","5","6","Tax Liability","7","501","2019","2.5%"
"SRC036","5","6","Tax Liability","8","545","20","2.5%"
"SRC036","5","6","Tax Liability","9","585","2021*","2.5%"
"SRC036","5","7","Taxes Paid ($MM)","1","246","2006-2013","$13.2"
"SRC036","5","7","Taxes Paid ($MM)","2","295","Ohio Income 2014","$3.1"
"SRC036","5","7","Taxes Paid ($MM)","3","335","Taxes 2015","$2.8"
"SRC036","5","7","Taxes Paid ($MM)","4","377","2016","$3.0"
"SRC036","5","7","Taxes Paid ($MM)","5","418","Paid (Estimated 2017","$2.6"
"SRC036","5","7","Taxes Paid ($MM)","6","460","in Real Values) 2018","$2.6"
"SRC036","5","7","Taxes Paid ($MM)","7","501","2019","$2.7"
"SRC036","5","7","Taxes Paid ($MM)","8","545","20","$3.1"
"SRC036","5","7","Taxes Paid ($MM)","9","585","2021*","$3.4"
"SRC036","5","7","Taxes Paid ($MM)","10","630","Total","$36.5"
"SRC036","12","1","The OCF has helped to attract nearly","2","331","","$1.41"
"SRC036","12","2","billion of private investment into","1","309","","107"
"SRC036","12","3","OCF Underlying Funds, with another","2","331","","$1.07"
"SRC036","12","4","an 10.25 leverage multiple on the","1","309","","$139.5"
"SRC036","12","5","in Ohio. Of the OCF’s 30 investments,","2","331","","13"
"SRC036","16","1","Early Stage Partners Fund II, L.P.","1","268","Year","2007"
