"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC060","1","1","As of","2","337","Retirement","30, 2022"
"SRC060","1","2","2008 Alinda Infrastructure Fund II","1","280","","$129.6"
"SRC060","1","2","2008 Alinda Infrastructure Fund II","2","337","Contributed","$255.3"
"SRC060","1","2","2008 Alinda Infrastructure Fund II","3","398","Distributed","$240.9"
"SRC060","1","2","2008 Alinda Infrastructure Fund II","4","450","Value Multiple","$37.3"
"SRC060","1","2","2008 Alinda Infrastructure Fund II","5","524","2 TWR2","-1.5%"
"SRC060","1","2","2008 Alinda Infrastructure Fund II","6","553","IRR2","1.9%"
"SRC060","1","3","2012 Alterna Core Capital Assets Fund II","1","280","","$100.0"
"SRC060","1","3","2012 Alterna Core Capital Assets Fund II","2","337","Contributed","$165.5"
"SRC060","1","3","2012 Alterna Core Capital Assets Fund II","3","398","Distributed","$111.4"
"SRC060","1","3","2012 Alterna Core Capital Assets Fund II","4","450","Value Multiple","$71.9"
"SRC060","1","3","2012 Alterna Core Capital Assets Fund II","5","524","2 TWR2","1.5%"
"SRC060","1","3","2012 Alterna Core Capital Assets Fund II","6","553","IRR2","3.5%"
"SRC060","1","4","2011 Appian Natural Resources Fund","1","280","","$50.0"
"SRC060","1","4","2011 Appian Natural Resources Fund","2","337","Contributed","$53.3"
"SRC060","1","4","2011 Appian Natural Resources Fund","3","398","Distributed","$27.0"
"SRC060","1","4","2011 Appian Natural Resources Fund","4","450","Value Multiple","$82.8"
"SRC060","1","4","2011 Appian Natural Resources Fund","5","524","2 TWR2","9.4%"
"SRC060","1","4","2011 Appian Natural Resources Fund","6","553","IRR2","15.9%"
"SRC060","1","5","2019 Appian Natural Resources Fund II","1","280","","$100.0"
"SRC060","1","5","2019 Appian Natural Resources Fund II","2","337","Contributed","$28.1"
"SRC060","1","5","2019 Appian Natural Resources Fund II","3","398","Distributed","$2.0"
"SRC060","1","5","2019 Appian Natural Resources Fund II","4","450","Value Multiple","$38.5"
"SRC060","1","5","2019 Appian Natural Resources Fund II","5","524","2 TWR2","-13.8%"
"SRC060","1","5","2019 Appian Natural Resources Fund II","6","553","IRR2","16.2%"
"SRC060","1","6","2021 BIF IV Co-Investment","1","280","","$50.0"
"SRC060","1","6","2021 BIF IV Co-Investment","2","337","Contributed","$0.0"
"SRC060","1","6","2021 BIF IV Co-Investment","3","398","Distributed","$0.0"
"SRC060","1","6","2021 BIF IV Co-Investment","4","450","Value Multiple","$0.0"
"SRC060","1","7","2020 Blackstone Energy Partners III","1","280","","$200.0"
"SRC060","1","7","2020 Blackstone Energy Partners III","2","337","Contributed","$106.4"
"SRC060","1","7","2020 Blackstone Energy Partners III","3","398","Distributed","$17.1"
"SRC060","1","7","2020 Blackstone Energy Partners III","4","450","Value Multiple","$131.2"
"SRC060","1","8","2022 Blackstone Energy Partners IV","1","280","","$200.0"
"SRC060","1","8","2022 Blackstone Energy Partners IV","2","337","Contributed","$0.0"
"SRC060","1","8","2022 Blackstone Energy Partners IV","3","398","Distributed","$0.0"
"SRC060","1","8","2022 Blackstone Energy Partners IV","4","450","Value Multiple","$0.0"
"SRC060","1","9","2019 Bolt Energy LLC","1","280","","$61.1"
"SRC060","1","9","2019 Bolt Energy LLC","2","337","Contributed","$60.8"
"SRC060","1","9","2019 Bolt Energy LLC","3","398","Distributed","$0.0"
"SRC060","1","9","2019 Bolt Energy LLC","4","450","Value Multiple","$140.9"
"SRC060","1","9","2019 Bolt Energy LLC","5","524","2 TWR2","33.9%"
"SRC060","1","9","2019 Bolt Energy LLC","6","553","IRR2","43.7%"
"SRC060","1","10","2015 Brookfield Agriculture Fund II","1","280","","$26.8"
"SRC060","1","10","2015 Brookfield Agriculture Fund II","2","337","Contributed","$21.0"
"SRC060","1","10","2015 Brookfield Agriculture Fund II","3","398","Distributed","$22.1"
"SRC060","1","10","2015 Brookfield Agriculture Fund II","4","450","Value Multiple","$0.2"
"SRC060","1","10","2015 Brookfield Agriculture Fund II","5","524","2 TWR2","-8.3%"
"SRC060","1","10","2015 Brookfield Agriculture Fund II","6","553","IRR2","1.3%"
"SRC060","1","11","2016 Brookfield Infrastructure Fund III","1","280","","$400.0"
"SRC060","1","11","2016 Brookfield Infrastructure Fund III","2","337","Contributed","$372.7"
"SRC060","1","11","2016 Brookfield Infrastructure Fund III","3","398","Distributed","$172.5"
"SRC060","1","11","2016 Brookfield Infrastructure Fund III","4","450","Value Multiple","$371.3"
"SRC060","1","11","2016 Brookfield Infrastructure Fund III","5","524","2 TWR2","13.3%"
"SRC060","1","11","2016 Brookfield Infrastructure Fund III","6","553","IRR2","11.8%"
"SRC060","1","12","2019 Brookfield Infrastructure Fund IV","1","280","","$400.0"
"SRC060","1","12","2019 Brookfield Infrastructure Fund IV","2","337","Contributed","$319.9"
"SRC060","1","12","2019 Brookfield Infrastructure Fund IV","3","398","Distributed","$43.6"
"SRC060","1","12","2019 Brookfield Infrastructure Fund IV","4","450","Value Multiple","$356.7"
"SRC060","1","12","2019 Brookfield Infrastructure Fund IV","5","524","2 TWR2","12.4%"
"SRC060","1","12","2019 Brookfield Infrastructure Fund IV","6","553","IRR2","13.1%"
"SRC060","1","13","2022 Brookfield Infrastructure Fund V","1","280","","$400.0"
"SRC060","1","13","2022 Brookfield Infrastructure Fund V","2","337","Contributed","$0.0"
"SRC060","1","13","2022 Brookfield Infrastructure Fund V","3","398","Distributed","$0.0"
"SRC060","1","13","2022 Brookfield Infrastructure Fund V","4","450","Value Multiple","($1.5)"
"SRC060","1","14","2020 Brookfield Super Core Infrastructure Partners Project Aether","1","280","","$50.0"
"SRC060","1","14","2020 Brookfield Super Core Infrastructure Partners Project Aether","2","337","Contributed","$50.7"
"SRC060","1","14","2020 Brookfield Super Core Infrastructure Partners Project Aether","3","398","Distributed","$0.7"
"SRC060","1","14","2020 Brookfield Super Core Infrastructure Partners Project Aether","4","450","Value Multiple","$51.3"
"SRC060","1","15","2021 Brookfield Super-Core Infrastructure Partners","1","280","","$250.0"
"SRC060","1","15","2021 Brookfield Super-Core Infrastructure Partners","2","337","Contributed","$250.0"
"SRC060","1","15","2021 Brookfield Super-Core Infrastructure Partners","3","398","Distributed","$0.0"
"SRC060","1","15","2021 Brookfield Super-Core Infrastructure Partners","4","450","Value Multiple","$257.2"
"SRC060","1","16","2020 Brookfield Super-Core Infrastructure Partners Project Kepler","1","280","","$48.7"
"SRC060","1","16","2020 Brookfield Super-Core Infrastructure Partners Project Kepler","2","337","Contributed","$49.2"
"SRC060","1","16","2020 Brookfield Super-Core Infrastructure Partners Project Kepler","3","398","Distributed","$1.1"
"SRC060","1","16","2020 Brookfield Super-Core Infrastructure Partners Project Kepler","4","450","Value Multiple","$42.2"
"SRC060","1","17","2020 Brookfield Super-Core Infrastructure Partners Project Volta","1","280","","$49.8"
"SRC060","1","17","2020 Brookfield Super-Core Infrastructure Partners Project Volta","2","337","Contributed","$49.8"
"SRC060","1","17","2020 Brookfield Super-Core Infrastructure Partners Project Volta","3","398","Distributed","$1.5"
"SRC060","1","17","2020 Brookfield Super-Core Infrastructure Partners Project Volta","4","450","Value Multiple","$43.9"
"SRC060","1","18","2012 Brookfield Timberlands Fund V","1","280","","$12.5"
"SRC060","1","18","2012 Brookfield Timberlands Fund V","2","337","Contributed","$11.1"
"SRC060","1","18","2012 Brookfield Timberlands Fund V","3","398","Distributed","$16.3"
"SRC060","1","18","2012 Brookfield Timberlands Fund V","4","450","Value Multiple","$0.4"
"SRC060","1","18","2012 Brookfield Timberlands Fund V","5","524","2 TWR2","5.7%"
"SRC060","1","18","2012 Brookfield Timberlands Fund V","6","553","IRR2","6.5%"
"SRC060","1","19","2021 Cube Infrastructure Fund III","1","280","","$200.0"
"SRC060","1","19","2021 Cube Infrastructure Fund III","2","337","Contributed","$49.4"
"SRC060","1","19","2021 Cube Infrastructure Fund III","3","398","Distributed","$0.0"
"SRC060","1","19","2021 Cube Infrastructure Fund III","4","450","Value Multiple","$41.3"
"SRC060","1","20","2022 Cube Salem Co-Investment","1","280","","$49.1"
"SRC060","1","20","2022 Cube Salem Co-Investment","2","337","Contributed","$0.0"
"SRC060","1","20","2022 Cube Salem Co-Investment","3","398","Distributed","$0.0"
"SRC060","1","20","2022 Cube Salem Co-Investment","4","450","Value Multiple","$0.0"
"SRC060","1","21","2018 Digital Colony Partners","1","280","","$150.0"
"SRC060","1","21","2018 Digital Colony Partners","2","337","Contributed","$170.8"
"SRC060","1","21","2018 Digital Colony Partners","3","398","Distributed","$58.7"
"SRC060","1","21","2018 Digital Colony Partners","4","450","Value Multiple","$146.8"
"SRC060","1","21","2018 Digital Colony Partners","5","524","2 TWR2","0.4%"
"SRC060","1","21","2018 Digital Colony Partners","6","553","IRR2","9.8%"
"SRC060","1","22","2016 EMR Capital Resources Fund II","1","280","","$125.0"
"SRC060","1","22","2016 EMR Capital Resources Fund II","2","337","Contributed","$162.2"
"SRC060","1","22","2016 EMR Capital Resources Fund II","3","398","Distributed","$74.6"
"SRC060","1","22","2016 EMR Capital Resources Fund II","4","450","Value Multiple","$127.7"
"SRC060","1","22","2016 EMR Capital Resources Fund II","5","524","2 TWR2","-6.2%"
"SRC060","1","22","2016 EMR Capital Resources Fund II","6","553","IRR2","8.0%"
"SRC060","1","23","2014 EnCap Flatrock Midstream Fund III","1","280","","$50.0"
"SRC060","1","23","2014 EnCap Flatrock Midstream Fund III","2","337","Contributed","$59.1"
"SRC060","1","23","2014 EnCap Flatrock Midstream Fund III","3","398","Distributed","$40.0"
"SRC060","1","23","2014 EnCap Flatrock Midstream Fund III","4","450","Value Multiple","$38.4"
"SRC060","1","23","2014 EnCap Flatrock Midstream Fund III","5","524","2 TWR2","5.7%"
"SRC060","1","23","2014 EnCap Flatrock Midstream Fund III","6","553","IRR2","10.0%"
"SRC060","1","24","2018 EnCap Flatrock Midstream Fund IV","1","280","","$113.0"
"SRC060","1","24","2018 EnCap Flatrock Midstream Fund IV","2","337","Contributed","$83.4"
"SRC060","1","24","2018 EnCap Flatrock Midstream Fund IV","3","398","Distributed","$28.8"
"SRC060","1","24","2018 EnCap Flatrock Midstream Fund IV","4","450","Value Multiple","$69.1"
"SRC060","1","24","2018 EnCap Flatrock Midstream Fund IV","5","524","2 TWR2","3.0%"
"SRC060","1","24","2018 EnCap Flatrock Midstream Fund IV","6","553","IRR2","8.6%"
"SRC060","1","25","2015 EnerVest Energy Institutional Fund XIV","1","280","","$150.0"
"SRC060","1","25","2015 EnerVest Energy Institutional Fund XIV","2","337","Contributed","$150.8"
"SRC060","1","25","2015 EnerVest Energy Institutional Fund XIV","3","398","Distributed","$140.5"
"SRC060","1","25","2015 EnerVest Energy Institutional Fund XIV","4","450","Value Multiple","$108.8"
"SRC060","1","25","2015 EnerVest Energy Institutional Fund XIV","5","524","2 TWR2","6.5%"
"SRC060","1","25","2015 EnerVest Energy Institutional Fund XIV","6","553","IRR2","11.7%"
"SRC060","1","26","2020 EQT Infrastructure Fund V","1","280","","$350.0"
"SRC060","1","26","2020 EQT Infrastructure Fund V","2","337","Contributed","$170.7"
"SRC060","1","26","2020 EQT Infrastructure Fund V","3","398","Distributed","$14.6"
"SRC060","1","26","2020 EQT Infrastructure Fund V","4","450","Value Multiple","$143.1"
"SRC060","1","27","2021 EQT Infrastructure Fund V Co-Investment","1","280","","$100.0"
"SRC060","1","27","2021 EQT Infrastructure Fund V Co-Investment","2","337","Contributed","$90.7"
"SRC060","1","27","2021 EQT Infrastructure Fund V Co-Investment","3","398","Distributed","$0.3"
"SRC060","1","27","2021 EQT Infrastructure Fund V Co-Investment","4","450","Value Multiple","$91.0"
"SRC060","1","28","2017 EQT Infrastructure III","1","280","","$159.4"
"SRC060","1","28","2017 EQT Infrastructure III","2","337","Contributed","$195.6"
"SRC060","1","28","2017 EQT Infrastructure III","3","398","Distributed","$272.9"
"SRC060","1","28","2017 EQT Infrastructure III","4","450","Value Multiple","$83.2"
"SRC060","1","28","2017 EQT Infrastructure III","5","524","2 TWR2","11.3%"
"SRC060","1","28","2017 EQT Infrastructure III","6","553","IRR2","20.6%"
"SRC060","1","29","2018 EQT Infrastructure IV - USD Fund","1","280","","$290.0"
"SRC060","1","29","2018 EQT Infrastructure IV - USD Fund","2","337","Contributed","$243.2"
"SRC060","1","29","2018 EQT Infrastructure IV - USD Fund","3","398","Distributed","$32.1"
"SRC060","1","29","2018 EQT Infrastructure IV - USD Fund","4","450","Value Multiple","$267.3"
"SRC060","1","29","2018 EQT Infrastructure IV - USD Fund","5","524","2 TWR2","-15.6%"
"SRC060","1","29","2018 EQT Infrastructure IV - USD Fund","6","553","IRR2","10.3%"
"SRC060","1","30","2021 GIP Aquarius Fund","1","280","","$50.0"
"SRC060","1","30","2021 GIP Aquarius Fund","2","337","Contributed","$51.7"
"SRC060","1","30","2021 GIP Aquarius Fund","3","398","Distributed","$0.0"
"SRC060","1","30","2021 GIP Aquarius Fund","4","450","Value Multiple","$59.1"
"SRC060","1","31","2014 Global Infrastructure Partners Capital Solutions Fund","1","280","","$200.0"
"SRC060","1","31","2014 Global Infrastructure Partners Capital Solutions Fund","2","337","Contributed","$250.3"
"SRC060","1","31","2014 Global Infrastructure Partners Capital Solutions Fund","3","398","Distributed","$149.5"
"SRC060","1","31","2014 Global Infrastructure Partners Capital Solutions Fund","4","450","Value Multiple","$156.0"
"SRC060","1","31","2014 Global Infrastructure Partners Capital Solutions Fund","5","524","2 TWR2","15.2%"
"SRC060","1","31","2014 Global Infrastructure Partners Capital Solutions Fund","6","553","IRR2","6.5%"
"SRC060","1","32","2012 Global Infrastructure Partners II","1","280","","$150.0"
"SRC060","1","32","2012 Global Infrastructure Partners II","2","337","Contributed","$173.8"
"SRC060","1","32","2012 Global Infrastructure Partners II","3","398","Distributed","$251.7"
"SRC060","1","32","2012 Global Infrastructure Partners II","4","450","Value Multiple","$71.2"
"SRC060","1","32","2012 Global Infrastructure Partners II","5","524","2 TWR2","16.1%"
"SRC060","1","32","2012 Global Infrastructure Partners II","6","553","IRR2","15.9%"
"SRC060","1","33","2016 Global Infrastructure Partners III","1","280","","$400.0"
"SRC060","1","33","2016 Global Infrastructure Partners III","2","337","Contributed","$391.1"
"SRC060","1","33","2016 Global Infrastructure Partners III","3","398","Distributed","$138.0"
"SRC060","1","33","2016 Global Infrastructure Partners III","4","450","Value Multiple","$436.4"
"SRC060","1","33","2016 Global Infrastructure Partners III","5","524","2 TWR2","7.6%"
"SRC060","1","33","2016 Global Infrastructure Partners III","6","553","IRR2","10.9%"
"SRC060","1","34","2018 Global Infrastructure Partners IV","1","280","","$400.0"
"SRC060","1","34","2018 Global Infrastructure Partners IV","2","337","Contributed","$255.3"
"SRC060","1","34","2018 Global Infrastructure Partners IV","3","398","Distributed","$0.2"
"SRC060","1","34","2018 Global Infrastructure Partners IV","4","450","Value Multiple","$268.9"
"SRC060","1","34","2018 Global Infrastructure Partners IV","5","524","2 TWR2","-21.1%"
"SRC060","1","34","2018 Global Infrastructure Partners IV","6","553","IRR2","6.3%"
"SRC060","1","35","2021 Harrison Street SIF Co-Investment I","1","280","","$150.0"
"SRC060","1","35","2021 Harrison Street SIF Co-Investment I","2","337","Contributed","$100.1"
"SRC060","1","35","2021 Harrison Street SIF Co-Investment I","3","398","Distributed","$0.4"
"SRC060","1","35","2021 Harrison Street SIF Co-Investment I","4","450","Value Multiple","$104.5"
"SRC060","1","36","2021 Harrison Street Social Infrastructure Fund","1","280","","$200.0"
"SRC060","1","36","2021 Harrison Street Social Infrastructure Fund","2","337","Contributed","$202.6"
"SRC060","1","36","2021 Harrison Street Social Infrastructure Fund","3","398","Distributed","$3.7"
"SRC060","1","36","2021 Harrison Street Social Infrastructure Fund","4","450","Value Multiple","$222.0"
"SRC060","1","37","2010 Highstar Capital Fund IV","1","280","","$100.0"
"SRC060","1","37","2010 Highstar Capital Fund IV","2","337","Contributed","$135.5"
"SRC060","1","37","2010 Highstar Capital Fund IV","3","398","Distributed","$100.2"
"SRC060","1","37","2010 Highstar Capital Fund IV","4","450","Value Multiple","$12.5"
"SRC060","1","37","2010 Highstar Capital Fund IV","5","524","2 TWR2","-8.7%"
"SRC060","1","37","2010 Highstar Capital Fund IV","6","553","IRR2","-5.7%"
"SRC060","1","38","2016 Homestead Capital USA Farmland Fund II","1","280","","$100.0"
"SRC060","1","38","2016 Homestead Capital USA Farmland Fund II","2","337","Contributed","$107.9"
"SRC060","1","38","2016 Homestead Capital USA Farmland Fund II","3","398","Distributed","$18.5"
"SRC060","1","38","2016 Homestead Capital USA Farmland Fund II","4","450","Value Multiple","$105.9"
