"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC135","1","1","PSERS Private Equity Internal Program PEIP","1","341","","2012"
"SRC135","1","1","PSERS Private Equity Internal Program PEIP","2","377","Commitment","54,432,390.14"
"SRC135","1","1","PSERS Private Equity Internal Program PEIP","3","455","Contributions","37,484,496.58"
"SRC135","1","1","PSERS Private Equity Internal Program PEIP","4","536","","12,246,673.35"
"SRC135","1","1","PSERS Private Equity Internal Program PEIP","6","619","Valuation","67,724,532.07"
"SRC135","1","1","PSERS Private Equity Internal Program PEIP","7","702","IRR","3 9.24"
"SRC135","1","1","PSERS Private Equity Internal Program PEIP","8","752","Multiple","2 .13"
"SRC135","1","2","PSERS Private Equity Internal Program PEIP","1","341","","2013"
"SRC135","1","2","PSERS Private Equity Internal Program PEIP","2","377","Commitment","52,159,129.16"
"SRC135","1","2","PSERS Private Equity Internal Program PEIP","3","455","Contributions","43,232,579.35"
"SRC135","1","2","PSERS Private Equity Internal Program PEIP","5","554","Distributions","562,390.00"
"SRC135","1","2","PSERS Private Equity Internal Program PEIP","6","619","Valuation","60,849,721.89"
"SRC135","1","2","PSERS Private Equity Internal Program PEIP","7","702","IRR","2 5.66"
"SRC135","1","2","PSERS Private Equity Internal Program PEIP","8","752","Multiple","1 .42"
"SRC135","1","3","PSERS Private Equity Internal Program PEIP","1","341","","2014"
"SRC135","1","3","PSERS Private Equity Internal Program PEIP","2","377","Commitment","88,545,715.00"
"SRC135","1","3","PSERS Private Equity Internal Program PEIP","3","455","Contributions","62,224,822.72"
"SRC135","1","3","PSERS Private Equity Internal Program PEIP","5","554","Distributions","388,223.00"
"SRC135","1","3","PSERS Private Equity Internal Program PEIP","6","619","Valuation","86,878,730.87"
"SRC135","1","3","PSERS Private Equity Internal Program PEIP","7","702","IRR","8 1.84"
"SRC135","1","3","PSERS Private Equity Internal Program PEIP","8","752","Multiple","1 .40"
"SRC135","1","4","Apollo Investment Fund VIII, L.P. Private Debt","1","341","","2013"
"SRC135","1","4","Apollo Investment Fund VIII, L.P. Private Debt","2","377","Commitment","2 20,000,000.00"
"SRC135","1","4","Apollo Investment Fund VIII, L.P. Private Debt","3","455","Contributions","19,215,818.12"
"SRC135","1","4","Apollo Investment Fund VIII, L.P. Private Debt","6","619","Valuation","17,789,664.00"
"SRC135","1","4","Apollo Investment Fund VIII, L.P. Private Debt","7","702","IRR","(11.45)"
"SRC135","1","4","Apollo Investment Fund VIII, L.P. Private Debt","8","752","Multiple","0 .93"
"SRC135","1","5","Avenue Asia Special Situations Fund II, L.P. Private Debt","1","341","","2001"
"SRC135","1","5","Avenue Asia Special Situations Fund II, L.P. Private Debt","2","377","Commitment","2 20,000,000.00"
"SRC135","1","5","Avenue Asia Special Situations Fund II, L.P. Private Debt","3","455","Contributions","2 20,000,000.00"
"SRC135","1","5","Avenue Asia Special Situations Fund II, L.P. Private Debt","4","536","","413,276,527.00"
"SRC135","1","5","Avenue Asia Special Situations Fund II, L.P. Private Debt","7","702","IRR","2 1.47"
"SRC135","1","5","Avenue Asia Special Situations Fund II, L.P. Private Debt","8","752","Multiple","1 .88"
"SRC135","1","6","Avenue Asia Special Situations Fund III, L.P. Private Debt","1","341","","2003"
"SRC135","1","6","Avenue Asia Special Situations Fund III, L.P. Private Debt","2","377","Commitment","1 00,000,000.00"
"SRC135","1","6","Avenue Asia Special Situations Fund III, L.P. Private Debt","3","455","Contributions","76,344,737.00"
"SRC135","1","6","Avenue Asia Special Situations Fund III, L.P. Private Debt","4","536","","114,405,096.00"
"SRC135","1","6","Avenue Asia Special Situations Fund III, L.P. Private Debt","7","702","IRR","8.41"
"SRC135","1","6","Avenue Asia Special Situations Fund III, L.P. Private Debt","8","752","Multiple","1 .50"
"SRC135","1","7","Avenue Asia Special Situations Fund IV, LP Private Debt","1","341","","2006"
"SRC135","1","7","Avenue Asia Special Situations Fund IV, LP Private Debt","2","377","Commitment","3 00,000,000.00"
"SRC135","1","7","Avenue Asia Special Situations Fund IV, LP Private Debt","3","455","Contributions","2 25,056,480.00"
"SRC135","1","7","Avenue Asia Special Situations Fund IV, LP Private Debt","4","536","","176,084,050.00"
"SRC135","1","7","Avenue Asia Special Situations Fund IV, LP Private Debt","6","619","Valuation","1 04,666,663.00"
"SRC135","1","7","Avenue Asia Special Situations Fund IV, LP Private Debt","7","702","IRR","5.19"
"SRC135","1","7","Avenue Asia Special Situations Fund IV, LP Private Debt","8","752","Multiple","1 .25"
"SRC135","1","8","Avenue Europe Special Situations Fund, L.P. Private Debt","1","341","","2008"
"SRC135","1","8","Avenue Europe Special Situations Fund, L.P. Private Debt","2","377","Commitment","2 42,000,000.00"
"SRC135","1","8","Avenue Europe Special Situations Fund, L.P. Private Debt","3","455","Contributions","2 59,698,044.13"
"SRC135","1","8","Avenue Europe Special Situations Fund, L.P. Private Debt","4","536","","355,848,487.90"
"SRC135","1","8","Avenue Europe Special Situations Fund, L.P. Private Debt","6","619","Valuation","5,619,612.68"
"SRC135","1","8","Avenue Europe Special Situations Fund, L.P. Private Debt","7","702","IRR","1 2.22"
"SRC135","1","8","Avenue Europe Special Situations Fund, L.P. Private Debt","8","752","Multiple","1 .39"
"SRC135","1","9","Avenue Special Situations Fund II, L.P. Private Debt","1","341","","2000"
"SRC135","1","9","Avenue Special Situations Fund II, L.P. Private Debt","2","377","Commitment","1 25,000,000.00"
"SRC135","1","9","Avenue Special Situations Fund II, L.P. Private Debt","3","455","Contributions","1 25,448,253.00"
"SRC135","1","9","Avenue Special Situations Fund II, L.P. Private Debt","4","536","","198,385,914.00"
"SRC135","1","9","Avenue Special Situations Fund II, L.P. Private Debt","7","702","IRR","1 9.22"
"SRC135","1","9","Avenue Special Situations Fund II, L.P. Private Debt","8","752","Multiple","1 .58"
"SRC135","1","10","Avenue Special Situations Fund III, L.P. Private Debt","1","341","","2002"
"SRC135","1","10","Avenue Special Situations Fund III, L.P. Private Debt","2","377","Commitment","2 05,156,000.00"
"SRC135","1","10","Avenue Special Situations Fund III, L.P. Private Debt","3","455","Contributions","1 48,947,262.00"
"SRC135","1","10","Avenue Special Situations Fund III, L.P. Private Debt","4","536","","255,809,373.00"
"SRC135","1","10","Avenue Special Situations Fund III, L.P. Private Debt","7","702","IRR","1 8.53"
"SRC135","1","10","Avenue Special Situations Fund III, L.P. Private Debt","8","752","Multiple","1 .72"
"SRC135","1","11","Avenue Special Situations Fund IV, L.P. Private Debt","1","341","","2006"
"SRC135","1","11","Avenue Special Situations Fund IV, L.P. Private Debt","2","377","Commitment","1 15,000,000.00"
"SRC135","1","11","Avenue Special Situations Fund IV, L.P. Private Debt","3","455","Contributions","1 44,782,669.00"
"SRC135","1","11","Avenue Special Situations Fund IV, L.P. Private Debt","4","536","","188,059,499.00"
"SRC135","1","11","Avenue Special Situations Fund IV, L.P. Private Debt","6","619","Valuation","2,019,001.00"
"SRC135","1","11","Avenue Special Situations Fund IV, L.P. Private Debt","7","702","IRR","8.44"
"SRC135","1","11","Avenue Special Situations Fund IV, L.P. Private Debt","8","752","Multiple","1 .31"
"SRC135","1","12","Avenue Special Situations Fund V, L.P. Private Debt","1","341","","2007"
"SRC135","1","12","Avenue Special Situations Fund V, L.P. Private Debt","2","377","Commitment","3 00,000,000.00"
"SRC135","1","12","Avenue Special Situations Fund V, L.P. Private Debt","3","455","Contributions","3 01,095,120.00"
"SRC135","1","12","Avenue Special Situations Fund V, L.P. Private Debt","4","536","","394,037,486.00"
"SRC135","1","12","Avenue Special Situations Fund V, L.P. Private Debt","6","619","Valuation","4,368,665.00"
"SRC135","1","12","Avenue Special Situations Fund V, L.P. Private Debt","7","702","IRR","1 1.11"
"SRC135","1","12","Avenue Special Situations Fund V, L.P. Private Debt","8","752","Multiple","1 .32"
"SRC135","1","13","Avenue Special Situations Fund VI, L.P. Private Debt","1","341","","2010"
"SRC135","1","13","Avenue Special Situations Fund VI, L.P. Private Debt","2","377","Commitment","75,000,000.00"
"SRC135","1","13","Avenue Special Situations Fund VI, L.P. Private Debt","3","455","Contributions","76,892,726.00"
"SRC135","1","13","Avenue Special Situations Fund VI, L.P. Private Debt","4","536","","34,395,660.00"
"SRC135","1","13","Avenue Special Situations Fund VI, L.P. Private Debt","6","619","Valuation","60,582,933.00"
"SRC135","1","13","Avenue Special Situations Fund VI, L.P. Private Debt","7","702","IRR","7.12"
"SRC135","1","13","Avenue Special Situations Fund VI, L.P. Private Debt","8","752","Multiple","1 .24"
"SRC135","1","14","Cerberus Institutional Partners V, L.P. Private Debt","1","341","","2012"
"SRC135","1","14","Cerberus Institutional Partners V, L.P. Private Debt","2","377","Commitment","2 00,000,000.00"
"SRC135","1","14","Cerberus Institutional Partners V, L.P. Private Debt","3","455","Contributions","1 91,502,125.23"
"SRC135","1","14","Cerberus Institutional Partners V, L.P. Private Debt","4","536","","19,212,678.27"
"SRC135","1","14","Cerberus Institutional Partners V, L.P. Private Debt","6","619","Valuation","2 44,277,384.00"
"SRC135","1","14","Cerberus Institutional Partners V, L.P. Private Debt","7","702","IRR","2 4.29"
"SRC135","1","14","Cerberus Institutional Partners V, L.P. Private Debt","8","752","Multiple","1 .38"
"SRC135","1","15","Cerberus Institutional Partners, L.P. (Series 2)Private Debt","1","341","","2001"
"SRC135","1","15","Cerberus Institutional Partners, L.P. (Series 2)Private Debt","2","377","Commitment","2 00,000,000.00"
"SRC135","1","15","Cerberus Institutional Partners, L.P. (Series 2)Private Debt","3","455","Contributions","1 73,047,901.00"
"SRC135","1","15","Cerberus Institutional Partners, L.P. (Series 2)Private Debt","4","536","","535,607,960.98"
"SRC135","1","15","Cerberus Institutional Partners, L.P. (Series 2)Private Debt","6","619","Valuation","4,235,940.00"
"SRC135","1","15","Cerberus Institutional Partners, L.P. (Series 2)Private Debt","7","702","IRR","2 7.08"
"SRC135","1","15","Cerberus Institutional Partners, L.P. (Series 2)Private Debt","8","752","Multiple","3 .12"
"SRC135","1","16","Cerberus Institutional Partners, L.P. (Series 3)Private Debt","1","341","","2003"
"SRC135","1","16","Cerberus Institutional Partners, L.P. (Series 3)Private Debt","2","377","Commitment","1 00,000,000.00"
"SRC135","1","16","Cerberus Institutional Partners, L.P. (Series 3)Private Debt","3","455","Contributions","81,055,777.00"
"SRC135","1","16","Cerberus Institutional Partners, L.P. (Series 3)Private Debt","4","536","","140,674,890.38"
"SRC135","1","16","Cerberus Institutional Partners, L.P. (Series 3)Private Debt","6","619","Valuation","21,289,109.00"
"SRC135","1","16","Cerberus Institutional Partners, L.P. (Series 3)Private Debt","7","702","IRR","1 3.19"
"SRC135","1","16","Cerberus Institutional Partners, L.P. (Series 3)Private Debt","8","752","Multiple","2 .00"
"SRC135","1","17","Cerberus Institutional Partners, L.P. (Series 4)Private Debt","1","341","","2006"
"SRC135","1","17","Cerberus Institutional Partners, L.P. (Series 4)Private Debt","2","377","Commitment","4 00,000,000.00"
"SRC135","1","17","Cerberus Institutional Partners, L.P. (Series 4)Private Debt","3","455","Contributions","3 69,661,872.94"
"SRC135","1","17","Cerberus Institutional Partners, L.P. (Series 4)Private Debt","4","536","","289,218,180.01"
"SRC135","1","17","Cerberus Institutional Partners, L.P. (Series 4)Private Debt","6","619","Valuation","2 81,885,356.00"
