"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC137","1","1","AG Core Plus Realty Fund III, L.P.","1","295","Vintage Year","2011"
"SRC137","1","1","AG Core Plus Realty Fund III, L.P.","2","347","Commitment","75,000,000.00"
"SRC137","1","1","AG Core Plus Realty Fund III, L.P.","3","425","Contributions","31,593,473.00"
"SRC137","1","1","AG Core Plus Realty Fund III, L.P.","5","574","Valuation","34,165,130.00"
"SRC137","1","1","AG Core Plus Realty Fund III, L.P.","6","644","IRR","10.99"
"SRC137","1","1","AG Core Plus Realty Fund III, L.P.","7","696","Multiple","1.08"
"SRC137","1","2","AREFIN Co-Invest Corporation","1","295","Vintage Year","2008"
"SRC137","1","2","AREFIN Co-Invest Corporation","2","347","Commitment","83,000,000.00"
"SRC137","1","2","AREFIN Co-Invest Corporation","3","425","Contributions","69,192,000.00"
"SRC137","1","2","AREFIN Co-Invest Corporation","4","501","Distributions","53,273,391.00"
"SRC137","1","2","AREFIN Co-Invest Corporation","5","574","Valuation","29,398,125.00"
"SRC137","1","2","AREFIN Co-Invest Corporation","6","644","IRR","7.16"
"SRC137","1","2","AREFIN Co-Invest Corporation","7","696","Multiple","1.19"
"SRC137","1","3","Almanac Realty Securities V, L.P.","1","295","Vintage Year","2007"
"SRC137","1","3","Almanac Realty Securities V, L.P.","2","347","Commitment","100,000,000.00"
"SRC137","1","3","Almanac Realty Securities V, L.P.","3","425","Contributions","94,611,171.08"
"SRC137","1","3","Almanac Realty Securities V, L.P.","4","501","Distributions","14,109,680.98"
"SRC137","1","3","Almanac Realty Securities V, L.P.","5","574","Valuation","97,584,247.00"
"SRC137","1","3","Almanac Realty Securities V, L.P.","6","644","IRR","8.84"
"SRC137","1","3","Almanac Realty Securities V, L.P.","7","696","Multiple","1.18"
"SRC137","1","4","Almanac Realty Securities VI, L.P.","1","295","Vintage Year","2012"
"SRC137","1","4","Almanac Realty Securities VI, L.P.","2","347","Commitment","100,000,000.00"
"SRC137","1","4","Almanac Realty Securities VI, L.P.","3","425","Contributions","22,232,755.28"
"SRC137","1","4","Almanac Realty Securities VI, L.P.","4","501","Distributions","791,044.00"
"SRC137","1","4","Almanac Realty Securities VI, L.P.","5","574","Valuation","24,469,115.00"
"SRC137","1","4","Almanac Realty Securities VI, L.P.","6","644","IRR","25.32"
"SRC137","1","4","Almanac Realty Securities VI, L.P.","7","696","Multiple","1.14"
"SRC137","1","5","Apollo European Real Estate Fund III, L.P.","1","295","Vintage Year","2007"
"SRC137","1","5","Apollo European Real Estate Fund III, L.P.","2","347","Commitment","128,190,000.00"
"SRC137","1","5","Apollo European Real Estate Fund III, L.P.","3","425","Contributions","1 35,465,564.65"
"SRC137","1","5","Apollo European Real Estate Fund III, L.P.","4","501","Distributions","28,938,535.02"
"SRC137","1","5","Apollo European Real Estate Fund III, L.P.","5","574","Valuation","102,289,827.09"
"SRC137","1","5","Apollo European Real Estate Fund III, L.P.","6","644","IRR","-1.27"
"SRC137","1","5","Apollo European Real Estate Fund III, L.P.","7","696","Multiple","0.97"
"SRC137","1","6","Apollo Real Estate Finance Corp","1","295","Vintage Year","2006"
"SRC137","1","6","Apollo Real Estate Finance Corp","2","347","Commitment","150,000,000.00"
"SRC137","1","6","Apollo Real Estate Finance Corp","3","425","Contributions","1 50,183,055.00"
"SRC137","1","6","Apollo Real Estate Finance Corp","4","501","Distributions","65,558,781.00"
"SRC137","1","6","Apollo Real Estate Finance Corp","5","574","Valuation","72,562,180.00"
"SRC137","1","6","Apollo Real Estate Finance Corp","6","644","IRR","-2.30"
"SRC137","1","6","Apollo Real Estate Finance Corp","7","696","Multiple","0.92"
"SRC137","1","7","Apollo Value Enhancement Fund VII, L.P.","1","295","Vintage Year","2008"
"SRC137","1","7","Apollo Value Enhancement Fund VII, L.P.","2","347","Commitment","150,000,000.00"
"SRC137","1","7","Apollo Value Enhancement Fund VII, L.P.","3","425","Contributions","1 47,610,465.99"
"SRC137","1","7","Apollo Value Enhancement Fund VII, L.P.","4","501","Distributions","30,204,184.00"
"SRC137","1","7","Apollo Value Enhancement Fund VII, L.P.","5","574","Valuation","150,866,865.00"
"SRC137","1","7","Apollo Value Enhancement Fund VII, L.P.","6","644","IRR","12.78"
"SRC137","1","7","Apollo Value Enhancement Fund VII, L.P.","7","696","Multiple","1.23"
"SRC137","1","8","AvalonBay Value Added Fund II, L.P.","1","295","Vintage Year","2009"
"SRC137","1","8","AvalonBay Value Added Fund II, L.P.","2","347","Commitment","100,000,000.00"
"SRC137","1","8","AvalonBay Value Added Fund II, L.P.","3","425","Contributions","89,100,000.00"
"SRC137","1","8","AvalonBay Value Added Fund II, L.P.","4","501","Distributions","7,750,000.00"
"SRC137","1","8","AvalonBay Value Added Fund II, L.P.","5","574","Valuation","115,333,262.00"
"SRC137","1","8","AvalonBay Value Added Fund II, L.P.","6","644","IRR","15.13"
"SRC137","1","8","AvalonBay Value Added Fund II, L.P.","7","696","Multiple","1.38"
"SRC137","1","9","AvalonBay Value Added Fund, L.P.","1","295","Vintage Year","2004"
"SRC137","1","9","AvalonBay Value Added Fund, L.P.","2","347","Commitment","75,000,000.00"
"SRC137","1","9","AvalonBay Value Added Fund, L.P.","3","425","Contributions","75,000,000.00"
"SRC137","1","9","AvalonBay Value Added Fund, L.P.","4","501","Distributions","55,818,181.00"
"SRC137","1","9","AvalonBay Value Added Fund, L.P.","5","574","Valuation","36,893,421.00"
"SRC137","1","9","AvalonBay Value Added Fund, L.P.","6","644","IRR","3.95"
"SRC137","1","9","AvalonBay Value Added Fund, L.P.","7","696","Multiple","1.24"
"SRC137","1","10","Avenue Real Estate Fund (Parallel) L.P.","1","295","Vintage Year","2006"
"SRC137","1","10","Avenue Real Estate Fund (Parallel) L.P.","2","347","Commitment","100,000,000.00"
"SRC137","1","10","Avenue Real Estate Fund (Parallel) L.P.","3","425","Contributions","94,193,695.00"
"SRC137","1","10","Avenue Real Estate Fund (Parallel) L.P.","5","574","Valuation","70,125,104.00"
"SRC137","1","10","Avenue Real Estate Fund (Parallel) L.P.","6","644","IRR","-6.42"
"SRC137","1","10","Avenue Real Estate Fund (Parallel) L.P.","7","696","Multiple","0.74"
"SRC137","1","11","BPG Investment Partnership IV, L.P.","1","295","Vintage Year","1997"
"SRC137","1","11","BPG Investment Partnership IV, L.P.","2","347","Commitment","75,000,000.00"
"SRC137","1","11","BPG Investment Partnership IV, L.P.","3","425","Contributions","73,781,475.00"
"SRC137","1","11","BPG Investment Partnership IV, L.P.","4","501","Distributions","1 49,243,645.00"
"SRC137","1","11","BPG Investment Partnership IV, L.P.","6","644","IRR","15.91"
"SRC137","1","11","BPG Investment Partnership IV, L.P.","7","696","Multiple","2.02"
"SRC137","1","12","BPG Investment Partnership V, L.P.","1","295","Vintage Year","1999"
"SRC137","1","12","BPG Investment Partnership V, L.P.","2","347","Commitment","50,000,000.00"
"SRC137","1","12","BPG Investment Partnership V, L.P.","3","425","Contributions","47,112,231.00"
"SRC137","1","12","BPG Investment Partnership V, L.P.","4","501","Distributions","72,342,227.00"
"SRC137","1","12","BPG Investment Partnership V, L.P.","5","574","Valuation","14,053,000.00"
"SRC137","1","12","BPG Investment Partnership V, L.P.","6","644","IRR","10.56"
"SRC137","1","12","BPG Investment Partnership V, L.P.","7","696","Multiple","1.83"
"SRC137","1","13","BPG Investment Partnership VI, L.P.","1","295","Vintage Year","2002"
"SRC137","1","13","BPG Investment Partnership VI, L.P.","2","347","Commitment","87,500,000.00"
"SRC137","1","13","BPG Investment Partnership VI, L.P.","3","425","Contributions","84,306,687.00"
"SRC137","1","13","BPG Investment Partnership VI, L.P.","4","501","Distributions","1 02,488,863.00"
"SRC137","1","13","BPG Investment Partnership VI, L.P.","5","574","Valuation","34,767,000.00"
"SRC137","1","13","BPG Investment Partnership VI, L.P.","6","644","IRR","13.66"
"SRC137","1","13","BPG Investment Partnership VI, L.P.","7","696","Multiple","1.63"
"SRC137","1","14","BPG/PSERS Co-Investment Fund","1","295","Vintage Year","2001"
"SRC137","1","14","BPG/PSERS Co-Investment Fund","2","347","Commitment","100,000,000.00"
"SRC137","1","14","BPG/PSERS Co-Investment Fund","3","425","Contributions","65,703,742.00"
"SRC137","1","14","BPG/PSERS Co-Investment Fund","4","501","Distributions","1 60,760,674.00"
"SRC137","1","15","Beacon Capital Strategic Partners V, L.P.","1","295","Vintage Year","2007"
"SRC137","1","15","Beacon Capital Strategic Partners V, L.P.","2","347","Commitment","200,000,000.00"
"SRC137","1","15","Beacon Capital Strategic Partners V, L.P.","3","425","Contributions","1 64,000,000.00"
"SRC137","1","15","Beacon Capital Strategic Partners V, L.P.","4","501","Distributions","17,970,297.06"
"SRC137","1","15","Beacon Capital Strategic Partners V, L.P.","5","574","Valuation","68,183,951.00"
"SRC137","1","15","Beacon Capital Strategic Partners V, L.P.","6","644","IRR","-13.34"
"SRC137","1","15","Beacon Capital Strategic Partners V, L.P.","7","696","Multiple","0.53"
"SRC137","1","16","Bell Institutional Fund IV, LLC","1","295","Vintage Year","2011"
"SRC137","1","16","Bell Institutional Fund IV, LLC","2","347","Commitment","75,000,000.00"
"SRC137","1","16","Bell Institutional Fund IV, LLC","3","425","Contributions","54,620,715.00"
"SRC137","1","16","Bell Institutional Fund IV, LLC","4","501","Distributions","800,162.93"
"SRC137","1","16","Bell Institutional Fund IV, LLC","5","574","Valuation","54,752,695.00"
"SRC137","1","16","Bell Institutional Fund IV, LLC","6","644","IRR","3.67"
"SRC137","1","16","Bell Institutional Fund IV, LLC","7","696","Multiple","1.02"
"SRC137","1","17","Blackstone Real Estate Debt Strategies II, L.P.","1","295","Vintage Year","2013"
"SRC137","1","17","Blackstone Real Estate Debt Strategies II, L.P.","2","347","Commitment","100,000,000.00"
"SRC137","1","18","Blackstone Real Estate Partners Europe III, L.P.","1","295","Vintage Year","2009"
"SRC137","1","18","Blackstone Real Estate Partners Europe III, L.P.","2","347","Commitment","256,380,000.00"
"SRC137","1","18","Blackstone Real Estate Partners Europe III, L.P.","3","425","Contributions","1 79,759,265.68"
"SRC137","1","18","Blackstone Real Estate Partners Europe III, L.P.","4","501","Distributions","4,800,299.17"
"SRC137","1","18","Blackstone Real Estate Partners Europe III, L.P.","5","574","Valuation","208,961,261.46"
"SRC137","1","18","Blackstone Real Estate Partners Europe III, L.P.","6","644","IRR","14.70"
"SRC137","1","18","Blackstone Real Estate Partners Europe III, L.P.","7","696","Multiple","1.19"
"SRC137","1","19","Blackstone Real Estate Partners V, L.P.","1","295","Vintage Year","2006"
"SRC137","1","19","Blackstone Real Estate Partners V, L.P.","2","347","Commitment","200,000,000.00"
"SRC137","1","19","Blackstone Real Estate Partners V, L.P.","3","425","Contributions","2 11,951,714.00"
"SRC137","1","19","Blackstone Real Estate Partners V, L.P.","4","501","Distributions","77,806,199.00"
"SRC137","1","19","Blackstone Real Estate Partners V, L.P.","5","574","Valuation","237,154,804.00"
"SRC137","1","19","Blackstone Real Estate Partners V, L.P.","6","644","IRR","9.44"
"SRC137","1","19","Blackstone Real Estate Partners V, L.P.","7","696","Multiple","1.49"
"SRC137","1","20","Blackstone Real Estate Partners VI, L.P.","1","295","Vintage Year","2007"
"SRC137","1","20","Blackstone Real Estate Partners VI, L.P.","2","347","Commitment","400,000,000.00"
"SRC137","1","20","Blackstone Real Estate Partners VI, L.P.","3","425","Contributions","4 16,341,512.00"
"SRC137","1","20","Blackstone Real Estate Partners VI, L.P.","4","501","Distributions","96,328,892.00"
"SRC137","1","20","Blackstone Real Estate Partners VI, L.P.","5","574","Valuation","490,974,805.00"
"SRC137","1","20","Blackstone Real Estate Partners VI, L.P.","6","644","IRR","10.05"
"SRC137","1","20","Blackstone Real Estate Partners VI, L.P.","7","696","Multiple","1.41"
"SRC137","1","21","Blackstone Real Estate Partners VII, L.P.","1","295","Vintage Year","2011"
"SRC137","1","21","Blackstone Real Estate Partners VII, L.P.","2","347","Commitment","300,000,000.00"
