"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC202","4","1","[dial-in: +1 312","1","147","Executive","626"
"SRC202","4","1","[dial-in: +1 312","2","307","Department","1954"
"SRC202","4","2","Friday, March","1","147","Executive","6, 2026,"
"SRC202","4","3","portfolio with a","1","147","Executive","0%"
"SRC202","5","1","OPEB System Trust make a commitment of up","1","312","profile","$3"
"SRC202","5","2","Mr. Colin Bebee, Meketa, provided an update on the","1","312","profile","2026"
"SRC202","5","3","that approximately $24 million has been utilized to","2","360","of their 2021 vintage","60"
"SRC202","5","4","To support a full rollout, Mr. LaBarge recommended","3","427","fund.","$10"
"SRC202","5","5","for each of the RI AnchorHome and BankLocal","3","427","fund.","$20"
"SRC202","5","6","under the community deposit program as well as","3","427","fund.","$20"
"SRC202","8","1","Source:","4","194","3Q 24","2025"
"SRC202","8","1","Source:","7","334","3Q25 4Q25","2025"
"SRC202","8","2","Estimate”","3","144","24 2Q 24","9, 2026."
"SRC202","8","3","Data","2","92","4Q 23 1Q","28, 2026."
"SRC202","9","1","Equity","6","714","","2026."
"SRC202","9","2","S&P 500","1","241","1 Mo","-0.79"
"SRC202","9","2","S&P 500","2","281","FYTD","11.48"
"SRC202","9","2","S&P 500","3","319","1 YR","16.55"
"SRC202","9","2","S&P 500","4","359","Market 3 YR","21.29"
"SRC202","9","2","S&P 500","5","398","Update 5 YR","13.69"
"SRC202","9","3","Russell 3000 Index","1","241","1 Mo","-0.51"
"SRC202","9","3","Russell 3000 Index","2","281","FYTD","11.70"
"SRC202","9","3","Russell 3000 Index","3","319","1 YR","16.58"
"SRC202","9","3","Russell 3000 Index","4","359","Market 3 YR","20.44"
"SRC202","9","3","Russell 3000 Index","5","398","Update 5 YR","12.32"
"SRC202","9","4","MSCI ACWI","1","241","1 Mo","1.29"
"SRC202","9","4","MSCI ACWI","2","281","FYTD","15.93"
"SRC202","9","4","MSCI ACWI","3","319","1 YR","24.19"
"SRC202","9","4","MSCI ACWI","4","359","Market 3 YR","20.73"
"SRC202","9","4","MSCI ACWI","5","398","Update 5 YR","11.72"
"SRC202","9","5","MSCI EAFE","1","241","1 Mo","4.63"
"SRC202","9","5","MSCI EAFE","2","281","FYTD","20.94"
"SRC202","9","5","MSCI EAFE","3","319","1 YR","34.63"
"SRC202","9","5","MSCI EAFE","4","359","Market 3 YR","18.77"
"SRC202","9","5","MSCI EAFE","5","398","Update 5 YR","10.78"
"SRC202","9","6","MSCI World","1","241","1 Mo","0.73"
"SRC202","9","6","MSCI World","2","281","FYTD","13.92"
"SRC202","9","6","MSCI World","3","319","1 YR","21.33"
"SRC202","9","6","MSCI World","4","359","Market 3 YR","20.58"
"SRC202","9","6","MSCI World","5","398","Update 5 YR","12.46"
"SRC202","9","7","MSCI Emerging Markets","1","241","1 Mo","5.50"
