"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC127","4","1","Absolute Return Program","1","354","Target","10%"
"SRC127","4","1","Absolute Return Program","3","517","Current Allocation","9.7%"
"SRC127","4","2","Long/Short Equity 0%","1","354","Allocation","-20%"
"SRC127","4","2","Long/Short Equity 0%","3","517","Current Allocation","0%"
"SRC127","4","3","Event Driven 0%","1","354","Allocation","-50%"
"SRC127","4","3","Event Driven 0%","3","517","Current Allocation","15%"
"SRC127","4","4","Relative Value 0%","1","354","Allocation","-65%"
"SRC127","4","4","Relative Value 0%","3","517","Current Allocation","50%"
"SRC127","4","5","Tactical Trading 0%","1","354","Allocation","-65%"
"SRC127","4","5","Tactical Trading 0%","3","517","Current Allocation","35%"
"SRC127","4","6","Allocation to any one manager","1","354","Maximum","20%"
"SRC127","4","7","Allocation to any one separate account","1","354","Maximum","12%"
"SRC127","4","8","Allocation to any one fund","1","354","Maximum","10%"
"SRC127","4","8","Allocation to any one fund","2","472","","1"
"SRC127","4","9","maximum allocation exceed 25%. The Absolute Return Program is currently","2","472","","25%"
"SRC127","5","1","Performance Objective: Annual return","2","379","","3.5%"
"SRC127","5","2","Time Period","3","467","","3.5%"
"SRC127","5","3","Current Fiscal YTD (Jul ‘17 –Dec ‘17)","1","295","","2.2%"
"SRC127","5","3","Current Fiscal YTD (Jul ‘17 –Dec ‘17)","2","379","Actual Performance HFRI FOF","4.4%"
"SRC127","5","3","Current Fiscal YTD (Jul ‘17 –Dec ‘17)","3","467","","2.4%"
"SRC127","5","3","Current Fiscal YTD (Jul ‘17 –Dec ‘17)","4","570","","1.3%"
"SRC127","5","3","Current Fiscal YTD (Jul ‘17 –Dec ‘17)","6","664","Beta-Adjusted Performance (""Alpha"") HFRI FOF","1.7%"
"SRC127","5","4","Prior Fiscal Year (Jul ‘16 -Jun ‘17)","1","295","","9.0%"
"SRC127","5","4","Prior Fiscal Year (Jul ‘16 -Jun ‘17)","2","379","Actual Performance HFRI FOF","6.5%"
"SRC127","5","4","Prior Fiscal Year (Jul ‘16 -Jun ‘17)","3","467","","4.5%"
"SRC127","5","4","Prior Fiscal Year (Jul ‘16 -Jun ‘17)","4","570","","7.3%"
"SRC127","5","4","Prior Fiscal Year (Jul ‘16 -Jun ‘17)","6","664","Beta-Adjusted Performance (""Alpha"") HFRI FOF","2.2%"
"SRC127","5","5","CYTD 2017","1","295","","4.0%"
"SRC127","5","5","CYTD 2017","2","379","Actual Performance HFRI FOF","7.7%"
"SRC127","5","5","CYTD 2017","3","467","","4.7%"
"SRC127","5","5","CYTD 2017","4","570","","2.2%"
"SRC127","5","5","CYTD 2017","6","664","Beta-Adjusted Performance (""Alpha"") HFRI FOF","2.7%"
"SRC127","5","6","One Year","1","295","","4.0%"
"SRC127","5","6","One Year","2","379","Actual Performance HFRI FOF","7.7%"
"SRC127","5","6","One Year","3","467","","4.7%"
"SRC127","5","6","One Year","4","570","","2.2%"
"SRC127","5","6","One Year","6","664","Beta-Adjusted Performance (""Alpha"") HFRI FOF","2.7%"
"SRC127","5","7","Three Year","1","295","","3.9%"
"SRC127","5","7","Three Year","2","379","Actual Performance HFRI FOF","2.6%"
"SRC127","5","7","Three Year","3","467","","4.2%"
"SRC127","5","7","Three Year","4","570","","2.9%"
"SRC127","5","7","Three Year","6","664","Beta-Adjusted Performance (""Alpha"") HFRI FOF","-0.3%"
"SRC127","5","8","Five Year","1","295","","3.9%"
"SRC127","5","8","Five Year","2","379","Actual Performance HFRI FOF","4.0%"
"SRC127","5","8","Five Year","3","467","","4.1%"
"SRC127","5","8","Five Year","4","570","","2.5%"
"SRC127","5","8","Five Year","6","664","Beta-Adjusted Performance (""Alpha"") HFRI FOF","0.0%"
"SRC127","5","9","Inception to Date (Oct ‘05 –Dec ‘17)","1","295","","5.3%"
"SRC127","5","9","Inception to Date (Oct ‘05 –Dec ‘17)","2","379","Actual Performance HFRI FOF","2.7%"
"SRC127","5","9","Inception to Date (Oct ‘05 –Dec ‘17)","3","467","","5.2%"
"SRC127","5","9","Inception to Date (Oct ‘05 –Dec ‘17)","4","570","","5.1%"
"SRC127","5","9","Inception to Date (Oct ‘05 –Dec ‘17)","6","664","Beta-Adjusted Performance (""Alpha"") HFRI FOF","0.2%"
"SRC127","5","10","Risk and Return (Oct 2005 -Dec 2017)","5","603","","2008"
"SRC127","5","11","Return (Ann.)","1","295","","5.3%"
"SRC127","5","11","Return (Ann.)","2","379","Actual Performance HFRI FOF","2.7%"
"SRC127","5","11","Return (Ann.)","3","467","","5.2%"
"SRC127","5","11","Return (Ann.)","4","570","","5.1%"
"SRC127","5","11","Return (Ann.)","6","664","Beta-Adjusted Performance (""Alpha"") HFRI FOF","0.17%"
"SRC127","5","12","Volatility (Ann.)","1","295","","4.8%"
"SRC127","5","12","Volatility (Ann.)","2","379","Actual Performance HFRI FOF","5.1%"
"SRC127","5","12","Volatility (Ann.)","3","467","","0.6%"
"SRC127","5","12","Volatility (Ann.)","4","570","","3.9%"
"SRC127","5","12","Volatility (Ann.)","6","664","Beta-Adjusted Performance (""Alpha"") HFRI FOF","3.1%"
"SRC127","5","13","Sharpe Ratio","1","295","","0.79"
"SRC127","5","13","Sharpe Ratio","2","379","Actual Performance HFRI FOF","0.24"
"SRC127","5","13","Sharpe Ratio","4","570","","1.19"
"SRC127","5","13","Sharpe Ratio","6","664","Beta-Adjusted Performance (""Alpha"") HFRI FOF","-0.08"
"SRC127","5","14","Correlation with S&P 500","1","295","","0.36"
"SRC127","5","14","Correlation with S&P 500","2","379","Actual Performance HFRI FOF","0.70"
"SRC127","5","15","Beta to S&P 500","1","295","","0.12"
"SRC127","5","15","Beta to S&P 500","2","379","Actual Performance HFRI FOF","0.26"
"SRC127","5","16","3The beta-adjustment calculation requires 36 months of","5","603","","2008."
"SRC127","5","17","used to calculate Beta-adjusted performance is the S&P","1","295","","500"
"SRC127","8","1","$3,500,000","9","434","","$100,000"
