"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC371","1","1","For","2","118","","2024"
"SRC371","1","1","For","7","354","Foundation",","
"SRC371","1","2","630","3","154","","2200"
"SRC371","1","2","630","8","416","","212 649"
"SRC371","1","3","NEW","2","118","","10111"
"SRC371","1","4","G","8","416","","1."
"SRC371","1","5","(from","2","118","","16)"
"SRC371","1","6","euneveR","3","154","","1,013,800,981."
"SRC371","1","7","sesnepxE","5","200","","3"
"SRC371","1","7","sesnepxE","6","267","","62,996."
"SRC371","1","7","sesnepxE","7","354","","29,904."
"SRC371","1","7","sesnepxE","9","526","","33,092."
"SRC371","1","8","evitartsinimdA","1","53","15 Pension","17"
"SRC371","1","9","dna","6","267","","53,770."
"SRC371","1","9","dna","8","416","","0."
"SRC371","1","9","dna","9","526","","53,770."
"SRC371","1","10","gnitarepO","1","53","15 Pension","23"
"SRC371","1","11","LHA","10","560","","(2024)"
"SRC371","1","12","10271111","1","53","15 Pension","153424"
"SRC371","1","12","10271111","6","267","","2024.05000"
"SRC371","1","12","10271111","9","526","","01706651"
"SRC371","2","1","Form 990-PF (2024) ALFRED P. SLOAN FOUNDATION","6","565","","2"
"SRC371","2","2","Investments - U.S. and state government obligations S TM T 9","2","334","","5,640,127."
"SRC371","2","2","Investments - U.S. and state government obligations S TM T 9","3","423","","8,322,053."
"SRC371","2","2","Investments - U.S. and state government obligations S TM T 9","5","519","","8,322,053."
"SRC371","2","3","STMT 10","2","334","","207,341,033."
"SRC371","2","3","STMT 10","3","423","","253,193,012."
"SRC371","2","3","STMT 10","5","519","","253,193,012."
"SRC371","2","4","STMT 11","2","334","","1,833,474,789."
"SRC371","2","4","STMT 11","3","423","","1,828,159,934."
"SRC371","2","4","STMT 11","5","519","","1,828,159,934."
"SRC371","2","5","OPERATING RIGHT-OF-USE ASSETS","2","334","","13,065,337."
"SRC371","2","5","OPERATING RIGHT-OF-USE ASSETS","3","423","","11,151,649."
"SRC371","2","5","OPERATING RIGHT-OF-USE ASSETS","5","519","","11,151,649."
"SRC371","2","6","STATEMENT 12","2","334","","31,721,972."
"SRC371","2","6","STATEMENT 12","3","423","","28,048,217."
"SRC371","2","7","1 Total net assets or fund balances at beginning of year - Part II, column (a), line","1","299","","29"
"SRC371","2","8","(must agree with end-of-year figure reported on prior year's return)","5","519","","2,004,010,449."
"SRC371","2","9","~~~~~~~~~~~~~~~~~~~~~~~~~~~","4","474","","1"
"SRC371","2","10","Enter amount from Part I, line 27a","5","519","","79,525,769."
"SRC371","2","11","2 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~","4","474","","2"
"SRC371","2","12","Other increases not included in line 2 (itemize)","6","565","","0."
"SRC371","2","13","3","4","474","","3"
"SRC371","2","14","Add lines 1, 2, and 3","5","519","","2,083,536,218."
"SRC371","2","15","4 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~","4","474","","4"
"SRC371","2","16","Decreases not included in line 2 (itemize)","3","423","","8"
"SRC371","2","16","Decreases not included in line 2 (itemize)","5","519","","14,606,506."
"SRC371","2","17","5","4","474","","5"
"SRC371","2","18","6 Total net assets or fund balances at end of year (line 4 minus line 5) - Part II, column","2","334","","29"
"SRC371","2","18","6 Total net assets or fund balances at end of year (line 4 minus line 5) - Part II, column","4","474","","6"
"SRC371","3","1","Form 990-PF (2024) ALFRED P. SLOAN FOUNDATION","5","565","","3"
"SRC371","3","2","1,013,800,981. 960,851,329.","4","526","(g))","113,745,250."
"SRC371","3","3","2 Capital gain net income or (net capital loss) If (loss), enter -0- in Part I, line 7 ~~~~~~","1","397","","2"
"SRC371","3","4","Part I, line 8","1","397","","3"
"SRC371","3","5","Part V Excise Tax Based on Investment Income (Section 4940(a), 4940(b),","1","397","","4948"
"SRC371","3","6","1a Exempt operating foundations described in section 4940(d)(2), check here ~ and enter ""N/A"" on line","1","397","","1."
"SRC371","3","7","Date of ruling or determination letter: (attach copy of letter if necessary - see instructions)","3","456","","1"
"SRC371","3","8","2 Tax under section 511 (domestic section 4947(a)(1) trusts and taxable foundations only; others, enter -0-)","3","456","instructions)","2"
"SRC371","3","9","3 Add lines 1 and 2 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~","3","456","instructions)","3"
"SRC371","3","10","4 Subtitle A (income) tax (domestic section 4947(a)(1) trusts and taxable foundations only; others, enter -0-)","3","456","instructions)","4"
"SRC371","3","11","5 Tax based on investment income. Subtract line 4 from line 3. If zero or less, enter -0- ~~~~~~~~~~~~~~~","3","456","instructions)","5"
"SRC371","3","12","7 Total credits and payments. Add lines 6a through 6d ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~","3","456","","7"
"SRC371","3","13","~~~~~~~~~~","5","565","","0."
"SRC371","3","14","8 Enter any penalty for underpayment of estimated tax. Check here if Form 2220 is attached","3","456","","8"
"SRC371","3","15","9 Tax due. If the total of lines 5 and 8 is more than line 7, enter amount owed ~~~~~~~~~~~~~~~~~~~","3","456","","9"
"SRC371","3","16","10 Overpayment. If line 7 is more than the total of lines 5 and 8, enter the amount overpaid ~~~~~~~~~~~~~~","3","456","","10"
"SRC371","3","17","2,311,640.","5","565","","0."
"SRC371","3","18","11 Enter the amount of line 10 to be: Credited to 2025 estimated tax","3","456","","11"
"SRC371","4","1","10271111","2","77","","153424"
"SRC371","4","1","10271111","6","294","","2024.05000"
"SRC371","4","1","10271111","8","521","","01706651"
"SRC371","5","1","Part","7","329","","4720"
"SRC371","5","2","2","4","201","P. SLOAN FOUNDATION","4942)"
"SRC371","5","3","10271111","2","77","(2024)","153424"
"SRC371","5","3","10271111","6","293","","2024.05000"
"SRC371","6","1","Form 990-PF (2024) ALFRED P. SLOAN FOUNDATION","5","565","","6"
"SRC371","6","2","Part VI-B Statements Regarding Activities for Which","2","335","","4720"
"SRC371","6","3","8 Is the foundation subject to the section 4960 tax on payment(s) of more than","1","300","","$1,000,000"
"SRC371","6","4","SEE STATEMENT 15","3","421","enter -0-)","2116050"
"SRC371","6","4","SEE STATEMENT 15","4","483","compensation","166750."
"SRC371","6","4","SEE STATEMENT 15","5","565","allowances","0."
"SRC371","6","5","SUITE 2200, NEW YORK, NY 10111","2","335","INVT. OFFICER","40.00"
"SRC371","6","5","SUITE 2200, NEW YORK, NY 10111","3","421","(THRU 09/2024)","1,335,736."
"SRC371","6","5","SUITE 2200, NEW YORK, NY 10111","4","483","","77,241."
"SRC371","6","5","SUITE 2200, NEW YORK, NY 10111","5","565","","0."
"SRC371","6","6","STE 2200, NEW YORK, NY 10111","2","335","INVT. OFFICER","40.00"
"SRC371","6","6","STE 2200, NEW YORK, NY 10111","3","421","(THRU 09/2024)","870,547."
"SRC371","6","6","STE 2200, NEW YORK, NY 10111","4","483","","60,375."
"SRC371","6","6","STE 2200, NEW YORK, NY 10111","5","565","","0."
"SRC371","6","7","SUITE 2200, NEW YORK, NY 10111","2","335","INVT. OFFICER","40.00"
"SRC371","6","7","SUITE 2200, NEW YORK, NY 10111","3","421","(THRU 09/2024)","551,335."
"SRC371","6","7","SUITE 2200, NEW YORK, NY 10111","4","483","","83,375."
"SRC371","6","7","SUITE 2200, NEW YORK, NY 10111","5","565","","0."
"SRC371","6","8","SUITE 2200, NEW YORK, NY 10111","2","335","INVT. OFFICER","40.00"
"SRC371","6","8","SUITE 2200, NEW YORK, NY 10111","3","421","(THRU 09/2024)","551,335."
"SRC371","6","8","SUITE 2200, NEW YORK, NY 10111","4","483","","83,375."
"SRC371","6","8","SUITE 2200, NEW YORK, NY 10111","5","565","","0."
"SRC371","6","9","SUITE 2200, NEW YORK, NY 10111","2","335","INVT. OFFICER","40.00"
"SRC371","6","9","SUITE 2200, NEW YORK, NY 10111","3","421","(THRU 09/2024)","558,612."
"SRC371","6","9","SUITE 2200, NEW YORK, NY 10111","4","483","","51,275."
