"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC182","2","1","Retirement Trust $","1","291","Assets","11,531,577,424"
"SRC182","2","1","Retirement Trust $","2","388","(1)","860,983,431"
"SRC182","2","1","Retirement Trust $","4","562","Assets","1 1,944,532,267"
"SRC182","2","1","Retirement Trust $","5","638","Invested Assets","3.58%"
"SRC182","2","1","Retirement Trust $","6","709","Income (2)","7.61%"
"SRC182","2","2","Retirement Health Care Trust","1","291","Assets","9,442,801,171"
"SRC182","2","2","Retirement Health Care Trust","2","388","(1)","6 97,251,276"
"SRC182","2","2","Retirement Health Care Trust","3","475","(Withdrawals)","438,170,371)"
"SRC182","2","2","Retirement Health Care Trust","4","562","Assets","9 ,701,882,076"
"SRC182","2","2","Retirement Health Care Trust","5","638","Invested Assets","2.74%"
"SRC182","2","2","Retirement Health Care Trust","6","709","Income (2)","7.56%"
"SRC182","2","3","Total Defined Benefit Plans","1","291","Assets","20,974,378,595"
"SRC182","2","3","Total Defined Benefit Plans","2","388","(1)","1 ,558,234,707"
"SRC182","2","3","Total Defined Benefit Plans","3","475","(Withdrawals)","886,198,959)"
"SRC182","2","3","Total Defined Benefit Plans","4","562","Assets","2 1,646,414,343"
"SRC182","2","3","Total Defined Benefit Plans","5","638","Invested Assets","3.20%"
"SRC182","2","3","Total Defined Benefit Plans","6","709","Income (2)","7.59%"
"SRC182","2","4","Participant Directed Retirement","1","291","Assets","2,584,018,637"
"SRC182","2","4","Participant Directed Retirement","2","388","(1)","2 42,361,459"
"SRC182","2","4","Participant Directed Retirement","3","475","(Withdrawals)","1 22,245,908"
"SRC182","2","4","Participant Directed Retirement","4","562","Assets","2 ,948,626,003"
"SRC182","2","4","Participant Directed Retirement","5","638","Invested Assets","14.11%"
"SRC182","2","4","Participant Directed Retirement","6","709","Income (2)","9.16%"
"SRC182","2","5","Health Reimbursement Arrangement","1","291","Assets","913,437,981"
"SRC182","2","5","Health Reimbursement Arrangement","2","388","(1)","7 0,884,911"
"SRC182","2","5","Health Reimbursement Arrangement","3","475","(Withdrawals)","5 5,300,892"
"SRC182","2","5","Health Reimbursement Arrangement","4","562","Assets","1 ,039,623,784"
"SRC182","2","5","Health Reimbursement Arrangement","5","638","Invested Assets","13.81%"
"SRC182","2","5","Health Reimbursement Arrangement","6","709","Income (2)","7.53%"
"SRC182","2","6","Retiree Medical Plan","1","291","Assets","281,583,085"
"SRC182","2","6","Retiree Medical Plan","2","388","(1)","2 1,817,823"
"SRC182","2","6","Retiree Medical Plan","3","475","(Withdrawals)","1 5,947,680"
"SRC182","2","6","Retiree Medical Plan","4","562","Assets","3 19,348,588"
"SRC182","2","6","Retiree Medical Plan","5","638","Invested Assets","13.41%"
"SRC182","2","6","Retiree Medical Plan","6","709","Income (2)","7.53%"
"SRC182","2","7","Public Employees","1","291","Assets","59,645,229"
"SRC182","2","7","Public Employees","2","388","(1)","4 ,633,376"
"SRC182","2","7","Public Employees","3","475","(Withdrawals)","3 ,734,542"
"SRC182","2","7","Public Employees","4","562","Assets","6 8,013,147"
"SRC182","2","7","Public Employees","5","638","Invested Assets","14.03%"
"SRC182","2","7","Public Employees","6","709","Income (2)","7.53%"
"SRC182","2","8","Police and Firefighters","1","291","Assets","24,215,940"
"SRC182","2","8","Police and Firefighters","2","388","(1)","1 ,880,267"
"SRC182","2","8","Police and Firefighters","3","475","(Withdrawals)","1 ,449,539"
"SRC182","2","8","Police and Firefighters","4","562","Assets","2 7,545,746"
"SRC182","2","8","Police and Firefighters","5","638","Invested Assets","13.75%"
"SRC182","2","8","Police and Firefighters","6","709","Income (2)","7.54%"
"SRC182","2","9","Total Defined Contribution Plans","1","291","Assets","3,862,900,872"
"SRC182","2","9","Total Defined Contribution Plans","2","388","(1)","3 41,577,836"
"SRC182","2","9","Total Defined Contribution Plans","3","475","(Withdrawals)","1 98,678,561"
"SRC182","2","9","Total Defined Contribution Plans","4","562","Assets","4 ,403,157,268"
"SRC182","2","9","Total Defined Contribution Plans","5","638","Invested Assets","13.99%"
"SRC182","2","9","Total Defined Contribution Plans","6","709","Income (2)","8.62%"
"SRC182","2","10","Total PERS","1","291","Assets","24,837,279,467"
"SRC182","2","10","Total PERS","2","388","(1)","1 ,899,812,543"
"SRC182","2","10","Total PERS","3","475","(Withdrawals)","687,520,398)"
"SRC182","2","10","Total PERS","4","562","Assets","2 6,049,571,611"
"SRC182","2","10","Total PERS","5","638","Invested Assets","4.88%"
"SRC182","2","10","Total PERS","6","709","Income (2)","7.76%"
"SRC182","2","11","Retirement Trust","1","291","Assets","6,211,793,362"
"SRC182","2","11","Retirement Trust","2","388","(1)","4 62,964,800"
"SRC182","2","11","Retirement Trust","3","475","(Withdrawals)","358,674,315)"
"SRC182","2","11","Retirement Trust","4","562","Assets","6 ,316,083,847"
"SRC182","2","11","Retirement Trust","5","638","Invested Assets","1.68%"
"SRC182","2","11","Retirement Trust","6","709","Income (2)","7.67%"
"SRC182","2","12","Retirement Health Care Trust","1","291","Assets","3,678,195,510"
"SRC182","2","12","Retirement Health Care Trust","2","388","(1)","2 72,823,345"
"SRC182","2","12","Retirement Health Care Trust","3","475","(Withdrawals)","141,673,134)"
"SRC182","2","12","Retirement Health Care Trust","4","562","Assets","3 ,809,345,721"
"SRC182","2","12","Retirement Health Care Trust","5","638","Invested Assets","3.57%"
"SRC182","2","12","Retirement Health Care Trust","6","709","Income (2)","7.56%"
"SRC182","2","13","Total Defined Benefit Plans","1","291","Assets","9,889,988,872"
"SRC182","2","13","Total Defined Benefit Plans","2","388","(1)","7 35,788,145"
"SRC182","2","13","Total Defined Benefit Plans","3","475","(Withdrawals)","500,347,449)"
"SRC182","2","13","Total Defined Benefit Plans","4","562","Assets","1 0,125,429,568"
