"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC408","4","1","As of","2","91","","31, 2024,"
"SRC408","4","1","As of","5","272","","4"
"SRC408","4","1","As of","6","308","","12.08%"
"SRC408","4","1","As of","7","474","","25.11%"
"SRC408","4","2","The","1","65","","12"
"SRC408","4","3","some","6","308","","2%"
"SRC408","4","4","a direct","4","210","","2%"
"SRC408","4","5","Class","1","65","","4"
"SRC408","4","5","Class","5","272","","25.11%"
"SRC408","4","5","Class","7","474","","63"
"SRC408","4","6","last","1","65","","12"
"SRC408","4","6","last","3","187","","$1.2"
"SRC408","4","6","last","6","308","","46"
"SRC408","4","6","last","7","474","","(9)"
"SRC408","4","7","year.","5","272","","12 41"
"SRC408","4","8","opportunities","3","187","","31,"
"SRC408","4","8","opportunities","4","210","","2024,"
"SRC408","4","9","This","6","308","","31, 2024"
"SRC408","5","1","AMG Pantheon Fund, LLC—Class 13","1","386","One Year","11.27%"
"SRC408","5","1","AMG Pantheon Fund, LLC—Class 13","2","435","Five Years","13.90%"
"SRC408","5","1","AMG Pantheon Fund, LLC—Class 13","3","484","Since Inception","12.56%"
"SRC408","5","2","AMG Pantheon Fund, LLC—Class 2","1","386","One Year","11.49%"
"SRC408","5","2","AMG Pantheon Fund, LLC—Class 2","2","435","Five Years","14.25%"
"SRC408","5","2","AMG Pantheon Fund, LLC—Class 2","3","484","Since Inception","12.98%"
"SRC408","5","3","AMG Pantheon Fund, LLC—Class 3","1","386","One Year","11.78%"
"SRC408","5","3","AMG Pantheon Fund, LLC—Class 3","2","435","Five Years","14.53%"
"SRC408","5","3","AMG Pantheon Fund, LLC—Class 3","3","484","Since Inception","13.27%"
"SRC408","5","4","AMG Pantheon Fund, LLC—Class 4","1","386","One Year","12.08%"
"SRC408","5","4","AMG Pantheon Fund, LLC—Class 4","2","435","Five Years","14.82%"
"SRC408","5","4","AMG Pantheon Fund, LLC—Class 4","3","484","Since Inception","12.08%"
"SRC408","5","5","AMG Pantheon Fund, LLC—Class 54","1","386","One Year","7.09%"
"SRC408","5","5","AMG Pantheon Fund, LLC—Class 54","3","484","Since Inception","15.11%"
"SRC408","5","6","MSCI World Index5,6","1","386","One Year","25.11%"
"SRC408","5","6","MSCI World Index5,6","2","435","Five Years","12.07%"
"SRC408","5","6","MSCI World Index5,6","3","484","Since Inception","9.62%"
"SRC408","10","1","Net investment loss","1","404","year ended March 31, 2024","(15,663,968)"
"SRC408","10","1","Net investment loss","2","493","year ended March 31, 2023","(9,407,137)"
"SRC408","10","2","Capital gain distributions received","1","404","year ended March 31, 2024","19,036,663"
"SRC408","10","2","Capital gain distributions received","2","493","year ended March 31, 2023","26,234,522"
"SRC408","10","3","Net change in unrealized appreciation/depreciation of investments","1","404","year ended March 31, 2024","268,985,078"
"SRC408","10","3","Net change in unrealized appreciation/depreciation of investments","2","493","year ended March 31, 2023","85,407,116"
"SRC408","10","4","Net increase in net assets resulting from operations","1","404","year ended March 31, 2024","272,357,773"
"SRC408","10","4","Net increase in net assets resulting from operations","2","493","year ended March 31, 2023","102,234,501"
"SRC408","10","5","Class 1","1","404","year ended March 31, 2024","(9,183,775)"
"SRC408","10","5","Class 1","2","493","year ended March 31, 2023","(13,161,418)"
"SRC408","10","6","Class 2","1","404","year ended March 31, 2024","(2,726,419)"
"SRC408","10","6","Class 2","2","493","year ended March 31, 2023","(5,167,329)"
"SRC408","10","7","Class 3","1","404","year ended March 31, 2024","(4,292,041)"
"SRC408","10","7","Class 3","2","493","year ended March 31, 2023","(7,549,796)"
"SRC408","10","8","Class 4","1","404","year ended March 31, 2024","(1,577,514)"
"SRC408","10","8","Class 4","2","493","year ended March 31, 2023","(782,720)"
"SRC408","10","9","Class 5","1","404","year ended March 31, 2024","(1,217,679)"
"SRC408","10","9","Class 5","2","493","year ended March 31, 2023","(254,915)"
"SRC408","10","10","Total distributions to Investors","1","404","year ended March 31, 2024","(18,997,428)"
"SRC408","10","10","Total distributions to Investors","2","493","year ended March 31, 2023","(26,916,178)"
"SRC408","10","11","Net increase from capital Unit transactions 1,088,419,512","2","493","year ended March 31, 2023","718,990,830"
"SRC408","10","12","Total increase in net assets 1,341,779,857","2","493","year ended March 31, 2023","794,309,153"
"SRC408","10","13","Beginning of year 1,705,018,595","2","493","year ended March 31, 2023","910,709,442"
"SRC408","10","14","End of year $ 3,046,798,452","2","493","year ended March 31, 2023","1,705,018,595"
"SRC408","12","1","Net Asset Value, Beginning of Year","1","245","2024","$21.14"
"SRC408","12","1","Net Asset Value, Beginning of Year","2","310","2023","$20.42"
"SRC408","12","1","Net Asset Value, Beginning of Year","4","374","2022","$18.04"
"SRC408","12","1","Net Asset Value, Beginning of Year","5","439","2021","$13.55"
"SRC408","12","1","Net Asset Value, Beginning of Year","6","504","20","$14.06"
"SRC408","12","2","Net investment loss1,2","1","245","2024","(0.19)"
"SRC408","12","2","Net investment loss1,2","2","310","2023","(0.19)"
"SRC408","12","2","Net investment loss1,2","4","374","2022","(0.21)"
"SRC408","12","2","Net investment loss1,2","5","439","2021","(0.16)"
"SRC408","12","2","Net investment loss1,2","6","504","20","(0.14)"
"SRC408","12","3","investments","1","245","2024","2.57"
"SRC408","12","3","investments","2","310","2023","1.32"
"SRC408","12","3","investments","4","374","2022","3.31"
"SRC408","12","3","investments","5","439","2021","4.82"
"SRC408","12","3","investments","6","504","20","0.60"
"SRC408","12","4","Total from investment operations","1","245","2024","2.38"
"SRC408","12","4","Total from investment operations","2","310","2023","1.13"
"SRC408","12","4","Total from investment operations","4","374","2022","3.10"
"SRC408","12","4","Total from investment operations","5","439","2021","4.66"
"SRC408","12","4","Total from investment operations","6","504","20","0.46"
"SRC408","12","5","Net realized gain on investments","1","245","2024","(0.17)"
"SRC408","12","5","Net realized gain on investments","2","310","2023","(0.41)"
"SRC408","12","5","Net realized gain on investments","4","374","2022","(0.72)"
"SRC408","12","5","Net realized gain on investments","5","439","2021","(0.17)"
"SRC408","12","5","Net realized gain on investments","6","504","20","(0.97)"
"SRC408","12","6","Total distributions to unitholders","1","245","2024","(0.17)"
"SRC408","12","6","Total distributions to unitholders","2","310","2023","(0.41)"
"SRC408","12","6","Total distributions to unitholders","4","374","2022","(0.72)"
"SRC408","12","6","Total distributions to unitholders","5","439","2021","(0.17)"
"SRC408","12","6","Total distributions to unitholders","6","504","20","(0.97)"
"SRC408","12","7","Net Asset Value, End of Year","1","245","2024","$23.35"
"SRC408","12","7","Net Asset Value, End of Year","2","310","2023","$21.14"
"SRC408","12","7","Net Asset Value, End of Year","4","374","2022","$20.42"
"SRC408","12","7","Net Asset Value, End of Year","5","439","2021","$18.04"
"SRC408","12","7","Net Asset Value, End of Year","6","504","20","$13.55"
"SRC408","12","8","Total Return1","1","245","2024","11.27%"
"SRC408","12","8","Total Return1","2","310","2023","5.63%"
"SRC408","12","8","Total Return1","4","374","2022","17.49%"
"SRC408","12","8","Total Return1","5","439","2021","34.63%"
"SRC408","12","8","Total Return1","6","504","20","3.10%"
"SRC408","12","9","assets","1","245","2024","0.87%"
"SRC408","12","9","assets","6","504","20","1.00%"
"SRC408","12","10","net assets4","1","245","2024","1.57%"
"SRC408","12","10","net assets4","6","504","20","2.61%"
"SRC408","12","11","average net assets1","1","245","2024","(0.87%)"
"SRC408","12","11","average net assets1","2","310","2023","(0.97%)"
"SRC408","12","11","average net assets1","4","374","2022","(1.10%)"
"SRC408","12","11","average net assets1","5","439","2021","(0.92%)"
"SRC408","12","11","average net assets1","6","504","20","(1.00%)"
"SRC408","12","12","Portfolio turnover rate (Master Fund)","1","245","2024","3%"
"SRC408","12","12","Portfolio turnover rate (Master Fund)","2","310","2023","5%"
"SRC408","12","12","Portfolio turnover rate (Master Fund)","4","374","2022","14%"
"SRC408","12","12","Portfolio turnover rate (Master Fund)","5","439","2021","0%"
"SRC408","12","12","Portfolio turnover rate (Master Fund)","6","504","20","0%"
"SRC408","12","13","Net assets, end of year (in thousands) $1,482,567","2","310","2023","$790,478"
"SRC408","12","13","Net assets, end of year (in thousands) $1,482,567","4","374","2022","$365,514"
"SRC408","12","13","Net assets, end of year (in thousands) $1,482,567","5","439","2021","$36,768"
"SRC408","12","13","Net assets, end of year (in thousands) $1,482,567","6","504","20","$15"
"SRC408","12","14","* Effective July 31, 2020, Brokerage Class Units","3","327","","1"
"SRC408","12","15","3 Such ratio includes recoupment of waived/reimbursed","5","439","2021","0.13%"
"SRC408","12","15","3 Such ratio includes recoupment of waived/reimbursed","6","504","20","0.01%"
"SRC408","12","16","fiscal years ended March 31, 2023, March","1","245","2024","31, 2022"
"SRC408","12","16","fiscal years ended March 31, 2023, March","2","310","2023","31,"
"SRC408","12","16","fiscal years ended March 31, 2023, March","3","327","","2021,"
"SRC408","13","1","Net Asset Value, Beginning of Year","1","245","2024","$21.68"
"SRC408","13","1","Net Asset Value, Beginning of Year","2","310","2023","$20.88"
"SRC408","13","1","Net Asset Value, Beginning of Year","3","374","2022","$18.39"
"SRC408","13","1","Net Asset Value, Beginning of Year","4","439","2021","$13.76"
"SRC408","13","1","Net Asset Value, Beginning of Year","5","504","20","$14.19"
"SRC408","13","2","Net investment loss1,2","1","245","2024","(0.14)"
"SRC408","13","2","Net investment loss1,2","2","310","2023","(0.15)"
"SRC408","13","2","Net investment loss1,2","3","374","2022","(0.16)"
"SRC408","13","2","Net investment loss1,2","4","439","2021","(0.09)"
"SRC408","13","2","Net investment loss1,2","5","504","20","(0.07)"
"SRC408","13","3","investments","1","245","2024","2.63"
"SRC408","13","3","investments","2","310","2023","1.36"
"SRC408","13","3","investments","3","374","2022","3.37"
"SRC408","13","3","investments","4","439","2021","4.89"
"SRC408","13","3","investments","5","504","20","0.61"
"SRC408","13","4","Total from investment operations","1","245","2024","2.49"
"SRC408","13","4","Total from investment operations","2","310","2023","1.21"
"SRC408","13","4","Total from investment operations","3","374","2022","3.21"
"SRC408","13","4","Total from investment operations","4","439","2021","4.80"
"SRC408","13","4","Total from investment operations","5","504","20","0.54"
"SRC408","13","5","Net realized gain on investments","1","245","2024","(0.17)"
"SRC408","13","5","Net realized gain on investments","2","310","2023","(0.41)"
"SRC408","13","5","Net realized gain on investments","3","374","2022","(0.72)"
"SRC408","13","5","Net realized gain on investments","4","439","2021","(0.17)"
"SRC408","13","5","Net realized gain on investments","5","504","20","(0.97)"
"SRC408","13","6","Total distributions to unitholders","1","245","2024","(0.17)"
"SRC408","13","6","Total distributions to unitholders","2","310","2023","(0.41)"
"SRC408","13","6","Total distributions to unitholders","3","374","2022","(0.72)"
"SRC408","13","6","Total distributions to unitholders","4","439","2021","(0.17)"
"SRC408","13","6","Total distributions to unitholders","5","504","20","(0.97)"
"SRC408","13","7","Net Asset Value, End of Year","1","245","2024","$24.00"
"SRC408","13","7","Net Asset Value, End of Year","2","310","2023","$21.68"
"SRC408","13","7","Net Asset Value, End of Year","3","374","2022","$20.88"
"SRC408","13","7","Net Asset Value, End of Year","4","439","2021","$18.39"
"SRC408","13","7","Net Asset Value, End of Year","5","504","20","$13.76"
"SRC408","13","8","Total Return1","1","245","2024","11.49%"
"SRC408","13","8","Total Return1","2","310","2023","5.89%"
"SRC408","13","8","Total Return1","3","374","2022","17.76%"
"SRC408","13","8","Total Return1","4","439","2021","35.12%"
"SRC408","13","8","Total Return1","5","504","20","3.64%"
"SRC408","13","9","assets","1","245","2024","0.62%"
"SRC408","13","9","assets","5","504","20","0.50%"
"SRC408","13","10","net assets4","1","245","2024","1.32%"
"SRC408","13","10","net assets4","5","504","20","2.11%"
"SRC408","13","11","average net assets1","1","245","2024","(0.62%)"
"SRC408","13","11","average net assets1","2","310","2023","(0.72%)"
"SRC408","13","11","average net assets1","3","374","2022","(0.85%)"
"SRC408","13","11","average net assets1","4","439","2021","(0.56%)"
"SRC408","13","11","average net assets1","5","504","20","(0.50%)"
"SRC408","13","12","Portfolio turnover rate (Master Fund)","1","245","2024","3%"
