"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC238","1","1","Washington, D.C.","1","324","","20549"
"SRC238","1","2","For the fiscal year ended","2","353","","31,"
"SRC238","1","2","For the fiscal year ended","3","383","","2024"
"SRC238","1","3","(cid:133) TRANSITION REPORT PURSUANT TO SECTION 13 OR","4","554","","1934"
"SRC238","1","4","Common stock, par","2","353","","$0.001"
"SRC238","1","5","Indicate by check mark if the registrant is a well-known seasoned issuer, as defined","2","353","","405"
"SRC238","1","6","Indicate by check mark if the registrant is not required to file reports pursuant to","2","353","","13"
"SRC238","1","7","Indicate by check mark whether the registrant: (1) has filed all reports required to","3","383","","13"
"SRC238","1","7","Indicate by check mark whether the registrant: (1) has filed all reports required to","4","554","","1934"
"SRC238","1","8","Indicate by check mark whether the registrant has submitted electronically every","4","554","","405"
"SRC238","1","9","There is currently no established public market for shares of the registrant’s common","2","353","","$0.001"
"SRC238","1","10","The number of shares of the registrant’s Common Stock outstanding as of March","1","324","","6, 2025"
"SRC238","1","10","The number of shares of the registrant’s Common Stock outstanding as of March","2","353","","135,487,145."
"SRC238","2","1","Item","1","93","","1."
"SRC238","2","1","Item","2","511","","1"
"SRC238","2","2","Item","2","511","","29"
"SRC238","2","3","Item","2","511","","57"
"SRC238","2","4","Item","2","511","","57"
"SRC238","2","5","Item","1","93","","2."
"SRC238","2","5","Item","2","511","","59"
"SRC238","2","6","Item","1","93","","3."
"SRC238","2","6","Item","2","511","","60"
"SRC238","2","7","Item","1","93","","4."
"SRC238","2","7","Item","2","511","","60"
"SRC238","2","8","Item","1","93","","5."
"SRC238","2","9","Purchases","2","511","","61"
"SRC238","2","10","Item","1","93","","6."
"SRC238","2","10","Item","2","511","","61"
"SRC238","2","11","Item","1","93","","7."
"SRC238","2","11","Item","2","511","","62"
"SRC238","2","12","Item","2","511","","81"
"SRC238","2","13","Item","1","93","","8."
"SRC238","2","13","Item","2","511","","82"
"SRC238","2","14","Item","1","93","","9."
"SRC238","2","14","Item","2","511","","82"
"SRC238","2","15","Item","2","511","","82"
"SRC238","2","16","Item","2","511","","83"
"SRC238","2","17","Item","2","511","","83"
"SRC238","2","18","Item","1","93","","10."
"SRC238","2","18","Item","2","511","","84"
"SRC238","2","19","Item","1","93","","11."
"SRC238","2","19","Item","2","511","","84"
"SRC238","2","20","Item","1","93","","12."
"SRC238","2","21","Stockholder","2","511","","84"
"SRC238","2","22","Item","1","93","","13."
"SRC238","2","22","Item","2","511","","84"
"SRC238","2","23","Item","1","93","","14."
"SRC238","2","23","Item","2","511","","84"
"SRC238","2","24","Item","1","93","","15."
"SRC238","2","24","Item","2","511","","85"
"SRC238","2","25","Item","1","93","","16."
"SRC238","2","25","Item","2","511","","87"
"SRC238","2","26","Signatures","2","511","","88"
"SRC238","7","1","As a BDC, we are generally required to invest at least","1","304","million and","70%"
"SRC238","7","2","we are subject to the reduced asset coverage requirements","3","406","annually,","1940"
"SRC238","7","3","applicable to such BDC from 200% to 150%. As of December","2","335","$100 million","31, 2024,"
"SRC238","7","4","consists of over 175 investment professionals and over 494","4","452","although we","31, 2025."
"SRC238","7","5","BSP is a leading credit-focused alternative asset","4","452","although we","$761"
"SRC238","7","6","under management as of January 31, 2025. Established in","1","304","million and","2008,"
"SRC238","13","1","on January","1","120","","24, 2024,"
"SRC238","13","2","•","1","120","","100%"
"SRC238","13","3","Agreement","3","229","","1.765%"
"SRC238","13","3","Agreement","4","265","","(7.06%"
"SRC238","13","4","of the Mergers","2","188","","24, 2024,"
"SRC238","13","5","Advisory Agreement","2","188","","17.5%"
"SRC238","15","1","On January 5,","1","153","","2021,"
"SRC238","15","2","limitations under Section","2","172","Capital Commitments,","23"
"SRC238","15","3","or causing the Defaulting","3","264","Commitments. All purchases per-share price","50%"
"SRC238","15","4","Initial Closing Period","4","303","will as determined","9, 2021,"
"SRC238","15","5","Period to December","1","153","respective","18,"
"SRC238","15","5","Period to December","2","172","Capital Commitments,","2022."
"SRC238","15","5","Period to December","3","264","Commitments. All purchases per-share price","16, 2022,"
