"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC424","58","1","statements of the issuer, (iv) comply with any new audit rules","2","460","until such standards withanynewrequirementsadoptedby","5, 2012"
"SRC424","58","2","compliance with the auditor attestation requirements of Section","1","296","standards applicable privatecompaniesunderSection102(b)(1)oftheJOBSAct,(iii)comply","404"
"SRC424","62","1","August31,2023","1","176","ClassS Shares","25.1147"
"SRC424","62","1","August31,2023","3","290","ClassD Shares","25.1147"
"SRC424","62","1","August31,2023","4","402","ClassI Shares","25.1147"
"SRC424","62","1","August31,2023","5","459","ClassE Shares","25.1176"
"SRC424","62","2","September30,2023","1","176","ClassS Shares","25.0226"
"SRC424","62","2","September30,2023","3","290","ClassD Shares","25.0226"
"SRC424","62","2","September30,2023","4","402","ClassI Shares","25.0226"
"SRC424","62","2","September30,2023","5","459","ClassE Shares","25.0232"
"SRC424","62","3","October31,2023","1","176","ClassS Shares","25.0943"
"SRC424","62","3","October31,2023","2","233","ClassS-1 Shares","25.1696"
"SRC424","62","3","October31,2023","3","290","ClassD Shares","25.0952"
"SRC424","62","3","October31,2023","4","402","ClassI Shares","25.0952"
"SRC424","62","3","October31,2023","5","459","ClassE Shares","25.0953"
"SRC424","62","4","November30,2023","1","176","ClassS Shares","25.2264"
"SRC424","62","4","November30,2023","2","233","ClassS-1 Shares","25.2003"
"SRC424","62","4","November30,2023","3","290","ClassD Shares","25.2264"
"SRC424","62","4","November30,2023","4","402","ClassI Shares","25.2179"
"SRC424","62","4","November30,2023","5","459","ClassE Shares","25.2274"
"SRC424","62","5","December31,2023","1","176","ClassS Shares","25.0488"
"SRC424","62","5","December31,2023","2","233","ClassS-1 Shares","25.0100"
"SRC424","62","5","December31,2023","3","290","ClassD Shares","25.0488"
"SRC424","62","5","December31,2023","4","402","ClassI Shares","25.0255"
"SRC424","62","5","December31,2023","5","459","ClassE Shares","25.0482"
"SRC424","62","6","January31,2024","1","176","ClassS Shares","25.1676"
"SRC424","62","6","January31,2024","2","233","ClassS-1 Shares","25.2036"
"SRC424","62","6","January31,2024","3","290","ClassD Shares","25.1676"
"SRC424","62","6","January31,2024","4","402","ClassI Shares","25.1748"
"SRC424","62","6","January31,2024","5","459","ClassE Shares","25.1693"
"SRC424","62","7","February29,2024","1","176","ClassS Shares","25.3160"
"SRC424","62","7","February29,2024","2","233","ClassS-1 Shares","25.3226"
"SRC424","62","7","February29,2024","3","290","ClassD Shares","25.3160"
"SRC424","62","7","February29,2024","4","402","ClassI Shares","25.3032"
"SRC424","62","7","February29,2024","5","459","ClassE Shares","25.3128"
"SRC424","62","8","March31,2024","1","176","ClassS Shares","25.0521"
"SRC424","62","8","March31,2024","2","233","ClassS-1 Shares","25.0347"
"SRC424","62","8","March31,2024","3","290","ClassD Shares","25.0521"
"SRC424","62","8","March31,2024","4","402","ClassI Shares","25.0294"
"SRC424","62","8","March31,2024","5","459","ClassE Shares","25.1011"
"SRC424","62","9","April30,2024","1","176","ClassS Shares","25.1697"
"SRC424","62","9","April30,2024","2","233","ClassS-1 Shares","25.1994"
"SRC424","62","9","April30,2024","3","290","ClassD Shares","25.1697"
"SRC424","62","9","April30,2024","4","402","ClassI Shares","25.1718"
"SRC424","62","9","April30,2024","5","459","ClassE Shares","25.2821"
"SRC424","62","9","April30,2024","6","516","ClassF Shares","25.4654"
"SRC424","62","10","May31.2024","1","176","ClassS Shares","25.0155"
"SRC424","62","10","May31.2024","2","233","ClassS-1 Shares","25.0306"
"SRC424","62","10","May31.2024","3","290","ClassD Shares","25.0155"
"SRC424","62","10","May31.2024","4","402","ClassI Shares","25.0046"
"SRC424","62","10","May31.2024","5","459","ClassE Shares","25.1735"
"SRC424","62","10","May31.2024","6","516","ClassF Shares","25.2855"
"SRC424","62","11","June30,2024","1","176","ClassS Shares","25.0444"
"SRC424","62","11","June30,2024","2","233","ClassS-1 Shares","25.0687"
"SRC424","62","11","June30,2024","3","290","ClassD Shares","25.0296"
"SRC424","62","11","June30,2024","4","402","ClassI Shares","25.0485"
"SRC424","62","11","June30,2024","5","459","ClassE Shares","25.2302"
"SRC424","62","11","June30,2024","6","516","ClassF Shares","25.3336"
"SRC424","62","12","July31,2024","1","176","ClassS Shares","25.0873"
"SRC424","62","12","July31,2024","2","233","ClassS-1 Shares","25.1096"
"SRC424","62","12","July31,2024","3","290","ClassD Shares","25.0723"
"SRC424","62","12","July31,2024","4","402","ClassI Shares","25.0888"
"SRC424","62","12","July31,2024","5","459","ClassE Shares","25.2899"
"SRC424","62","12","July31,2024","6","516","ClassF Shares","25.4075"
"SRC424","62","13","August31,2024","1","176","ClassS Shares","25.1836"
"SRC424","62","13","August31,2024","2","233","ClassS-1 Shares","25.2032"
"SRC424","62","13","August31,2024","3","290","ClassD Shares","25.1685"
"SRC424","62","13","August31,2024","4","402","ClassI Shares","25.1862"
"SRC424","62","13","August31,2024","5","459","ClassE Shares","25.4288"
"SRC424","62","13","August31,2024","6","516","ClassF Shares","25.5137"
"SRC424","62","14","September30,2024","1","176","ClassS Shares","25.0662"
"SRC424","62","14","September30,2024","2","233","ClassS-1 Shares","25.1673"
"SRC424","62","14","September30,2024","3","290","ClassD Shares","25.0502"
"SRC424","62","14","September30,2024","4","402","ClassI Shares","25.1285"
"SRC424","62","14","September30,2024","5","459","ClassE Shares","25.3325"
"SRC424","62","14","September30,2024","6","516","ClassF Shares","25.5195"
"SRC424","62","15","October31,2024","1","176","ClassS Shares","25.0898"
"SRC424","62","15","October31,2024","2","233","ClassS-1 Shares","25.1945"
"SRC424","62","15","October31,2024","3","290","ClassD Shares","25.0737"
"SRC424","62","15","October31,2024","4","402","ClassI Shares","25.1591"
"SRC424","62","15","October31,2024","5","459","ClassE Shares","25.3982"
"SRC424","62","15","October31,2024","6","516","ClassF Shares","25.5788"
"SRC424","62","16","November30,2024","1","176","ClassS Shares","25.0602"
"SRC424","62","16","November30,2024","2","233","ClassS-1 Shares","25.1648"
"SRC424","62","16","November30,2024","3","290","ClassD Shares","25.0440"
"SRC424","62","16","November30,2024","4","402","ClassI Shares","25.1302"
"SRC424","62","16","November30,2024","5","459","ClassE Shares","25.4005"
"SRC424","62","16","November30,2024","6","516","ClassF Shares","25.5864"
"SRC424","62","17","December31,2024","1","176","ClassS Shares","25.1002"
"SRC424","62","17","December31,2024","2","233","ClassS-1 Shares","25.1951"
"SRC424","62","17","December31,2024","3","290","ClassD Shares","25.0840"
"SRC424","62","17","December31,2024","4","402","ClassI Shares","25.1623"
"SRC424","62","17","December31,2024","5","459","ClassE Shares","25.4712"
"SRC424","62","17","December31,2024","6","516","ClassF Shares","25.6480"
"SRC424","62","18","January31,2025","1","176","ClassS Shares","25.0689"
"SRC424","62","18","January31,2025","2","233","ClassS-1 Shares","25.1612"
"SRC424","62","18","January31,2025","3","290","ClassD Shares","25.0527"
"SRC424","62","18","January31,2025","4","402","ClassI Shares","25.1292"
"SRC424","62","18","January31,2025","5","459","ClassE Shares","25.4785"
"SRC424","62","18","January31,2025","6","516","ClassF Shares","25.6517"
"SRC424","62","19","February28,2025","1","176","ClassS Shares","25.0652"
"SRC424","62","19","February28,2025","2","233","ClassS-1 Shares","25.1614"
"SRC424","62","19","February28,2025","3","290","ClassD Shares","25.0490"
"SRC424","62","19","February28,2025","4","402","ClassI Shares","25.1281"
"SRC424","62","19","February28,2025","5","459","ClassE Shares","25.5155"
"SRC424","62","19","February28,2025","6","516","ClassF Shares","25.6828"
"SRC424","62","20","March31,2025","1","176","ClassS Shares","25.1082"
"SRC424","62","20","March31,2025","2","233","ClassS-1 Shares","25.2052"
"SRC424","62","20","March31,2025","3","290","ClassD Shares","25.0919"
"SRC424","62","20","March31,2025","4","402","ClassI Shares","25.1717"
"SRC424","62","20","March31,2025","5","459","ClassE Shares","25.5898"
"SRC424","62","20","March31,2025","6","516","ClassF Shares","25.7632"
"SRC424","62","21","April30,2025","1","176","ClassS Shares","25.0144"
"SRC424","62","21","April30,2025","2","233","ClassS-1 Shares","25.1092"
"SRC424","62","21","April30,2025","3","290","ClassD Shares","24.9995"
"SRC424","62","21","April30,2025","4","402","ClassI Shares","25.0753"
"SRC424","62","21","April30,2025","5","459","ClassE Shares","25.5298"
"SRC424","62","21","April30,2025","6","516","ClassF Shares","25.7042"
"SRC424","62","22","May31,2025","1","176","ClassS Shares","25.0415"
"SRC424","62","22","May31,2025","2","233","ClassS-1 Shares","25.1393"
"SRC424","62","22","May31,2025","3","290","ClassD Shares","25.0212"
"SRC424","62","22","May31,2025","4","402","ClassI Shares","25.1048"
"SRC424","62","22","May31,2025","5","459","ClassE Shares","25.5768"
"SRC424","62","22","May31,2025","6","516","ClassF Shares","25.7562"
