"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC224","2","1","x ANNUAL REPORT","2","330","","13"
"SRC224","2","2","o TRANSITION REPORT","2","330","","13"
"SRC224","2","3","EXCHANGE ACT","1","169","","1934"
"SRC224","2","4","245 Park Avenue,","4","403","","10167"
"SRC224","2","5","Indicate by check mark","5","450","","405"
"SRC224","2","6","Indicate by check mark","5","450","","13"
"SRC224","2","7","Indicate by check mark whether","5","450","","13"
"SRC224","2","8","Securities Exchange Act of","1","169","","1934"
"SRC224","2","9","to file such reports), and (2)","4","403","","90"
"SRC224","2","10","submitted pursuant to Rule","1","169","","405"
"SRC224","2","10","submitted pursuant to Rule","5","450","","12"
"SRC224","3","1","the","4","515","","(15"
"SRC224","3","2","As of","2","126","","31, 2025,"
"SRC224","3","3","The","3","293","","$0.001"
"SRC224","3","3","The","4","515","","16, 2026,"
"SRC224","3","4","were","1","80","","88,674,617"
"SRC224","3","4","were","3","293","","121,881"
"SRC224","3","5","exclude","2","126","","1, 2026"
"SRC224","3","6","Documents","4","515","","2026"
"SRC224","3","7","Annual","3","293","","120"
"SRC224","3","8","Report","4","515","","10,"
"SRC224","3","9","11,","1","80","","12, 13"
"SRC224","3","9","11,","2","126","","14."
"SRC224","8","1","Item","1","82","","1."
"SRC224","8","1","Item","2","536","","3"
"SRC224","8","2","Item","2","536","","25"
"SRC224","8","3","Item","2","536","","69"
"SRC224","8","4","Item","2","536","","69"
"SRC224","8","5","Item","1","82","","2."
"SRC224","8","5","Item","2","536","","70"
"SRC224","8","6","Item","1","82","","3."
"SRC224","8","6","Item","2","536","","70"
"SRC224","8","7","Item","1","82","","4."
"SRC224","8","7","Item","2","536","","70"
"SRC224","8","8","Item","1","82","","5."
"SRC224","8","8","Item","2","536","","71"
"SRC224","8","9","Item","1","82","","6."
"SRC224","8","9","Item","2","536","","74"
"SRC224","8","10","Item","1","82","","7."
"SRC224","8","10","Item","2","536","","75"
"SRC224","8","11","Item","2","536","","99"
"SRC224","8","12","Item","1","82","","8."
"SRC224","8","12","Item","2","536","","101"
"SRC224","8","13","Item","1","82","","9."
"SRC224","8","13","Item","2","536","","222"
"SRC224","8","14","Item","2","536","","222"
"SRC224","8","15","Item","2","536","","223"
"SRC224","8","16","Item","2","536","","223"
"SRC224","8","17","Item","1","82","","10."
"SRC224","8","17","Item","2","536","","224"
"SRC224","8","18","Item","1","82","","11."
"SRC224","8","18","Item","2","536","","224"
"SRC224","8","19","Item","1","82","","12."
"SRC224","8","19","Item","2","536","","224"
"SRC224","8","20","Item","1","82","","13."
"SRC224","8","20","Item","2","536","","224"
"SRC224","8","21","Item","1","82","","14."
"SRC224","8","21","Item","2","536","","224"
"SRC224","8","22","Item","1","82","","15."
"SRC224","8","22","Item","2","536","","225"
"SRC224","8","23","Item","1","82","","16."
"SRC224","8","23","Item","2","536","","227"
