"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC215","3","1","1&1 AG.....................................................................................................","1","426","SHARES","1,065"
"SRC215","3","1","1&1 AG.....................................................................................................","2","519","FAIR VALUE","21,341"
"SRC215","3","2","10X GENOMICS INC..................................................................................","1","426","SHARES","53,271"
"SRC215","3","2","10X GENOMICS INC..................................................................................","2","519","FAIR VALUE","2,981,045"
"SRC215","3","3","1-800-FLOWERS.COM INC.......................................................................","1","426","SHARES","7,653"
"SRC215","3","3","1-800-FLOWERS.COM INC.......................................................................","2","519","FAIR VALUE","82,499"
"SRC215","3","4","1ST SOURCE CORP...................................................................................","1","426","SHARES","830"
"SRC215","3","4","1ST SOURCE CORP...................................................................................","2","519","FAIR VALUE","45,609"
"SRC215","3","5","1STDIBS.COM INC....................................................................................","1","426","SHARES","13,700"
"SRC215","3","5","1STDIBS.COM INC....................................................................................","2","519","FAIR VALUE","64,116"
"SRC215","3","6","23ANDME HOLDING CO...........................................................................","1","426","SHARES","12,117"
"SRC215","3","6","23ANDME HOLDING CO...........................................................................","2","519","FAIR VALUE","11,069"
"SRC215","3","7","3D SYSTEMS CORP...................................................................................","1","426","SHARES","74,289"
"SRC215","3","7","3D SYSTEMS CORP...................................................................................","2","519","FAIR VALUE","471,735"
"SRC215","3","8","3I GROUP PLC...........................................................................................","1","426","SHARES","231,273"
"SRC215","3","8","3I GROUP PLC...........................................................................................","2","519","FAIR VALUE","7,137,757"
"SRC215","3","9","3M CO......................................................................................................","1","426","SHARES","250,813"
"SRC215","3","9","3M CO......................................................................................................","2","519","FAIR VALUE","2 7,418,877"
"SRC215","3","10","4D MOLECULAR THERAPEUTICS INC.......................................................","1","426","SHARES","40,534"
"SRC215","3","10","4D MOLECULAR THERAPEUTICS INC.......................................................","2","519","FAIR VALUE","821,219"
"SRC215","3","11","4IMPRINT GROUP PLC.............................................................................","1","426","SHARES","877"
"SRC215","3","11","4IMPRINT GROUP PLC.............................................................................","2","519","FAIR VALUE","51,093"
"SRC215","3","12","77 BANK LTD/THE....................................................................................","1","426","SHARES","1,600"
"SRC215","3","12","77 BANK LTD/THE....................................................................................","2","519","FAIR VALUE","39,495"
"SRC215","3","13","888 HOLDINGS PLC..................................................................................","1","426","SHARES","11,274"
"SRC215","3","13","888 HOLDINGS PLC..................................................................................","2","519","FAIR VALUE","13,733"
"SRC215","3","14","89BIO INC.................................................................................................","1","426","SHARES","34,874"
"SRC215","3","14","89BIO INC.................................................................................................","2","519","FAIR VALUE","389,543"
"SRC215","3","15","908 DEVICES INC......................................................................................","1","426","SHARES","17,834"
"SRC215","3","15","908 DEVICES INC......................................................................................","2","519","FAIR VALUE","200,097"
"SRC215","3","16","A O SMITH CORP......................................................................................","1","426","SHARES","14,678"
"SRC215","3","16","A O SMITH CORP......................................................................................","2","519","FAIR VALUE","1,210,054"
"SRC215","3","17","A10 NETWORKS INC.................................................................................","1","426","SHARES","22,057"
"SRC215","3","17","A10 NETWORKS INC.................................................................................","2","519","FAIR VALUE","290,491"
"SRC215","3","18","A2A SPA....................................................................................................","1","426","SHARES","48,238"
"SRC215","3","18","A2A SPA....................................................................................................","2","519","FAIR VALUE","99,059"
"SRC215","3","19","AAK AB.....................................................................................................","1","426","SHARES","5,527"
"SRC215","3","19","AAK AB.....................................................................................................","2","519","FAIR VALUE","123,287"
"SRC215","3","20","AALBERTS NV...........................................................................................","1","426","SHARES","2,968"
